[行业>三日涨幅]
+------------+--------+-------------+--------+---------+-------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+---------+-------+---------+---------+
|  食品饮料  | 000716 |   黑芝麻    |  34.5  |  134.9  | 10.0  |  33.0   |  47.0   |
|  食品饮料  | 600962 |  国投中鲁   |  35.5  |  210.7  | 10.0  |   1.2   |  25.9   |
| 非金属材料 | 688119 |    N洛耐    | 142.7  |  91.7   | 150.6 |  150.6  |  150.6  |
| 非金属材料 | 603688 |  石英股份   | 325.6  |  93.2   | 10.0  |   8.7   |  12.7   |
|  铁路公路  | 603069 |  海汽集团   |  61.1  |  -93.8  | 10.0  |  33.1   |  61.0   |
|  钢铁行业  | 002756 |  永兴材料   | 528.3  |  16.3   | 10.0  |   8.4   |   9.8   |
|  通用设备  | 688251 |    N井松    |  33.1  |  51.2   | 56.5  |  56.5   |  56.5   |
|  通用设备  | 300700 |  岱勒新材   |  33.6  |  62.2   | 20.0  |  29.4   |  40.1   |
|  通用设备  | 002598 |  山东章鼓   |  33.5  |  41.6   | 10.0  |  29.2   |  34.0   |
|  通用设备  | 002552 |  宝鼎科技   |  45.8  |  697.4  | 10.0  |  12.8   |  22.1   |
|  通用设备  | 002426 |  胜利精密   |  70.2  |  224.2  | 10.3  |  10.3   |  12.7   |
|  通信设备  | 002897 |  意华股份   |  73.2  |  40.8   | 10.0  |  12.4   |  17.9   |
|  软件开发  | 688225 |  亚信安全   | 109.0  |  -34.8  | 20.0  |  39.1   |  42.2   |
|  软件开发  | 300552 |  万集科技   |  47.5  |  385.5  | 20.0  |  25.8   |  29.0   |
|  软件开发  | 300799 |  左江科技   |  68.3  |  -65.4  | 11.0  |  22.2   |  26.9   |
| 计算机设备 | 688086 |   *ST紫晶   |  13.9  |  -3.5   | 15.1  |  22.4   |  26.5   |
|  装修装饰  | 001212 |  中旗新材   |  39.4  |  56.2   | 10.0  |  19.4   |  22.2   |
|  装修装饰  | 601886 |  江河集团   |  74.4  |  20.3   | 10.1  |   7.1   |  16.2   |
|  装修建材  | 002323 |  雅博股份   |  90.3  |  494.5  | 10.1  |  21.0   |  20.3   |
|  装修建材  | 000619 |  海螺新材   |  27.5  |  -26.2  |  9.9  |  19.2   |  23.1   |
|  装修建材  | 002652 |  扬子新材   |  14.5  |  -53.4  | 10.1  |   9.7   |   8.4   |
|  能源金属  | 002240 |  盛新锂能   | 456.2  |  10.7   | 10.0  |   7.3   |   7.6   |
|  能源金属  | 002466 |  天齐锂业   | 1534.0 |  11.5   | 10.0  |   5.6   |   7.0   |
|  综合行业  | 600673 |   东阳光    | 243.2  |  21.1   |  9.9  |  11.0   |  10.6   |
