[行业>市值]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
|  —   | 835185 |  贝特瑞  | 535.9 |  29.7  |  4.9  |  10.5   |  21.2   |
|  —   | 836077 | 吉林碳谷 | 185.4 |  27.9  |  1.0  |   2.3   |   9.6   |
|  —   | 835368 | 连城数控 | 153.7 |  42.0  |  2.3  |   4.3   |  10.0   |
|  —   | 833819 | 颖泰生物 | 68.4  |  6.6   |  4.1  |   3.1   |   5.7   |
|  —   | 836239 | 长虹能源 | 62.2  |  27.6  |  3.4  |  11.7   |  22.8   |
|  —   | 830946 | 森萱医药 | 47.4  |  23.7  | 15.7  |  11.1   |   5.1   |
|  —   | 833994 | 翰博高新 | 40.9  |  39.3  |  0.0  |   0.0   |   0.0   |
|  —   | 834599 | 同力股份 | 36.1  |  6.9   | -0.2  |   0.1   |  -1.9   |
|  —   | 430047 | 诺思兰德 | 32.1  | -73.1  |  5.8  |   8.2   |   5.1   |
|  —   | 835640 |  富士达  | 29.7  |  21.8  |  0.4  |   1.3   |   7.0   |
|  —   | 839729 | 永顺生物 | 21.9  |  31.7  | -0.1  |  -0.7   |  -0.6   |
|  —   | 837344 | 三元基因 | 21.6  | 161.3  |  2.1  |   2.4   |  -1.8   |
|  —   | 833874 | 泰祥股份 | 19.6  |  36.4  |  0.0  |   0.0   |   0.0   |
|  —   | 831961 | 创远仪器 | 19.1  | 206.3  |  1.3  |   2.2   |   1.9   |
|  —   | 830799 | 艾融软件 | 16.8  |  88.3  |  0.5  |   3.5   |   5.7   |
|  —   | 831445 | 龙竹科技 | 16.4  |  24.8  |  0.4  |   0.5   |   0.3   |
|  —   | 833509 | 同惠电子 | 16.1  |  52.7  |  0.8  |   4.5   |   3.2   |
|  —   | 835305 | 云创数据 | 15.7  | -187.6 |  0.0  |   1.1   |   1.3   |
|  —   | 835179 | 凯德石英 | 15.5  |  44.4  |  3.4  |   2.5   |   6.6   |
|  —   | 871981 | 晶赛科技 | 14.3  |  24.3  |  5.3  |   7.2   |   8.7   |
|  —   | 301156 | 美农生物 | 14.1  |  23.9  |  0.0  |   0.0   |   0.0   |
|  —   | 836720 | 吉冈精密 | 13.2  |  23.6  | -0.7  |   3.3   |   1.2   |
|  —   | 839167 | 同享科技 | 13.1  |  32.7  |  1.8  |   2.3   |   3.6   |
|  —   | 833523 | 德瑞锂电 | 12.6  |  45.8  | 11.9  |  20.4   |  17.2   |
