[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 塑料制品 | 600143 | 金发科技 | 234.7 |  13.9   | -0.6  |   5.0   |  12.4   |
| 塑料制品 | 300487 | 蓝晓科技 | 184.8 |  57.4   |  0.9  |   9.8   |  13.8   |
| 塑料制品 | 002585 | 双星新材 | 180.6 |  12.6   | -1.6  |   3.4   |   8.6   |
| 塑料制品 | 601208 | 东材科技 | 121.5 |  29.9   | -4.1  |   1.0   |   6.3   |
| 塑料制品 | 002324 |  普利特  | 119.9 |  122.7  | -2.0  |  -0.7   |   1.6   |
| 塑料制品 | 300596 |  利安隆  | 104.4 |  20.7   | -0.1  |   3.5   |   3.5   |
| 塑料制品 | 603181 | 皇马科技 | 98.3  |  18.9   |  0.4  |   1.9   |   3.4   |
| 塑料制品 | 603010 | 万盛股份 | 97.4  |  18.9   | -1.8  |   3.1   |   8.2   |
| 塑料制品 | 688087 | 英科再生 | 90.2  |  46.0   |  1.5  |   4.5   |  12.3   |
| 塑料制品 | 605008 | 长鸿高科 | 76.8  |  22.2   | -0.2  |   3.8   |   7.8   |
| 塑料制品 | 300806 |  斯迪克  | 76.6  |  107.9  | -0.4  |   3.2   |  18.8   |
| 塑料制品 | 002108 | 沧州明珠 | 72.7  |  31.1   | -1.2  |   2.0   |   4.3   |
| 塑料制品 | 002838 | 道恩股份 | 69.4  |  33.8   | -0.1  |  -5.5   |  -3.2   |
| 塑料制品 | 300586 | 美联新材 | 68.4  |  18.8   | -1.9  |   2.4   |   9.2   |
| 塑料制品 | 300180 | 华峰超纤 | 66.7  |  113.2  | -1.3  |   1.6   |   3.5   |
| 塑料制品 | 002768 | 国恩股份 | 64.6  |  13.7   | -0.8  |   2.2   |   1.8   |
| 塑料制品 | 688026 | 洁特生物 | 64.0  |  39.0   | -2.1  |   7.6   |  11.5   |
| 塑料制品 | 002263 |  大东南  | 60.9  |  46.7   |  2.5  |  13.7   |  14.5   |
| 塑料制品 | 000859 | 国风新材 | 53.2  |  13.4   | -1.2  |   0.0   |   3.3   |
| 塑料制品 | 603051 | 鹿山新材 | 50.0  |  38.1   | 10.0  |  33.1   |  42.5   |
| 塑料制品 | 002341 | 新纶新材 | 48.6  |  -13.5  |  2.7  |  -3.6   |  15.3   |
| 塑料制品 | 002522 | 浙江众成 | 48.5  |  23.8   | -0.7  |   1.1   |   2.9   |
| 塑料制品 | 301196 | 唯科科技 | 45.9  |  25.6   | -1.5  |   1.4   |   5.7   |
| 塑料制品 | 603722 |  阿科力  | 45.4  |  26.1   | -0.7  |   1.0   |   6.5   |
| 塑料制品 | 688219 | 会通股份 | 45.1  |  36.1   | -2.1  |   4.1   |  11.5   |
| 塑料制品 | 300305 | 裕兴股份 | 44.9  |  18.8   |  2.4  |  18.2   |  35.7   |
| 塑料制品 | 688323 |  瑞华泰  | 44.9  |  91.4   | -4.2  |   4.7   |  12.1   |
| 塑料制品 | 000973 | 佛塑科技 | 43.0  |  37.6   |  0.2  |   3.3   |   6.7   |
| 塑料制品 | 002886 | 沃特股份 | 41.5  |  204.0  | -2.0  |  -0.3   |  12.2   |
| 塑料制品 | 600135 | 乐凯胶片 | 41.3  |  116.8  |  1.4  |   1.4   |   2.9   |
| 塑料制品 | 688585 | 上纬新材 | 38.6  |  50.3   | -1.4  |   4.0   |  14.8   |
| 塑料制品 | 002632 | 道明光学 | 37.8  |  34.5   | -0.5  |   1.2   |   3.6   |
| 塑料制品 | 002361 | 神剑股份 | 37.7  |  157.7  | -0.8  |  -0.8   |   2.4   |
| 塑料制品 | 300610 | 晨化股份 | 36.0  |  21.8   |  4.4  |   7.0   |  22.6   |
