[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 家电行业 | 000333 | 美的集团 | 3694.0 |  12.9  | 0.4  |   0.0   |   1.3   |
| 家电行业 | 600690 | 海尔智家 | 2368.0 |  16.8  | -0.7 |  -1.3   |   0.3   |
| 家电行业 | 000651 | 格力电器 | 1875.0 |  11.7  | 0.6  |  -1.5   |  -0.1   |
| 家电行业 | 603195 | 公牛集团 | 871.1  |  34.0  | -0.9 |  -0.6   |   1.5   |
| 家电行业 | 002050 | 三花智控 | 662.9  |  36.6  | 0.8  |   5.8   |  11.5   |
| 家电行业 | 603486 |  科沃斯  | 656.6  |  38.7  | 1.4  |  -1.4   |  19.9   |
| 家电行业 | 605117 | 德业股份 | 501.5  |  94.9  | 6.2  |   2.9   |   8.5   |
| 家电行业 | 688169 | 石头科技 | 477.6  |  34.8  | 11.4 |  12.5   |  13.3   |
| 家电行业 | 002032 | 苏 泊 尔 | 444.8  |  20.7  | -1.8 |  -2.4   |  -5.3   |
| 家电行业 | 002508 | 老板电器 | 290.3  |  19.7  | 0.6  |  -0.0   |   5.9   |
| 家电行业 | 603868 | 飞科电器 | 280.5  |  29.6  | 0.2  |  -0.2   |   1.3   |
| 家电行业 | 688696 | 极米科技 | 219.1  |  45.1  | 1.7  |   6.0   |   5.4   |
| 家电行业 | 002429 | 兆驰股份 | 174.3  |  12.6  | 0.3  |  -3.3   |   6.9   |
| 家电行业 | 000921 | 海信家电 | 165.7  |  15.6  | -0.7 |  -1.8   |  -0.2   |
| 家电行业 | 000810 | 创维数字 | 165.1  |  19.8  | 5.7  |  -1.3   |   4.2   |
| 家电行业 | 002705 | 新宝股份 | 159.1  |  22.4  | 3.7  |   8.1   |   8.1   |
| 家电行业 | 600060 | 海信视像 | 158.6  |  13.3  | 0.0  |   0.1   |   2.6   |
| 家电行业 | 603355 | 莱克电气 | 136.1  |  16.1  | 0.6  |   3.6   |   8.2   |
| 家电行业 | 000016 | 深康佳Ａ  | 136.0  |  32.7  | 0.9  |   0.5   |   0.9   |
| 家电行业 | 300894 |  火星人  | 135.7  |  56.5  | 5.7  |  11.3   |  15.3   |
| 家电行业 | 600839 | 四川长虹 | 135.3  |  67.2  | -1.0 |   2.8   |   4.6   |
| 家电行业 | 603515 | 欧普照明 | 130.2  |  49.1  | 0.8  |   1.8   |   3.2   |
| 家电行业 | 002242 | 九阳股份 | 130.0  |  19.6  | 2.4  |   2.3   |   7.5   |
| 家电行业 | 002759 | 天际股份 | 100.2  |  6.1   | 6.9  |  10.7   |  11.6   |
| 家电行业 | 002011 | 盾安环境 |  94.8  |  28.4  | 4.0  |  19.7   |  12.5   |
| 家电行业 | 002677 | 浙江美大 |  90.2  |  18.6  | 0.7  |   3.2   |   3.3   |
| 家电行业 | 002959 | 小熊电器 |  90.0  |  21.6  | 0.3  |  -1.7   |  -2.0   |
| 家电行业 | 605365 |  立达信  |  75.8  |  19.9  | 0.7  |   4.0   |   4.9   |
| 家电行业 | 600619 | 海立股份 |  72.8  |  42.8  | -0.6 |   3.7   |   8.9   |
| 家电行业 | 000801 | 四川九洲 |  72.3  |  55.8  | 0.0  |   1.0   |   7.0   |
| 家电行业 | 603219 | 富佳股份 |  70.2  |  30.1  | 1.5  |  -0.2   |  -0.7   |
| 家电行业 | 000541 | 佛山照明 |  69.5  |  28.3  | 0.2  |   0.0   |   0.4   |
| 家电行业 | 300911 | 亿田智能 |  67.4  |  37.8  | 1.7  |   6.9   |  10.8   |
| 家电行业 | 300217 | 东方电热 |  66.2  |  28.6  | 2.7  |   9.3   |  11.9   |
| 家电行业 | 603112 | 华翔股份 |  66.0  |  16.5  | -0.3 |   0.7   |   4.4   |
| 家电行业 | 603303 | 得邦照明 |  63.1  |  26.3  | 3.3  |   6.4   |   4.6   |
| 家电行业 | 605555 | 德昌股份 |  62.9  |  26.2  | 2.2  |   1.5   |  12.8   |
| 家电行业 | 600983 |  惠而浦  |  61.4  | -84.1  | 1.3  |   0.9   |   1.3   |
| 家电行业 | 600336 |  澳柯玛  |  59.3  |  39.3  | 1.6  |  -4.0   |  -0.8   |
| 家电行业 | 002614 |  奥佳华  |  54.0  |  48.8  | 1.3  |   0.3   |   6.9   |
| 家电行业 | 002519 | 银河电子 |  54.0  |  28.7  | -8.4 |  10.9   |  17.7   |
| 家电行业 | 002543 | 万和电气 |  52.9  |  8.3   | 0.4  |   1.6   |   1.6   |
| 家电行业 | 002668 |  ST奥马  |  50.1  |  55.9  | 0.2  |   0.2   |   1.3   |
| 家电行业 | 600261 | 阳光照明 |  49.9  | 378.0  | 0.3  |   1.4   |   0.9   |
| 家电行业 | 300160 | 秀强股份 |  48.8  |  20.4  | 2.9  |   2.6   |   1.9   |
| 家电行业 | 002035 | 华帝股份 |  48.4  |  15.2  | 0.9  |   3.4   |   2.9   |
| 家电行业 | 688609 | 九联科技 |  46.2  | 167.8  | 3.4  |  12.9   |  19.2   |
| 家电行业 | 301187 | 欧圣电气 |  45.7  |  30.5  | 2.0  |   4.6   |   5.9   |
| 家电行业 | 000521 | 长虹美菱 |  44.3  | 215.1  | -5.5 |  14.4   |  11.1   |
| 家电行业 | 002723 |  金莱特  |  42.7  | 460.9  | 0.4  |  -1.9   |   2.8   |
| 家电行业 | 301061 | 匠心家居 |  42.2  |  15.0  | 1.9  |   6.5   |   5.9   |
| 家电行业 | 002860 |  星帅尔  |  40.5  |  26.9  | 10.0 |  11.0   |   9.6   |
| 家电行业 | 688793 |  倍轻松  |  40.4  | -102.1 | 0.8  |   0.5   |  44.8   |
| 家电行业 | 603366 | 日出东方 |  39.0  | -16.0  | 4.0  |   7.0   |   7.5   |
| 家电行业 | 605336 | 帅丰电器 |  38.7  |  25.7  | 1.3  |   5.6   |   6.8   |
| 家电行业 | 300342 | 天银机电 |  38.7  | 807.0  | 0.0  |   1.3   |  -1.0   |
| 家电行业 | 603551 | 奥普家居 |  36.8  |  33.0  | 1.7  |   4.1   |   3.6   |
| 家电行业 | 300824 | 北鼎股份 |  36.3  |  55.2  | 2.7  |   2.5   |   5.8   |
| 家电行业 | 603215 | 比依股份 |  36.2  |  35.6  | 2.5  |  13.8   |   9.9   |
| 家电行业 | 000404 | 长虹华意 |  36.0  |  27.5  | -2.8 |   3.0   |  -2.6   |
| 家电行业 | 002418 | 康盛股份 |  35.7  | -82.7  | 0.0  |   1.0   |  -5.1   |
| 家电行业 | 300625 | 三雄极光 |  34.9  |  37.6  | 0.2  |   2.8   |   3.4   |
| 家电行业 | 603579 | 荣泰健康 |  34.4  |  14.7  | 1.1  |  -0.7   |   3.2   |
| 家电行业 | 300272 | 开能健康 |  32.8  |  51.5  | 1.8  |   2.3   |   1.4   |
| 家电行业 | 601956 | 东贝集团 |  31.5  |  24.3  | -0.3 |   2.3   |   2.7   |
| 家电行业 | 600854 | 春兰股份 |  31.2  |  25.1  | 5.5  |   3.9   |  -0.2   |
| 家电行业 | 603519 | XD立霸股 |  30.2  |  20.4  | 2.7  |   8.9   |  11.8   |
| 家电行业 | 300403 | 汉宇集团 |  30.1  |  16.8  | 1.4  |   2.7   |   4.2   |
| 家电行业 | 002005 |  ST德豪  |  28.2  | -13.8  | 1.3  |   0.6   |   0.0   |
| 家电行业 | 002676 | 顺威股份 |  27.3  |  39.9  | -0.8 |   4.1   |  -0.3   |
| 家电行业 | 002420 | 毅昌科技 |  26.7  |  75.9  | 1.1  |  -0.6   |  -6.1   |
| 家电行业 | 300247 | 融捷健康 |  26.3  | 127.3  | 1.2  |   2.5   |   2.5   |
| 家电行业 | 603311 | 金海高科 |  25.6  |  28.1  | 2.7  |   1.8   |   1.8   |
| 家电行业 | 002403 |  爱仕达  |  24.1  | -22.4  | -0.8 |  -1.7   |  -2.8   |
| 家电行业 | 603726 | 朗迪集团 |  22.5  |  25.8  | 1.0  |   1.7   |   0.9   |
| 家电行业 | 603578 | 三星新材 |  22.3  |  16.2  | 0.2  |   0.8   |   2.3   |
| 家电行业 | 603677 | 奇精机械 |  21.4  |  24.5  | -0.5 |   2.1   |   4.8   |
| 家电行业 | 301008 | 宏昌科技 |  21.3  |  49.4  | 1.6  |   4.3   |   7.5   |
| 家电行业 | 603657 | 春光科技 |  21.1  |  35.4  | 0.6  |  -3.0   |   3.1   |
| 家电行业 | 003023 | 彩虹集团 |  18.2  |  18.2  | 1.4  |   2.4   |   2.8   |
| 家电行业 | 002290 | 禾盛新材 |  16.9  |  17.4  | 2.7  |   1.8   |  -4.2   |
| 家电行业 | 002848 | 高斯贝尔 |  16.2  |  8.4   | 0.1  |   1.5   |   1.0   |
| 家电行业 | 002052 | *ST同洲  |  12.6  | -14.9  | -2.3 |  -5.1   |  -3.4   |
| 家电行业 | 002076 | *ST雪莱  |  12.5  | -14.5  | 5.2  |  15.6   |  11.6   |
| 家电行业 | 002260 |  德奥退  |  3.2   |  -4.5  | 1.8  |  -9.4   |  -12.1  |
| 家电行业 | 002473 |  圣莱退  |  1.3   |  -5.8  | -8.0 |  -25.7  |  -84.4  |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 家电行业 | 688169 | 石头科技 | 477.6  |  34.8  | 11.4 |  12.5   |  13.3   |
| 家电行业 | 002860 |  星帅尔  |  40.5  |  26.9  | 10.0 |  11.0   |   9.6   |
| 家电行业 | 002759 | 天际股份 | 100.2  |  6.1   | 6.9  |  10.7   |  11.6   |
| 家电行业 | 605117 | 德业股份 | 501.5  |  94.9  | 6.2  |   2.9   |   8.5   |
| 家电行业 | 300894 |  火星人  | 135.7  |  56.5  | 5.7  |  11.3   |  15.3   |
| 家电行业 | 000810 | 创维数字 | 165.1  |  19.8  | 5.7  |  -1.3   |   4.2   |
| 家电行业 | 600854 | 春兰股份 |  31.2  |  25.1  | 5.5  |   3.9   |  -0.2   |
| 家电行业 | 002076 | *ST雪莱  |  12.5  | -14.5  | 5.2  |  15.6   |  11.6   |
| 家电行业 | 002011 | 盾安环境 |  94.8  |  28.4  | 4.0  |  19.7   |  12.5   |
| 家电行业 | 603366 | 日出东方 |  39.0  | -16.0  | 4.0  |   7.0   |   7.5   |
| 家电行业 | 002705 | 新宝股份 | 159.1  |  22.4  | 3.7  |   8.1   |   8.1   |
| 家电行业 | 688609 | 九联科技 |  46.2  | 167.8  | 3.4  |  12.9   |  19.2   |
| 家电行业 | 603303 | 得邦照明 |  63.1  |  26.3  | 3.3  |   6.4   |   4.6   |
| 家电行业 | 300160 | 秀强股份 |  48.8  |  20.4  | 2.9  |   2.6   |   1.9   |
| 家电行业 | 603519 | XD立霸股 |  30.2  |  20.4  | 2.7  |   8.9   |  11.8   |
| 家电行业 | 002290 | 禾盛新材 |  16.9  |  17.4  | 2.7  |   1.8   |  -4.2   |
| 家电行业 | 603311 | 金海高科 |  25.6  |  28.1  | 2.7  |   1.8   |   1.8   |
