[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 环保行业 | 603568 | 伟明环保 | 361.0 |  19.6  |  0.3  |  -3.4   |   0.4   |
| 环保行业 | 002266 | 浙富控股 | 255.1 |  15.8  |  0.8  |   2.1   |   1.7   |
| 环保行业 | 300070 |  碧水源  | 177.9 | 118.3  |  1.2  |   0.6   |   2.4   |
| 环保行业 | 603279 | 景津装备 | 167.9 |  27.4  | -3.5  |   0.9   |  -1.6   |
| 环保行业 | 600323 | 瀚蓝环境 | 165.4 |  26.0  | -0.2  |  -0.5   |   2.8   |
| 环保行业 | 603588 | 高能环境 | 160.1 |  23.5  |  2.0  |   2.5   |   2.6   |
| 环保行业 | 000967 | 盈峰环境 | 154.2 |  27.2  |  0.2  |   3.4   |   3.2   |
| 环保行业 | 000035 | 中国天楹 | 141.8 |  83.1  | -0.5  |   2.2   |  24.6   |
| 环保行业 | 002645 | 华宏科技 | 123.8 |  12.2  |  0.5  |   4.6   |   4.9   |
| 环保行业 | 600388 |  ST龙净  | 121.1 |  17.0  | -4.9  |  -7.0   |   2.7   |
| 环保行业 | 601827 | 三峰环境 | 119.2 |  9.8   |  0.3  |   0.8   |   2.9   |
| 环保行业 | 601200 | 上海环境 | 113.0 |  18.9  |  0.3  |  -0.5   |   1.9   |
| 环保行业 | 300203 | 聚光科技 | 106.8 | -45.2  |  2.0  |   3.0   |   7.3   |
| 环保行业 | 601330 | 绿色动力 | 105.8 |  14.6  |  0.5  |   0.9   |   3.0   |
| 环保行业 | 002034 | 旺能环境 | 88.5  |  13.1  | -0.3  |   0.5   |   3.7   |
| 环保行业 | 300774 |  倍杰特  | 84.9  |  57.1  |  6.3  |   4.9   |   8.2   |
| 环保行业 | 002573 | 清新环境 | 83.8  |  18.1  |  1.2  |   1.2   |   2.4   |
| 环保行业 | 301109 | 军信股份 | 74.4  |  20.0  |  1.6  |   4.2   |   6.8   |
| 环保行业 | 300055 |  万邦达  | 71.6  |  69.2  |  2.8  |   2.8   |   3.5   |
| 环保行业 | 600217 | 中再资环 | 69.4  | 106.0  | -1.8  |   2.2   |   9.2   |
| 环保行业 | 300197 | 节能铁汉 | 68.9  | -14.4  |  0.4  |   0.0   |   2.1   |
| 环保行业 | 002310 | 东方园林 | 64.7  |  -4.5  |  0.4  |  -0.4   |  -0.8   |
| 环保行业 | 300355 | 蒙草生态 | 64.5  |  51.4  |  0.8  |   1.8   |   2.0   |
| 环保行业 | 300815 |  玉禾田  | 62.6  |  12.1  |  0.7  |   3.1   |   9.4   |
| 环保行业 | 300867 | 圣元环保 | 59.8  |  20.5  |  1.2  |   5.2   |   7.3   |
| 环保行业 | 300266 | 兴源环境 | 55.6  | -55.5  |  1.7  |   5.7   |   4.7   |
| 环保行业 | 002672 | 东江环保 | 55.0  | 262.7  |  0.2  |   1.0   |   2.6   |
| 环保行业 | 688057 |  金达莱  | 51.7  |  13.5  |  1.4  |   8.3   |  13.0   |
| 环保行业 | 002717 | 岭南股份 | 51.2  | -21.4  |  2.0  |   0.3   |  -2.6   |
| 环保行业 | 688101 |  三达膜  | 51.1  |  21.9  |  5.2  |  11.9   |  14.3   |
| 环保行业 | 603324 | 盛剑环境 | 50.9  |  90.1  |  4.7  |  16.0   |  18.1   |
| 环保行业 | 603359 | 东珠生态 | 50.0  |  15.3  |  2.1  |   2.1   |   0.4   |
| 环保行业 | 002973 | 侨银股份 | 49.9  |  16.2  |  1.8  |   0.3   |  -8.9   |
| 环保行业 | 300388 | 节能国祯 | 49.5  |  22.8  |  1.3  |   2.8   |   5.8   |
| 环保行业 | 603177 | 德创环保 | 49.1  | 121.2  | -10.0 |  -10.4  |  -4.6   |
| 环保行业 | 600292 | 远达环保 | 48.8  |  48.1  |  0.5  |   0.8   |   6.1   |
| 环保行业 | 000826 | 启迪环境 | 48.6  |  -5.1  |  2.1  |   2.4   |   1.8   |
| 环保行业 | 301127 | 天源环保 | 47.4  |  61.9  |  2.2  |   3.8   |   4.2   |
| 环保行业 | 603126 | 中材节能 | 46.1  |  36.0  |  3.1  |   3.1   |  10.5   |
| 环保行业 | 300614 | 百川畅银 | 43.0  |  39.1  |  0.6  |   0.1   |  10.8   |
| 环保行业 | 603686 |  福龙马  | 42.4  |  13.4  |  1.5  |   1.8   |   1.0   |
| 环保行业 | 002479 | 富春环保 | 41.2  |  50.9  |  0.6  |   1.9   |   3.2   |
| 环保行业 | 600526 | 菲达环保 | 40.6  | 258.0  | -0.7  |  -0.2   |   2.6   |
| 环保行业 | 300664 | 鹏鹞环保 | 39.8  |  13.8  |  1.3  |   1.5   |   1.5   |
| 环保行业 | 300800 | 力合科技 | 38.7  |  26.8  |  1.6  |   3.3   |   6.2   |
| 环保行业 | 301259 |  艾布鲁  | 37.5  |  82.5  |  0.3  |   0.8   |  -9.5   |
| 环保行业 | 300187 | 永清环保 | 37.2  | 115.2  |  1.8  |   1.8   |   2.3   |
| 环保行业 | 300190 |  维尔利  | 36.7  |  29.8  |  0.6  |   2.2   |   4.0   |
| 环保行业 | 300631 | 久吾高科 | 36.5  | 201.4  |  6.4  |   6.4   |  -4.9   |
| 环保行业 | 000920 | 沃顿科技 | 36.0  |  44.2  |  2.6  |   2.9   |   7.3   |
| 环保行业 | 603797 | 联泰环保 | 35.8  |  13.1  |  0.3  |   0.3   |   0.3   |
| 环保行业 | 000068 | 华控赛格 | 35.2  | -90.5  |  4.8  |   1.7   |  10.4   |
| 环保行业 | 000551 | 创元科技 | 34.7  |  23.0  |  0.6  |   1.4   |   3.7   |
