[行业>市值]
+----------+--------+-------------+--------+---------+-------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+---------+-------+---------+---------+
| 软件开发 | 688111 |  金山办公   | 1006.0 |  100.3  | -2.5  |   6.5   |  10.8   |
| 软件开发 | 002230 |  科大讯飞   | 885.8  |  199.9  | -1.7  |   4.5   |   9.0   |
| 软件开发 | 600588 |  用友网络   | 680.0  |  -43.2  | -1.2  |   4.0   |   9.3   |
| 软件开发 | 002410 |   广联达    | 632.3  |  145.3  |  1.2  |   1.8   |  14.4   |
| 软件开发 | 600570 |  恒生电子   | 632.1  | -382.7  |  2.5  |   9.8   |  19.6   |
| 软件开发 | 601360 |   三六零    | 602.4  |  67.9   | -0.5  |   1.8   |   3.3   |
| 软件开发 | 300033 |   同花顺    | 476.0  |  106.4  |  0.5  |   5.0   |   7.3   |
| 软件开发 | 300454 |   深信服    | 415.6  |  -20.1  | -2.9  |   4.3   |  17.6   |
| 软件开发 | 688777 |  中控技术   | 400.0  |  167.0  | -1.1  |   4.2   |  15.0   |
| 软件开发 | 688561 |  奇安信-U   | 359.8  |  -18.7  | -4.3  |   6.8   |  13.8   |
| 软件开发 | 688188 |  柏楚电子   | 333.4  |  81.1   |  0.8  |   9.0   |  10.3   |
| 软件开发 | 002405 |  四维图新   | 331.5  |  703.1  | -3.0  |   4.6   |  10.2   |
| 软件开发 | 002153 |  石基信息   | 312.7  |  254.6  | -0.2  |   5.0   |   8.9   |
| 软件开发 | 002268 |  卫 士 通   | 307.0  | -199.6  | -0.3  |   1.1   |   9.7   |
| 软件开发 | 688327 | 云从科技-UW | 265.8  |  -57.4  |  7.9  |  31.2   |  67.7   |
| 软件开发 | 301236 |  软通动力   | 210.9  |  55.3   | -0.9  |   6.8   |  10.3   |
| 软件开发 | 002065 |  东华软件   | 195.5  |  41.0   | -1.3  |   2.4   |   3.2   |
| 软件开发 | 300803 |   指南针    | 188.8  |  17.7   |  4.9  |  13.6   |  13.9   |
| 软件开发 | 300253 |  卫宁健康   | 188.1  |  148.1  | -0.6  |   3.7   |   6.4   |
| 软件开发 | 002439 |  启明星辰   | 187.1  |  -48.0  |  1.1  |   8.4   |  17.1   |
| 软件开发 | 688083 |  中望软件   | 180.1  | -228.4  | -5.5  |  12.3   |  25.7   |
| 软件开发 | 300773 |   拉卡拉    | 145.7  |  14.3   | -2.6  |  -0.2   |   0.2   |
| 软件开发 | 688232 |  新点软件   | 136.1  |  -93.7  | -2.2  |  -0.9   |  20.3   |
| 软件开发 | 603927 |   中科软    | 135.0  |  467.9  |  0.3  |   2.5   |   8.0   |
| 软件开发 | 002212 |   天融信    | 118.5  |  -45.8  | -1.6  |   5.5   |  11.2   |
| 软件开发 | 300451 |  创业慧康   | 117.5  |  31.8   |  5.1  |   7.5   |   9.2   |
| 软件开发 | 601519 |   大智慧    | 113.8  |  -60.6  | -0.7  |   4.7   |   5.9   |
| 软件开发 | 603039 |   ST泛微    | 110.2  |  182.1  |  0.5  |  10.8   |  19.3   |
| 软件开发 | 300188 |  美亚柏科   | 106.4  |  -46.1  | -1.1  |   1.5   |   3.9   |
| 软件开发 | 688023 |  安恒信息   | 105.2  |  -13.8  | -5.5  |   9.9   |  14.5   |
| 软件开发 | 300768 |  迪普科技   |  99.6  |  54.8   | -2.3  |   3.4   |  10.4   |
| 软件开发 | 002063 |  远光软件   |  98.8  |  333.6  |  2.0  |   5.2   |  15.8   |
| 软件开发 | 600602 |  云赛智联   |  96.8  |  33.0   | -2.8  |   2.9   |   5.4   |
| 软件开发 | 688225 |  亚信安全   |  93.5  |  -29.9  | -14.2 |  13.1   |  23.6   |
| 软件开发 | 300036 |  超图软件   |  90.8  |  194.1  | -1.3  |   2.8   |   6.5   |
| 软件开发 | 688318 |  财富趋势   |  87.9  |  49.0   | -1.5  |  17.8   |  26.0   |
| 软件开发 | 300369 |  绿盟科技   |  85.0  |  -18.5  | -1.7  |   8.8   |  13.7   |
| 软件开发 | 300075 |  数字政通   |  84.9  |  55.9   |  1.9  |   6.1   |   4.0   |
| 软件开发 | 300379 |   东方通    |  82.7  |  -44.0  | -1.0  |   7.5   |  10.9   |
| 软件开发 | 000503 |  国新健康   |  82.3  |  -41.6  |  5.0  |   8.2   |   9.4   |
| 软件开发 | 300525 |  博思软件   |  82.1  |  -47.7  |  1.9  |   6.7   |   6.8   |
| 软件开发 | 300229 |   拓尔思    |  79.8  |  95.0   |  0.0  |   1.4   |   7.0   |
| 软件开发 | 002280 |  联络互动   |  79.2  |  -6.8   |  3.7  |   6.7   |   4.9   |
| 软件开发 | 002261 |  拓维信息   |  79.0  |  48.8   | -0.5  |   2.1   |   2.1   |
| 软件开发 | 300663 |  科蓝软件   |  69.1  |  290.2  | -0.3  |   2.7   |   4.8   |
| 软件开发 | 300348 |  长亮科技   |  68.0  | -172.3  | -0.2  |   4.0   |   3.6   |
| 软件开发 | 300085 |   银之杰    |  67.6  |  -50.5  | -1.6  |   2.1   |   3.4   |
| 软件开发 | 300579 |  数字认证   |  66.9  |  800.1  | -0.8  |   2.8   |   6.7   |
| 软件开发 | 300799 |  左江科技   |  66.2  |  -63.4  | -3.0  |  17.0   |  26.0   |
| 软件开发 | 300377 |   赢时胜    |  64.3  |  -43.7  | -1.3  |   2.9   |   4.4   |
| 软件开发 | 300352 |   北信源    |  64.2  |  655.4  | -1.6  |   0.9   |   4.5   |
| 软件开发 | 300598 |  诚迈科技   |  62.5  |  -34.0  | -0.2  |  -10.7  |  -9.4   |
| 软件开发 | 002987 |   京北方    |  61.5  |  63.4   | -3.1  |   2.0   |  -2.5   |
| 软件开发 | 603206 |  嘉环科技   |  60.2  |  52.6   | -0.3  |  -4.5   |  -0.5   |
| 软件开发 | 300098 |   高新兴    |  59.1  |  -18.3  | -2.3  |   3.3   |   4.9   |
| 软件开发 | 688207 | 格灵深瞳-U  |  55.1  |  -94.1  | -0.7  |  11.2   |  30.1   |
| 软件开发 | 603508 |  思维列控   |  54.3  |  19.7   |  0.4  |   6.2   |   9.2   |
| 软件开发 | 300468 |  四方精创   |  52.3  |  142.7  | -2.0  |   1.4   |  -0.7   |
| 软件开发 | 301117 |  佳缘科技   |  52.0  | -302.4  | -2.3  |   7.5   |   7.3   |
| 软件开发 | 301179 |  泽宇智能   |  51.9  |  46.6   | -2.0  |   3.6   |   7.5   |
| 软件开发 | 301153 |  中科江南   |  51.0  | -1106.1 | -6.4  |  -2.2   |   2.8   |
| 软件开发 | 688201 |  信安世纪   |  50.3  | -803.3  | -2.1  |   6.4   |  17.1   |
| 软件开发 | 300366 |  创意信息   |  49.4  |  37.4   | -1.9  |   2.1   |   2.6   |
| 软件开发 | 301221 |  光庭信息   |  49.4  |  862.5  | -3.8  |   8.6   |  17.7   |
| 软件开发 | 688095 |  福昕软件   |  49.0  |  245.4  | -2.9  |  10.7   |  20.0   |
| 软件开发 | 603859 |  能科科技   |  48.8  |  39.0   | -1.8  |   3.0   |   9.8   |
| 软件开发 | 688588 |  凌志软件   |  48.0  |  33.7   | -4.1  |   9.2   |  19.4   |
| 软件开发 | 300659 |  中孚信息   |  47.2  |  -8.8   | -0.9  |   6.8   |  12.4   |
| 软件开发 | 002298 |  中电兴发   |  47.0  |  17.6   | -1.6  |   0.3   |   2.1   |
| 软件开发 | 000948 |  南天信息   |  46.3  |  -87.3  | -0.3  |   2.6   |   3.4   |
| 软件开发 | 603138 |  海量数据   |  46.2  | -107.3  |  3.0  |  20.6   |  23.5   |
| 软件开发 | 300552 |  万集科技   |  45.5  |  368.6  | -4.4  |  16.9   |  24.2   |
| 软件开发 | 300249 |   依米康    |  45.1  |  531.9  | -0.6  |   2.8   |  -1.2   |
| 软件开发 | 300386 |  飞天诚信   |  44.9  | -174.0  | -1.5  |   2.2   |   4.5   |
| 软件开发 | 300925 |  法本信息   |  44.9  |  42.7   | -0.3  |   3.8   |   8.1   |
| 软件开发 | 300311 |   任子行    |  44.3  |  -25.6  |  2.5  |   5.1   |   7.3   |
| 软件开发 | 300378 |  鼎捷软件   |  43.2  |  -63.7  | -2.1  |   4.1   |  10.6   |
| 软件开发 | 300047 |  天源迪科   |  42.8  |  157.0  | -0.7  |   0.0   |   2.4   |
| 软件开发 | 688078 |  龙软科技   |  42.7  |  115.9  |  2.0  |  14.4   |  23.7   |
| 软件开发 | 603383 |  顶点软件   |  41.7  |  494.3  | -1.1  |   2.4   |   8.2   |
| 软件开发 | 300365 |  恒华科技   |  41.1  |  -56.8  | -0.7  |  -0.3   |   2.2   |
| 软件开发 | 002528 |   英飞拓    |  41.0  |  -11.6  |  0.6  |   1.5   |   5.2   |
| 软件开发 | 300559 |  佳发教育   |  39.8  |  65.8   |  0.3  |   4.7   |   1.7   |
| 软件开发 | 300624 |  万兴科技   |  39.5  | -277.9  | -1.8  |   3.1   |   3.9   |
| 软件开发 | 301162 |  国能日新   |  39.4  |  185.8  | -4.4  |   5.3   |  18.1   |
| 软件开发 | 603990 |  麦迪科技   |  39.2  |  104.8  |  2.6  |   3.0   |   5.5   |
| 软件开发 | 688369 |  致远互联   |  38.9  |  -34.9  | -2.0  |   3.7   |   9.5   |
| 软件开发 | 688030 |  山石网科   |  38.5  |  -13.4  | -1.1  |   7.8   |  17.2   |
| 软件开发 | 300520 |  科大国创   |  38.5  |  40.9   | -1.8  |   2.5   |   4.8   |
| 软件开发 | 300550 |  和仁科技   |  38.1  |  169.8  |  0.1  |  -3.2   |  14.7   |
| 软件开发 | 300302 |  同有科技   |  38.1  |  104.2  | -1.3  |   2.8   |   6.3   |
| 软件开发 | 301213 |  观想科技   |  37.3  | -384.8  | -1.8  |   1.6   |   4.6   |
| 软件开发 | 688579 |  山大地纬   |  37.0  | -110.8  | -3.4  |   5.8   |  13.3   |
| 软件开发 | 300465 |   高伟达    |  37.0  |  470.9  | -1.8  |   1.1   |   2.9   |
| 软件开发 | 003029 |  吉大正元   |  36.7  |  -44.1  | -0.3  |   1.5   |   8.7   |
| 软件开发 | 603528 |  多伦科技   |  36.0  |  212.8  | -0.5  |   2.9   |   6.3   |
| 软件开发 | 603189 |  网达软件   |  34.7  |  35.5   | -0.5  |   2.1   |   7.3   |
| 软件开发 | 300561 |  汇金科技   |  34.3  |  145.9  | -3.1  |   1.0   |  -1.7   |
| 软件开发 | 002322 |  理工能科   |  33.3  |  43.2   | -1.3  |  -1.3   |   1.2   |
| 软件开发 | 300542 |  新晨科技   |  33.0  | -118.4  | -0.9  |   4.4   |   7.7   |
| 软件开发 | 300830 |   金现代    |  32.8  |  -41.3  | -1.4  |   1.9   |   5.1   |
| 软件开发 | 300996 |  普联软件   |  32.8  |  -69.8  | -4.2  |   3.1   |   2.4   |
| 软件开发 | 002178 |  延华智能   |  32.8  |  -95.0  | -3.0  |   3.8   |  -0.4   |
| 软件开发 | 002362 |  汉王科技   |  32.7  |  -36.2  | -0.7  |   3.4   |   6.1   |
| 软件开发 | 301248 |  杰创智能   |  32.2  |  70.4   | -1.0  |   5.3   |   8.2   |
| 软件开发 | 301185 |  鸥玛软件   |  31.1  |  159.8  | -4.3  |   2.7   |   1.6   |
| 软件开发 | 002279 |  久其软件   |  31.1  |  -31.2  | -0.7  |   1.4   |   2.6   |
| 软件开发 | 688296 |  和达科技   |  30.6  | -345.7  | -1.6  |   8.1   |  21.7   |
| 软件开发 | 301218 |  华是科技   |  30.2  | -279.4  | -2.5  |   1.8   |   0.8   |
| 软件开发 | 688060 |  云涌科技   |  29.8  |  122.7  | -2.3  |  10.3   |  21.3   |
| 软件开发 | 688058 |   宝兰德    |  29.5  |  51.9   | -3.7  |   5.7   |  15.3   |
| 软件开发 | 300469 |  信息发展   |  29.1  |  -24.9  | -2.0  |   1.8   |   4.6   |
| 软件开发 | 600654 |   *ST中安   |  27.6  |  -7.8   | -0.9  |  -0.5   |   4.4   |
| 软件开发 | 688590 |  新致软件   |  27.0  |  187.0  | -2.1  |   6.6   |  14.8   |
| 软件开发 | 300344 |  立方数科   |  26.8  |  -27.4  | -1.9  |   2.2   |   3.0   |
| 软件开发 | 002253 |  川大智胜   |  26.3  |  220.3  | -0.9  |   2.6   |   0.9   |
| 软件开发 | 688168 |   安博通    |  26.0  |  -28.9  | -1.4  |  19.4   |  33.0   |
| 软件开发 | 300209 |  天泽信息   |  25.9  |  -24.0  | -2.5  |  -1.4   |  -0.3   |
| 软件开发 | 603232 |  格尔软件   |  25.5  |  -11.4  | -1.2  |   2.4   |   7.5   |
| 软件开发 | 688227 |  品高股份   |  25.5  |  -46.1  | -1.4  |   5.7   |  16.0   |
| 软件开发 | 300730 |  科创信息   |  24.6  |  -33.2  | -2.1  |   1.9   |   4.7   |
| 软件开发 | 300935 |   盈建科    |  24.6  |  -81.9  | -1.5  |   4.2   |   7.6   |
| 软件开发 | 301159 |  三维天地   |  24.5  |  -26.1  | -1.8  |   4.3   |   5.9   |
| 软件开发 | 300556 |  丝路视觉   |  23.2  |  -20.1  | -2.1  |  -0.3   |  -1.4   |
| 软件开发 | 300608 |   思特奇    |  22.6  |  -10.4  | -1.2  |   2.2   |   1.2   |
| 软件开发 | 300810 |  中科海讯   |  22.2  |  218.4  | -1.3  |  -0.3   |   2.1   |
| 软件开发 | 301178 |   天亿马    |  22.1  |  562.8  | -0.3  |   2.8   |   5.3   |
| 软件开发 | 002072 |   *ST凯瑞   |  21.8  |  358.9  | -0.3  |   0.7   |   0.5   |
| 软件开发 | 300333 |  兆日科技   |  21.7  |  -30.6  | -0.8  |   1.4   |   4.4   |
| 软件开发 | 300588 |  熙菱信息   |  21.5  |  -34.9  | -3.1  |   0.4   |   3.8   |
| 软件开发 | 300605 |  恒锋信息   |  21.2  |  76.4   | -1.3  |   2.8   |  -0.6   |
| 软件开发 | 688171 |  纬德信息   |  20.7  |  53.4   | -2.8  |   9.9   |  24.0   |
| 软件开发 | 003007 |  直真科技   |  20.3  |  -18.1  | -1.6  |  -0.6   |  -2.5   |
| 软件开发 | 300380 |  安硕信息   |  20.3  |  -64.9  | -1.4  |   2.2   |   4.3   |
| 软件开发 | 300074 |  华平股份   |  19.4  | -167.6  | -0.8  |   1.1   |   0.0   |
| 软件开发 | 688109 |  品茗股份   |  17.9  |  -17.7  | -2.7  |   6.5   |  18.0   |
| 软件开发 | 688118 |  普元信息   |  17.8  |  -21.5  | -0.6  |   7.9   |  18.4   |
| 软件开发 | 000638 |   *ST万方   |  17.5  |  -70.9  | -1.6  |  -3.9   |   2.5   |
| 软件开发 | 688038 |  中科通达   |  17.2  |  -62.2  | -6.9  |   6.0   |  20.6   |
| 软件开发 | 300235 |  方直科技   |  16.9  |  32.7   | -1.1  |   0.9   |   1.4   |
| 软件开发 | 300789 |  唐源电气   |  16.9  |  100.5  | -1.2  |   2.9   |   5.2   |
| 软件开发 | 000004 |   ST国华    |  15.6  |  -31.1  | -3.6  |   3.7   |   6.3   |
| 软件开发 | 300845 |  捷安高科   |  15.0  |  -38.4  | -0.3  |   3.7   |   5.0   |
| 软件开发 | 688555 |  泽达易盛   |  12.6  |  -16.6  | -2.0  |   8.1   |  20.8   |
| 软件开发 | 301302 |  华如科技   |  0.0   |   0.0   |  0.0  |   0.0   |   0.0   |
+----------+--------+-------------+--------+---------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+-------------+--------+---------+-------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+---------+-------+---------+---------+
| 软件开发 | 688327 | 云从科技-UW | 265.8  |  -57.4  |  7.9  |  31.2   |  67.7   |
| 软件开发 | 300451 |  创业慧康   | 117.5  |  31.8   |  5.1  |   7.5   |   9.2   |
| 软件开发 | 000503 |  国新健康   |  82.3  |  -41.6  |  5.0  |   8.2   |   9.4   |
| 软件开发 | 300803 |   指南针    | 188.8  |  17.7   |  4.9  |  13.6   |  13.9   |
| 软件开发 | 002280 |  联络互动   |  79.2  |  -6.8   |  3.7  |   6.7   |   4.9   |
| 软件开发 | 603138 |  海量数据   |  46.2  | -107.3  |  3.0  |  20.6   |  23.5   |
| 软件开发 | 603990 |  麦迪科技   |  39.2  |  104.8  |  2.6  |   3.0   |   5.5   |
| 软件开发 | 600570 |  恒生电子   | 632.1  | -382.7  |  2.5  |   9.8   |  19.6   |
| 软件开发 | 300311 |   任子行    |  44.3  |  -25.6  |  2.5  |   5.1   |   7.3   |
| 软件开发 | 002063 |  远光软件   |  98.8  |  333.6  |  2.0  |   5.2   |  15.8   |
| 软件开发 | 688078 |  龙软科技   |  42.7  |  115.9  |  2.0  |  14.4   |  23.7   |
| 软件开发 | 300525 |  博思软件   |  82.1  |  -47.7  |  1.9  |   6.7   |   6.8   |
| 软件开发 | 300075 |  数字政通   |  84.9  |  55.9   |  1.9  |   6.1   |   4.0   |
| 软件开发 | 002410 |   广联达    | 632.3  |  145.3  |  1.2  |   1.8   |  14.4   |
| 软件开发 | 002439 |  启明星辰   | 187.1  |  -48.0  |  1.1  |   8.4   |  17.1   |
| 软件开发 | 688188 |  柏楚电子   | 333.4  |  81.1   |  0.8  |   9.0   |  10.3   |
| 软件开发 | 002528 |   英飞拓    |  41.0  |  -11.6  |  0.6  |   1.5   |   5.2   |
| 软件开发 | 603039 |   ST泛微    | 110.2  |  182.1  |  0.5  |  10.8   |  19.3   |
| 软件开发 | 300033 |   同花顺    | 476.0  |  106.4  |  0.5  |   5.0   |   7.3   |
| 软件开发 | 603508 |  思维列控   |  54.3  |  19.7   |  0.4  |   6.2   |   9.2   |
| 软件开发 | 300559 |  佳发教育   |  39.8  |  65.8   |  0.3  |   4.7   |   1.7   |
| 软件开发 | 603927 |   中科软    | 135.0  |  467.9  |  0.3  |   2.5   |   8.0   |
