[行业>三日涨幅]
+------------+--------+-------------+-------+--------+-------+---------+---------+
|    行业    |  代码  |    名称     | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+-------+--------+-------+---------+---------+
|  食品饮料  | 000716 |   黑芝麻    | 31.0  | 121.5  | -9.9  |   8.9   |  33.2   |
|  食品饮料  | 600962 |  国投中鲁   | 31.9  | 189.7  | -10.0 |   1.2   |   3.0   |
|  食品饮料  | 001318 |  阳光乳业   | 60.2  |  61.3  | -9.9  |  -27.0  |  -2.9   |
| 非金属材料 | 688119 |    C洛耐    | 115.9 |  74.5  | -18.8 |  103.6  |  103.6  |
|  通用设备  | 688251 |    C井松    | 28.8  |  44.5  | -13.2 |  35.8   |  35.8   |
|  通用设备  | 000595 |  宝塔实业   | 72.9  | -138.3 | -10.0 |  -10.9  |  18.5   |
|  软件开发  | 688225 |  亚信安全   | 93.5  | -29.9  | -14.2 |  13.1   |  23.6   |
|  电网设备  | 603333 |  尚纬股份   | 48.4  |  59.6  | -10.1 |  -9.7   |  -9.9   |
|  环保行业  | 603177 |  德创环保   | 44.2  | 109.1  | -10.0 |  -18.6  |  -15.8  |
|    游戏    | 002464 |   众应退    |  1.8  |  8.3   | -83.7 |  -83.7  |  -83.7  |
| 汽车零部件 | 688280 | 精进电动-UW | 76.7  | -22.0  | -16.0 |  20.9   |  31.6   |
| 汽车零部件 | 600081 |  东风科技   | 68.9  |  36.0  | -10.0 |  -8.0   |   2.7   |
| 汽车零部件 | 600960 |  渤海汽车   | 40.4  | -49.9  | -10.0 |  -10.7  |   7.9   |
|  汽车整车  | 000868 |  安凯客车   | 42.0  | -26.2  | -10.1 |   8.9   |  13.0   |
|  汽车整车  | 600213 |  亚星客车   | 24.4  | -14.0  | -9.8  |  -8.8   |  -13.0  |
|  文化传媒  | 002181 |  粤 传 媒   | 58.9  | 276.7  | -9.9  |  -17.2  |  10.5   |
| 房地产开发 | 600463 |  空港股份   | 22.1  | -108.1 | -10.0 |  -12.7  |  -10.4  |
|  家电行业  | 002723 |   金莱特    | 38.5  | 414.6  | -10.0 |  -11.9  |  -6.8   |
|  塑料制品  | 300325 |   德威退    |  2.4  |  -2.1  | -59.3 |  -59.3  |  -59.3  |
|  化肥行业  | 000611 |   天首退    |  3.6  | -11.4  | -69.2 |  -69.2  |  -69.2  |
|  化学原料  | 603663 |  三祥新材   | 37.7  |  30.9  | -9.8  |   9.2   |   9.3   |
|  化学制品  | 603683 |  晶华新材   | 19.7  | 1463.9 | -10.0 |   7.2   |  19.5   |
|  农牧饲渔  | 600313 |  农发种业   | 149.8 | 197.2  | -10.0 |  -9.5   |  -6.4   |
| 互联网服务 | 688509 |  正元地信   | 44.5  | -97.6  | -11.1 |   2.9   |  23.2   |
|  专用设备  | 603895 |  天永智能   | 27.6  |  74.5  | -9.8  |  -15.6  |  -9.9   |
+------------+--------+-------------+-------+--------+-------+---------+---------+
