[行业>三日涨幅]
+------------+--------+-------------+-------+--------+------+---------+---------+
|    行业    |  代码  |    名称     | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+-------+--------+------+---------+---------+
|  食品饮料  | 000716 |   黑芝麻    | 34.5  | 134.9  | 10.0 |  33.0   |  47.0   |
|  铁路公路  | 603069 |  海汽集团   | 67.3  | -103.2 | 10.0 |  33.1   |  77.1   |
|  钢铁行业  | 000655 |  金岭矿业   | 49.6  |  30.4  | 10.0 |  16.3   |  25.2   |
|  通用设备  | 002598 |  山东章鼓   | 33.5  |  41.6  | 10.0 |  29.2   |  34.0   |
|  通用设备  | 002426 |  胜利精密   | 70.2  | 224.2  | 10.3 |  10.3   |  12.7   |
|  通信设备  | 002897 |  意华股份   | 80.6  |  44.9  | 10.0 |  26.6   |  30.6   |
|  软件开发  | 688225 |  亚信安全   | 109.0 | -34.8  | 20.0 |  39.1   |  42.2   |
|  装修装饰  | 601886 |  江河集团   | 81.9  |  22.4  | 10.1 |  22.2   |  25.2   |
|  装修建材  | 002323 |  雅博股份   | 99.5  | 544.4  | 10.1 |  33.2   |  31.0   |
|  装修建材  | 002652 |  扬子新材   | 14.5  | -53.4  | 10.1 |   9.7   |   8.4   |
|  装修建材  | 000619 |  海螺新材   | 25.0  | -23.8  | 10.0 |   9.6   |  11.4   |
|  电网设备  | 002256 |  兆新股份   | 55.0  | -38.0  | 10.2 |   9.0   |   7.3   |
|  电源设备  | 688551 |   科威尔    | 34.9  | 116.9  | 12.2 |  32.7   |  36.0   |
|  电源设备  | 002630 |  华西能源   | 30.9  |  -5.0  | 10.1 |  20.2   |  18.6   |
|    燃气    | 603318 |  水发燃气   | 28.1  |  54.4  | 10.1 |  10.1   |  10.1   |
|    游戏    | 600652 |  退市游久   |  9.7  | -21.0  | 10.4 |   6.4   |  41.0   |
| 汽车零部件 | 688280 | 精进电动-UW | 91.4  | -26.2  | 20.0 |  52.5   |  57.3   |
| 汽车零部件 | 002265 |  西仪股份   | 62.2  | 2662.6 | 10.0 |  33.1   |  33.2   |
| 汽车零部件 | 605128 |  上海沿浦   | 27.0  |  57.8  | 10.0 |  18.4   |  26.8   |
| 汽车零部件 | 603319 |  DR湘油泵   | 32.6  |  26.0  | 10.0 |  13.7   |  19.4   |
|  汽车服务  | 000025 |   特  力Ａ   | 101.8 |  75.3  | 10.0 |   8.9   |  45.0   |
|  汽车整车  | 600006 |  东风汽车   | 164.6 |  34.7  | 10.0 |  33.2   |  33.2   |
|  汽车整车  | 000868 |  安凯客车   | 42.4  | -26.5  | 10.1 |  12.2   |  17.2   |
|  橡胶制品  | 000599 |  青岛双星   | 35.9  |  -6.1  | 10.0 |  -1.6   |  19.6   |
|  有色金属  | 002806 |  华锋股份   | 25.0  |  90.1  | 10.0 |  22.0   |  19.1   |
|  文化传媒  | 300280 |  紫天科技   | 41.0  |  15.7  | 11.6 |  13.2   |  15.3   |
|  工程建设  | 000628 |  高新发展   | 60.3  | 131.0  | 10.0 |  33.1   |  37.5   |
|  工程建设  | 002060 |  粤 水 电   | 110.7 |  58.8  | 10.0 |  11.6   |  17.0   |
|  工程建设  | 000010 |  美丽生态   | 32.1  | 405.7  | 10.1 |  11.1   |   0.5   |
|  塑料制品  | 603051 |  鹿山新材   | 50.0  |  38.1  | 10.0 |  33.1   |  42.5   |
|   半导体   | 001270 |    N铖昌    | 34.9  |  82.5  | 44.0 |  44.0   |  44.0   |
|   半导体   | 688173 |   希荻微    | 131.5 | 343.7  | 20.0 |  34.3   |  58.3   |
|   半导体   | 688216 |  气派科技   | 34.9  | -142.8 | 15.6 |  32.6   |  38.9   |
|  化学原料  | 603663 |  三祥新材   | 38.0  |  31.2  | 10.0 |  10.7   |  10.2   |
|  化学制药  | 000953 |  河化股份   | 25.7  | -448.9 | 10.0 |  20.0   |  14.7   |
|  包装材料  | 002565 |  顺灏股份   | 46.2  | -399.8 | 10.1 |   3.8   |   7.1   |
| 光学光电子 | 688150 |  莱特光电   | 127.4 |  98.8  | 20.0 |  72.8   |  124.4  |
| 光学光电子 | 688011 |  新光光电   | 25.9  | -72.9  | 20.0 |  26.8   |  32.0   |
|  光伏设备  | 603396 |  金辰股份   | 82.0  |  73.4  | 10.0 |  25.5   |  28.7   |
|  光伏设备  | 002218 |  拓日新能   | 82.4  | 196.2  | 10.0 |  23.0   |  24.6   |
|  仪器仪表  | 688320 |  禾川科技   | 41.3  |  52.1  | 13.5 |  42.5   |  47.1   |
| 互联网服务 | 600536 |  中国软件   | 245.5 | -59.9  | 10.0 |  22.6   |  26.7   |
| 互联网服务 | 600870 |  退市厦华   |  2.1  |  32.4  | 10.8 |  -88.5  |  -88.5  |
|    中药    | 603139 |  康惠制药   | 19.4  |  55.3  | 10.0 |  22.4   |  21.1   |
|  专用设备  | 688218 |  江苏北人   | 16.2  | -82.3  | 17.1 |  24.9   |  24.9   |
+------------+--------+-------------+-------+--------+------+---------+---------+
