[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 消费电子 | 002475 | 立讯精密 | 2497.0 | 34.6  | 0.9  |   5.2   |  13.7   |
| 消费电子 | 601138 | 工业富联 | 1871.0 | 14.4  | -0.1 |   0.2   |   2.7   |
| 消费电子 | 002241 | 歌尔股份 | 1354.0 | 37.5  | -1.5 |  -2.4   |   7.0   |
| 消费电子 | 600745 | 闻泰科技 | 848.3  | 42.2  | 0.8  |   3.4   |   9.4   |
| 消费电子 | 688036 | 传音控股 | 836.4  | 26.3  | 2.7  |   4.1   |  26.4   |
| 消费电子 | 300433 | 蓝思科技 | 515.7  | -31.3 | 0.3  |  -0.1   |   7.3   |
| 消费电子 | 002841 | 视源股份 | 509.1  | 41.3  | 1.6  |   6.2   |   9.4   |
| 消费电子 | 002600 | 领益智造 | 330.2  | 27.4  | 0.0  |  -0.8   |   1.7   |
| 消费电子 | 601231 | 环旭电子 | 287.1  | 16.4  | 0.7  |   0.5   |   5.3   |
| 消费电子 | 300866 | 安克创新 | 263.9  | 33.2  | -1.1 |   1.0   |   8.2   |
| 消费电子 | 300679 | 电连技术 | 174.1  | 49.4  | 0.2  |   2.9   |   8.8   |
| 消费电子 | 000021 |  深科技  | 173.8  | 17.9  | -1.3 |   0.1   |   4.1   |
| 消费电子 | 300083 |  创世纪  | 162.8  | 24.2  | -1.8 |   1.9   |  11.6   |
| 消费电子 | 002925 | 盈趣科技 | 160.5  | 25.8  | -0.2 |  -1.2   |   7.4   |
| 消费电子 | 002402 |  和而泰  | 160.0  | 55.9  | -4.4 |   6.9   |  14.8   |
| 消费电子 | 300136 | 信维通信 | 152.1  | 31.4  | -0.5 |  -0.4   |   4.9   |
| 消费电子 | 001308 | 康冠科技 | 149.5  | 16.4  | -1.2 |  -1.6   |   1.4   |
| 消费电子 | 002139 | 拓邦股份 | 138.4  | 36.8  | -0.5 |  -5.7   |  -0.1   |
| 消费电子 | 300115 | 长盈精密 | 116.0  | -14.8 | 0.0  |  -3.1   |  17.2   |
| 消费电子 | 002635 | 安洁科技 |  96.7  | 28.5  | 0.0  |   0.6   |   2.1   |
| 消费电子 | 688007 | 光峰科技 |  87.8  | 123.0 | -0.4 |  -0.4   |  14.6   |
