[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 贸易行业 | 600153 | 建发股份 | 388.9 |  9.6   | -0.2 |   0.3   |  -1.8   |
| 贸易行业 | 600739 | 辽宁成大 | 218.9 |  19.8  | 0.6  |   2.4   |   3.9   |
| 贸易行业 | 002505 | 鹏都农牧 | 202.7 | 149.7  | 4.6  |   7.8   |   7.4   |
| 贸易行业 | 002091 | 江苏国泰 | 180.9 |  10.4  | -2.2 |   2.4   |   6.7   |
| 贸易行业 | 600755 | 厦门国贸 | 166.2 |  5.9   | 0.1  |   0.9   |  -0.9   |
| 贸易行业 | 300755 | 华致酒行 | 157.1 |  15.8  | -1.4 |   2.6   |   7.9   |
| 贸易行业 | 601028 | 玉龙股份 | 149.6 |  49.4  | -0.7 |  -3.9   |  -2.2   |
| 贸易行业 | 002127 | 南极电商 | 144.3 |  25.9  | 4.6  |   8.7   |  11.6   |
| 贸易行业 | 600058 | 五矿发展 | 137.7 |  26.4  | 2.3  |  13.6   |  47.9   |
| 贸易行业 | 000061 | 农 产 品 | 111.3 |  39.8  | -0.8 |  -4.9   |   0.3   |
| 贸易行业 | 603071 | 物产环能 | 105.6 |  10.9  | 0.2  |  -1.9   |  -2.1   |
| 贸易行业 | 000829 | 天音控股 | 102.9 | 311.3  | -3.0 |  -1.2   |   6.9   |
| 贸易行业 | 000019 | 深粮控股 | 100.2 |  18.2  | -0.2 |  -7.3   |  -1.9   |
| 贸易行业 | 600710 |  苏美达  | 77.5  |  9.0   | -0.7 |   0.7   |   2.1   |
| 贸易行业 | 600278 | 东方创业 | 74.7  |  21.1  | -4.4 |   5.4   |   1.9   |
| 贸易行业 | 000151 | 中成股份 | 69.8  | 1237.8 | -1.4 |  15.3   |  28.6   |
| 贸易行业 | 600981 | 汇鸿集团 | 67.7  | 2219.2 | -0.7 |  -0.7   |  -2.3   |
| 贸易行业 | 000626 | 远大控股 | 66.5  | 149.2  | 0.0  |  -3.8   |   4.0   |
