[行业>三日涨幅]
+------------+--------+------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+------+---------+---------+
|  铁路公路  | 603069 |  海汽集团  |  74.0  | -113.5  | 10.0 |  33.1   |  77.2   |
|  钢铁行业  | 002478 |  常宝股份  |  47.9  |  30.8   | 9.9  |  23.5   |  27.3   |
|  钢铁行业  | 002443 |  金洲管道  |  47.6  |  24.6   | 10.0 |  12.4   |   6.8   |
|  通用设备  | 301125 |   N腾亚    |  26.3  |  52.9   | 61.5 |  61.5   |  61.5   |
|  通用设备  | 002444 |  巨星科技  | 215.4  |  29.4   | 10.0 |   8.7   |   9.2   |
|  通用设备  | 000880 |  潍柴重机  |  34.6  |  44.9   | 10.0 |   5.2   |  -6.2   |
|  软件开发  | 603138 |  海量数据  |  50.8  | -118.1  | 10.0 |  20.6   |  34.6   |
|  软件开发  | 603528 |  多伦科技  |  39.5  |  233.9  | 9.9  |  11.5   |  16.4   |
|  软件开发  | 300598 |  诚迈科技  |  69.3  |  -37.6  | 10.9 |  -3.3   |   0.4   |
|    证券    | 601788 |  光大证券  | 597.6  |  22.4   | 10.0 |  12.1   |  14.2   |
|  装修装饰  | 002482 |  广田集团  |  32.3  |  -10.5  | 9.9  |   9.9   |  -9.1   |
|  综合行业  | 000909 |  数源科技  |  68.4  |  350.9  | 10.0 |   8.9   |  44.9   |
|  纺织服装  | 000982 |  中银绒业  |  92.9  | -460.5  | 10.1 |  14.7   |  16.6   |
|  石油行业  | 600777 |  新潮能源  | 183.6  |   8.7   | 10.2 |  23.9   |  15.4   |
|  电源设备  | 002630 |  华西能源  |  41.2  |  -6.7   | 10.1 |  33.2   |  60.1   |
|  电力行业  | 001896 |  豫能控股  |  88.5  |  -4.8   | 9.9  |  21.1   |  22.7   |
|  电力行业  | 000899 |  赣能股份  |  66.4  | -1636.6 | 10.0 |  20.5   |  19.5   |
|  电力行业  | 000690 |  宝新能源  | 107.1  |  713.7  | 10.1 |  14.4   |  16.3   |
|  电力行业  | 000966 |  长源电力  | 177.1  |  55.4   | 10.1 |  11.2   |  18.2   |
|  电力行业  | 002608 |  江苏国信  | 252.8  |  17.5   | 10.0 |   9.8   |  12.2   |
|  电力行业  | 600868 |  梅雁吉祥  |  56.6  |  482.9  | 10.0 |   9.2   |  10.4   |
|  生物制品  | 688331 |  荣昌生物  | 234.0  |  -20.4  | 13.0 |  24.0   |  39.4   |
|  生物制品  | 688235 | 百济神州-U | 1394.0 |  -12.2  | 9.7  |  14.6   |  21.8   |
|    燃气    | 600903 |  贵州燃气  |  89.2  |  -36.0  | 10.0 |  11.2   |  12.8   |
|  煤炭行业  | 600123 |  兰花科创  | 207.7  |   5.9   | 10.0 |  19.4   |  15.8   |
|  煤炭行业  | 600508 |  上海能源  | 148.6  |   4.8   | 10.0 |  13.5   |  10.5   |
|  煤炭行业  | 600188 |  兖矿能源  | 2109.0 |   7.9   | 10.0 |  10.4   |   9.8   |
|  煤炭行业  | 600403 |  大有能源  | 145.6  |  15.1   | 9.9  |  10.3   |  -9.6   |
|  煤炭行业  | 600397 |  安源煤业  |  35.9  |  -5.7   | 10.0 |   9.3   |  10.0   |
|    游戏    | 600892 |  大晟文化  |  24.9  |  431.0  | 10.1 |   9.3   |   8.8   |
| 汽车零部件 | 002284 |  亚太股份  |  72.0  |  75.6   | 10.0 |  30.0   |  39.4   |
| 汽车零部件 | 002265 |  西仪股份  |  65.0  | 2782.6  | 10.0 |  15.0   |  30.8   |
| 汽车零部件 | 603982 |  泉峰汽车  |  48.5  |  68.6   | 10.0 |   6.3   |  14.7   |
| 汽车零部件 | 601279 |  英利汽车  | 103.0  |  349.6  | 10.1 |  -1.6   |   9.9   |
|  汽车服务  | 600335 |  国机汽车  | 126.5  |  448.4  | 10.0 |  10.4   |   7.7   |
|  汽车服务  | 000025 |  特  力Ａ   | 112.0  |  82.8   | 10.0 |   8.9   |  45.0   |
|  汽车服务  | 600653 |  申华控股  |  46.3  |  507.6  | 10.2 |   3.5   |  -1.2   |
|  汽车整车  | 600418 |  江淮汽车  | 291.3  |  -25.1  | 10.0 |   9.5   |  16.3   |
|  汽车整车  | 601777 |  力帆科技  | 229.1  |  112.6  | 9.9  |   5.6   |   9.0   |
|  汽车整车  | 000572 |  海马汽车  | 101.0  |  -41.4  | 10.0 |   4.4   |  10.2   |
|  橡胶制品  | 000599 |  青岛双星  |  47.7  |  -8.2   | 10.0 |  33.0   |  30.9   |
|  橡胶制品  | 600469 |  风神股份  |  38.9  |  -23.6  | 9.9  |   3.5   |   8.1   |
|  有色金属  | 301266 |   N宇邦    |  47.3  |  58.8   | 69.5 |  69.5   |  69.5   |
|  有色金属  | 600338 |  西藏珠峰  | 243.0  |  74.5   | 10.0 |  16.1   |  16.0   |
|  有色金属  | 002578 |  闽发铝业  |  57.4  |  89.7   | 10.0 |   4.3   |  30.9   |
|  旅游酒店  | 601007 |  金陵饭店  |  39.5  | -106.5  | 10.0 |   6.8   |   1.2   |
|  文化传媒  | 605168 |   三人行   | 105.5  |  43.9   | 10.0 |  13.3   |  31.0   |
|  文化传媒  | 002803 |  吉宏股份  |  51.0  |  29.8   | 10.0 |   9.5   |   7.2   |
