[行业>三日涨幅]
+--------------+--------+-------------+-------+---------+------+---------+---------+
|     行业     |  代码  |    名称     | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+-------------+-------+---------+------+---------+---------+
|   食品饮料   | 300741 |  华宝股份   | 159.6 |  18.5   | -3.6 |   1.8   |   2.8   |
|   食品饮料   | 605300 |  XD佳禾食   | 59.0  |  85.7   | -3.1 |   1.2   |   5.7   |
|   食品饮料   | 001215 |  千味央厨   | 43.5  |  37.9   | -4.3 |  -0.2   |   1.4   |
|   食品饮料   | 603696 |  安记食品   | 23.5  |  202.1  | -3.2 |  -2.9   |  -7.2   |
|   食品饮料   | 002329 |  皇氏集团   | 43.4  |  14.2   | -3.2 |  -3.5   |   9.1   |
|   食品饮料   | 688089 |   嘉必优    | 38.6  |  41.5   | -5.4 |  -4.1   |   6.1   |
|   食品饮料   | 603517 |  绝味食品   | 294.4 |  82.6   | -4.2 |  -4.4   |  -3.6   |
|   食品饮料   | 600191 |   *ST华资   | 23.3  |  -17.0  | -4.9 |  -14.3  |  -17.5  |
|   风电设备   | 300443 |  金雷股份   | 93.2  |  50.6   | -3.5 |   2.8   |  14.6   |
|   风电设备   | 002487 |  大金重工   | 177.3 |  71.1   | -4.2 |  -3.5   |   6.4   |
|   风电设备   | 603063 |  禾望电气   | 130.8 |  48.8   | -3.0 |  -5.2   |  -0.6   |
|   风电设备   | 002531 |  天顺风能   | 253.1 |  194.5  | -5.7 |  -6.9   |   9.4   |
|  非金属材料  | 688281 |  华秦科技   | 253.9 |  107.0  | -3.5 |   2.7   |   9.7   |
|   铁路公路   | 600650 |  锦江在线   | 68.6  |   3.0   | -4.8 |   5.4   |   5.5   |
|   酿酒行业   | 600084 |  中葡股份   | 61.9  | -854.2  | -3.7 |   0.2   |  -7.5   |
|   通用设备   | 600114 |  东睦股份   | 48.9  |  177.5  | -4.0 |   4.2   |  14.4   |
|   通用设备   | 002552 |  宝鼎科技   | 43.1  |  655.9  | -4.9 |   3.5   |   5.1   |
|   通用设备   | 300953 |  震裕科技   | 116.3 |  51.9   | -3.4 |   2.4   |  13.3   |
|   通用设备   | 300554 |  三超新材   | 13.7  |  -60.5  | -4.4 |   2.3   |   5.7   |
|   通用设备   | 002132 |  恒星科技   | 72.6  |  58.3   | -3.4 |   1.4   |  -0.8   |
|   通用设备   | 688577 |  浙海德曼   | 21.3  |  35.9   | -3.1 |   0.0   |  12.9   |
|   通用设备   | 002943 |  宇晶股份   | 44.3  |  60.4   | -3.6 |  -1.2   |   7.1   |
|   通用设备   | 603617 |  君禾股份   | 31.2  |  35.1   | -3.2 |  -1.4   |  -2.2   |
|   通用设备   | 301137 |  哈焊华通   | 34.6  |  101.4  | -5.5 |  -2.0   |  -13.7  |
|   通用设备   | 603315 |  福鞍股份   | 71.5  |  155.5  | -4.0 |  -3.3   |  12.6   |
|   通用设备   | 603985 |  恒润股份   | 97.3  |  192.6  | -5.6 |  -9.2   |   3.4   |
|   通用设备   | 301107 |  瑜欣电子   | 29.0  |  39.9   | -4.9 |  -10.5  |  -5.5   |
|   通信设备   | 600083 |   *ST博信   | 23.5  |  12.3   | -4.0 |   0.1   |   0.0   |
|   通信设备   | 688668 |  鼎通科技   | 54.7  |  42.4   | -3.1 |   0.0   |  12.2   |
|   通信设备   | 688418 |  震有科技   | 18.9  |  -12.8  | -3.3 |  -2.0   |  13.6   |
|   通信设备   | 688159 |  有方科技   | 20.1  |  -79.5  | -4.5 |  -2.2   |   3.8   |
|   通信设备   | 300565 |  科信技术   | 18.1  |  -35.7  | -3.1 |  -2.2   |   9.3   |
|   通信设备   | 300710 |  万隆光电   | 29.8  | 2932.0  | -3.5 |  -2.9   |   8.2   |
|   通信设备   | 300762 |  上海瀚讯   | 67.8  |  -83.3  | -3.3 |  -3.3   |   3.0   |
|   通信设备   | 002296 |  辉煌科技   | 27.3  |  35.4   | -3.2 |  -7.5   |  12.5   |
|   通信服务   | 002544 |  普天科技   | 166.1 |  216.6  | -3.6 |   0.5   |  -1.5   |
|   通信服务   | 688682 |   霍莱沃    | 44.1  |  392.8  | -3.9 |   0.0   |   9.4   |
|   通信服务   | 688081 |  兴图新科   | 14.9  | -199.1  | -3.7 |  -3.3   |   7.1   |
|   软件开发   | 300451 |  创业慧康   | 113.4 |  30.7   | -3.4 |   3.4   |   2.5   |
|   软件开发   | 688078 |  龙软科技   | 40.4  |  109.7  | -5.4 |   1.9   |  11.4   |
|   软件开发   | 688188 |  柏楚电子   | 317.6 |  77.3   | -4.7 |   1.9   |   3.2   |
|   软件开发   | 688207 | 格灵深瞳-U  | 53.4  |  -91.2  | -3.1 |   1.8   |  24.7   |
