[行业>市值]
+------------+--------+------------+--------+---------+-------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+-------+---------+---------+
| 互联网服务 | 300059 |  东方财富  | 3152.0 |  36.3   | -0.4  |  -0.4   |   5.3   |
| 互联网服务 | 600845 |  宝信软件  | 816.6  |  44.9   | -1.4  |  -2.0   |   3.0   |
| 互联网服务 | 000938 |  紫光股份  | 505.9  |  34.0   | -2.8  |  -2.9   |  -0.6   |
| 互联网服务 | 300496 |  中科创达  | 489.2  |  78.5   | -2.1  |  -4.8   |   4.7   |
| 互联网服务 | 603613 |  国联股份  | 426.8  |  68.8   | -1.1  |   2.3   |  11.0   |
| 互联网服务 | 300682 |  朗新科技  | 293.7  |  142.8  | -2.4  |  -3.6   |  10.9   |
| 互联网服务 | 600536 |  中国软件  | 262.5  |  -64.0  | -2.8  |  17.6   |  31.0   |
| 互联网服务 | 600271 |  航天信息  | 210.1  |  87.3   |  1.2  |   0.7   |   2.2   |
| 互联网服务 | 300383 |  光环新网  | 177.1  |  22.9   | -2.3  |  -3.3   |   0.8   |
| 互联网服务 | 600131 |  国网信通  | 164.6  |  83.9   | -1.9  |  -5.9   |  -5.0   |
| 互联网服务 | 002373 |  千方科技  | 142.8  |  -13.9  | -1.9  |  -5.3   |   3.6   |
| 互联网服务 | 688568 |  中科星图  | 141.0  | -3646.1 | -1.5  |  -3.6   |   2.4   |
| 互联网服务 | 002453 |  华软科技  | 134.1  | -829.9  | -2.4  |  -2.3   |   8.8   |
| 互联网服务 | 300339 |  润和软件  | 133.8  |  106.3  | -7.1  |  -1.6   |   6.7   |
| 互联网服务 | 000997 |  新 大 陆  | 130.6  |  39.0   | -1.9  |  -3.3   |   1.5   |
| 互联网服务 | 688066 |  航天宏图  | 129.2  |  -65.2  | -0.9  |  -2.0   |   9.4   |
| 互联网服务 | 600718 |  东软集团  | 128.8  | -106.9  | -2.5  |  -4.9   |   3.3   |
| 互联网服务 | 002195 |  二三四五  | 124.8  |  29.2   | -0.9  |  -1.4   |   1.4   |
| 互联网服务 | 300017 |  网宿科技  | 123.8  |  60.0   | -2.3  |  -3.4   |  -0.6   |
| 互联网服务 | 002131 |  利欧股份  | 119.6  |  -3.6   | -2.2  |  -2.8   |   0.6   |
| 互联网服务 | 002368 |  太极股份  | 110.4  |  147.5  | -3.0  |  -1.3   |   1.5   |
| 互联网服务 | 000555 |  神州信息  | 108.4  |  87.0   | -2.3  |  -2.2   |   0.6   |
| 互联网服务 | 300212 |   易华录   | 108.3  |  78.9   | -2.8  |  -3.2   |   0.6   |
| 互联网服务 | 300168 |  万达信息  | 108.2  |  202.1  | -0.6  |  -1.3   |   3.3   |
| 互联网服务 | 300674 |  宇信科技  | 107.4  | 1680.6  | -2.9  |  -4.6   |  -1.9   |
| 互联网服务 | 600850 |  电科数字  | 107.1  |  37.4   | -3.3  |  -5.3   |   0.1   |
| 互联网服务 | 603171 |  XD税友股  | 106.3  |  87.3   | -6.4  |  -2.9   |   1.5   |
| 互联网服务 | 300166 |  东方国信  | 100.3  |  60.5   | -3.0  |  -3.4   |  -0.7   |
| 互联网服务 | 688088 |  虹软科技  |  99.8  |  101.7  | -5.7  |  -12.3  |   2.6   |
| 互联网服务 | 300687 |  赛意信息  |  97.1  |  174.1  | -3.4  |  -5.0   |   2.0   |
| 互联网服务 | 600446 |  金证股份  |  96.0  |  -62.4  |  0.2  |  -0.4   |   6.1   |
| 互联网服务 | 603881 |   数据港   |  83.3  |  186.3  | -3.9  |  -3.3   |   0.2   |
| 互联网服务 | 600751 |  海航科技  |  76.8  |  23.6   | -1.9  |  -3.3   |  -3.3   |
| 互联网服务 | 300170 |  汉得信息  |  76.8  |   5.5   | -2.4  |  -2.6   |   2.4   |
| 互联网服务 | 300079 |  数码视讯  |  70.2  |  536.6  | -3.4  |  -4.3   |  -1.6   |
| 互联网服务 | 300738 |  奥飞数据  |  69.9  |  41.4   | -2.9  |  -4.0   |  -0.3   |
| 互联网服务 | 688158 |  优刻得-W  |  68.5  |  -12.1  | -4.8  |  -11.4  |  10.2   |
| 互联网服务 | 603636 |  南威软件  |  66.2  |  -62.6  | -2.4  |   0.0   |  10.2   |
| 互联网服务 | 002990 |  盛视科技  |  65.0  |  32.1   |  3.5  |   1.0   |   2.2   |
| 互联网服务 | 600410 |  华胜天成  |  62.1  |  -13.8  | -3.2  |  -2.6   |   1.6   |
| 互联网服务 | 300226 |  上海钢联  |  59.1  |  38.1   | -2.3  |  -5.9   |   3.0   |
| 互联网服务 | 002649 |  博彦科技  |  58.9  |  28.1   | -1.2  |  -2.3   |   0.5   |
| 互联网服务 | 300846 |  首都在线  |  58.8  |  -91.8  | -5.8  |  -2.9   |   3.8   |
| 互联网服务 | 300271 |  华宇软件  |  58.3  |  -20.8  | -2.2  |  -3.0   |   0.7   |
| 互联网服务 | 600797 |  浙大网新  |  57.1  |  215.3  | -2.6  |  -4.3   |  -0.7   |
| 互联网服务 | 688636 |   智明达   |  55.6  |  157.8  | -3.6  |  -8.9   |  -1.3   |
| 互联网服务 | 300287 |   飞利信   |  55.1  |  244.0  | -3.5  |  -4.2   |  -2.0   |
| 互联网服务 | 002232 |  启明信息  |  54.4  |  162.0  | -3.5  |  -8.7   |  -1.6   |
| 互联网服务 | 002421 |  达实智能  |  54.2  |  104.3  | -2.8  |  -3.4   |  -1.7   |
| 互联网服务 | 002777 |  久远银海  |  54.1  |  85.8   | -2.8  |  -3.8   |  -1.3   |
| 互联网服务 | 600228 |  返利科技  |  53.1  | -219.2  | -8.0  |  -4.6   |  -4.9   |
| 互联网服务 | 300872 |  天阳科技  |  53.1  |  198.0  | -0.8  |  -4.2   |   0.8   |
| 互联网服务 | 300523 |  辰安科技  |  53.0  |  191.9  | -1.1  |  -3.1   |  -1.7   |
| 互联网服务 | 300634 |  彩讯股份  |  53.0  |  31.8   | -2.4  |  -3.5   |   0.3   |
| 互联网服务 | 300324 |  旋极信息  |  51.0  |  -29.5  | -2.0  |  -3.0   |   2.4   |
| 互联网服务 | 002609 |  捷顺科技  |  48.8  |  -25.3  | -2.9  |  -3.7   |   0.7   |
| 互联网服务 | 002530 |  金财互联  |  48.5  |  -30.5  | -1.1  |  -8.7   |  -3.3   |
| 互联网服务 | 300020 |  银江技术  |  48.2  |  24.1   | -2.1  |   0.7   |   5.2   |
| 互联网服务 | 002766 |  索菱股份  |  47.7  | -304.5  | -4.1  |  -9.7   |  -8.1   |
| 互联网服务 | 300766 |  每日互动  |  45.4  |  68.8   | -2.2  |  -3.6   |   0.8   |
| 互联网服务 | 600756 |  浪潮软件  |  44.3  | 1737.8  | -5.8  |  -2.6   |  -0.9   |
| 互联网服务 | 300248 |   新开普   |  44.3  |  -61.4  | -3.4  |  -5.3   |  -3.0   |
| 互联网服务 | 002657 |  中科金财  |  43.7  |  -56.8  |  3.8  |   2.3   |   2.3   |
| 互联网服务 | 002315 |  焦点科技  |  43.5  |  26.8   | -3.7  |  -3.9   |  -2.3   |
| 互联网服务 | 300078 |  思创医惠  |  42.9  |  34.6   | -3.3  |  -2.8   |   1.4   |
| 互联网服务 | 688509 |  正元地信  |  42.3  |  -92.7  | -3.2  |  -15.5  |   1.9   |
| 互联网服务 | 300941 |  创识科技  |  42.2  |  62.9   |  0.8  |  -0.2   |   6.9   |
| 互联网服务 | 600571 |   信雅达   |  40.5  |  -13.7  | -1.9  |  -2.1   |  -0.1   |
| 互联网服务 | 603869 |  新智认知  |  40.2  |  553.5  | -2.8  |  -3.4   |  -0.8   |
| 互联网服务 | 300532 |  今天国际  |  38.8  |  21.7   | -4.7  |  -3.5   |   0.0   |
| 互联网服务 | 688365 |  光云科技  |  38.4  |  -31.2  | -4.3  |  -9.3   |   8.6   |
| 互联网服务 | 002912 |  中新赛克  |  38.4  |  -17.5  | -2.2  |  -4.0   |   1.8   |
| 互联网服务 | 300541 |  先进数通  |  37.5  |  -84.0  | -2.7  |  -0.7   |   2.7   |
| 互联网服务 | 300895 |  铜牛信息  |  35.9  |  100.5  | -3.7  |  -4.4   |  -0.3   |
| 互联网服务 | 002642 |  荣联科技  |  35.8  |  283.0  | -3.8  |  -3.2   |  -0.6   |
| 互联网服务 | 300785 |   值得买   |  35.8  |  -41.1  | -6.5  |  -8.0   |  -4.5   |
| 互联网服务 | 002474 |  榕基软件  |  35.6  |  78.0   | -3.2  |  -3.4   |  -1.0   |
| 互联网服务 | 603887 |  城地香江  |  35.5  |  27.2   | -1.6  |  -1.9   |   0.2   |
| 互联网服务 | 300678 |  中科信息  |  34.9  |  109.0  |  3.5  |   1.0   |   5.7   |
| 互联网服务 | 688258 |  卓易信息  |  34.2  |  53.2   | -1.6  |   3.6   |  53.8   |
| 互联网服务 | 002401 |  中远海科  |  33.9  |  17.1   | -5.1  |  -10.4  |  -11.5  |
| 互联网服务 | 300448 |  浩云科技  |  33.4  |  212.6  | -4.9  |  -7.4   |  -5.1   |
| 互联网服务 | 300288 |  朗玛信息  |  33.0  |  54.4   | -2.7  |  -4.1   |   0.3   |
| 互联网服务 | 603918 |  金桥信息  |  32.6  | -119.0  | -4.0  |   2.4   |   6.5   |
| 互联网服务 | 002095 |  生 意 宝  |  32.5  |  139.2  | -2.6  |  -5.3   |  -1.3   |
| 互联网服务 | 300231 |  银信科技  |  32.2  |  34.0   | -2.0  |  -2.5   |   0.7   |
| 互联网服务 | 002380 |  科远智慧  |  32.0  |  174.9  | 10.0  |  33.0   |  38.1   |
| 互联网服务 | 300044 |  *ST赛为   |  30.0  |  173.1  |  0.0  |   4.8   |  12.7   |
| 互联网服务 | 300645 |  正元智慧  |  29.3  |  -80.9  | -0.2  |   1.5   |   5.1   |
| 互联网服务 | 301110 |  青木股份  |  28.6  |  44.7   | -5.0  |  -4.5   |  -1.1   |
| 互联网服务 | 300290 |  荣科科技  |  28.6  |  -30.7  | -2.0  |  -4.5   |   1.8   |
| 互联网服务 | 300250 |  初灵信息  |  28.4  |  211.3  | -6.2  |   5.3   |   9.8   |
| 互联网服务 | 688039 |  当虹科技  |  28.2  |  -47.1  | -7.5  |  -12.2  |   1.2   |
| 互联网服务 | 002331 |  皖通科技  |  27.7  |  -56.2  | -2.5  |  -3.8   |   4.5   |
| 互联网服务 | 300440 |  运达科技  |  27.5  |  -22.4  | -2.7  |  -4.7   |  -1.4   |
| 互联网服务 | 300096 |   易联众   |  27.3  |  -9.8   | -3.1  |  -1.6   |   0.8   |
