[行业>市值]
+------------+--------+------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+--------+------+---------+---------+
| 光学光电子 | 000725 |  京东方Ａ   | 1415.0 |  8.1   | -1.6 |  -2.9   |  -2.9   |
| 光学光电子 | 600703 |  三安光电  | 917.4  |  53.5  | -4.2 |  -5.6   |  -0.4   |
| 光学光电子 | 000100 |  TCL科技   | 593.5  |  11.0  | -2.3 |  -3.6   |  -3.6   |
| 光学光电子 | 688538 | 和辉光电-U | 373.6  | -49.5  | -2.2 |  -5.0   |  -1.1   |
| 光学光电子 | 000050 |  深天马Ａ   | 227.8  |  72.1  | -1.9 |  -4.2   |  -1.8   |
| 光学光电子 | 002456 |   欧菲光   | 179.8  | -24.1  | -3.7 |  -6.4   |  -3.7   |
| 光学光电子 | 688055 |  龙腾光电  | 178.0  |  28.7  | -3.8 |  -10.7  |   7.7   |
| 光学光电子 | 300088 |  长信科技  | 165.0  |  22.7  | -3.7 |  -6.8   |  -2.0   |
| 光学光电子 | 300296 |   利亚德   | 155.9  |  33.9  | -2.7 |  -5.1   |  -1.4   |
| 光学光电子 | 600707 |  彩虹股份  | 155.4  |  -5.2  | -3.4 |  -4.4   |  -2.9   |
| 光学光电子 | 002273 |  水晶光电  | 149.6  |  32.8  | -2.9 |  -7.2   |  -3.7   |
| 光学光电子 | 002036 |  联创电子  | 140.8  |  87.8  | -3.7 |  -6.9   |   0.5   |
| 光学光电子 | 002745 |   木林森   | 134.9  |  18.5  | -2.3 |  -3.4   |   0.6   |
| 光学光电子 | 688150 |  莱特光电  | 116.3  |  90.2  | -0.7 |  -19.5  |  31.5   |
| 光学光电子 | 603297 |  永新光学  | 101.9  |  47.1  | -4.2 |  -11.8  |   7.3   |
| 光学光电子 | 000413 |  东旭光电  |  99.1  |  -4.8  | -2.2 |  -3.8   |  -1.1   |
| 光学光电子 | 000727 |  冠捷科技  |  98.3  |  20.7  | -3.1 |  -4.8   |  -3.6   |
| 光学光电子 | 600651 |  飞乐音响  |  96.5  | -39.9  | 4.9  |   6.1   |   5.2   |
| 光学光电子 | 600363 |  联创光电  |  92.8  |  36.9  | -3.5 |  -5.4   |  -3.6   |
| 光学光电子 | 002387 |   维信诺   |  90.6  |  -3.9  | -2.2 |  -2.5   |   2.2   |
| 光学光电子 | 002217 |   合力泰   |  88.5  | -11.1  | -2.1 |  -4.0   |   0.0   |
| 光学光电子 | 688127 |  蓝特光学  |  86.3  | 100.2  | -2.7 |  -6.8   |   2.5   |
| 光学光电子 | 300323 |  华灿光电  |  85.5  | 299.7  | -3.1 |  -5.5   |  -1.7   |
| 光学光电子 | 600552 |  凯盛科技  |  80.1  |  79.0  | -3.6 |  -3.4   |  -1.4   |
| 光学光电子 | 300319 |  麦捷科技  |  72.3  |  41.3  | -4.3 |  -7.6   |  -6.2   |
| 光学光电子 | 603703 |  盛洋科技  |  66.5  | 319.6  | -2.3 |   7.4   |  10.5   |
| 光学光电子 | 002222 |  福晶科技  |  64.6  |  30.7  | -2.3 |  -2.4   |   3.9   |
| 光学光电子 | 300232 |  洲明科技  |  64.4  |  20.8  | -2.6 |  -3.9   |   0.4   |
| 光学光电子 | 300790 |  宇瞳光学  |  62.1  |  36.2  | 0.0  |  -4.0   |   3.5   |
| 光学光电子 | 300102 |  乾照光电  |  60.7  | -210.7 | -2.6 |  -4.8   |  -0.7   |
| 光学光电子 | 300708 |  聚灿光电  |  59.9  |  60.5  | -4.2 |  -7.6   |  -3.7   |
| 光学光电子 | 300303 |  聚飞光电  |  56.5  |  27.0  | -4.1 |  -5.6   |  -2.8   |
| 光学光电子 | 002876 |   三利谱   |  55.1  |  20.4  | -3.6 |   2.3   |  10.9   |
