[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 旅游酒店 | 601888 | 中国中免 | 3649.0 |  35.6  | -2.4 |   3.3   |   5.8   |
| 旅游酒店 | 600754 | 锦江酒店 | 556.4  | -115.9 | -2.8 |   2.1   |  -3.7   |
| 旅游酒店 | 300144 | 宋城演艺 | 325.8  | -211.1 | -3.3 |  -2.0   |  -2.1   |
| 旅游酒店 | 600258 | 首旅酒店 | 240.6  | -25.9  | -3.9 |  -0.7   |  -3.4   |
| 旅游酒店 | 600138 |  中青旅  |  78.2  | -17.5  | -2.4 |  -3.6   |  -4.4   |
| 旅游酒店 | 600054 | 黄山旅游 |  73.2  | -21.9  | -2.4 |  -4.4   |  -5.6   |
| 旅游酒店 | 002059 | 云南旅游 |  67.9  | -183.6 | -4.1 |  -5.4   |  -6.0   |
| 旅游酒店 | 000524 | 岭南控股 |  64.8  | -21.3  | -5.5 |  -9.2   |  -7.0   |
| 旅游酒店 | 301073 | 君亭酒店 |  59.2  | 377.4  | -6.0 |  -10.5  |  -5.3   |
| 旅游酒店 | 002707 | 众信旅游 |  52.6  | -23.1  | -3.6 |  -4.5   |  -6.0   |
| 旅游酒店 | 605108 |  同庆楼  |  44.9  |  49.3  | -5.4 |  -5.9   |  -9.0   |
| 旅游酒店 | 603136 |  天目湖  |  44.3  | -51.6  | -4.8 |  -7.7   |  -11.9  |
| 旅游酒店 | 000796 |  ST凯撒  |  38.9  | -15.4  | -0.6 |   5.2   |  -4.2   |
| 旅游酒店 | 000428 | 华天酒店 |  38.1  | -28.7  | -4.1 |  -1.8   |  -1.3   |
| 旅游酒店 | 300859 | 西域旅游 |  37.5  | -53.4  | -4.7 |  -6.2   |   1.8   |
| 旅游酒店 | 601007 | 金陵饭店 |  37.3  | -100.5 | -5.6 |   0.6   |  -5.6   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  37.3  | 210.8  | -3.4 |  -3.1   |  -5.3   |
| 旅游酒店 | 002033 | 丽江股份 |  36.3  | -32.1  | -3.1 |  -5.2   |  -6.4   |
| 旅游酒店 | 000978 | 桂林旅游 |  28.7  | -10.1  | -3.5 |  -2.9   |  -3.8   |
| 旅游酒店 | 600749 | 西藏旅游 |  26.7  | -29.6  | -3.9 |  -6.7   |  -6.3   |
| 旅游酒店 | 600706 | 曲江文旅 |  25.3  | -12.5  | -3.0 |  -6.2   |  -9.9   |
| 旅游酒店 | 002306 | 中科云网 |  24.9  | -995.8 | -2.3 |  -3.6   |  -4.5   |
| 旅游酒店 | 002186 | 全 聚 德 |  24.8  | -13.1  | -3.2 |  -4.6   |  -6.5   |
| 旅游酒店 | 000430 |  张家界  |  24.0  |  -9.7  | -3.4 |  -3.7   |  -5.7   |
| 旅游酒店 | 000721 | 西安饮食 |  23.8  | -11.7  | -3.3 |  -4.2   |  -5.3   |
| 旅游酒店 | 603199 | 九华旅游 |  23.6  | -106.5 | -3.6 |  -5.1   |  -5.4   |
| 旅游酒店 | 603099 |  长白山  |  21.3  | -15.4  | -3.6 |  -5.2   |  -4.2   |
| 旅游酒店 | 000610 | 西安旅游 |  20.4  | -15.0  | 0.2  |  -1.6   |  -2.3   |
| 旅游酒店 | 300756 | 金马游乐 |  19.5  | 167.8  | -2.5 |  -3.3   |   0.5   |
| 旅游酒店 | 002159 | 三特索道 |  17.6  | -20.1  | -2.8 |  -7.0   |  -4.1   |
| 旅游酒店 | 600593 | 大连圣亚 |  17.0  | -14.2  | -2.0 |  -6.5   |  -6.0   |
| 旅游酒店 | 600555 | *ST海创  |  15.9  | -26.3  | 0.0  |   0.0   |   0.0   |
| 旅游酒店 | 000613 | 东海A退  |  2.0   |  45.1  | 10.0 |  -74.2  |  -74.2  |
| 旅游酒店 | 300178 |  腾邦退  |  1.4   |  -0.2  | -4.2 |  -4.2   |  -25.8  |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 旅游酒店 | 000613 | 东海A退  |  2.0   |  45.1  | 10.0 |  -74.2  |  -74.2  |
| 旅游酒店 | 000610 | 西安旅游 |  20.4  | -15.0  | 0.2  |  -1.6   |  -2.3   |
| 旅游酒店 | 600555 | *ST海创  |  15.9  | -26.3  | 0.0  |   0.0   |   0.0   |
| 旅游酒店 | 000796 |  ST凯撒  |  38.9  | -15.4  | -0.6 |   5.2   |  -4.2   |
