[行业>市值]
+------+--------+----------+-------+--------+------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+------+---------+---------+
| 游戏 | 002555 | 三七互娱 | 487.9 |  16.1  | 0.0  |   2.9   |   1.6   |
| 游戏 | 002602 | 世纪华通 | 355.5 |  42.5  | -0.6 |  -1.4   |   2.8   |
| 游戏 | 002624 | 完美世界 | 272.8 |  8.1   | 2.9  |   1.7   |   3.5   |
| 游戏 | 603444 |  吉比特  | 257.0 |  18.4  | 1.6  |   5.2   |  10.6   |
| 游戏 | 300418 | 昆仑万维 | 178.3 |  11.9  | -2.5 |  -2.1   |   0.9   |
| 游戏 | 002558 | 巨人网络 | 174.5 |  16.1  | -2.0 |  -1.6   |  -0.1   |
| 游戏 | 002517 | 恺英网络 | 118.6 |  11.9  | 0.2  |   0.7   |   2.2   |
| 游戏 | 300459 |  汤姆猫  | 118.5 |  16.2  | -2.9 |  -3.2   |  -4.0   |
| 游戏 | 300315 | 掌趣科技 | 96.2  |  75.9  | -4.4 |   5.1   |  12.9   |
| 游戏 | 600633 | 浙数文化 | 87.3  |  43.5  | -0.9 |  -0.4   |   0.3   |
| 游戏 | 002174 | 游族网络 | 83.7  |  26.2  | -1.8 |  -3.3   |  -0.8   |
| 游戏 | 300002 | 神州泰岳 | 78.4  |  31.1  | -2.4 |  -1.2   |   0.5   |
| 游戏 | 300113 | 顺网科技 | 71.9  |  57.4  | -3.5 |  -3.6   |  -0.5   |
| 游戏 | 002354 | 天娱数科 | 68.5  | 187.4  | 2.0  |   1.7   |   2.0   |
| 游戏 | 300031 | 宝通科技 | 60.4  |  21.9  | -2.6 |  -4.4   |  -4.2   |
| 游戏 | 300518 |  盛讯达  | 56.9  | 189.2  | 0.1  |   0.5   |  -0.3   |
| 游戏 | 002425 | 凯撒文化 | 55.1  |  83.4  | 1.6  |   3.4   |   4.3   |
| 游戏 | 002445 | 中南文化 | 52.1  |  13.3  | -1.4 |  -3.1   |  -0.5   |
| 游戏 | 603258 | 电魂网络 | 50.4  |  17.6  | -2.2 |  -1.7   |  -0.1   |
| 游戏 | 300052 |  中青宝  | 46.4  | 267.2  | -3.1 |  -5.5   |  -1.4   |
| 游戏 | 300299 | 富春股份 | 41.5  |  84.9  | -5.4 |  -4.5   |  -5.4   |
| 游戏 | 600715 | 文投控股 | 40.8  | -12.8  | -3.1 |  -4.3   |  -6.0   |
| 游戏 | 300494 | 盛天网络 | 38.4  |  18.3  | -3.0 |  -3.1   |  -0.3   |
| 游戏 | 300533 | 冰川网络 | 37.5  |  4.3   | -2.8 |  -8.5   |  -5.0   |
| 游戏 | 300043 | 星辉娱乐 | 34.2  | -89.8  | -2.8 |  -3.9   |  -3.9   |
| 游戏 | 300148 | 天舟文化 | 26.7  | -113.7 | -3.0 |  -3.0   |  -2.1   |
| 游戏 | 002168 | 惠程科技 | 25.1  | -21.8  | -2.2 |  -2.8   |   0.3   |
| 游戏 | 600892 | 大晟文化 | 24.7  | 426.2  | -1.1 |   6.8   |   7.3   |
| 游戏 | 300467 | 迅游科技 | 23.2  | -30.4  | -3.9 |  -6.1   |   0.7   |
| 游戏 | 300051 | 三五互联 | 21.9  | -389.1 | 0.2  |   6.0   |   5.8   |
| 游戏 | 002113 |  ST天润  | 18.3  | -25.5  | -3.2 |   0.8   |   1.7   |
| 游戏 | 600652 | 退市游久 |  9.5  | -20.5  | -4.2 |  -2.6   |   3.6   |
| 游戏 | 002447 |  晨鑫退  |  2.9  |  -5.9  | 0.0  |  -4.8   |  -81.8  |
| 游戏 | 002464 |  众应退  |  1.5  |  7.1   | -6.5 |  -86.1  |  -86.1  |
+------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+-------+--------+------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+------+---------+---------+
| 游戏 | 002624 | 完美世界 | 272.8 |  8.1   | 2.9  |   1.7   |   3.5   |
| 游戏 | 002354 | 天娱数科 | 68.5  | 187.4  | 2.0  |   1.7   |   2.0   |
| 游戏 | 002425 | 凯撒文化 | 55.1  |  83.4  | 1.6  |   3.4   |   4.3   |
| 游戏 | 603444 |  吉比特  | 257.0 |  18.4  | 1.6  |   5.2   |  10.6   |
| 游戏 | 002517 | 恺英网络 | 118.6 |  11.9  | 0.2  |   0.7   |   2.2   |
| 游戏 | 300051 | 三五互联 | 21.9  | -389.1 | 0.2  |   6.0   |   5.8   |
| 游戏 | 300518 |  盛讯达  | 56.9  | 189.2  | 0.1  |   0.5   |  -0.3   |
| 游戏 | 002555 | 三七互娱 | 487.9 |  16.1  | 0.0  |   2.9   |   1.6   |
| 游戏 | 002447 |  晨鑫退  |  2.9  |  -5.9  | 0.0  |  -4.8   |  -81.8  |
| 游戏 | 002602 | 世纪华通 | 355.5 |  42.5  | -0.6 |  -1.4   |   2.8   |
| 游戏 | 600633 | 浙数文化 | 87.3  |  43.5  | -0.9 |  -0.4   |   0.3   |
| 游戏 | 600892 | 大晟文化 | 24.7  | 426.2  | -1.1 |   6.8   |   7.3   |
| 游戏 | 002445 | 中南文化 | 52.1  |  13.3  | -1.4 |  -3.1   |  -0.5   |
| 游戏 | 002174 | 游族网络 | 83.7  |  26.2  | -1.8 |  -3.3   |  -0.8   |
| 游戏 | 002558 | 巨人网络 | 174.5 |  16.1  | -2.0 |  -1.6   |  -0.1   |
| 游戏 | 002168 | 惠程科技 | 25.1  | -21.8  | -2.2 |  -2.8   |   0.3   |
| 游戏 | 603258 | 电魂网络 | 50.4  |  17.6  | -2.2 |  -1.7   |  -0.1   |
| 游戏 | 300002 | 神州泰岳 | 78.4  |  31.1  | -2.4 |  -1.2   |   0.5   |
| 游戏 | 300418 | 昆仑万维 | 178.3 |  11.9  | -2.5 |  -2.1   |   0.9   |
| 游戏 | 300031 | 宝通科技 | 60.4  |  21.9  | -2.6 |  -4.4   |  -4.2   |
