[行业>市值]
+----------+--------+-------------+-------+---------+-------+---------+---------+
|   行业   |  代码  |    名称     | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+-------+---------+-------+---------+---------+
| 软件开发 | 688111 |  金山办公   | 964.3 |  96.1   | -7.1  |  -6.6   |   2.1   |
| 软件开发 | 002230 |  科大讯飞   | 871.4 |  196.6  | -3.0  |  -3.3   |   3.1   |
| 软件开发 | 600588 |  用友网络   | 662.2 |  -42.1  | -4.5  |  -3.8   |  -0.4   |
| 软件开发 | 002410 |   广联达    | 628.3 |  144.4  | -0.9  |   0.5   |  -1.9   |
| 软件开发 | 600570 |  恒生电子   | 604.9 | -366.2  | -3.4  |  -1.9   |   3.2   |
| 软件开发 | 601360 |   三六零    | 593.8 |  66.9   | -1.7  |  -1.9   |   0.4   |
| 软件开发 | 300033 |   同花顺    | 477.9 |  106.8  | -1.2  |   0.9   |   4.2   |
| 软件开发 | 300454 |   深信服    | 418.7 |  -20.2  | -1.7  |  -2.2   |   6.8   |
| 软件开发 | 688777 |  中控技术   | 402.4 |  168.0  | -0.5  |  -0.5   |   6.2   |
| 软件开发 | 688561 |  奇安信-U   | 341.0 |  -17.7  | -4.8  |  -9.3   |   3.8   |
| 软件开发 | 002405 |  四维图新   | 329.4 |  698.8  | -1.6  |  -3.5   |   5.6   |
| 软件开发 | 002153 |  石基信息   | 317.4 |  258.5  | -1.8  |   1.5   |   3.3   |
| 软件开发 | 688188 |  柏楚电子   | 303.9 |  73.9   | -4.3  |  -8.1   |   0.0   |
| 软件开发 | 002268 |  卫 士 通   | 295.8 | -192.3  | -4.1  |  -3.9   |  -2.6   |
| 软件开发 | 688327 | 云从科技-UW | 218.1 |  -47.1  | -6.7  |  -11.4  |  12.3   |
| 软件开发 | 301236 |  软通动力   | 199.7 |  52.3   | -5.0  |  -6.1   |   1.9   |
| 软件开发 | 002065 |  东华软件   | 193.0 |  40.5   | -1.9  |  -2.6   |   1.7   |
| 软件开发 | 300803 |   指南针    | 190.3 |  17.8   | -0.8  |   5.8   |  11.4   |
| 软件开发 | 002439 |  启明星辰   | 186.5 |  -47.8  | -1.4  |   0.7   |   8.7   |
| 软件开发 | 300253 |  卫宁健康   | 181.3 |  142.7  | -3.4  |  -4.2   |   0.0   |
| 软件开发 | 688083 |  中望软件   | 168.8 | -214.0  | -6.3  |  -11.5  |   3.7   |
| 软件开发 | 300773 |   拉卡拉    | 141.9 |  13.9   | -1.9  |  -5.1   |  -2.6   |
| 软件开发 | 603927 |   中科软    | 133.6 |  463.0  | -2.5  |  -0.8   |   4.5   |
| 软件开发 | 688232 |  新点软件   | 125.4 |  -86.3  | -4.2  |  -9.8   |   1.6   |
| 软件开发 | 601519 |   大智慧    | 122.2 |  -65.1  |  4.0  |   6.6   |  11.5   |
| 软件开发 | 002212 |   天融信    | 115.6 |  -44.6  | -2.5  |  -4.0   |   5.2   |
| 软件开发 | 300451 |  创业慧康   | 109.4 |  29.6   | -3.5  |  -2.1   |  -0.4   |
| 软件开发 | 600728 |  佳都科技   | 108.5 |  73.2   | -2.7  |  -2.7   |   0.5   |
| 软件开发 | 603039 |   ST泛微    | 104.5 |  172.6  | -1.6  |  -4.7   |   7.2   |
| 软件开发 | 300188 |  美亚柏科   | 104.4 |  -45.2  | -2.6  |  -3.0   |  -0.9   |
| 软件开发 | 688023 |  安恒信息   | 99.4  |  -13.1  | -5.1  |  -10.7  |   6.7   |
| 软件开发 | 300768 |  迪普科技   | 96.2  |  53.0   | -3.0  |  -5.6   |   3.9   |
| 软件开发 | 002063 |  远光软件   | 95.0  |  320.6  | -2.5  |  -1.9   |   4.8   |
| 软件开发 | 600602 |  云赛智联   | 92.7  |  31.6   | -3.3  |  -6.9   |  -2.3   |
| 软件开发 | 300036 |  超图软件   | 88.8  |  189.9  | -2.6  |  -3.5   |  -0.1   |
| 软件开发 | 688225 |  亚信安全   | 88.8  |  -28.4  | -5.0  |  -18.5  |  13.4   |
| 软件开发 | 688318 |  财富趋势   | 87.6  |  48.8   | -0.5  |  -1.9   |  19.1   |
| 软件开发 | 300075 |  数字政通   | 84.8  |  55.8   | -3.1  |   1.8   |   4.8   |
| 软件开发 | 300379 |   东方通    | 81.2  |  -43.2  | -6.6  |  -2.8   |   6.6   |
| 软件开发 | 300369 |  绿盟科技   | 80.3  |  -17.5  | -2.7  |  -7.0   |   3.0   |
| 软件开发 | 002280 |  联络互动   | 80.3  |  -6.8   |  0.3  |   5.1   |   5.4   |
| 软件开发 | 300525 |  博思软件   | 79.6  |  -46.3  | -2.5  |  -1.1   |   3.1   |
| 软件开发 | 300229 |   拓尔思    | 77.9  |  92.7   | -2.7  |  -2.3   |   3.1   |
| 软件开发 | 002261 |  拓维信息   | 77.5  |  47.9   | -4.8  |  -2.4   |   0.5   |
| 软件开发 | 000503 |  国新健康   | 77.3  |  -39.1  | -3.7  |  -1.4   |   2.8   |
| 软件开发 | 300085 |   银之杰    | 70.6  |  -52.8  |  4.0  |   2.7   |   6.5   |
| 软件开发 | 300799 |  左江科技   | 66.9  |  -64.0  |  0.6  |  -2.0   |  19.7   |
| 软件开发 | 300348 |  长亮科技   | 65.9  | -167.0  | -2.7  |  -3.3   |   1.4   |
| 软件开发 | 300579 |  数字认证   | 65.4  |  781.7  | -2.0  |  -3.1   |   2.0   |
| 软件开发 | 300377 |   赢时胜    | 65.2  |  -44.3  |  1.5  |   0.1   |   4.2   |
| 软件开发 | 300663 |  科蓝软件   | 64.9  |  272.5  | -2.4  |  -6.3   |  -3.4   |
| 软件开发 | 300352 |   北信源    | 64.2  |  655.4  | -3.3  |  -1.6   |   3.8   |
| 软件开发 | 300598 |  诚迈科技   | 63.9  |  -34.7  | -7.8  |   2.0   |  -8.5   |
| 软件开发 | 002987 |   京北方    | 61.3  |  63.2   |  0.9  |  -3.3   |   0.5   |
| 软件开发 | 300098 |   高新兴    | 57.2  |  -17.7  | -3.0  |  -5.5   |   0.9   |
| 软件开发 | 603206 |  嘉环科技   | 56.5  |  49.3   | -5.4  |  -6.5   |  -8.3   |
| 软件开发 | 603508 |  思维列控   | 53.9  |  19.6   | -0.4  |  -0.3   |   7.2   |
| 软件开发 | 301179 |  泽宇智能   | 52.2  |  46.9   | -4.7  |  -1.4   |   4.6   |
| 软件开发 | 300468 |  四方精创   | 51.4  |  140.3  | -3.3  |  -3.6   |  -0.6   |
| 软件开发 | 301117 |  佳缘科技   | 51.3  | -298.2  | -3.3  |  -3.6   |   5.9   |
| 软件开发 | 688207 | 格灵深瞳-U  | 50.8  |  -86.7  | -4.9  |  -8.5   |   1.6   |
| 软件开发 | 301153 |  中科江南   | 50.4  | -1092.7 |  0.8  |  -7.5   |  -5.7   |
| 软件开发 | 300366 |  创意信息   | 48.1  |  36.4   | -4.1  |  -4.5   |  -0.2   |
| 软件开发 | 603138 |  海量数据   | 48.0  | -111.7  | -5.4  |   7.2   |  28.0   |
| 软件开发 | 603859 |  能科科技   | 47.8  |  38.1   | -1.3  |  -3.9   |   2.6   |
| 软件开发 | 300552 |  万集科技   | 46.4  |  376.5  | -4.0  |  -2.3   |  22.9   |
| 软件开发 | 688588 |  凌志软件   | 46.4  |  32.6   | -2.9  |  -7.3   |   8.9   |
| 软件开发 | 301221 |  光庭信息   | 46.3  |  809.0  | -6.4  |  -9.8   |   6.8   |
| 软件开发 | 300386 |  飞天诚信   | 46.2  | -179.1  |  3.7  |   1.4   |   5.8   |
| 软件开发 | 688201 |  信安世纪   | 46.1  | -736.5  | -4.7  |  -10.2  |   3.0   |
| 软件开发 | 688095 |  福昕软件   | 45.9  |  229.9  | -4.2  |  -9.0   |   7.8   |
| 软件开发 | 002298 |  中电兴发   | 45.8  |  17.1   | -2.2  |  -4.0   |  -1.0   |
| 软件开发 | 300659 |  中孚信息   | 45.2  |  -8.4   | -4.8  |  -5.1   |   2.6   |
| 软件开发 | 000948 |  南天信息   | 45.1  |  -85.0  | -2.8  |  -3.0   |   0.9   |
| 软件开发 | 300925 |  法本信息   | 43.6  |  41.4   | -2.5  |  -3.3   |   1.9   |
| 软件开发 | 300249 |   依米康    | 42.9  |  506.6  | -7.0  |  -5.3   |  -2.5   |
| 软件开发 | 300311 |   任子行    | 42.8  |  -24.8  | -1.2  |  -0.9   |   3.2   |
| 软件开发 | 603383 |  顶点软件   | 42.2  |  499.6  |  0.3  |  -0.1   |   5.8   |
| 软件开发 | 300378 |  鼎捷软件   | 41.9  |  -61.8  | -1.9  |  -5.1   |   3.4   |
| 软件开发 | 300047 |  天源迪科   | 41.6  |  152.8  | -2.8  |  -3.4   |  -0.6   |
| 软件开发 | 002528 |   英飞拓    | 40.8  |  -11.5  | -0.3  |   0.0   |   2.7   |
| 软件开发 | 688078 |  龙软科技   | 40.0  |  108.7  | -0.9  |  -4.4   |  12.2   |
| 软件开发 | 300365 |  恒华科技   | 39.8  |  -55.0  | -2.4  |  -3.9   |  -1.3   |
| 软件开发 | 300624 |  万兴科技   | 38.8  | -272.8  | -3.1  |  -3.6   |   1.3   |
| 软件开发 | 300559 |  佳发教育   | 38.4  |  63.5   | -2.7  |  -3.2   |   2.2   |
| 软件开发 | 603528 |  多伦科技   | 38.0  |  225.1  | -3.8  |   5.2   |  10.8   |
| 软件开发 | 300550 |  和仁科技   | 37.9  |  168.7  | -1.2  |  -0.5   |   5.1   |
| 软件开发 | 300520 |  科大国创   | 37.5  |  39.8   | -2.7  |  -3.7   |   1.7   |
| 软件开发 | 300302 |  同有科技   | 37.2  |  101.8  | -3.3  |  -3.5   |   0.8   |
| 软件开发 | 688369 |  致远互联   | 37.2  |  -33.4  | -3.0  |  -6.2   |   2.7   |
| 软件开发 | 688030 |  山石网科   | 36.6  |  -12.8  | -4.1  |  -6.0   |   6.7   |
| 软件开发 | 300465 |   高伟达    | 36.5  |  464.1  | -2.3  |  -3.2   |   0.2   |
| 软件开发 | 301162 |  国能日新   | 36.3  |  171.0  | -3.6  |  -12.0  |  -4.0   |
