[行业>三日涨幅]
+--------------+--------+----------+--------+--------+------+---------+---------+
|     行业     |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+--------+--------+------+---------+---------+
|   食品饮料   | 000972 | *ST中基  |  19.0  | -95.1  | 5.1  |   9.8   |   8.4   |
|  非金属材料  | 603688 | 石英股份 | 371.9  | 106.4  | 3.4  |  14.2   |  24.2   |
|  非金属材料  | 603612 | 索通发展 | 122.0  |  19.3  | 4.7  |   5.8   |  18.5   |
|  非金属材料  | 603260 | 合盛硅业 | 1086.0 |  13.2  | 5.0  |   1.3   |  10.3   |
|     银行     | 001227 | 兰州银行 | 281.9  |  14.4  | 4.4  |   6.0   |   6.2   |
|     银行     | 603323 | 苏农银行 |  93.8  |  7.6   | 3.2  |   4.8   |   3.0   |
|   采掘行业   | 300157 | 恒泰艾普 |  31.1  | -16.3  | 4.8  |   5.8   |   5.1   |
|   采掘行业   | 002554 |  惠博普  |  49.4  | 109.9  | 4.6  |   4.6   |   2.2   |
|   采掘行业   | 002828 | 贝肯能源 |  15.7  |  -1.9  | 3.3  |   4.1   |   2.1   |
|   采掘行业   | 300084 | 海默科技 |  18.6  | -17.5  | 3.2  |   4.1   |   4.3   |
|   酿酒行业   | 600197 |  伊力特  | 142.3  |  32.8  | 4.7  |   6.7   |   5.3   |
|   造纸印刷   | 002229 | 鸿博股份 |  30.1  | -58.9  | 4.7  |   7.3   |  -1.5   |
|   通用设备   | 300091 |  金通灵  |  65.2  | 684.2  | 3.5  |   8.7   |  12.6   |
|   通用设备   | 002426 | 胜利精密 |  74.7  | 238.4  | 3.8  |   6.4   |  17.3   |
|   通用设备   | 603028 |  赛福天  |  26.1  |  70.5  | 3.2  |   0.6   |   6.2   |
|   通信设备   | 600734 | *ST实达  | 115.9  | -196.5 | 3.7  |  11.5   |   1.3   |
|   通信设备   | 003040 |  楚天龙  |  91.7  |  56.2  | 4.4  |   1.5   |   4.2   |
|   软件开发   | 601519 |  大智慧  | 122.2  | -65.1  | 4.0  |   6.6   |  11.5   |
|   软件开发   | 300085 |  银之杰  |  70.6  | -52.8  | 4.0  |   2.7   |   6.5   |
|   软件开发   | 300386 | 飞天诚信 |  46.2  | -179.1 | 3.7  |   1.4   |   5.8   |
|   贸易行业   | 000151 | 中成股份 |  72.4  | 1283.2 | 3.7  |  12.5   |  21.2   |
|   贸易行业   | 600153 | 建发股份 | 407.4  |  10.1  | 4.8  |   6.7   |   2.6   |
|   贸易行业   | 600301 | 南化股份 |  39.5  | 227.2  | 5.3  |   5.0   |   3.1   |
|   贸易行业   | 600149 | 廊坊发展 |  22.1  | -79.9  | 3.8  |   2.1   |   5.6   |
|    贵金属    | 002155 | 湖南黄金 | 117.2  |  31.3  | 4.8  |   5.2   |   6.9   |
|    贵金属    | 002716 | 金贵银业 |  62.1  | -159.1 | 3.7  |   4.1   |   5.2   |
|     证券     | 601878 | 浙商证券 | 404.5  |  31.3  | 4.2  |   7.4   |   8.0   |
|   装修建材   | 300715 | 凯伦股份 |  50.5  | 147.2  | 5.8  |  11.9   |  14.2   |
|   装修建材   | 300198 | 纳川股份 |  39.5  | -70.4  | 3.5  |   4.9   |   7.6   |
|   装修建材   | 002457 | 青龙管业 |  34.1  | -418.9 | 3.9  |   1.8   |   8.8   |
|   航运港口   | 601228 |  广州港  | 246.5  |  19.9  | 3.4  |  12.1   |  12.8   |
|   综合行业   | 002758 | 浙农股份 |  74.8  |  13.4  | 4.8  |   5.1   |   3.8   |
|   纺织服装   | 603877 |  太平鸟  |  95.0  |  12.5  | 3.6  |   1.3   |   6.9   |
|   纺织服装   | 603055 | 台华新材 | 110.3  |  24.0  | 3.2  |  -1.6   |  18.2   |
|   石油行业   | 600777 | 新潮能源 | 191.1  |  9.1   | 4.1  |  26.0   |  19.6   |
|   石油行业   | 600759 |  ST洲际  |  56.1  |  18.1  | 5.1  |  15.9   |  13.2   |
|   石油行业   | 600256 | 广汇能源 | 741.3  |  8.4   | 4.6  |  10.9   |   7.0   |
|   石油行业   | 000637 | 茂化实华 |  25.5  | -84.5  | 4.3  |  -0.2   |   7.2   |
|   电网设备   | 600089 | 特变电工 | 936.9  |  7.5   | 3.3  |   6.4   |   9.9   |
|   电网设备   | 300444 | 双杰电气 |  38.4  | -126.3 | 4.3  |   2.9   |   5.8   |
|   电网设备   | 301120 | 新特电气 |  43.1  |  70.1  | 5.7  |   0.9   |   6.6   |
|   电源设备   | 300376 |  易事特  | 176.0  |  44.6  | 3.1  |   0.1   |   4.8   |
|   电子元件   | 300516 |  久之洋  |  52.3  | 152.1  | 3.3  |   1.5   |   9.5   |
|   电力行业   | 000966 | 长源电力 | 183.9  |  57.5  | 3.9  |  16.1   |  20.1   |
|   电力行业   | 600719 |  ST热电  |  21.7  |  14.1  | 5.1  |  15.8   |  14.8   |
|   电力行业   | 600969 | 郴电国际 |  34.8  |  29.4  | 4.2  |   1.4   |   2.4   |
|   珠宝首饰   | 300945 |  曼卡龙  |  29.9  |  36.4  | 3.2  |  -1.9   |   1.8   |
|   玻璃玻纤   | 002163 | 海南发展 | 114.0  | -67.0  | 4.7  |  -2.5   |  -3.6   |
|   环保行业   | 600388 |  ST龙净  | 126.3  |  17.8  | 5.0  |   4.2   |  -3.0   |
|   环保行业   | 000920 | 沃顿科技 |  36.0  |  44.2  | 3.3  |   0.1   |   3.0   |
|   环保行业   | 300495 | *ST美尚  |  18.7  | -11.7  | 3.8  |  -4.8   |  -8.3   |
|   物流行业   | 600180 |  瑞茂通  |  89.8  |  8.1   | 3.5  |   4.7   |   6.8   |
|     燃气     | 300483 | 首华燃气 |  41.1  |  24.1  | 3.2  |   9.2   |  10.8   |
|     燃气     | 300332 | 天壕环境 |  89.6  |  16.9  | 4.0  |   8.7   |  12.6   |
|     燃气     | 603706 | 东方环宇 |  31.6  |  12.6  | 3.0  |   5.4   |   7.5   |
|   煤炭行业   | 600740 | 山西焦化 | 170.1  |  7.9   | 5.7  |   9.6   |  12.9   |
|   煤炭行业   | 600792 | 云煤能源 |  44.9  | -22.5  | 4.6  |   9.1   |  11.3   |
|   煤炭行业   | 000571 |  ST大洲  |  17.6  |  12.5  | 4.8  |   8.5   |   8.5   |
|  汽车零部件  | 301298 |  C东利   |  45.1  |  91.5  | 5.0  |  12.0   |  142.5  |
|  汽车零部件  | 000981 | *ST银亿  | 166.0  |  8.8   | 4.4  |   9.2   |  17.7   |
|   水泥建材   | 003037 | 三和管桩 |  62.0  | 287.1  | 4.1  |  -1.0   |  -0.7   |
|   有色金属   | 300986 | 志特新材 |  45.0  | 216.1  | 3.2  |   1.2   |   7.7   |
|   文化传媒   | 002803 | 吉宏股份 |  53.0  |  30.9  | 3.8  |  11.6   |  13.0   |
|   文化传媒   | 300364 | 中文在线 |  77.0  | -119.1 | 4.4  |   4.0   |   0.4   |
|     教育     | 600880 | 博瑞传播 |  65.5  | 163.8  | 4.4  |   8.3   |   8.7   |
|     教育     | 300688 | 创业黑马 |  31.9  | -41.0  | 3.7  |   6.4   |   5.1   |
|  房地产开发  | 002208 | 合肥城建 |  66.3  |  47.9  | 3.1  |  11.5   |   9.8   |
|  房地产开发  | 600393 |  ST粤泰  |  48.4  | -16.8  | 5.0  |   7.3   |  20.9   |
|  房地产开发  | 000609 | 中迪投资 |  15.7  | -10.1  | 4.6  |   4.8   |   3.0   |
|  房地产开发  | 600048 | 保利发展 | 1865.0 |  18.4  | 3.3  |   4.3   |   0.5   |
|   工程建设   | 603815 | 交建股份 |  60.0  |  47.1  | 4.5  |   6.0   |   4.6   |
|   工程建设   | 601868 | 中国能建 | 1021.0 |  26.6  | 3.4  |   4.7   |   5.2   |
|   工程建设   | 002062 | 宏润建设 |  74.2  |  18.0  | 6.0  |   4.2   |   5.0   |
|   工程建设   | 002586 | *ST围海  |  51.6  | -70.4  | 4.9  |   3.7   |   1.8   |
|   工程建设   | 600939 | 重庆建工 |  90.3  |  24.9  | 4.4  |   2.8   |   0.4   |
|   工程建设   | 601669 | 中国电建 | 1219.0 |  11.0  | 3.6  |   1.5   |   2.0   |
|   工程建设   | 603843 | 正平股份 |  33.4  | -123.3 | 3.0  |   0.6   |  -1.0   |
|   工程建设   | 600769 | 祥龙电业 |  31.0  | 307.3  | 3.4  |   0.2   |   1.9   |
|   工程建设   | 301038 | 深水规院 |  33.1  | -17.1  | 3.9  |  -1.6   |  -2.8   |
| 工程咨询服务 | 600629 | 华建集团 |  63.4  |  18.1  | 4.8  |   3.3   |  -2.1   |
