[行业>三日涨幅]
+------------+--------+----------+--------+---------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+-------+---------+---------+
|  食品饮料  | 002770 |  科迪退  |  5.7   |   5.6   | -10.3 |  -10.3  |  -78.1  |
|  铁路公路  | 600650 | 锦江在线 |  61.7  |   2.7   | -10.0 |  -5.7   |  -6.0   |
|  通用设备  | 688251 |  C井松   |  25.5  |  39.4   | -13.4 |  -23.1  |  20.4   |
|  通用设备  | 000595 | 宝塔实业 |  61.3  | -116.3  | -9.9  |  -24.3  |  -17.6  |
|  软件开发  | 603990 | 麦迪科技 |  34.6  |  92.5   | -10.0 |  -9.3   |  -12.1  |
| 计算机设备 | 300367 |  网力退  |  3.3   |  -0.9   | -37.8 |  -37.8  |  -37.8  |
|  装修建材  | 002652 | 扬子新材 |  14.4  |  -53.0  | -9.9  |  -0.7   |   8.9   |
|  装修建材  | 000619 | 海螺新材 |  24.5  |  -23.4  | -9.9  |  -10.9  |   6.2   |
|  装修建材  | 002066 | 瑞泰科技 |  27.8  |  38.5   | -10.0 |  -20.9  |  -13.8  |
|  电力行业  | 600011 | 华能国际 | 1025.0 |  -26.8  | -9.9  |  -8.3   |  -11.6  |
|  环保行业  | 300140 | 中环装备 |  30.8  | -168.4  | -12.2 |  -6.1   |  12.7   |
|  环保行业  | 603177 | 德创环保 |  35.8  |  88.3   | -10.0 |  -27.1  |  -34.7  |
| 汽车零部件 | 600960 | 渤海汽车 |  37.0  |  -45.6  | -9.7  |  -17.6  |  -10.2  |
|  汽车服务  | 000025 | 特  力Ａ  | 100.8  |  74.5   | -10.0 |   8.9   |  18.6   |
|  汽车整车  | 600006 | 东风汽车 | 181.0  |  38.1   | -10.0 |   0.0   |  33.1   |
|  汽车整车  | 000868 | 安凯客车 |  39.6  |  -24.8  | -10.0 |  -15.1  |  13.2   |
|  橡胶制品  | 000599 | 青岛双星 |  43.0  |  -7.3   | -9.9  |   8.9   |  25.5   |
|  文化传媒  | 300038 |  数知退  |  4.6   |  -5.7   | -51.2 |  -51.2  |  -51.2  |
|  家用轻工  | 301101 | 明月镜片 |  65.0  |  73.5   | -9.9  |   0.4   |  -1.7   |
|  化学制药  | 300558 | 贝达药业 | 204.7  |  61.2   | -9.8  |   0.4   |   5.1   |
|  化学制品  | 301092 | 争光股份 |  44.4  |  56.1   | -11.3 |  27.7   |  36.2   |
| 互联网服务 | 301001 | 凯淳股份 |  21.2  |  -57.0  | -11.0 |  -9.9   |  -6.7   |
|  专用设备  | 688328 |  深科达  |  20.7  |  93.2   | -12.8 |   0.9   |  19.0   |
|  专用设备  | 688718 |  唯赛勃  |  31.3  | -2951.0 | -13.4 |  -8.3   |  29.8   |
+------------+--------+----------+--------+---------+-------+---------+---------+
