[行业>市值]
+----------+--------+----------+-------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+-------+---------+---------+
| 医药商业 | 601607 | 上海医药 | 669.8 | 13.4  |  1.8  |  -1.7   |   2.3   |
| 医药商业 | 603939 | 益丰药房 | 340.4 | 31.3  |  4.0  |   1.9   |   1.8   |
| 医药商业 | 603233 |  大参林  | 265.7 | 17.3  |  3.9  |   0.7   |   2.9   |
| 医药商业 | 600998 |  九州通  | 224.7 | 12.4  |  0.9  |  -1.6   |   0.9   |
| 医药商业 | 600056 | 中国医药 | 222.1 | 22.6  | -1.1  |  -5.0   |   3.6   |
| 医药商业 | 600511 | 国药股份 | 199.0 | 13.3  | -0.9  |  -4.0   |  -3.4   |
| 医药商业 | 603883 |  老百姓  | 177.2 | 18.3  |  2.6  |  -1.1   |  -1.5   |
| 医药商业 | 002727 |  一心堂  | 129.3 | 18.0  | -1.4  |   0.2   |   0.1   |
| 医药商业 | 000028 | 国药一致 | 126.0 | 12.5  |  1.2  |  -0.1   |   1.4   |
| 医药商业 | 301015 | 百洋医药 | 107.8 | 30.5  |  0.7  |  -5.1   |  -0.7   |
| 医药商业 | 000078 | 海王生物 | 101.8 | 35.9  |  3.4  |   0.5   |  -0.3   |
| 医药商业 | 002411 | 延安必康 | 100.4 | -11.4 |  0.0  |   0.0   |   0.0   |
| 医药商业 | 000950 | 重药控股 | 85.8  | 19.2  |  1.2  |  -1.2   |   0.8   |
| 医药商业 | 301017 | 漱玉平民 | 68.5  | 34.6  |  1.0  |  -6.0   |  -3.1   |
| 医药商业 | 002589 | 瑞康医药 | 61.7  | 36.1  |  1.2  |  -3.5   |   1.2   |
| 医药商业 | 600713 | 南京医药 | 61.0  | 11.5  |  0.7  |  -1.9   |  -1.5   |
| 医药商业 | 603368 | 柳药集团 | 57.8  |  6.5  |  1.9  |  -0.2   |   0.9   |
| 医药商业 | 301263 |  泰恩康  | 54.2  | 25.1  |  1.3  |  -6.7   |   1.8   |
| 医药商业 | 605266 |  健之佳  | 43.9  | 37.4  |  0.2  |  -1.5   |  -0.8   |
| 医药商业 | 002462 |  嘉事堂  | 39.7  | 12.6  |  2.0  |  -0.8   |   0.0   |
| 医药商业 | 600829 | 人民同泰 | 35.1  | 19.0  |  1.5  |  -1.6   |   1.9   |
| 医药商业 | 000411 | 英特集团 | 31.3  | 16.4  |  1.1  |  -1.5   |   0.3   |
| 医药商业 | 002788 | 鹭燕医药 | 31.1  | 10.8  |  1.9  |  -1.7   |   1.1   |
| 医药商业 | 300937 |  药易购  | 28.0  | 76.7  |  0.6  |  -3.8   |  -1.0   |
| 医药商业 | 000705 | 浙江震元 | 27.0  | 44.5  |  2.0  |  -2.5   |  -1.6   |
| 医药商业 | 603716 | 塞力医疗 | 26.5  | 31.2  |  0.8  |  -4.9   |  -5.1   |
| 医药商业 | 600272 | 开开实业 | 21.6  | 63.8  |  2.1  |  -4.7   |  -1.7   |
| 医药商业 | 600833 | 第一医药 | 20.7  | 82.8  |  0.7  |  -5.7   |  -1.3   |
| 医药商业 | 002872 |  ST天圣  | 15.7  | -24.9 |  0.8  |   0.2   |  -2.6   |
| 医药商业 | 600767 | *ST运盛  | 14.2  | -91.5 |  0.5  |  -2.1   |  -3.5   |
| 医药商业 | 600090 | 退市济堂 |  4.6  | -3.2  | -66.7 |  -66.7  |  -66.7  |
+----------+--------+----------+-------+-------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+-------+---------+---------+
| 医药商业 | 603939 | 益丰药房 | 340.4 | 31.3  |  4.0  |   1.9   |   1.8   |
| 医药商业 | 603233 |  大参林  | 265.7 | 17.3  |  3.9  |   0.7   |   2.9   |
| 医药商业 | 000078 | 海王生物 | 101.8 | 35.9  |  3.4  |   0.5   |  -0.3   |
| 医药商业 | 603883 |  老百姓  | 177.2 | 18.3  |  2.6  |  -1.1   |  -1.5   |
| 医药商业 | 600272 | 开开实业 | 21.6  | 63.8  |  2.1  |  -4.7   |  -1.7   |
| 医药商业 | 002462 |  嘉事堂  | 39.7  | 12.6  |  2.0  |  -0.8   |   0.0   |
| 医药商业 | 000705 | 浙江震元 | 27.0  | 44.5  |  2.0  |  -2.5   |  -1.6   |
| 医药商业 | 603368 | 柳药集团 | 57.8  |  6.5  |  1.9  |  -0.2   |   0.9   |
| 医药商业 | 002788 | 鹭燕医药 | 31.1  | 10.8  |  1.9  |  -1.7   |   1.1   |
| 医药商业 | 601607 | 上海医药 | 669.8 | 13.4  |  1.8  |  -1.7   |   2.3   |
| 医药商业 | 600829 | 人民同泰 | 35.1  | 19.0  |  1.5  |  -1.6   |   1.9   |
| 医药商业 | 301263 |  泰恩康  | 54.2  | 25.1  |  1.3  |  -6.7   |   1.8   |
| 医药商业 | 000950 | 重药控股 | 85.8  | 19.2  |  1.2  |  -1.2   |   0.8   |
| 医药商业 | 002589 | 瑞康医药 | 61.7  | 36.1  |  1.2  |  -3.5   |   1.2   |
| 医药商业 | 000028 | 国药一致 | 126.0 | 12.5  |  1.2  |  -0.1   |   1.4   |
| 医药商业 | 000411 | 英特集团 | 31.3  | 16.4  |  1.1  |  -1.5   |   0.3   |
| 医药商业 | 301017 | 漱玉平民 | 68.5  | 34.6  |  1.0  |  -6.0   |  -3.1   |
| 医药商业 | 600998 |  九州通  | 224.7 | 12.4  |  0.9  |  -1.6   |   0.9   |
| 医药商业 | 002872 |  ST天圣  | 15.7  | -24.9 |  0.8  |   0.2   |  -2.6   |
| 医药商业 | 603716 | 塞力医疗 | 26.5  | 31.2  |  0.8  |  -4.9   |  -5.1   |
| 医药商业 | 301015 | 百洋医药 | 107.8 | 30.5  |  0.7  |  -5.1   |  -0.7   |
| 医药商业 | 600713 | 南京医药 | 61.0  | 11.5  |  0.7  |  -1.9   |  -1.5   |
| 医药商业 | 600833 | 第一医药 | 20.7  | 82.8  |  0.7  |  -5.7   |  -1.3   |
| 医药商业 | 300937 |  药易购  | 28.0  | 76.7  |  0.6  |  -3.8   |  -1.0   |
| 医药商业 | 600767 | *ST运盛  | 14.2  | -91.5 |  0.5  |  -2.1   |  -3.5   |
| 医药商业 | 605266 |  健之佳  | 43.9  | 37.4  |  0.2  |  -1.5   |  -0.8   |
| 医药商业 | 002411 | 延安必康 | 100.4 | -11.4 |  0.0  |   0.0   |   0.0   |
| 医药商业 | 600511 | 国药股份 | 199.0 | 13.3  | -0.9  |  -4.0   |  -3.4   |
| 医药商业 | 600056 | 中国医药 | 222.1 | 22.6  | -1.1  |  -5.0   |   3.6   |
| 医药商业 | 002727 |  一心堂  | 129.3 | 18.0  | -1.4  |   0.2   |   0.1   |
| 医药商业 | 600090 | 退市济堂 |  4.6  | -3.2  | -66.7 |  -66.7  |  -66.7  |
+----------+--------+----------+-------+-------+-------+---------+---------+
