[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 航天航空 | 600760 | 中航沈飞 | 1145.0 |  56.0  |  4.5  |  -0.2   |   2.5   |
| 航天航空 | 600893 | 航发动力 | 1106.0 | 417.5  |  4.2  |  -1.2   |   3.4   |
| 航天航空 | 000768 | 中航西飞 | 811.2  | 131.2  |  6.0  |  -0.1   |   8.8   |
| 航天航空 | 002013 | 中航机电 | 435.9  |  41.0  |  0.0  |   0.0   |   0.0   |
| 航天航空 | 600765 | 中航重机 | 398.1  |  47.9  |  7.4  |   1.0   |   1.5   |
| 航天航空 | 600372 | 中航电子 | 397.2  |  49.3  |  0.0  |   0.0   |   0.0   |
| 航天航空 | 000738 | 航发控制 | 359.3  |  42.0  |  3.1  |  -1.3   |  -2.1   |
| 航天航空 | 600862 | 中航高科 | 352.7  |  30.3  |  5.1  |  -3.0   |   0.7   |
| 航天航空 | 300474 |  景嘉微  | 276.1  |  89.3  |  0.7  |  -2.3   |   5.0   |
| 航天航空 | 600038 | 中直股份 | 247.8  | 549.8  |  3.6  |   2.5   |   6.4   |
| 航天航空 | 600118 | 中国卫星 | 239.3  | 122.4  |  1.2  |  -1.6   |   0.0   |
| 航天航空 | 600316 | 洪都航空 | 215.8  | 1178.2 |  7.4  |   4.9   |  11.4   |
| 航天航空 | 002985 | 北摩高科 | 204.4  |  33.1  |  1.4  |  -2.2   |  -1.4   |
| 航天航空 | 300775 | 三角防务 | 203.2  |  35.9  |  0.8  |  -2.1   |   3.2   |
| 航天航空 | 600879 | 航天电子 | 177.6  |  26.7  |  2.2  |  -1.2   |  -0.6   |
| 航天航空 | 300696 |  爱乐达  | 125.7  |  47.6  |  1.4  |  -1.2   |   6.5   |
| 航天航空 | 688586 | 江航装备 |  94.0  |  41.5  |  4.5  |  -2.7   |   0.6   |
| 航天航空 | 688239 | 航宇科技 |  78.1  |  37.6  | -0.2  |  -3.5   |  -1.9   |
| 航天航空 | 002023 | 海特高新 |  73.1  |  87.5  |  3.0  |   0.1   |   0.6   |
| 航天航空 | 003009 | 中天火箭 |  70.3  |  45.8  |  2.6  |  -8.4   |  -4.4   |
| 航天航空 | 300581 | 晨曦航空 |  64.0  | 249.9  |  3.7  |  -0.4   |   1.4   |
| 航天航空 | 600391 | 航发科技 |  63.1  | -64.1  |  2.3  |  -2.4   |  -1.2   |
| 航天航空 | 300722 | 新余国科 |  56.3  | 127.0  |  4.8  |  -2.0   |   0.5   |
| 航天航空 | 300900 | 广联航空 |  52.8  |  78.4  |  2.4  |  -2.5   |   1.1   |
