[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 贸易行业 | 600153 | 建发股份 | 416.3 |  10.3  |  2.2  |   6.8   |   7.5   |
| 贸易行业 | 600739 | 辽宁成大 | 224.4 |  20.3  |  1.6  |   3.2   |   5.8   |
| 贸易行业 | 002505 | 鹏都农牧 | 195.7 | 144.6  | -1.0  |   1.0   |   4.1   |
| 贸易行业 | 002091 | 江苏国泰 | 183.5 |  10.6  |  4.0  |  -0.8   |   6.5   |
| 贸易行业 | 600755 | 厦门国贸 | 180.9 |  6.4   |  3.7  |   4.8   |   3.9   |
| 贸易行业 | 300755 | 华致酒行 | 153.1 |  15.4  |  2.7  |  -3.9   |  -0.2   |
| 贸易行业 | 600058 | 五矿发展 | 148.5 |  28.5  | 10.0  |  10.3   |  34.7   |
| 贸易行业 | 601028 | 玉龙股份 | 147.6 |  48.8  |  0.6  |  -2.0   |  -5.2   |
| 贸易行业 | 002127 | 南极电商 | 143.9 |  25.9  | -1.0  |   4.3   |   6.7   |
| 贸易行业 | 000061 | 农 产 品 | 110.6 |  39.5  |  0.1  |  -1.4   |  -4.7   |
| 贸易行业 | 603071 | 物产环能 | 104.9 |  10.8  |  1.1  |  -0.5   |  -2.3   |
| 贸易行业 | 000829 | 天音控股 | 103.2 | 312.2  |  4.5  |  -2.1   |  -3.5   |
| 贸易行业 | 000019 | 深粮控股 | 99.0  |  18.0  |  1.7  |  -1.4   |  -2.0   |
| 贸易行业 | 600710 |  苏美达  | 78.0  |  9.1   |  2.0  |   0.0   |   2.3   |
| 贸易行业 | 600278 | 东方创业 | 72.5  |  20.4  |  0.2  |  -7.2   |   0.6   |
| 贸易行业 | 600981 | 汇鸿集团 | 66.4  | 2175.2 |  0.3  |  -2.6   |  -3.3   |
| 贸易行业 | 000151 | 中成股份 | 65.2  | 1154.7 | -10.0 |  -8.0   |  -0.8   |
| 贸易行业 | 000626 | 远大控股 | 64.6  | 144.8  |  1.8  |  -2.9   |  -5.4   |
| 贸易行业 | 300184 | 力源信息 | 58.1  |  14.3  |  1.4  |  -2.5   |  -1.0   |
| 贸易行业 | 300975 | 商络电子 | 52.2  |  18.7  |  2.2  |  -2.7   |  -0.2   |
| 贸易行业 | 002640 | *ST跨境  | 51.6  | -126.9 |  0.9  |   2.8   |  -4.1   |
| 贸易行业 | 301099 | 雅创电子 | 51.5  |  39.5  |  6.2  |  -1.6   |   8.0   |
| 贸易行业 | 600822 | 上海物贸 | 43.7  | 150.3  |  2.1  |  -6.4   |  -5.2   |
