[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 通用设备 | 000039 | 中集集团 | 492.2 |   7.2   | 0.1  |  -1.3   |   1.3   |
| 通用设备 | 600482 | 中国动力 | 347.9 |  129.3  | 1.1  |  -0.5   |  -0.8   |
| 通用设备 | 301029 |  怡合达  | 331.9 |  82.2   | 7.0  |   1.9   |   9.1   |
| 通用设备 | 600481 | 双良节能 | 230.4 |  47.7   | 6.5  |   8.9   |  18.4   |
| 通用设备 | 002444 | 巨星科技 | 226.7 |  31.0   | 4.5  |  15.8   |  15.9   |
| 通用设备 | 601369 | 陕鼓动力 | 156.6 |  14.1   | 1.9  |   1.2   |   4.0   |
| 通用设备 | 002747 |  埃斯顿  | 154.6 |  64.3   | 3.9  |  -0.2   |   1.7   |
| 通用设备 | 688333 |  铂力特  | 149.8 | -115.6  | 2.4  |  -3.4   |   2.8   |
| 通用设备 | 300257 | 开山股份 | 145.8 |  34.6   | 2.1  |   0.7   |   2.0   |
| 通用设备 | 688017 | 绿的谐波 | 137.1 |  93.9   | 1.7  |  -3.1   |  -0.1   |
| 通用设备 | 605123 | 派克新材 | 131.1 |  30.5   | 3.3  |  -0.3   |   6.6   |
| 通用设备 | 300024 |  机器人  | 127.1 |  -54.5  | 1.2  |  -1.4   |  -0.6   |
| 通用设备 | 301268 |  铭利达  | 123.1 |  54.4   | 7.1  |   3.0   |   3.8   |
| 通用设备 | 300953 | 震裕科技 | 118.6 |  52.9   | 3.2  |  -1.5   |  15.3   |
| 通用设备 | 603915 | 国茂股份 | 117.8 |  45.5   | -0.7 |  -2.8   |   4.4   |
| 通用设备 | 603308 | 应流股份 | 106.1 |  40.0   | 2.8  |  -2.1   |   5.7   |
| 通用设备 | 300080 | 易成新能 | 105.7 |  97.7   | 4.7  |   0.8   |   2.5   |
