[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 造纸印刷 | 002078 | 太阳纸业 | 325.7 |  12.1   | -0.1 |  -1.5   |   0.2   |
| 造纸印刷 | 002831 | 裕同科技 | 243.3 |  27.6   | 0.2  |  -2.9   |  -2.4   |
| 造纸印刷 | 000488 | 晨鸣纸业 | 162.9 |  35.8   | 0.2  |  -0.7   |  -1.3   |
| 造纸印刷 | 603733 | 仙鹤股份 | 156.0 |  26.7   | 1.0  |  -2.9   |  -1.0   |
| 造纸印刷 | 600567 | 山鹰国际 | 126.9 |  15.9   | 0.4  |  -0.4   |   0.0   |
| 造纸印刷 | 600963 | 岳阳林纸 | 102.7 |  20.7   | 2.1  |  -0.5   |  -4.9   |
| 造纸印刷 | 600966 | 博汇纸业 | 97.3  |  13.5   | 0.8  |  -0.6   |   0.1   |
| 造纸印刷 | 000815 |  美利云  | 70.6  | -1286.5 | -0.7 |  -4.3   |  -4.0   |
| 造纸印刷 | 600308 | 华泰股份 | 68.5  |   8.9   | 0.2  |  -0.8   |   0.0   |
| 造纸印刷 | 603429 | 集友股份 | 67.7  |  46.9   | 0.2  |   0.0   |  -0.2   |
| 造纸印刷 | 600433 | 冠豪高新 | 64.6  |  42.2   | 1.4  |  -1.1   |  -4.9   |
| 造纸印刷 | 605007 | 五洲特纸 | 64.5  |  15.7   | 1.3  |  -4.2   |  -0.9   |
| 造纸印刷 | 600103 | 青山纸业 | 55.6  |  21.6   | 1.3  |  -0.8   |  -1.2   |
| 造纸印刷 | 605377 | 华旺科技 | 53.2  |  11.8   | 1.4  |   0.6   |   3.0   |
| 造纸印刷 | 002067 | 景兴纸业 | 44.2  |  14.2   | 0.8  |   1.1   |   2.8   |
| 造纸印刷 | 002117 | 东港股份 | 38.9  |  21.4   | 1.4  |  -0.4   |  -3.9   |
| 造纸印刷 | 603165 | 荣晟环保 | 36.3  |  11.3   | 2.0  |  -0.1   |   2.6   |
| 造纸印刷 | 605500 | 森林包装 | 31.0  |  22.2   | 0.4  |  -0.6   |  -0.1   |
| 造纸印刷 | 002229 | 鸿博股份 | 30.2  |  -59.1  | 0.3  |  10.0   |  -10.1  |
| 造纸印刷 | 603058 | 永吉股份 | 29.8  |  -30.7  | 0.6  |  -1.4   |  -0.3   |
| 造纸印刷 | 002521 | 齐峰新材 | 25.5  |  31.0   | 1.2  |  -1.0   |  -1.1   |
| 造纸印刷 | 002012 | 凯恩股份 | 23.9  |  42.2   | 1.0  |  -1.0   |  -1.0   |
| 造纸印刷 | 603607 | 京华激光 | 23.6  |  17.3   | 1.2  |  -0.9   |  -0.7   |
| 造纸印刷 | 300883 |  龙利得  | 22.8  |  51.2   | 1.4  |  -2.4   |  -2.1   |
| 造纸印刷 | 600793 | 宜宾纸业 | 21.5  |  126.4  | -2.2 |  -1.3   |  -8.4   |
| 造纸印刷 | 600356 | 恒丰纸业 | 20.4  |  22.5   | 0.3  |  -1.2   |  -1.2   |
| 造纸印刷 | 000695 | 滨海能源 | 18.8  |  -32.7  | 8.4  |   4.4   |   2.9   |
| 造纸印刷 | 600235 | 民丰特纸 | 18.8  |  29.7   | 1.3  |  -2.0   |  -4.8   |
| 造纸印刷 | 603863 | 松炀资源 | 16.2  |  193.9  | 0.8  |   2.7   |   2.5   |
| 造纸印刷 | 002836 |  新宏泽  | 15.4  |  82.6   | 0.0  |  -0.1   |   4.1   |
| 造纸印刷 | 603499 | 翔港科技 | 14.8  |  219.1  | 1.2  |  -2.5   |  -1.9   |
+----------+--------+----------+-------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 造纸印刷 | 000695 | 滨海能源 | 18.8  |  -32.7  | 8.4  |   4.4   |   2.9   |
| 造纸印刷 | 600963 | 岳阳林纸 | 102.7 |  20.7   | 2.1  |  -0.5   |  -4.9   |
| 造纸印刷 | 603165 | 荣晟环保 | 36.3  |  11.3   | 2.0  |  -0.1   |   2.6   |
| 造纸印刷 | 600433 | 冠豪高新 | 64.6  |  42.2   | 1.4  |  -1.1   |  -4.9   |
| 造纸印刷 | 002117 | 东港股份 | 38.9  |  21.4   | 1.4  |  -0.4   |  -3.9   |
| 造纸印刷 | 605377 | 华旺科技 | 53.2  |  11.8   | 1.4  |   0.6   |   3.0   |
| 造纸印刷 | 300883 |  龙利得  | 22.8  |  51.2   | 1.4  |  -2.4   |  -2.1   |
| 造纸印刷 | 600235 | 民丰特纸 | 18.8  |  29.7   | 1.3  |  -2.0   |  -4.8   |
| 造纸印刷 | 605007 | 五洲特纸 | 64.5  |  15.7   | 1.3  |  -4.2   |  -0.9   |
