[行业>三日涨幅]
+------------+--------+-------------+-------+---------+------+---------+---------+
|    行业    |  代码  |    名称     | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+-------+---------+------+---------+---------+
|  食品饮料  | 600191 |   *ST华资   | 21.1  |  -15.3  | -5.0 |  -14.2  |  -26.4  |
|  食品饮料  | 002770 |   科迪退    |  5.5  |   5.3   | -3.9 |  -15.2  |  -24.2  |
|  钢铁行业  | 000655 |  金岭矿业   | 46.6  |  28.5   | -3.9 |  -6.2   |   9.1   |
|  通信设备  | 600734 |   *ST实达   | 110.4 | -187.3  | -4.7 |   3.7   |  -1.2   |
|  通信设备  | 000687 |   华讯退    |  2.1  |  -2.1   | -3.5 |  -3.5   |  -9.7   |
|  软件开发  | 300799 |  左江科技   | 64.4  |  -61.6  | -3.8 |  -2.8   |  13.7   |
|  软件开发  | 002072 |   *ST凯瑞   | 21.0  |  345.0  | -5.0 |  -3.9   |  -3.2   |
|  软件开发  | 688327 | 云从科技-UW | 210.0 |  -45.3  | -3.7 |  -21.0  |   3.7   |
|   贵金属   | 000506 |  中润资源   | 30.0  |   2.5   | -4.2 |   6.2   |   8.8   |
|   贵金属   | 600766 |   *ST园城   | 17.2  | -3015.3 | -3.5 |  -12.8  |  -9.8   |
| 计算机设备 | 300367 |   网力退    |  3.2  |  -0.9   | -3.6 |  -40.0  |  -40.0  |
|  综合行业  | 002591 |  恒大高新   | 15.6  | -143.0  | -4.1 |   4.6   |   6.1   |
|  纺织服装  | 600146 |  退市环球   |  1.1  |  -2.1   | -4.0 |  -7.7   |  -79.8  |
|  石油行业  | 300023 |   宝德退    |  3.6  |  16.3   | -3.4 |  -62.0  |  -62.0  |
|  电网设备  | 600112 |   *ST天成   | 12.9  |  -9.1   | -4.9 |  -13.1  |  -19.9  |
|  电网设备  | 603333 |  尚纬股份   | 37.9  |  46.7   | -3.6 |  -21.7  |  -29.3  |
|  电力行业  | 002608 |  江苏国信   | 269.0 |  18.7   | -3.3 |  17.1   |  19.1   |
|  环保行业  | 603603 |   *ST博天   | 18.8  |  -5.4   | -3.0 |  -1.1   |   4.4   |
|  环保行业  | 688565 |  力源科技   | 16.3  |  67.0   | -4.6 |  -1.5   |   9.9   |
|  环保行业  | 300495 |   *ST美尚   | 17.6  |  -11.1  | -5.8 |  -7.1   |  -9.1   |
|  环保行业  | 603177 |  德创环保   | 33.8  |  83.5   | -5.5 |  -23.5  |  -37.7  |
|  煤炭行业  | 600397 |  安源煤业   | 38.2  |  -6.1   | -3.3 |  17.0   |  11.2   |
|    游戏    | 600892 |  大晟文化   | 23.8  |  411.7  | -3.4 |   5.2   |   2.2   |
|    游戏    | 002464 |   众应退    |  1.5  |   6.9   | -3.5 |  -17.6  |  -86.6  |
|  消费电子  | 300793 |  佳禾智能   | 47.7  |  61.3   | -5.5 |  -12.1  |  -8.6   |
|  汽车整车  | 000868 |  安凯客车   | 38.1  |  -23.8  | -3.9 |  -9.3   |  -1.1   |
|  文化传媒  | 300392 |   *ST腾信   | 11.1  |  -13.5  | -3.7 |  -3.0   |  -2.0   |
|  文化传媒  | 002699 |   ST美盛    | 40.0  | -196.7  | -5.0 |  -14.2  |  -22.5  |
| 房地产开发 | 600393 |   ST粤泰    | 46.7  |  -16.2  | -3.7 |   1.7   |  10.8   |
| 房地产开发 | 002305 |  南国置业   | 51.7  |  -22.1  | -4.2 |   1.4   |   1.4   |
| 房地产开发 | 002244 |  滨江集团   | 239.6 |  26.3   | -3.3 |  -0.7   |  -3.6   |
| 房地产开发 | 000886 |  海南高速   | 47.0  | 1074.4  | -3.9 |  -7.8   |  -15.3  |
| 房地产开发 | 600657 |  信达地产   | 144.6 |  119.1  | -4.2 |  -9.5   |  -8.5   |
|  工程建设  | 002761 |  浙江建投   | 353.7 |  26.9   | -3.4 |   2.2   |  -1.9   |
|  家用轻工  | 002575 |  群兴玩具   | 31.4  |  452.6  | -4.2 |  -1.6   |  10.0   |
|  多元金融  | 300309 |   *ST吉艾   | 16.5  |  -3.7   | -3.6 |   8.8   |  30.1   |
|  塑料制品  | 300325 |   德威退    |  2.2  |  -1.9   | -4.3 |  -8.3   |  -62.7  |
|  化肥行业  | 002999 |  天禾股份   | 29.0  |  51.9   | -4.4 |   7.1   |  10.2   |
|  化肥行业  | 000611 |   天首退    |  3.3  |  -10.5  | -4.8 |  -7.5   |  -71.5  |
|  化学制品  | 301092 |  争光股份   | 43.1  |  54.4   | -3.0 |   3.2   |  30.4   |
|  农牧饲渔  | 603363 |  傲农生物   | 131.8 |  -9.4   | -3.1 |   4.2   |   8.3   |
|  农牧饲渔  | 002086 |   ST东洋    | 16.3  |  -38.3  | -3.1 |  -6.5   |  -13.9  |
|  农牧饲渔  | 600275 |  退市昌鱼   |  1.8  |  -12.8  | -5.3 |  -7.7   |  -10.0  |
|  农牧饲渔  | 002157 |  正邦科技   | 172.4 |  -1.8   | -3.9 |  -10.5  |  -10.5  |
|  农牧饲渔  | 600265 |   *ST景谷   | 17.1  | -159.1  | -3.5 |  -12.2  |  -21.2  |
| 光学光电子 | 300701 |  森霸传感   | 25.5  |  71.6   | -3.1 |   7.0   |   4.1   |
| 光学光电子 | 600666 |   *ST瑞德   | 17.1  |  -5.9   | -3.5 |   4.5   |  13.0   |
| 光学光电子 | 688150 |  XD莱特光   | 112.3 |  87.1   | -3.1 |  -23.1  |   6.2   |
| 互联网服务 | 300269 |   ST联建    | 20.6  |  -43.3  | -4.9 |  -4.2   |  -2.6   |
| 互联网服务 | 300044 |  赛为智能   | 28.5  |  164.2  | -5.1 |  -4.9   |   2.8   |
|  专用设备  | 603029 |  天鹅股份   | 15.4  |  128.5  | -5.5 |  -0.5   |   1.4   |
|  专用设备  | 603956 |  XD威派格   | 53.3  |  -24.3  | -3.7 |  -3.9   |  -1.1   |
+------------+--------+-------------+-------+---------+------+---------+---------+
