[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 家电行业 | 000333 | 美的集团 | 3573.0 | 12.4  | -2.3 |  -3.6   |  -2.9   |
| 家电行业 | 600690 | 海尔智家 | 2229.0 | 15.8  | -1.8 |  -3.0   |  -6.5   |
| 家电行业 | 000651 | 格力电器 | 1852.0 | 11.6  | -0.7 |  -1.5   |  -0.6   |
| 家电行业 | 603195 | 公牛集团 | 847.8  | 33.0  | -0.9 |  -2.3   |  -3.6   |
| 家电行业 | 002050 | 三花智控 | 743.4  | 41.0  | 2.7  |   8.6   |  13.0   |
| 家电行业 | 603486 |  科沃斯  | 616.5  | 36.4  | -3.0 |  -6.4   |  -4.8   |
| 家电行业 | 605117 | 德业股份 | 492.2  | 93.1  | -0.8 |   0.5   |   4.2   |
| 家电行业 | 688169 | 石头科技 | 448.1  | 32.7  | -2.7 |  -5.5   |   4.5   |
| 家电行业 | 002032 | 苏 泊 尔 | 431.8  | 20.1  | -0.7 |  -3.1   |  -4.6   |
| 家电行业 | 603868 | 飞科电器 | 307.4  | 32.5  | -1.2 |   5.0   |   9.8   |
| 家电行业 | 002508 | 老板电器 | 264.0  | 17.9  | -3.8 |  -8.0   |  -8.6   |
| 家电行业 | 688696 | 极米科技 | 212.3  | 43.7  | -1.5 |  -0.6   |  -1.4   |
| 家电行业 | 000810 | 创维数字 | 176.7  | 21.2  | 7.9  |   5.1   |  13.1   |
| 家电行业 | 002705 | 新宝股份 | 172.0  | 24.1  | 2.8  |  12.7   |  13.2   |
| 家电行业 | 002429 | 兆驰股份 | 168.4  | 12.2  | -0.3 |  -1.9   |  -3.1   |
| 家电行业 | 600060 | 海信视像 | 155.8  | 13.1  | -0.2 |  -2.4   |  -1.7   |
| 家电行业 | 000921 | 海信家电 | 152.9  | 14.4  | -2.0 |  -4.6   |  -8.3   |
| 家电行业 | 000016 | 深康佳Ａ  | 134.4  | 32.3  | -2.3 |   0.2   |   0.5   |
| 家电行业 | 603355 | 莱克电气 | 131.4  | 15.6  | 1.5  |   0.2   |  -2.9   |
| 家电行业 | 300894 |  火星人  | 130.9  | 54.5  | 0.8  |  -0.7   |   2.0   |
| 家电行业 | 600839 | 四川长虹 | 130.2  | 64.7  | -1.7 |  -2.1   |  -4.7   |
| 家电行业 | 002242 | 九阳股份 | 127.3  | 19.1  | 1.6  |   1.6   |   0.3   |
| 家电行业 | 603515 | 欧普照明 | 124.5  | 47.0  | -1.7 |  -2.8   |  -3.6   |
| 家电行业 | 002759 | 天际股份 | 102.7  |  6.2  | 3.8  |   4.0   |   9.5   |
| 家电行业 | 002011 | 盾安环境 |  91.6  | 27.5  | -1.9 |   2.7   |   0.6   |
| 家电行业 | 002959 | 小熊电器 |  88.3  | 21.2  | 0.7  |  -1.1   |  -1.6   |
| 家电行业 | 002677 | 浙江美大 |  87.5  | 18.0  | -0.7 |  -1.6   |  -2.2   |
| 家电行业 | 300217 | 东方电热 |  74.8  | 32.4  | 1.2  |  13.1   |  16.6   |
| 家电行业 | 605365 |  立达信  |  72.8  | 19.1  | -0.2 |  -1.9   |  -3.2   |
| 家电行业 | 603219 | 富佳股份 |  70.3  | 30.2  | 2.2  |   5.9   |   1.6   |
| 家电行业 | 000801 | 四川九洲 |  69.8  | 53.8  | -2.0 |  -1.3   |  -2.8   |
