[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 文化传媒 | 002027 | 分众传媒 | 902.6 |  24.3  | -2.3  |  -5.3   |  -1.9   |
| 文化传媒 | 300413 | 芒果超媒 | 658.3 |  32.4  | -3.0  |   0.8   |   1.8   |
| 文化传媒 | 002739 | 万达电影 | 274.4 | 152.5  | -2.4  |  -1.9   |  -0.7   |
| 文化传媒 | 300251 | 光线传媒 | 251.4 |  84.3  | -3.7  |  -0.9   |   6.9   |
| 文化传媒 | 600637 | 东方明珠 | 243.8 |  33.9  | -1.1  |  -1.2   |  -3.2   |
| 文化传媒 | 600977 | 中国电影 | 199.2 |  43.0  | -0.8  |  -1.0   |  -1.1   |
| 文化传媒 | 601928 | 凤凰传媒 | 184.3 |  9.7   | -2.6  |  -3.1   |  -5.1   |
| 文化传媒 | 601098 | 中南传媒 | 174.9 |  16.2  | -1.8  |  -1.6   |  -3.7   |
| 文化传媒 | 601921 | 浙版传媒 | 168.4 |  33.8  |  0.1  |  -0.5   |  -1.8   |
| 文化传媒 | 600959 | 江苏有线 | 166.5 |  45.2  | -2.9  |  -0.9   |  -2.6   |
| 文化传媒 | 300058 | 蓝色光标 | 154.7 | 118.3  | -1.1  |  -3.3   |   2.5   |
| 文化传媒 | 000156 | 华数传媒 | 143.8 |  23.7  | -2.1  |   0.9   |  -1.4   |
| 文化传媒 | 600373 | 中文传媒 | 142.8 |  9.2   | -1.1  |   0.2   |  -1.4   |
| 文化传媒 | 600556 |  天下秀  | 142.6 |  38.3  |  0.6  |   2.5   |   3.5   |
| 文化传媒 | 601019 | 山东出版 | 137.5 |  16.1  | -1.2  |   1.5   |   1.2   |
| 文化传媒 | 600037 | 歌华有线 | 129.9 |  33.2  | -1.5  |  -1.5   |  -5.6   |
| 文化传媒 | 300182 | 捷成股份 | 126.2 |  10.9  | -2.2  |  -0.2   |  -1.0   |
| 文化传媒 | 605168 |  三人行  | 118.6 |  49.3  |  5.7  |  12.4   |  27.3   |
| 文化传媒 | 603000 |  人民网  | 115.9 | -214.6 | -0.8  |  -1.9   |  -2.9   |
| 文化传媒 | 601811 | 新华文轩 | 110.4 |  16.3  |  0.1  |  -1.1   |  -1.1   |
| 文化传媒 | 300662 | 科锐国际 | 105.7 |  50.3  |  5.8  |   2.5   |   5.2   |
| 文化传媒 | 000681 | 视觉中国 | 100.5 |  82.3  | -2.5  |   5.0   |   7.7   |
| 文化传媒 | 601801 | 皖新传媒 | 100.3 |  8.3   | -0.6  |   0.6   |   0.2   |
| 文化传媒 | 000665 | 湖北广电 | 96.7  | -23.7  | -0.6  |  -1.5   |  -6.0   |
| 文化传媒 | 002400 | 省广集团 | 91.5  |  50.0  |  3.1  |   5.8   |   6.7   |
| 文化传媒 | 601949 | 中国出版 | 87.1  | 568.2  | -2.5  |  -1.6   |  -1.2   |
| 文化传媒 | 300770 | 新媒股份 | 86.5  |  12.6  | -0.4  |  -0.7   |  -0.1   |
| 文化传媒 | 603888 |  新华网  | 86.3  | 106.3  | -0.5  |  -0.5   |  -0.4   |
| 文化传媒 | 600986 | 浙文互联 | 85.7  |  60.5  |  7.3  |  22.0   |  25.6   |
| 文化传媒 | 300133 | 华策影视 | 83.3  |  18.3  | -1.4  |  -1.6   |  -1.8   |
| 文化传媒 | 300792 | 壹网壹创 | 78.5  |  37.8  | -2.5  |  -7.6   |  -4.3   |
| 文化传媒 | 600640 |  新国脉  | 77.3  | -188.3 | -0.8  |  -2.3   |  -4.9   |
| 文化传媒 | 600158 | 中体产业 | 77.0  | -36.7  | -0.2  |   0.4   |  -2.7   |
| 文化传媒 | 300364 | 中文在线 | 76.2  | -117.9 | -2.4  |   3.4   |   4.0   |
| 文化传媒 | 000719 | 中原传媒 | 75.4  |  19.5  | -0.3  |   0.3   |  -0.1   |
| 文化传媒 | 603466 |  风语筑  | 75.3  | -119.2 | -1.4  |  -1.9   |  -6.7   |
| 文化传媒 | 603533 | 掌阅科技 | 73.3  | -122.4 | -0.1  |   4.4   |  -0.2   |
| 文化传媒 | 000917 | 电广传媒 | 71.7  |  58.7  | -1.2  |  -0.8   |  -2.3   |
| 文化传媒 | 600996 | 贵广网络 | 71.6  | 619.9  | -2.0  |  -4.0   |  -6.3   |
| 文化传媒 | 301102 | 兆讯传媒 | 70.5  |  29.5  |  5.3  |   6.2   |  13.8   |
| 文化传媒 | 601900 | 南方传媒 | 70.3  |  13.5  | -1.4  |  -1.0   |  -3.3   |
| 文化传媒 | 000676 | 智度股份 | 70.1  |  56.2  |  3.0  |   1.1   |   1.7   |
| 文化传媒 | 603103 | 横店影视 | 69.6  |  23.0  | -1.9  |  -2.0   |  -1.6   |
| 文化传媒 | 300027 | 华谊兄弟 | 69.1  | -13.1  | -2.0  |  -3.9   |  -6.7   |
| 文化传媒 | 600757 | 长江传媒 | 68.9  |  5.9   | -0.7  |   1.4   |   0.2   |
| 文化传媒 | 601929 | 吉视传媒 | 67.7  | 141.7  |  1.0  |   0.0   |  -1.4   |
| 文化传媒 | 002292 | 奥飞娱乐 | 64.8  | -52.9  | -1.6  |  -4.8   |  -6.0   |
| 文化传媒 | 601858 | 中国科传 | 62.0  |  81.5  | -0.2  |  -1.6   |  -4.2   |
| 文化传媒 | 300860 | 锋尚文化 | 61.5  |  17.2  | -1.2  |   2.2   |   0.9   |
| 文化传媒 | 600936 | 广西广电 | 61.3  | -11.3  | -1.1  |  -2.9   |  -0.3   |
| 文化传媒 | 605577 | 龙版传媒 | 54.2  |  9.8   | -1.5  |  -7.7   |  -7.4   |
| 文化传媒 | 300061 | 旗天科技 | 54.0  | 136.7  |  4.9  |   6.5   |   7.0   |
| 文化传媒 | 002181 | 粤 传 媒 | 53.2  | 249.9  | -1.1  |  -3.8   |  -26.7  |
| 文化传媒 | 301025 | 读客文化 | 52.7  | 172.9  |  1.1  |  -1.5   |  -2.4   |
| 文化传媒 | 002803 | 吉宏股份 | 52.1  |  30.4  | -3.4  |   2.1   |  11.8   |
| 文化传媒 | 600551 | 时代出版 | 50.2  |  15.4  |  0.8  |   3.2   |   3.5   |
| 文化传媒 | 603825 | 华扬联众 | 50.0  |  64.6  | 10.0  |  14.0   |  23.2   |
| 文化传媒 | 000607 | 华媒控股 | 49.7  | 1007.5 |  3.0  |   6.1   |   9.2   |
| 文化传媒 | 000793 | 华闻集团 | 48.7  | -25.0  | -0.4  |  -0.4   |  -2.4   |
| 文化传媒 | 300280 | 紫天科技 | 45.7  |  17.5  |  0.0  |   0.0   |  11.5   |
| 文化传媒 | 600229 | 城市传媒 | 45.4  |  12.9  | -0.9  |  -1.1   |  -3.4   |
| 文化传媒 | 002238 | 天威视讯 | 44.0  |  73.7  | -1.3  |  -2.3   |  -5.0   |
| 文化传媒 | 601595 | 上海电影 | 43.0  | -835.6 | -1.5  |  -3.0   |  -4.9   |
| 文化传媒 | 603230 | 内蒙新华 | 43.0  |  9.5   | -0.6  |  -2.2   |  -1.9   |
| 文化传媒 | 600831 | 广电网络 | 42.0  |  88.9  | -1.5  |  -3.1   |  -4.7   |
| 文化传媒 | 600825 | 新华传媒 | 41.9  | -617.2 | -1.2  |  -2.4   |  -5.0   |
| 文化传媒 | 601599 | 浙文影业 | 41.4  |  31.4  |  0.6  |  -2.2   |  -6.8   |
| 文化传媒 | 300291 | 百纳千成 | 39.4  | -59.1  | -1.1  |  -2.5   |  -2.9   |
| 文化传媒 | 600052 | 东望时代 | 38.5  | -37.6  | -0.4  |   2.5   |   4.1   |
| 文化传媒 | 300788 | 中信出版 | 38.4  |  23.4  |  0.8  |   0.5   |  -0.4   |
| 文化传媒 | 002699 |  ST美盛  | 38.0  | -186.9 | -5.0  |  -14.2  |  -26.4  |
| 文化传媒 | 600088 | 中视传媒 | 35.6  | -28.9  |  0.2  |  -0.2   |  -2.1   |
| 文化传媒 | 300805 | 电声股份 | 32.9  | -148.9 |  0.8  |  -0.5   |  -0.9   |
| 文化传媒 | 600576 | 祥源文化 | 32.1  | 260.3  | -1.1  |  -2.5   |  -2.1   |
| 文化传媒 | 601999 | 出版传媒 | 31.6  | -95.4  |  0.0  |  -0.3   |  -2.2   |
| 文化传媒 | 600358 | 国旅联合 | 31.5  |  94.5  |  1.5  |   0.0   |  -5.3   |
| 文化传媒 | 002654 | 万润科技 | 31.2  | -126.4 | -0.5  |  -3.2   |  -2.7   |
| 文化传媒 | 300063 | 天龙集团 | 30.4  |  40.8  |  5.2  |   4.4   |   3.8   |
| 文化传媒 | 603999 | 读者传媒 | 29.9  | 113.1  | -0.8  |  -1.1   |  -3.4   |
| 文化传媒 | 603096 |  新经典  | 29.3  |  17.2  | -1.4  |  -1.4   |  -2.4   |
| 文化传媒 | 300426 | 唐德影视 | 28.8  | -12.1  | -1.6  |  -2.7   |  -2.5   |
| 文化传媒 | 300987 | 川网传媒 | 28.7  | 188.7  | -0.7  |  -4.5   |  -6.3   |
| 文化传媒 | 000892 | 欢瑞世纪 | 28.0  |  56.6  | -1.4  |  -3.7   |  -5.3   |
