[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 物流行业 | 002352 | 顺丰控股 | 2526.0 |  61.8  | -1.9 |  -3.4   |  -0.5   |
| 物流行业 | 601816 | 京沪高铁 | 2269.0 | 257.6  | -1.9 |  -0.4   |  -0.7   |
| 物流行业 | 601006 | 大秦铁路 | 984.2  |  8.3   | -1.3 |  -1.1   |  -0.8   |
| 物流行业 | 600233 | 圆通速递 | 729.2  |  20.9  | -2.5 |  -1.1   |   1.9   |
| 物流行业 | 002120 | 韵达股份 | 493.5  |  35.5  | -2.9 |  -4.0   |  -1.4   |
| 物流行业 | 601156 | 东航物流 | 347.7  |  6.3   | -1.8 |  -1.7   |  -0.2   |
| 物流行业 | 601598 | 中国外运 | 288.6  |  7.3   | -2.5 |  -2.5   |  -1.8   |
| 物流行业 | 600704 | 物产中大 | 265.0  |  6.4   | -0.6 |  -0.4   |   0.6   |
| 物流行业 | 001213 | 中铁特货 | 229.8  |  49.8  | -2.1 |  -3.4   |  -4.3   |
| 物流行业 | 002183 | 怡 亚 通 | 208.5  |  91.7  | 0.1  |  -5.3   |  -15.7  |
| 物流行业 | 603713 | 密尔克卫 | 204.3  |  38.2  | -1.4 |  -0.3   |   0.9   |
| 物流行业 | 002010 | 传化智联 | 190.7  |  31.3  | -1.6 |  -2.7   |  -0.8   |
| 物流行业 | 600057 | XD厦门象 | 184.2  |  9.9   | -2.5 |  -2.4   |  -4.2   |
| 物流行业 | 002468 | 申通快递 | 178.8  |  42.0  | -0.3 |   0.6   |   2.5   |
| 物流行业 | 000927 | 中国铁物 | 176.1  |  20.9  | 0.7  |  -1.4   |  -1.0   |
| 物流行业 | 600179 | 安通控股 | 172.0  |  8.2   | -2.7 |  -3.2   |   0.2   |
| 物流行业 | 601333 | 广深铁路 | 156.5  |  -9.8  | -2.2 |  -3.5   |  -0.9   |
| 物流行业 | 603056 | 德邦股份 | 138.2  | -43.4  | -0.1 |  -1.7   |  -1.0   |
| 物流行业 | 600575 | 淮河能源 | 133.3  |  15.7  | -2.0 |  -0.9   |  -0.9   |
| 物流行业 | 603128 | 华贸物流 | 131.1  |  13.0  | -2.3 |  -1.6   |  -0.6   |
| 物流行业 | 600787 | 中储股份 | 125.5  |  9.6   | -2.0 |  -2.9   |  -4.5   |
| 物流行业 | 002930 | 宏川智慧 |  90.1  |  41.5  | 0.0  |  -1.3   |   0.1   |
| 物流行业 | 603223 | 恒通股份 |  88.1  | 220.2  | -1.6 |  -5.0   |  -5.9   |
| 物流行业 | 600180 |  瑞茂通  |  85.2  |  7.7   | -5.0 |  -1.8   |  -1.3   |
| 物流行业 | 603871 | 嘉友国际 |  72.7  |  16.8  | -4.6 |  -3.3   |  -6.6   |
| 物流行业 | 600125 | 铁龙物流 |  70.2  |  14.1  | -0.9 |  -0.7   |  -2.0   |
| 物流行业 | 002210 | 飞马国际 |  67.1  | -286.3 | 1.2  |  -0.8   |   0.8   |
| 物流行业 | 000557 | 西部创业 |  64.3  |  22.7  | -1.8 |  -3.7   |  -10.9  |
| 物流行业 | 605050 |  福然德  |  57.3  |  20.4  | -2.0 |   4.6   |  15.9   |
| 物流行业 | 300873 | 海晨股份 |  55.3  |  15.2  | -2.6 |  -1.0   |   1.1   |
| 物流行业 | 688211 | 中科微至 |  54.3  | -127.0 | -2.3 |  -2.9   |  -10.1  |
| 物流行业 | 603569 | 长久物流 |  48.6  | 3110.8 | -1.4 |  -11.0  |  -7.2   |
| 物流行业 | 603535 | 嘉诚国际 |  46.3  |  27.9  | -1.3 |  -2.4   |  -4.1   |
| 物流行业 | 001228 |  永泰运  |  45.9  |  22.8  | -1.3 |  -6.5   |  -4.7   |
| 物流行业 | 001317 |  三羊马  |  40.6  | 127.4  | 1.1  |  -2.1   |  -2.9   |
| 物流行业 | 600794 | 保税科技 |  40.0  |  25.5  | -1.2 |  -1.5   |  -2.1   |
| 物流行业 | 603836 | 海程邦达 |  38.9  |  11.9  | 0.3  |  -0.1   |  -1.0   |
| 物流行业 | 603967 | 中创物流 |  34.9  |  15.9  | -0.5 |  -1.8   |  -2.2   |
| 物流行业 | 603648 | 畅联股份 |  34.9  |  17.2  | -0.5 |  -3.7   |  -6.3   |
| 物流行业 | 300350 |  华鹏飞  |  34.3  | 1052.7 | 6.5  |   5.2   |   6.6   |
| 物流行业 | 002889 | 东方嘉盛 |  32.0  |  16.3  | -2.8 |  -3.6   |  -2.7   |
| 物流行业 | 300240 |  飞力达  |  30.6  |  16.1  | 0.7  |  -0.8   |  -0.8   |
| 物流行业 | 603066 | 音飞储存 |  30.1  |  34.5  | -0.9 |   0.6   |  -4.2   |
| 物流行业 | 603329 | 上海雅仕 |  27.9  |  12.1  | -4.6 |  -1.8   |   5.0   |
