[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 通信服务 | 601728 | 中国电信 | 3432.0 |  11.9  | -0.8  |   0.3   |   0.3   |
| 通信服务 | 600050 | 中国联通 | 1072.0 |  13.2  | -1.1  |  -0.6   |  -0.3   |
| 通信服务 | 601698 | 中国卫通 | 441.6  |  88.1  |  0.5  |   0.1   |  -0.6   |
| 通信服务 | 002544 | 普天科技 | 159.7  | 208.2  | -0.8  |  -3.9   |  -3.4   |
| 通信服务 | 002123 | 梦网科技 |  80.9  | -51.8  |  1.0  |  -1.3   |   1.1   |
| 通信服务 | 002929 | 润建股份 |  75.5  |  18.4  |  0.6  |   1.6   |   3.4   |
| 通信服务 | 300183 | 东软载波 |  60.2  |  69.0  |  0.8  |  -0.1   |   0.7   |
| 通信服务 | 002467 |  二六三  |  58.2  |  40.5  | 10.1  |   9.2   |   7.9   |
| 通信服务 | 600804 | ST鹏博士 |  57.5  |  7.1   | -2.2  |  -7.2   |  -6.7   |
| 通信服务 | 002093 | 国脉科技 |  56.3  |  98.1  |  0.7  |  -0.5   |  -1.4   |
| 通信服务 | 300571 | 平治信息 |  53.5  |  11.8  | -0.7  |  -4.7   |  -2.9   |
| 通信服务 | 300081 | 恒信东方 |  48.5  | -38.7  | -0.1  |  -1.5   |  -3.5   |
| 通信服务 | 603421 | 鼎信通讯 |  45.5  | -11.2  | -1.4  |  -1.4   |  -0.4   |
| 通信服务 | 300292 | 吴通控股 |  44.5  | -97.3  |  0.3  |  -1.8   |  -3.5   |
| 通信服务 | 688682 |  霍莱沃  |  43.3  | 385.6  | -0.9  |  -1.8   |  -1.8   |
| 通信服务 | 603220 | 中贝通信 |  40.8  | 100.3  |  0.5  |  -0.2   |  -1.1   |
| 通信服务 | 300603 | 立昂技术 |  39.9  | 144.3  |  0.2  |  -0.5   |   6.3   |
| 通信服务 | 300310 | 宜通世纪 |  36.6  | 658.9  |  0.5  |  -0.7   |  -0.7   |
| 通信服务 | 002908 | 德生科技 |  35.7  |  89.4  |  0.5  |  -0.5   |  -0.3   |
| 通信服务 | 300513 | 恒实科技 |  32.3  | -268.3 |  0.4  |   2.8   |   5.2   |
| 通信服务 | 300560 |  中富通  |  32.2  |  54.7  |  0.1  |  -3.5   |   1.0   |
| 通信服务 | 300578 | 会畅通讯 |  31.8  |  60.4  |  1.9  |  -1.1   |  -1.7   |
