[行业>市值]
+----------+--------+----------+-------+-------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+------+---------+---------+
| 医药商业 | 601607 | 上海医药 | 664.2 | 13.3  | 0.5  |   1.0   |   0.5   |
| 医药商业 | 603939 | 益丰药房 | 336.8 | 30.9  | -1.7 |   2.9   |  -4.4   |
| 医药商业 | 603233 |  大参林  | 263.9 | 17.2  | -2.5 |   4.8   |   1.0   |
| 医药商业 | 600998 | XD九州通 | 220.2 | 12.2  | 0.9  |   1.5   |   0.5   |
| 医药商业 | 600056 | 中国医药 | 214.8 | 21.8  | -1.2 |  -4.4   |   1.1   |
| 医药商业 | 600511 | 国药股份 | 198.3 | 13.3  | -0.3 |  -1.2   |  -3.2   |
| 医药商业 | 603883 |  老百姓  | 178.0 | 18.4  | 0.6  |   3.1   |  -2.8   |
| 医药商业 | 002727 |  一心堂  | 130.6 | 18.2  | 1.0  |  -0.5   |   0.5   |
| 医药商业 | 000028 | 国药一致 | 125.8 | 12.5  | -0.4 |   1.0   |   0.3   |
| 医药商业 | 301015 | 百洋医药 | 106.5 | 30.1  | -2.9 |  -0.4   |  -4.7   |
| 医药商业 | 002411 | 延安必康 | 100.4 | -11.4 | 0.0  |   0.0   |   0.0   |
| 医药商业 | 000078 | 海王生物 | 100.1 | 35.3  | 0.0  |   1.7   |  -0.6   |
| 医药商业 | 000950 | 重药控股 | 85.4  | 19.1  | 0.0  |   0.8   |  -0.6   |
| 医药商业 | 301017 | 漱玉平民 | 67.3  | 34.0  | -2.1 |  -0.8   |  -5.7   |
| 医药商业 | 600713 | 南京医药 | 59.8  | 11.3  | -0.7 |  -1.3   |  -3.0   |
| 医药商业 | 002589 | 瑞康医药 | 59.3  | 34.7  | -2.5 |  -2.7   |  -2.2   |
| 医药商业 | 603368 | 柳药集团 | 57.7  |  6.5  | -0.6 |   1.9   |   0.4   |
| 医药商业 | 301263 |  泰恩康  | 55.9  | 25.9  | 0.3  |   4.6   |   2.0   |
| 医药商业 | 605266 |  健之佳  | 43.2  | 36.8  | -0.5 |  -1.3   |  -4.3   |
| 医药商业 | 002462 |  嘉事堂  | 40.4  | 12.8  | 1.6  |   3.7   |   1.8   |
| 医药商业 | 600829 | 人民同泰 | 34.5  | 18.7  | -0.7 |  -0.2   |  -3.7   |
| 医药商业 | 000411 | 英特集团 | 33.0  | 17.4  | 1.3  |   6.8   |   6.2   |
| 医药商业 | 002788 | 鹭燕医药 | 30.9  | 10.8  | -0.6 |   1.0   |  -1.1   |
| 医药商业 | 300937 |  药易购  | 27.9  | 76.5  | -1.1 |   0.3   |  -2.9   |
| 医药商业 | 000705 | 浙江震元 | 27.1  | 44.7  | 0.5  |   2.5   |   0.4   |
| 医药商业 | 603716 | 塞力医疗 | 26.4  | 31.2  | 0.1  |   0.6   |  -3.3   |
| 医药商业 | 600272 | 开开实业 | 21.3  | 63.2  | -1.4 |   1.0   |  -2.3   |
| 医药商业 | 600833 | 第一医药 | 20.5  | 81.7  | -0.8 |  -0.7   |  -5.3   |
| 医药商业 | 002872 |  ST天圣  | 15.6  | -24.7 | 0.0  |   0.0   |  -3.7   |
| 医药商业 | 600767 | *ST运盛  | 14.1  | -90.2 | 1.5  |  -1.0   |  -1.9   |
| 医药商业 | 600090 | 退市济堂 |  4.6  | -3.2  | 3.2  |  -66.7  |  -66.7  |
+----------+--------+----------+-------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+-------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+------+---------+---------+
| 医药商业 | 600090 | 退市济堂 |  4.6  | -3.2  | 3.2  |  -66.7  |  -66.7  |
| 医药商业 | 002462 |  嘉事堂  | 40.4  | 12.8  | 1.6  |   3.7   |   1.8   |
| 医药商业 | 600767 | *ST运盛  | 14.1  | -90.2 | 1.5  |  -1.0   |  -1.9   |
| 医药商业 | 000411 | 英特集团 | 33.0  | 17.4  | 1.3  |   6.8   |   6.2   |
| 医药商业 | 002727 |  一心堂  | 130.6 | 18.2  | 1.0  |  -0.5   |   0.5   |
| 医药商业 | 600998 | XD九州通 | 220.2 | 12.2  | 0.9  |   1.5   |   0.5   |
| 医药商业 | 603883 |  老百姓  | 178.0 | 18.4  | 0.6  |   3.1   |  -2.8   |
| 医药商业 | 601607 | 上海医药 | 664.2 | 13.3  | 0.5  |   1.0   |   0.5   |
| 医药商业 | 000705 | 浙江震元 | 27.1  | 44.7  | 0.5  |   2.5   |   0.4   |
| 医药商业 | 301263 |  泰恩康  | 55.9  | 25.9  | 0.3  |   4.6   |   2.0   |
| 医药商业 | 603716 | 塞力医疗 | 26.4  | 31.2  | 0.1  |   0.6   |  -3.3   |
| 医药商业 | 002411 | 延安必康 | 100.4 | -11.4 | 0.0  |   0.0   |   0.0   |
| 医药商业 | 000078 | 海王生物 | 100.1 | 35.3  | 0.0  |   1.7   |  -0.6   |
| 医药商业 | 000950 | 重药控股 | 85.4  | 19.1  | 0.0  |   0.8   |  -0.6   |
| 医药商业 | 002872 |  ST天圣  | 15.6  | -24.7 | 0.0  |   0.0   |  -3.7   |
| 医药商业 | 600511 | 国药股份 | 198.3 | 13.3  | -0.3 |  -1.2   |  -3.2   |
| 医药商业 | 000028 | 国药一致 | 125.8 | 12.5  | -0.4 |   1.0   |   0.3   |
| 医药商业 | 605266 |  健之佳  | 43.2  | 36.8  | -0.5 |  -1.3   |  -4.3   |
| 医药商业 | 603368 | 柳药集团 | 57.7  |  6.5  | -0.6 |   1.9   |   0.4   |
| 医药商业 | 002788 | 鹭燕医药 | 30.9  | 10.8  | -0.6 |   1.0   |  -1.1   |
| 医药商业 | 600713 | 南京医药 | 59.8  | 11.3  | -0.7 |  -1.3   |  -3.0   |
| 医药商业 | 600829 | 人民同泰 | 34.5  | 18.7  | -0.7 |  -0.2   |  -3.7   |
| 医药商业 | 600833 | 第一医药 | 20.5  | 81.7  | -0.8 |  -0.7   |  -5.3   |
| 医药商业 | 300937 |  药易购  | 27.9  | 76.5  | -1.1 |   0.3   |  -2.9   |
| 医药商业 | 600056 | 中国医药 | 214.8 | 21.8  | -1.2 |  -4.4   |   1.1   |
| 医药商业 | 600272 | 开开实业 | 21.3  | 63.2  | -1.4 |   1.0   |  -2.3   |
| 医药商业 | 603939 | 益丰药房 | 336.8 | 30.9  | -1.7 |   2.9   |  -4.4   |
| 医药商业 | 301017 | 漱玉平民 | 67.3  | 34.0  | -2.1 |  -0.8   |  -5.7   |
| 医药商业 | 603233 |  大参林  | 263.9 | 17.2  | -2.5 |   4.8   |   1.0   |
| 医药商业 | 002589 | 瑞康医药 | 59.3  | 34.7  | -2.5 |  -2.7   |  -2.2   |
| 医药商业 | 301015 | 百洋医药 | 106.5 | 30.1  | -2.9 |  -0.4   |  -4.7   |
