[行业>市值]
+------+--------+----------+-------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+-------+---------+---------+
| 游戏 | 002555 | 三七互娱 | 480.4 |  15.8  | -1.0  |  -1.6   |   1.3   |
| 游戏 | 002602 | 世纪华通 | 353.3 |  42.3  |  0.4  |  -0.6   |  -2.1   |
| 游戏 | 002624 | 完美世界 | 258.4 |  7.7   | -3.6  |  -5.3   |  -3.6   |
| 游戏 | 603444 |  吉比特  | 254.9 |  18.2  |  0.8  |  -0.8   |   4.3   |
| 游戏 | 300418 | 昆仑万维 | 179.5 |  12.0  |  0.3  |   0.7   |  -1.4   |
| 游戏 | 002558 | 巨人网络 | 174.3 |  16.1  |  0.1  |  -0.1   |  -1.7   |
| 游戏 | 300459 |  汤姆猫  | 121.6 |  16.7  | -0.6  |   2.7   |  -0.6   |
| 游戏 | 002517 | 恺英网络 | 121.4 |  12.2  |  1.4  |   2.4   |   3.1   |
| 游戏 | 300315 | 掌趣科技 | 94.9  |  74.8  | -1.1  |  -1.4   |   3.6   |
| 游戏 | 600633 | 浙数文化 | 88.5  |  44.1  | -0.3  |   1.3   |   0.9   |
| 游戏 | 002174 | 游族网络 | 83.9  |  26.2  |  0.7  |   0.2   |  -3.1   |
| 游戏 | 300002 | 神州泰岳 | 80.2  |  31.8  |  0.5  |   2.2   |   1.0   |
| 游戏 | 300113 | 顺网科技 | 71.8  |  57.3  | -0.4  |  -0.2   |  -3.8   |
| 游戏 | 002354 | 天娱数科 | 66.2  | 181.0  | -1.0  |  -3.4   |  -1.7   |
| 游戏 | 300031 | 宝通科技 | 60.3  |  21.9  | -2.1  |  -0.1   |  -4.5   |
| 游戏 | 300518 |  盛讯达  | 56.6  | 188.2  | -0.1  |  -0.5   |   0.0   |
| 游戏 | 002425 | 凯撒文化 | 52.0  |  78.8  | -1.8  |  -5.6   |  -2.3   |
| 游戏 | 002445 | 中南文化 | 51.4  |  13.1  | -0.9  |  -1.4   |  -4.4   |
| 游戏 | 603258 | 电魂网络 | 50.9  |  17.8  | -0.2  |   1.0   |  -0.7   |
| 游戏 | 300052 |  中青宝  | 46.1  | 265.4  | -1.8  |  -0.7   |  -6.2   |
| 游戏 | 300299 | 富春股份 | 41.1  |  84.1  | -2.3  |  -1.0   |  -5.4   |
| 游戏 | 600715 | 文投控股 | 41.0  | -12.9  | -0.9  |   0.5   |  -3.9   |
| 游戏 | 300533 | 冰川网络 | 37.8  |  4.3   | -1.6  |   0.7   |  -7.8   |
