[行业>三日涨幅]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
|  食品饮料  | 600872 | 中炬高新 | 240.9  |  38.0  | 10.0 |   9.0   |  14.5   |
| 非金属材料 | 300064 |  金刚退  |  11.0  |  -2.5  | 18.2 |  31.9   |  21.3   |
| 非金属材料 | 603260 | 合盛硅业 | 1349.0 |  16.4  | 10.0 |  24.2   |  25.9   |
|    银行    | 001227 | 兰州银行 | 301.9  |  15.4  | 10.0 |   7.1   |  13.5   |
|  铁路公路  | 603069 | 海汽集团 | 108.4  | -166.2 | 10.0 |  33.1   |  77.2   |
|  钢铁行业  | 605158 | 华达新材 |  36.4  |  30.9  | 10.1 |  10.6   |   5.5   |
|  采掘行业  | 603619 | 中曼石油 |  94.1  |  32.4  | 10.0 |  11.0   |  17.6   |
|  酿酒行业  | 600616 | 金枫酒业 |  49.8  | 360.0  | 10.1 |  13.9   |   9.4   |
|  通用设备  | 002639 | 雪人股份 |  89.5  | 923.4  | 10.0 |  15.8   |  13.6   |
|  通信设备  | 300570 |  太辰光  |  36.6  |  38.9  | 11.3 |  21.4   |  17.2   |
|  软件开发  | 301162 | 国能日新 |  41.8  | 196.9  | 14.3 |  16.2   |   2.1   |
|  软件开发  | 601519 |  大智慧  | 136.8  | -72.9  | 10.0 |  12.0   |  19.4   |
|  贸易行业  | 600753 | 东方银星 |  33.5  | 1086.2 | 10.0 |  23.2   |  18.1   |
|    证券    | 601788 | 光大证券 | 835.5  |  31.4  | 10.0 |  27.1   |  54.7   |
|    证券    | 600906 | 财达证券 | 305.4  |  99.1  | 10.1 |  12.6   |  13.0   |
|    证券    | 601066 | 中信建投 | 2021.0 |  32.8  | 10.0 |  11.6   |  14.2   |
|    证券    | 601236 | 红塔证券 | 429.7  | -14.9  | 10.0 |  10.8   |  12.2   |
|    证券    | 002939 | 长城证券 | 300.7  | -96.0  | 10.0 |  10.6   |  10.0   |
| 计算机设备 | 002512 | 达华智能 |  38.0  | -24.7  | 10.0 |  22.1   |  17.0   |
| 计算机设备 | 300367 |  网力退  |  3.7   |  -1.0  | 10.7 |  10.7   |  -31.1  |
| 计算机设备 | 300202 |  聚龙退  |  3.3   |  -7.4  | 15.4 |  -56.8  |  -56.8  |
|  装修装饰  | 001212 | 中旗新材 |  58.7  |  83.6  | 10.0 |  33.1   |  48.8   |
|  美容护理  | 600315 | 上海家化 | 260.2  |  32.6  | 10.0 |  15.4   |  11.5   |
|  美容护理  | 002094 | 青岛金王 |  25.9  |  49.0  | 10.0 |  10.0   |   9.0   |
|  纺织服装  | 002674 | 兴业科技 |  36.0  | 231.1  | 10.0 |  24.8   |  25.7   |
|  纺织服装  | 605138 | 盛泰集团 |  70.9  |  28.8  | 10.0 |  14.1   |   9.2   |
