[行业>三日涨幅]
+------------+--------+------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+------+---------+---------+
|  食品饮料  | 600866 |  星湖科技  |  49.4  |  53.9   | 3.7  |  15.8   |   8.1   |
|  食品饮料  | 603696 |  安记食品  |  24.9  |  214.2  | 5.0  |   9.4   |   4.4   |
|  食品饮料  | 301116 |  益客食品  |  97.9  |  -29.1  | 4.9  |   7.0   |   4.3   |
|  食品饮料  | 001219 |  青岛食品  |  26.0  |  31.5   | 4.5  |   5.8   |   2.4   |
|  食品饮料  | 603345 |  安井食品  | 427.4  |  52.3   | 5.2  |   4.6   |   6.0   |
|  食品饮料  | 300146 |  汤臣倍健  | 346.9  |  13.1   | 3.0  |   4.4   |   1.1   |
|  食品饮料  | 600191 |  *ST华资   |  23.0  |  -16.8  | 4.0  |   3.7   |  -11.1  |
|  食品饮料  | 603027 |  千禾味业  | 145.5  |  65.8   | 3.2  |   2.9   |   2.2   |
| 非金属材料 | 603612 |  索通发展  | 137.6  |  21.8   | 4.0  |  12.7   |  19.3   |
| 非金属材料 | 600783 |  鲁信创投  | 102.8  |  52.3   | 4.7  |   4.0   |   4.3   |
|    银行    | 601665 |  齐鲁银行  | 241.4  |   6.7   | 3.3  |   2.7   |   5.2   |
|    银行    | 601528 |  瑞丰银行  | 129.2  |  10.8   | 4.3  |   2.3   |   1.4   |
|    银行    | 600919 |  江苏银行  | 1001.0 |   3.8   | 3.0  |   1.9   |   7.1   |
|    银行    | 601187 |  厦门银行  | 164.2  |   6.5   | 3.1  |   1.6   |   4.4   |
|  铁路公路  | 600650 |  锦江在线  |  73.2  |   3.2   | 5.2  |  18.7   |  12.0   |
|  铁路公路  | 000828 |  东莞控股  | 106.1  |  15.6   | 3.1  |   1.6   |   1.6   |
|  采掘行业  | 603727 |   博迈科   |  38.8  |  67.4   | 4.0  |   8.0   |  11.4   |
|  采掘行业  | 300084 |  海默科技  |  19.7  |  -18.6  | 6.0  |   6.0   |  10.3   |
|  采掘行业  | 002629 |  仁智股份  |  16.9  |  -79.6  | 4.9  |   4.3   |  13.0   |
|  采掘行业  | 600871 |  石化油服  | 389.2  |  142.5  | 3.0  |   2.5   |   4.1   |
|  采掘行业  | 002828 |  贝肯能源  |  16.0  |  -1.9   | 3.8  |   1.8   |   6.0   |
|  采掘行业  | 300157 |  恒泰艾普  |  31.5  |  -16.5  | 5.0  |   1.4   |   7.3   |
|  采掘行业  | 600339 |  中油工程  | 178.1  |  28.5   | 3.6  |   1.3   |   5.3   |
|  采掘行业  | 002554 |   惠博普   |  49.6  |  110.2  | 3.1  |   0.3   |   4.8   |
|  酿酒行业  | 000729 |  燕京啤酒  | 239.6  | 6932.7  | 6.0  |   9.2   |   8.0   |
|  酿酒行业  | 000995 |  *ST皇台   |  30.5  |  484.2  | 3.6  |   8.9   |   8.0   |
|  酿酒行业  | 000860 |  顺鑫农业  | 180.2  |  43.2   | 5.7  |   5.0   |   4.9   |
|  酿酒行业  | 600197 |   伊力特   | 149.2  |  34.4   | 3.6  |   4.8   |  11.8   |
|  酿酒行业  | 002461 |  珠江啤酒  | 176.6  |  62.1   | 3.6  |   2.2   |   1.3   |
|  通用设备  | 300988 |  津荣天宇  |  27.5  |  37.1   | 3.0  |  12.3   |   1.4   |
|  通用设备  | 300985 |  致远新能  |  40.5  | -251.0  | 3.1  |  10.6   |   1.7   |
|  通用设备  | 600860 |  京城股份  |  88.7  | -1772.9 | 5.3  |   6.3   |  -0.1   |
|  通用设备  | 000530 |  冰山冷热  |  34.5  |  -67.6  | 3.0  |   2.2   |  -0.2   |
|  通信服务  | 300312 |   邦讯退   |  1.2   |  -1.1   | 5.9  |  -74.7  |  -74.7  |
|  软件开发  | 301221 |  光庭信息  |  53.7  |  938.6  | 4.2  |  16.0   |   4.7   |
|  软件开发  | 603990 |  麦迪科技  |  38.6  |  103.2  | 3.0  |  11.5   |   1.0   |
|  软件开发  | 300033 |   同花顺   | 497.8  |  111.2  | 3.5  |   4.2   |   5.1   |
|  软件开发  | 603039 |   ST泛微   | 107.6  |  177.7  | 5.0  |   2.9   |  -1.9   |
|  贸易行业  | 603003 |  龙宇燃油  |  29.1  |  32.5   | 3.3  |   2.8   |   2.3   |
|    证券    | 601108 |  财通证券  | 378.5  |  60.2   | 5.7  |   9.8   |  11.2   |
|    证券    | 002797 |  第一创业  | 271.9  |  94.5   | 5.2  |   9.7   |  11.0   |
|    证券    | 600909 |  华安证券  | 226.0  |  53.1   | 4.1  |   9.1   |   9.6   |
|    证券    | 000728 |  国元证券  | 285.4  |  -59.4  | 4.0  |   8.8   |  10.3   |
|    证券    | 600109 |  国金证券  | 341.9  |  68.7   | 5.4  |   7.9   |   9.4   |
|    证券    | 600621 |  华鑫股份  | 126.8  |  39.3   | 5.2  |   7.6   |   8.6   |
|    证券    | 601995 |  中金公司  | 2110.0 |  31.8   | 5.0  |   7.3   |  11.3   |
|    证券    | 000776 |  广发证券  | 1463.0 |  28.1   | 4.9  |   7.0   |   9.7   |
|    证券    | 601198 |  东兴证券  | 291.9  |  242.2  | 4.3  |   7.0   |   7.8   |
|    证券    | 600918 |  中泰证券  | 556.1  |  63.2   | 4.6  |   7.0   |   8.0   |
|    证券    | 601555 |  东吴证券  | 359.5  |  79.0   | 4.5  |   6.7   |   8.0   |
|    证券    | 600999 |  招商证券  | 1292.0 |  21.7   | 5.8  |   6.5   |  11.9   |
|    证券    | 600369 |  西南证券  | 271.8  |  -52.9  | 4.9  |   6.2   |   6.5   |
|    证券    | 000166 |  申万宏源  | 1092.0 |  25.5   | 4.8  |   6.1   |   6.1   |
|    证券    | 000686 |  东北证券  | 165.9  |  -16.0  | 4.6  |   6.0   |   4.0   |
|    证券    | 000750 |  国海证券  | 203.1  |  97.2   | 3.9  |   6.0   |   6.6   |
|    证券    | 600958 |  东方证券  | 863.3  |  94.5   | 4.8  |   5.9   |   6.3   |
|    证券    | 002926 |  华西证券  | 205.0  |  -30.2  | 3.9  |   5.8   |   7.3   |
|    证券    | 000783 |  长江证券  | 339.0  |  180.9  | 4.2  |   5.7   |   7.0   |
|    证券    | 600155 |  华创阳安  | 149.1  |  137.4  | 4.1  |   5.7   |   7.7   |
|    证券    | 002673 |  西部证券  | 301.2  | -447.1  | 4.2  |   5.5   |   5.3   |
|    证券    | 601162 |  天风证券  | 289.4  |  -85.8  | 4.4  |   5.4   |   6.2   |
|    证券    | 002736 |  国信证券  | 946.8  |  30.8   | 3.6  |   5.0   |   5.8   |
|    证券    | 002500 |  山西证券  | 209.3  |  80.4   | 4.9  |   4.9   |   4.7   |
|    证券    | 600030 |  中信证券  | 3129.0 |  15.0   | 4.1  |   4.3   |   5.8   |
|    证券    | 601688 |  华泰证券  | 1308.0 |  14.8   | 3.7  |   4.3   |   6.2   |
|    证券    | 601881 |  中国银河  | 974.2  |  15.7   | 4.1  |   4.3   |   6.8   |
|    证券    | 601375 |  中原证券  | 197.8  |  268.2  | 3.9  |   4.2   |   6.5   |
|    证券    | 600061 |  国投资本  | 428.6  |  168.4  | 4.9  |   4.1   |   6.5   |
|    证券    | 601211 |  国泰君安  | 1363.0 |  13.5   | 3.5  |   3.7   |   4.3   |
|    证券    | 600837 |  海通证券  | 1282.0 |  21.4   | 3.6  |   3.6   |   6.0   |
|    证券    | 600864 |  哈投股份  | 112.4  |  -5.9   | 4.8  |   2.3   |  12.7   |
| 计算机设备 | 688086 |  *ST紫晶   |  14.2  |  -3.5   | 5.1  |  14.6   |   2.0   |
| 计算机设备 | 300771 |  智莱科技  |  32.0  |  19.4   | 3.7  |   1.4   |   0.7   |
|  装修建材  | 603816 |  顾家家居  | 382.4  |  21.6   | 3.1  |  -0.8   |  -6.3   |
|  航运港口  | 601228 |   广州港   | 266.9  |  21.5   | 4.1  |   8.3   |  21.4   |
|  航空机场  | 000099 |  中信海直  |  60.7  |  21.4   | 3.7  |   3.0   |   2.9   |
|  美容护理  | 603983 |  丸美股份  |  94.5  |  36.1   | 4.3  |   3.4   |  -0.2   |
|  美容护理  | 300896 |   爱美客   | 1153.0 |  102.9  | 3.0  |   0.7   |   0.4   |
|  综合行业  | 000909 |  数源科技  |  66.1  |  339.1  | 3.3  |   6.4   |  10.6   |
|  纺织服装  | 603555 |   贵人鸟   |  63.6  |  624.9  | 4.9  |  10.7   |   7.7   |
|  纺织服装  | 301088 |  戎美股份  |  43.2  |  22.6   | 4.6  |   6.6   |   3.0   |
|  石油行业  | 600759 |   ST洲际   |  65.0  |  20.9   | 5.1  |  15.7   |  34.1   |
|  石油行业  | 601857 |  中国石油  |  0.0   |   7.3   | 5.4  |   7.1   |  12.9   |
|  石油行业  | 002221 |  东华能源  | 143.6  |  33.6   | 3.9  |   6.3   |   3.7   |
|  石油行业  | 300023 |   宝德退   |  4.0   |  17.8   | 4.2  |   5.0   |  -58.8  |
|  石油行业  | 000159 |  国际实业  |  29.8  |  35.4   | 5.6  |   4.7   |   8.4   |
|  石油行业  | 600938 |  中国海油  | 9718.0 |   7.1   | 4.0  |   3.5   |   9.8   |
|  石油行业  | 600688 |  上海石化  | 374.5  |  43.9   | 3.3  |   2.1   |   3.9   |
|  电网设备  | 603070 |  万控智造  |  81.8  |  112.7  | 4.2  |  12.9   |  11.5   |
|  电网设备  | 603016 |   新宏泰   |  32.6  |  74.0   | 4.0  |  12.4   |  10.1   |
|  电网设备  | 002276 |  万马股份  |  80.8  |  49.7   | 5.3  |  10.5   |   6.4   |
|  电网设备  | 600112 |  *ST天成   |  14.2  |  -10.1  | 4.9  |   4.9   |  -2.5   |
|  电网设备  | 603191 |  望变电气  |  62.4  |  42.6   | 3.4  |   4.8   |  -1.1   |
|  电源设备  | 002851 |  麦格米特  | 119.0  |  40.5   | 5.0  |  17.9   |  10.8   |
|  电源设备  | 600875 |  东方电气  | 504.0  |  13.6   | 3.9  |   8.4   |   6.7   |
|    电机    | 002196 |  方正电机  |  48.7  |  204.3  | 5.6  |  13.6   |   6.0   |
|    电机    | 600580 |  卧龙电驱  | 178.9  |  22.6   | 4.6  |  12.0   |   3.4   |
|    电机    | 002576 |  通达动力  |  20.9  |  51.6   | 4.5  |  11.9   |   2.8   |
|  电子元件  | 002579 |  中京电子  |  53.7  |  226.9  | 3.3  |  25.0   |  21.2   |
|  电子元件  | 002618 |   丹邦退   |  4.8   |  -2.4   | 4.8  |  17.3   |  11.4   |
|  电子元件  | 002436 |  兴森科技  | 154.0  |  19.1   | 5.8  |  13.2   |   6.9   |
|  电子元件  | 600237 |  铜峰电子  |  41.7  |  49.6   | 5.0  |  10.8   |   6.2   |
|  电子元件  | 688210 |  DR统联精  |  25.9  |  66.2   | 3.6  |   8.2   |   1.8   |
|  电子元件  | 002388 |  新亚制程  |  25.7  |  108.2  | 4.4  |   7.9   |   3.7   |
|  电子元件  | 688662 |  富信科技  |  27.5  |  51.7   | 3.6  |   4.5   |  -7.4   |
|  电子元件  | 002729 |  好利科技  |  56.4  |  203.4  | 4.6  |   0.0   |  -3.0   |
|  电力行业  | 600995 |  文山电力  |  72.7  |  18.6   | 4.4  |   8.0   |   4.3   |
|  电力行业  | 600212 |  江泉实业  |  29.2  | -104.0  | 3.8  |   5.9   |  -0.7   |
