[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 化学原料 | 600989 | 宝丰能源 | 1200.0 |  17.2  | 0.0  |  -1.5   |   5.3   |
| 化学原料 | 002648 | 卫星化学 | 672.2  |  11.1  | -1.6 |   2.2   |   1.8   |
| 化学原料 | 600426 | 华鲁恒升 | 655.8  |  6.8   | 3.1  |   3.8   |   6.9   |
| 化学原料 | 002601 | 龙佰集团 | 492.0  |  11.6  | 0.1  |   1.3   |   4.9   |
| 化学原料 | 601216 | 君正集团 | 405.0  |  11.5  | 3.7  |   0.2   |   2.4   |
| 化学原料 | 000830 | 鲁西化工 | 366.7  |  6.9   | -3.0 |  -2.3   |  -0.5   |
| 化学原料 | 603077 | 和邦生物 | 360.3  |  8.6   | -4.5 |   4.6   |  13.7   |
| 化学原料 | 000683 | 远兴能源 | 355.3  |  11.2  | -1.7 |  -6.0   |  -3.0   |
| 化学原料 | 601568 | 北元集团 | 256.6  |  12.4  | -0.9 |  -1.5   |  -2.0   |
| 化学原料 | 000818 | 航锦科技 | 235.9  |  65.3  | -3.0 |  -10.5  |  -3.0   |
| 化学原料 | 002145 | 中核钛白 | 220.4  |  18.3  | -1.2 |  -3.0   |  -6.6   |
| 化学原料 | 002092 | 中泰化学 | 216.1  |  12.2  | -2.0 |  -5.5   |   2.1   |
| 化学原料 | 600328 | 中盐化工 | 209.5  |  8.5   | -5.7 |  -7.7   |  -0.6   |
| 化学原料 | 600935 | 华塑股份 | 198.9  |  21.3  | -2.1 |   3.5   |   5.6   |
| 化学原料 | 000422 | 湖北宜化 | 193.2  |  7.6   | -6.3 |  -3.9   |   3.6   |
| 化学原料 | 600277 | 亿利洁能 | 184.4  |  32.5  | -2.6 |  -3.7   |  -5.5   |
| 化学原料 | 600623 | 华谊集团 | 179.9  |  6.7   | -1.6 |  -1.8   |  -0.2   |
| 化学原料 | 600610 |  中毅达  | 178.4  | 247.9  | -2.1 |   2.8   |  17.6   |
