[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 旅游酒店 | 601888 | 中国中免 | 3553.0 |  34.6   | 0.5  |  -3.1   |  -1.5   |
| 旅游酒店 | 600754 | 锦江酒店 | 552.2  | -115.0  | 1.2  |  -0.1   |   0.5   |
| 旅游酒店 | 300144 | 宋城演艺 | 321.6  | -208.4  | -0.4 |  -3.5   |  -3.0   |
| 旅游酒店 | 600258 | 首旅酒店 | 241.9  |  -26.0  | 0.8  |  -0.1   |  -0.7   |
| 旅游酒店 | 600138 |  中青旅  |  78.4  |  -17.5  | 0.6  |  -0.6   |  -2.4   |
| 旅游酒店 | 600054 | 黄山旅游 |  75.6  |  -22.6  | 1.4  |   0.9   |   0.5   |
| 旅游酒店 | 000524 | 岭南控股 |  70.2  |  -23.1  | 3.8  |   2.9   |   3.1   |
| 旅游酒店 | 002059 | 云南旅游 |  69.5  | -188.0  | 1.2  |   1.3   |  -1.4   |
| 旅游酒店 | 301073 | 君亭酒店 |  60.3  |  384.3  | 0.3  |   1.4   |  -3.4   |
| 旅游酒店 | 002707 | 众信旅游 |  53.1  |  -23.3  | 1.6  |   0.0   |  -1.5   |
| 旅游酒店 | 603136 |  天目湖  |  47.9  |  -55.7  | 3.2  |   5.8   |   3.8   |
| 旅游酒店 | 605108 |  同庆楼  |  45.0  |  49.3   | 0.5  |  -0.5   |  -6.5   |
| 旅游酒店 | 000428 | 华天酒店 |  39.3  |  -29.6  | -1.0 |  -2.0   |   2.7   |
| 旅游酒店 | 000796 |  ST凯撒  |  38.8  |  -15.4  | 5.0  |   0.2   |   4.1   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  38.2  |  215.9  | 1.3  |   0.0   |   0.0   |
| 旅游酒店 | 300859 | 西域旅游 |  37.8  |  -53.8  | -0.8 |   0.4   |  -4.4   |
| 旅游酒店 | 601007 | 金陵饭店 |  36.9  |  -99.5  | -2.1 |  -4.5   |   2.7   |
| 旅游酒店 | 002033 | 丽江股份 |  36.9  |  -32.6  | 1.2  |   0.6   |  -1.6   |
| 旅游酒店 | 000978 | 桂林旅游 |  30.0  |  -10.5  | 1.9  |   0.8   |   1.6   |
| 旅游酒店 | 600706 | 曲江文旅 |  27.9  |  -13.8  | 4.7  |   9.0   |   6.1   |
| 旅游酒店 | 600749 | 西藏旅游 |  27.0  |  -30.0  | 0.1  |   0.7   |  -3.6   |
| 旅游酒店 | 002306 | 中科云网 |  25.6  | -1026.0 | -1.0 |   1.0   |   1.0   |
| 旅游酒店 | 002186 | 全 聚 德 |  24.8  |  -13.1  | 0.9  |  -0.7   |  -3.2   |
| 旅游酒店 | 000721 | 西安饮食 |  24.4  |  -12.1  | 0.2  |   0.7   |   0.7   |
| 旅游酒店 | 000430 |  张家界  |  24.3  |  -9.8   | 0.5  |  -0.7   |  -1.8   |
| 旅游酒店 | 603199 | 九华旅游 |  23.9  | -107.9  | 0.7  |  -0.1   |  -2.5   |
| 旅游酒店 | 603099 |  长白山  |  21.4  |  -15.5  | 0.2  |   0.1   |  -3.2   |
| 旅游酒店 | 000610 | 西安旅游 |  20.8  |  -15.2  | -0.6 |   1.0   |   1.6   |
| 旅游酒店 | 300756 | 金马游乐 |  19.6  |  169.2  | -0.5 |  -0.2   |  -0.8   |
| 旅游酒店 | 002159 | 三特索道 |  17.8  |  -20.3  | 0.5  |   0.5   |  -2.3   |
| 旅游酒店 | 600593 | 大连圣亚 |  16.6  |  -13.8  | -0.4 |  -2.6   |  -4.1   |
| 旅游酒店 | 600555 | *ST海创  |  15.9  |  -26.3  | 0.0  |   0.0   |   0.0   |
| 旅游酒店 | 000613 | 东海A退  |  2.4   |  54.1   | 1.5  |   8.2   |  -69.0  |
| 旅游酒店 | 300178 |  腾邦退  |  1.5   |  -0.2   | -4.0 |   4.3   |  -4.0   |
+----------+--------+----------+--------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 旅游酒店 | 000796 |  ST凯撒  |  38.8  |  -15.4  | 5.0  |   0.2   |   4.1   |
| 旅游酒店 | 600706 | 曲江文旅 |  27.9  |  -13.8  | 4.7  |   9.0   |   6.1   |
| 旅游酒店 | 000524 | 岭南控股 |  70.2  |  -23.1  | 3.8  |   2.9   |   3.1   |
| 旅游酒店 | 603136 |  天目湖  |  47.9  |  -55.7  | 3.2  |   5.8   |   3.8   |
| 旅游酒店 | 000978 | 桂林旅游 |  30.0  |  -10.5  | 1.9  |   0.8   |   1.6   |
| 旅游酒店 | 002707 | 众信旅游 |  53.1  |  -23.3  | 1.6  |   0.0   |  -1.5   |
| 旅游酒店 | 000613 | 东海A退  |  2.4   |  54.1   | 1.5  |   8.2   |  -69.0  |
| 旅游酒店 | 600054 | 黄山旅游 |  75.6  |  -22.6  | 1.4  |   0.9   |   0.5   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  38.2  |  215.9  | 1.3  |   0.0   |   0.0   |
| 旅游酒店 | 002033 | 丽江股份 |  36.9  |  -32.6  | 1.2  |   0.6   |  -1.6   |
| 旅游酒店 | 600754 | 锦江酒店 | 552.2  | -115.0  | 1.2  |  -0.1   |   0.5   |
| 旅游酒店 | 002059 | 云南旅游 |  69.5  | -188.0  | 1.2  |   1.3   |  -1.4   |
| 旅游酒店 | 002186 | 全 聚 德 |  24.8  |  -13.1  | 0.9  |  -0.7   |  -3.2   |
| 旅游酒店 | 600258 | 首旅酒店 | 241.9  |  -26.0  | 0.8  |  -0.1   |  -0.7   |
| 旅游酒店 | 603199 | 九华旅游 |  23.9  | -107.9  | 0.7  |  -0.1   |  -2.5   |
| 旅游酒店 | 600138 |  中青旅  |  78.4  |  -17.5  | 0.6  |  -0.6   |  -2.4   |
| 旅游酒店 | 601888 | 中国中免 | 3553.0 |  34.6   | 0.5  |  -3.1   |  -1.5   |
| 旅游酒店 | 000430 |  张家界  |  24.3  |  -9.8   | 0.5  |  -0.7   |  -1.8   |
| 旅游酒店 | 002159 | 三特索道 |  17.8  |  -20.3  | 0.5  |   0.5   |  -2.3   |
| 旅游酒店 | 605108 |  同庆楼  |  45.0  |  49.3   | 0.5  |  -0.5   |  -6.5   |
| 旅游酒店 | 301073 | 君亭酒店 |  60.3  |  384.3  | 0.3  |   1.4   |  -3.4   |
| 旅游酒店 | 603099 |  长白山  |  21.4  |  -15.5  | 0.2  |   0.1   |  -3.2   |
| 旅游酒店 | 000721 | 西安饮食 |  24.4  |  -12.1  | 0.2  |   0.7   |   0.7   |
| 旅游酒店 | 600749 | 西藏旅游 |  27.0  |  -30.0  | 0.1  |   0.7   |  -3.6   |
| 旅游酒店 | 600555 | *ST海创  |  15.9  |  -26.3  | 0.0  |   0.0   |   0.0   |
| 旅游酒店 | 600593 | 大连圣亚 |  16.6  |  -13.8  | -0.4 |  -2.6   |  -4.1   |
| 旅游酒店 | 300144 | 宋城演艺 | 321.6  | -208.4  | -0.4 |  -3.5   |  -3.0   |
| 旅游酒店 | 300756 | 金马游乐 |  19.6  |  169.2  | -0.5 |  -0.2   |  -0.8   |
