[行业>市值]
+------------+--------+-------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+--------+------+---------+---------+
| 汽车零部件 | 000338 |  潍柴动力   | 1113.0 |  26.5  | -0.7 |   4.9   |   6.2   |
| 汽车零部件 | 002920 |  德赛西威   | 798.8  |  62.8  | -3.5 |  -0.5   |  -1.5   |
| 汽车零部件 | 600741 |  华域汽车   | 746.2  |  10.9  | -1.1 |   4.7   |   4.5   |
| 汽车零部件 | 601689 |  拓普集团   | 725.8  |  47.0  | 0.0  |  10.7   |  14.7   |
| 汽车零部件 | 601799 |  星宇股份   | 459.7  |  42.6  | -2.1 |   3.3   |   3.4   |
| 汽车零部件 | 603596 |   伯特利    | 299.0  |  54.0  | -2.8 |   0.1   |   2.7   |
| 汽车零部件 | 603786 |   科博达    | 255.3  |  69.7  | -0.1 |   2.3   |  -2.1   |
| 汽车零部件 | 002906 |  华阳集团   | 234.7  |  84.8  | -2.1 |   6.8   |  12.1   |
| 汽车零部件 | 601717 |  XD郑煤机   | 234.5  |  8.6   | -1.4 |  -2.2   |   1.0   |
| 汽车零部件 | 300432 |  富临精工   | 225.6  |  26.7  | 5.5  |  14.3   |  15.3   |
| 汽车零部件 | 300428 |  立中集团   | 214.4  |  39.9  | -7.0 |  -3.1   |  18.4   |
| 汽车零部件 | 002472 |  双环传动   | 202.9  |  42.7  | -2.1 |  -2.6   |  -0.1   |
| 汽车零部件 | 000581 |  威孚高科   | 197.8  |  6.7   | -0.7 |  -0.4   |  -0.9   |
| 汽车零部件 | 000559 |  万向钱潮   | 192.3  |  18.5  | -3.0 |   2.1   |   3.7   |
| 汽车零部件 | 600699 |  均胜电子   | 185.6  | -29.4  | -2.6 |   0.9   |   3.8   |
| 汽车零部件 | 603305 |  旭升股份   | 178.5  |  37.2  | -1.8 |   7.0   |  12.5   |
| 汽车零部件 | 000981 |   *ST银亿   | 165.0  |  8.7   | -0.6 |   1.9   |   3.1   |
| 汽车零部件 | 603179 |  新泉股份   | 153.7  |  46.1  | 0.8  |   9.6   |  11.2   |
| 汽车零部件 | 688326 | 经纬恒润-W  | 151.7  | -119.5 | -2.0 |   5.8   |   7.3   |
| 汽车零部件 | 603348 |  文灿股份   | 146.8  |  46.2  | -3.8 |   0.5   |   9.2   |
| 汽车零部件 | 002865 |  钧达股份   | 141.8  | 163.8  | -6.5 |   5.7   |  11.4   |
| 汽车零部件 | 600933 |   爱柯迪    | 140.2  |  41.3  | -1.5 |   4.3   |   8.3   |
| 汽车零部件 | 600841 |  动力新科   | 129.4  | 193.2  | -2.0 |   0.1   |  -2.2   |
