[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 电子元件 | 300124 | 汇川技术 | 1694.0 |  59.0  | -2.8 |  -1.2   |  -1.7   |
| 电子元件 | 002179 | 中航光电 | 940.1  |  31.9  | -0.6 |  -6.6   |  -4.5   |
| 电子元件 | 002938 | 鹏鼎控股 | 671.3  |  28.3  | 0.1  |  -1.6   |  -3.4   |
| 电子元件 | 000733 | 振华科技 | 640.4  |  26.4  | 0.3  |  -2.7   |  -0.2   |
| 电子元件 | 300408 | 三环集团 | 552.0  |  27.7  | 1.9  |  -0.2   |  -7.6   |
| 电子元件 | 600884 | 杉杉股份 | 541.6  |  16.8  | -0.4 |   3.2   |   4.0   |
| 电子元件 | 300390 | 天华超净 | 475.3  |  7.8   | 5.3  |   7.8   |  15.6   |
| 电子元件 | 002916 | 深南电路 | 472.3  |  33.9  | 0.7  |  -1.4   |  -4.5   |
| 电子元件 | 002414 | 高德红外 | 397.8  |  31.9  | 1.9  |   1.1   |  -0.3   |
| 电子元件 | 600563 | 法拉电子 | 383.8  |  47.0  | -3.6 |  -7.2   |  -8.6   |
| 电子元件 | 600183 | 生益科技 | 382.0  |  19.8  | 2.3  |   0.6   |  -1.0   |
| 电子元件 | 002008 | 大族激光 | 330.2  |  24.8  | 1.3  |   1.3   |  -0.1   |
| 电子元件 | 002384 | 东山精密 | 316.2  |  21.7  | -0.9 |  -1.3   |  -1.1   |
| 电子元件 | 002025 | 航天电器 | 310.5  |  48.9  | 1.5  |  -3.4   |  -5.8   |
| 电子元件 | 002463 | 沪电股份 | 309.3  |  31.0  | -4.1 |  -3.5   |   0.2   |
| 电子元件 | 603267 | 鸿远电子 | 294.6  |  28.4  | 1.2  |  -0.8   |  -1.4   |
| 电子元件 | 688778 | 厦钨新能 | 230.4  |  27.8  | -2.0 |  -4.6   |  -7.2   |
| 电子元件 | 300726 | 宏达电子 | 225.9  |  32.2  | 0.3  |  -3.5   |  -7.9   |
| 电子元件 | 000988 | 华工科技 | 214.4  |  23.7  | -2.0 |   3.9   |   3.4   |
| 电子元件 | 002138 | 顺络电子 | 211.3  |  32.4  | -0.4 |  -1.9   |  -8.6   |
| 电子元件 | 603228 | 景旺电子 | 207.1  |  29.5  | -1.1 |   1.6   |  -1.7   |
| 电子元件 | 000636 | 风华高科 | 204.7  |  28.4  | 2.0  |  -0.3   |   2.2   |
| 电子元件 | 002484 | 江海股份 | 179.5  |  38.2  | -0.7 |  -7.3   |  -5.9   |
| 电子元件 | 603678 | 火炬电子 | 178.6  |  23.0  | -0.6 |  -5.6   |  -7.6   |
| 电子元件 | 002389 | 航天彩虹 | 176.7  | 127.3  | 0.6  |  -0.1   |  -1.7   |
| 电子元件 | 002436 | 兴森科技 | 151.8  |  18.9  | -1.4 |   9.0   |   6.5   |
| 电子元件 | 300747 | 锐科激光 | 144.3  | 172.6  | 1.3  |   3.6   |  -1.5   |
| 电子元件 | 300476 | 胜宏科技 | 143.7  |  17.8  | -0.1 |  -3.8   |  -5.1   |
| 电子元件 | 688776 | 国光电气 | 129.6  |  77.8  | 0.4  |  -1.7   |  -0.1   |
| 电子元件 | 688800 |  瑞可达  | 128.9  |  57.8  | -3.0 |   1.8   |  -0.6   |
| 电子元件 | 000062 | 深圳华强 | 127.7  |  14.5  | 0.6  |   1.2   |  -0.6   |
| 电子元件 | 301217 | 铜冠铜箔 | 121.6  |  30.9  | -1.9 |  -2.3   |   1.9   |
| 电子元件 | 600478 |  科力远  | 108.8  |  86.1  | -0.9 |   3.1   |   6.5   |
| 电子元件 | 603989 | 艾华集团 | 105.1  |  22.9  | -0.9 |  -5.8   |  -7.2   |
| 电子元件 | 002815 | 崇达技术 | 102.2  |  16.2  | -1.5 |  -0.9   |  -2.9   |
| 电子元件 | 002859 | 洁美科技 |  98.9  |  77.2  | 0.2  |  -2.0   |  -3.3   |
| 电子元件 | 002913 |  奥士康  |  93.0  |  15.6  | 0.7  |  -1.1   |  -3.8   |
| 电子元件 | 688183 | 生益电子 |  89.6  |  30.0  | -1.1 |  -0.4   |  -3.1   |
| 电子元件 | 603920 | 世运电路 |  86.7  |  45.9  | -3.0 |  -1.2   |  -3.8   |
| 电子元件 | 002724 |  海洋王  |  86.3  | 128.1  | -0.6 |  -6.2   |  -7.4   |
| 电子元件 | 301150 | 中一科技 |  77.9  |  18.4  | -2.5 |  -3.4   |  -8.8   |
| 电子元件 | 300475 | 香农芯创 |  76.8  |  35.0  | 0.0  |  -0.7   |  -6.9   |
| 电子元件 | 603738 | 泰晶科技 |  70.9  |  24.1  | 2.4  |  -0.6   |  -0.9   |
| 电子元件 | 002214 | 大立科技 |  70.6  | 218.7  | -1.3 |  -0.6   |  -4.7   |
| 电子元件 | 688519 | 南亚新材 |  67.9  |  23.9  | 0.3  |  -1.8   |  -5.6   |
| 电子元件 | 002636 | 金安国纪 |  62.4  |  97.3  | -0.8 |  -0.2   |  -3.7   |
| 电子元件 | 603328 | 依顿电子 |  61.0  |  40.1  | -0.2 |  -0.7   |  -2.4   |
| 电子元件 | 600288 | 大恒科技 |  59.8  | -162.3 | 1.0  |   0.7   |   0.8   |
| 电子元件 | 002141 | 贤丰控股 |  56.3  |  79.9  | -2.5 |  -2.5   |  -2.0   |
| 电子元件 | 002729 | 好利科技 |  54.8  | 197.5  | -2.9 |  -2.6   |  -5.8   |
| 电子元件 | 600601 | *ST方科  |  53.8  | -10.4  | -0.4 |  -2.4   |  -4.7   |
| 电子元件 | 300516 |  久之洋  |  53.1  | 154.3  | 4.4  |  -1.8   |   5.5   |
| 电子元件 | 000823 | 超声电子 |  52.3  |  17.4  | 1.1  |   2.4   |   1.1   |
| 电子元件 | 300903 | 科翔股份 |  52.1  |  70.3  | -0.9 |  -2.8   |  -5.3   |
| 电子元件 | 603936 | 博敏电子 |  51.1  |  31.5  | -0.5 |  -2.4   |  -1.3   |
| 电子元件 | 300656 | 民德电子 |  50.6  |  91.7  | 0.5  |  -2.0   |  -4.5   |
| 电子元件 | 002922 |  伊戈尔  |  50.0  |  35.8  | 0.5  |  -1.2   |   2.2   |
| 电子元件 | 603002 | 宏昌电子 |  49.1  |  22.0  | -1.4 |  -1.3   |  -2.0   |
| 电子元件 | 002288 | 超华科技 |  48.5  |  43.2  | 0.0  |   1.0   |   1.6   |
