[行业>三日涨幅]
+------------+--------+-------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+---------+------+---------+---------+
|  食品饮料  | 000972 |   *ST中基   |  20.1  | -100.9  | -5.1 |   1.2   |  17.0   |
|  食品饮料  | 605016 |  百龙创园   |  47.6  |  29.2   | -4.4 |  -1.4   |  -8.7   |
|  食品饮料  | 001318 |  阳光乳业   |  53.9  |  54.8   | -4.4 |  -5.3   |  -10.6  |
|  风电设备  | 601615 |  明阳智能   | 552.2  |   9.8   | -3.1 |   0.7   |   0.2   |
|  风电设备  | 300772 |  运达股份   | 105.0  |  23.5   | -3.2 |  -2.8   |  -2.5   |
|  风电设备  | 300850 |   新强联    | 271.9  |  69.6   | -4.0 |  -5.8   |  -5.3   |
|  风电设备  | 002487 |  大金重工   | 165.4  |  66.4   | -4.3 |  -6.9   |  -10.6  |
| 非金属材料 | 603260 |  合盛硅业   | 1300.0 |  15.8   | -3.6 |   8.8   |  24.9   |
| 非金属材料 | 001296 |  长江材料   |  25.6  |  44.6   | -4.1 |   2.9   |  -2.8   |
| 非金属材料 | 300861 |  美畅股份   | 362.7  |  31.9   | -3.8 |   1.3   |   6.2   |
| 非金属材料 | 603688 |  石英股份   | 374.3  |  107.1  | -3.6 |   1.0   |  10.7   |
|  铁路公路  | 600650 |  锦江在线   |  70.8  |   3.1   | -3.3 |  11.8   |  -1.6   |
|  铁路公路  | 603032 |  德新交运   | 144.6  |  69.7   | -3.5 |  -10.0  |  -4.0   |
|  钢铁行业  | 002318 |  久立特材   | 155.7  |  20.1   | -3.5 |  -3.1   |  -2.9   |
|  钢铁行业  | 600507 |  XD方大特   | 168.4  |   7.8   | -3.1 |  -3.2   |  -0.8   |
|  钢铁行业  | 600295 |  鄂尔多斯   | 378.4  |   7.0   | -3.4 |  -8.7   |  -3.2   |
|  采掘行业  | 605086 |  龙高股份   |  26.2  |  24.1   | -3.1 |   5.5   |   3.8   |
|  采掘行业  | 300084 |  海默科技   |  18.9  |  -17.8  | -4.1 |   2.3   |   6.0   |
|  采掘行业  | 300164 |  通源石油   |  30.5  |  428.2  | -5.9 |   1.6   |  12.2   |
|  采掘行业  | 603505 |  金石资源   | 125.0  |  95.9   | -5.3 |   0.9   |   6.9   |
|  采掘行业  | 603727 |   博迈科    |  37.1  |  64.5   | -4.2 |   0.2   |   6.6   |
|  采掘行业  | 300157 |  恒泰艾普   |  30.2  |  -15.9  | -4.1 |  -0.9   |   2.4   |
|  采掘行业  | 002207 |  准油股份   |  24.3  |  33.0   | -4.9 |  -1.0   |  11.2   |
|  采掘行业  | 002554 |   惠博普    |  48.0  |  106.6  | -3.3 |  -1.9   |   1.1   |
|  采掘行业  | 002828 |  贝肯能源   |  15.4  |  -1.9   | -3.5 |  -2.2   |   2.7   |
|  采掘行业  | 002629 |  仁智股份   |  16.1  |  -76.1  | -4.4 |  -4.2   |  10.8   |
|  酿酒行业  | 600197 |   伊力特    | 143.0  |  33.0   | -4.1 |   0.4   |   6.4   |
|  通用设备  | 300885 |  海昌新材   |  28.1  |  32.3   | -4.3 |   6.8   |   6.9   |
|  通用设备  | 300228 |  富瑞特装   |  37.4  |  -42.9  | -3.7 |   6.0   |   5.7   |
|  通用设备  | 301268 |   铭利达    | 129.4  |  57.2   | -3.6 |   5.1   |   8.3   |
|  通用设备  | 300421 |  力星股份   |  31.0  |  63.4   | -4.8 |   4.1   |   4.2   |
|  通用设备  | 300988 |  津荣天宇   |  26.6  |  35.9   | -3.3 |   2.6   |   2.1   |
|  通用设备  | 300985 |  致远新能   |  39.0  | -241.4  | -3.8 |   1.5   |   1.6   |
|  通用设备  | 300943 |  春晖智控   |  30.2  |  62.7   | -4.0 |   1.0   |  -0.3   |
|  通用设备  | 600421 |  华嵘控股   |  19.8  | -237.4  | -3.2 |  -2.8   |  -5.2   |
|  通用设备  | 002514 |  宝馨科技   |  27.8  |  124.4  | -3.6 |  -3.5   |   3.9   |
|  通用设备  | 002438 |  江苏神通   |  65.4  |  22.2   | -3.5 |  -3.5   |  -5.1   |
|  通用设备  | 301029 |   怡合达    | 318.1  |  78.7   | -5.2 |  -4.2   |  -2.4   |
|  通用设备  | 002965 |  祥鑫科技   |  45.1  |  33.1   | -3.4 |  -4.5   |  -0.2   |
|  通用设备  | 603985 |  恒润股份   |  93.7  |  185.4  | -3.8 |  -4.7   |  -8.8   |
|  通用设备  | 002598 |  山东章鼓   |  29.1  |  36.0   | -3.7 |  -8.7   |  -16.2  |
|  通信设备  | 603803 |  瑞斯康达   |  33.5  |  29.9   | -5.8 |   2.6   |  11.5   |
|  通信设备  | 688313 |  仕佳光子   |  49.5  |  54.2   | -3.1 |   2.2   |  -1.6   |
|  通信设备  | 600083 |   *ST博信   |  23.3  |  12.3   | -4.2 |  -1.7   |  -4.5   |
|  通信设备  | 600734 |   ST实达    | 106.5  | -180.7  | -5.0 |  -3.5   |   0.0   |
|  通信设备  | 600260 |   *ST凯乐   |  24.8  |  -6.8   | -4.2 |  -9.4   |  -3.5   |
|  软件开发  | 301221 |  光庭信息   |  51.1  |  892.8  | -4.9 |   5.8   |   3.5   |
|  软件开发  | 603990 |  麦迪科技   |  37.2  |  99.4   | -3.6 |   0.8   |  -5.1   |
|  贸易行业  | 600753 |  东方银星   |  32.5  | 1053.4  | -3.0 |  17.3   |  15.9   |
|  贸易行业  | 600241 |   ST时万    |  22.2  |  22.8   | -3.2 |   2.9   |   2.6   |
|  贸易行业  | 002091 |  江苏国泰   | 182.8  |  10.5   | -3.3 |  -0.3   |  -1.1   |
|  贸易行业  | 600301 |  南化股份   |  38.6  |  222.4  | -3.2 |  -2.5   |   5.3   |
| 计算机设备 | 300367 |   网力退    |  3.6   |  -1.0   | -3.2 |  11.1   |  -33.3  |
| 计算机设备 | 300771 |  智莱科技   |  31.0  |  18.8   | -3.0 |  -1.5   |  -1.1   |
|  装修装饰  | 001212 |  中旗新材   |  55.5  |  79.0   | -5.0 |  15.0   |  32.4   |
|  装修装饰  | 601886 |  江河集团   |  75.4  |  20.6   | -5.1 |  -3.8   |  -6.7   |
|  装修建材  | 301010 |  晶雪节能   |  22.8  |  142.5  | -3.4 |  -1.9   |  -16.3  |
|  装修建材  | 002323 |  雅博股份   |  78.3  |  428.3  | -4.4 |  -6.6   |  -21.3  |
|  航运港口  | 601975 |  招商南油   | 194.1  |  46.9   | -3.9 |  -2.0   |   1.8   |
