[行业>市值]
+----------+--------+----------+-------+-------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+------+---------+---------+
| 农药兽药 | 600486 | 扬农化工 | 426.6 | 11.8  | -3.5 |  -6.8   |  -2.5   |
| 农药兽药 | 000553 | 安道麦A  | 291.2 | 17.0  | 0.0  |  -2.5   |   2.5   |
| 农药兽药 | 600596 | 新安股份 | 255.4 |  5.2  | -2.2 |  -5.0   |  11.0   |
| 农药兽药 | 301035 | 润丰股份 | 206.5 | 13.3  | -0.8 |   1.7   |  -1.1   |
| 农药兽药 | 603599 | 广信股份 | 190.5 |  8.4  | -0.9 |  -2.3   |   3.7   |
| 农药兽药 | 600389 | 江山股份 | 189.8 |  7.3  | -3.5 |  -8.6   |  -3.1   |
| 农药兽药 | 002258 | 利尔化学 | 178.7 |  8.4  | -1.1 |  -2.6   |   2.4   |
| 农药兽药 | 002250 | 联化科技 | 150.9 | 50.9  | 3.7  |   0.3   |   2.7   |
| 农药兽药 | 300261 | 雅本化学 | 136.2 | 48.8  | 2.4  |  -1.8   |  -6.6   |
| 农药兽药 | 600195 | 中牧股份 | 130.0 | 24.2  | 2.7  |   5.2   |   4.9   |
| 农药兽药 | 688526 | 科前生物 | 118.5 | 32.6  | 3.2  |  11.3   |  16.2   |
| 农药兽药 | 002004 | 华邦健康 | 107.3 | 15.9  | -0.9 |   0.2   |   1.1   |
| 农药兽药 | 600201 | 生物股份 | 103.2 | 31.9  | 2.6  |   4.8   |   6.5   |
| 农药兽药 | 603566 |  普莱柯  | 84.5  | 56.3  | 1.0  |   0.2   |   4.0   |
| 农药兽药 | 300119 | 瑞普生物 | 79.5  | 27.5  | 1.5  |   3.0   |   3.7   |
| 农药兽药 | 603639 |  海利尔  | 74.2  | 13.0  | -2.5 |  -3.7   |  -3.5   |
| 农药兽药 | 603718 | 海利生物 | 72.1  | 170.2 | 0.9  |   0.2   |  -1.7   |
| 农药兽药 | 600226 |  ST瀚叶  | 66.0  |  5.0  | -0.9 |   0.9   |  -1.4   |
| 农药兽药 | 000525 | ST红太阳 | 64.1  |  5.2  | 1.9  |   0.4   |  -1.7   |
| 农药兽药 | 603970 | 中农立华 | 63.5  | 35.6  | 0.1  |  -0.9   |   1.0   |
| 农药兽药 | 002215 | 诺 普 信 | 60.0  |  9.1  | -0.7 |  -1.9   |   1.7   |
| 农药兽药 | 300575 | 中旗股份 | 56.7  | 13.1  | -0.4 |  -2.8   |   2.5   |
| 农药兽药 | 600796 | 钱江生化 | 49.3  | 34.7  | -1.0 |  -3.1   |  -0.9   |
| 农药兽药 | 002391 | 长青股份 | 46.4  | 14.5  | -0.8 |  -0.7   |  -0.7   |
| 农药兽药 | 002496 | 辉丰股份 | 45.1  | 56.5  | -0.7 |  -2.0   |  -3.9   |
| 农药兽药 | 002749 | 国光股份 | 41.4  | 25.3  | -0.3 |  -0.5   |   2.3   |
| 农药兽药 | 603360 | 百傲化学 | 40.2  | 10.2  | -1.8 |  -4.8   |   0.3   |
| 农药兽药 | 300871 | 回盛生物 | 39.5  | 488.2 | 5.8  |  15.6   |  11.7   |
| 农药兽药 | 605033 | 美邦股份 | 38.8  | 10.6  | -0.1 |   7.2   |  11.7   |
| 农药兽药 | 002734 | 利民股份 | 37.6  |  9.7  | -1.5 |  -0.2   |   1.8   |
| 农药兽药 | 603585 | 苏利股份 | 35.3  |  9.0  | -1.2 |  -2.9   |  -0.7   |
| 农药兽药 | 688098 | 申联生物 | 33.4  | 34.9  | 0.5  |  -0.8   |  -4.2   |
| 农药兽药 | 600731 | 湖南海利 | 32.6  | 12.2  | 0.9  |   0.7   |   0.0   |
| 农药兽药 | 603086 | 先达股份 | 30.9  | 10.2  | -0.7 |  -7.1   |  -1.7   |
| 农药兽药 | 300796 |  贝斯美  | 28.9  | 23.4  | 3.2  |   2.9   |   5.2   |
| 农药兽药 | 002942 | 新农股份 | 27.4  | 18.8  | -0.1 |  -0.5   |   2.1   |
| 农药兽药 | 003042 | 中农联合 | 26.9  | 28.1  | 0.4  |  -1.8   |  -1.3   |
| 农药兽药 | 600538 | 国发股份 | 26.1  | 88.1  | 0.4  |   0.2   |  -0.8   |
| 农药兽药 | 002513 | 蓝丰生化 | 22.2  | 630.3 | 10.0 |   3.9   |   8.4   |
| 农药兽药 | 603810 | 丰山集团 | 21.5  | 17.6  | 0.6  |  -0.2   |   1.0   |
| 农药兽药 | 002868 | 绿康生化 | 20.4  | -57.1 | 1.9  |   1.9   |   5.0   |
+----------+--------+----------+-------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+-------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+------+---------+---------+
| 农药兽药 | 002513 | 蓝丰生化 | 22.2  | 630.3 | 10.0 |   3.9   |   8.4   |
| 农药兽药 | 300871 | 回盛生物 | 39.5  | 488.2 | 5.8  |  15.6   |  11.7   |
| 农药兽药 | 002250 | 联化科技 | 150.9 | 50.9  | 3.7  |   0.3   |   2.7   |
| 农药兽药 | 300796 |  贝斯美  | 28.9  | 23.4  | 3.2  |   2.9   |   5.2   |
| 农药兽药 | 688526 | 科前生物 | 118.5 | 32.6  | 3.2  |  11.3   |  16.2   |
| 农药兽药 | 600195 | 中牧股份 | 130.0 | 24.2  | 2.7  |   5.2   |   4.9   |
| 农药兽药 | 600201 | 生物股份 | 103.2 | 31.9  | 2.6  |   4.8   |   6.5   |
| 农药兽药 | 300261 | 雅本化学 | 136.2 | 48.8  | 2.4  |  -1.8   |  -6.6   |
| 农药兽药 | 000525 | ST红太阳 | 64.1  |  5.2  | 1.9  |   0.4   |  -1.7   |
| 农药兽药 | 002868 | 绿康生化 | 20.4  | -57.1 | 1.9  |   1.9   |   5.0   |
| 农药兽药 | 300119 | 瑞普生物 | 79.5  | 27.5  | 1.5  |   3.0   |   3.7   |
| 农药兽药 | 603566 |  普莱柯  | 84.5  | 56.3  | 1.0  |   0.2   |   4.0   |
| 农药兽药 | 603718 | 海利生物 | 72.1  | 170.2 | 0.9  |   0.2   |  -1.7   |
| 农药兽药 | 600731 | 湖南海利 | 32.6  | 12.2  | 0.9  |   0.7   |   0.0   |
| 农药兽药 | 603810 | 丰山集团 | 21.5  | 17.6  | 0.6  |  -0.2   |   1.0   |
| 农药兽药 | 688098 | 申联生物 | 33.4  | 34.9  | 0.5  |  -0.8   |  -4.2   |
| 农药兽药 | 003042 | 中农联合 | 26.9  | 28.1  | 0.4  |  -1.8   |  -1.3   |
| 农药兽药 | 600538 | 国发股份 | 26.1  | 88.1  | 0.4  |   0.2   |  -0.8   |
| 农药兽药 | 603970 | 中农立华 | 63.5  | 35.6  | 0.1  |  -0.9   |   1.0   |
| 农药兽药 | 000553 | 安道麦A  | 291.2 | 17.0  | 0.0  |  -2.5   |   2.5   |
| 农药兽药 | 605033 | 美邦股份 | 38.8  | 10.6  | -0.1 |   7.2   |  11.7   |
| 农药兽药 | 002942 | 新农股份 | 27.4  | 18.8  | -0.1 |  -0.5   |   2.1   |
| 农药兽药 | 002749 | 国光股份 | 41.4  | 25.3  | -0.3 |  -0.5   |   2.3   |
| 农药兽药 | 300575 | 中旗股份 | 56.7  | 13.1  | -0.4 |  -2.8   |   2.5   |
| 农药兽药 | 002215 | 诺 普 信 | 60.0  |  9.1  | -0.7 |  -1.9   |   1.7   |
| 农药兽药 | 002496 | 辉丰股份 | 45.1  | 56.5  | -0.7 |  -2.0   |  -3.9   |
| 农药兽药 | 603086 | 先达股份 | 30.9  | 10.2  | -0.7 |  -7.1   |  -1.7   |
| 农药兽药 | 301035 | 润丰股份 | 206.5 | 13.3  | -0.8 |   1.7   |  -1.1   |
| 农药兽药 | 002391 | 长青股份 | 46.4  | 14.5  | -0.8 |  -0.7   |  -0.7   |
| 农药兽药 | 002004 | 华邦健康 | 107.3 | 15.9  | -0.9 |   0.2   |   1.1   |
| 农药兽药 | 603599 | 广信股份 | 190.5 |  8.4  | -0.9 |  -2.3   |   3.7   |
| 农药兽药 | 600226 |  ST瀚叶  | 66.0  |  5.0  | -0.9 |   0.9   |  -1.4   |
| 农药兽药 | 600796 | 钱江生化 | 49.3  | 34.7  | -1.0 |  -3.1   |  -0.9   |
| 农药兽药 | 002258 | 利尔化学 | 178.7 |  8.4  | -1.1 |  -2.6   |   2.4   |
| 农药兽药 | 603585 | 苏利股份 | 35.3  |  9.0  | -1.2 |  -2.9   |  -0.7   |
| 农药兽药 | 002734 | 利民股份 | 37.6  |  9.7  | -1.5 |  -0.2   |   1.8   |
| 农药兽药 | 603360 | 百傲化学 | 40.2  | 10.2  | -1.8 |  -4.8   |   0.3   |
| 农药兽药 | 600596 | 新安股份 | 255.4 |  5.2  | -2.2 |  -5.0   |  11.0   |
| 农药兽药 | 603639 |  海利尔  | 74.2  | 13.0  | -2.5 |  -3.7   |  -3.5   |
| 农药兽药 | 600486 | 扬农化工 | 426.6 | 11.8  | -3.5 |  -6.8   |  -2.5   |
| 农药兽药 | 600389 | 江山股份 | 189.8 |  7.3  | -3.5 |  -8.6   |  -3.1   |
+----------+--------+----------+-------+-------+------+---------+---------+
