[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 旅游酒店 | 601888 | 中国中免 | 3554.0 |  34.6   |  0.0  |   2.1   |  -5.0   |
| 旅游酒店 | 600754 | 锦江酒店 | 547.8  | -114.1  | -0.8  |   2.4   |  -4.3   |
| 旅游酒店 | 300144 | 宋城演艺 | 326.3  | -211.4  |  1.5  |   1.5   |  -3.2   |
| 旅游酒店 | 600258 | 首旅酒店 | 244.5  |  -26.3  |  1.1  |   3.8   |  -2.3   |
| 旅游酒店 | 600138 |  中青旅  |  78.8  |  -17.6  |  0.5  |   1.3   |  -1.7   |
| 旅游酒店 | 600054 | 黄山旅游 |  77.8  |  -23.2  |  2.8  |   4.8   |   3.6   |
| 旅游酒店 | 002059 | 云南旅游 |  72.8  | -196.8  |  4.7  |   6.4   |   2.7   |
| 旅游酒店 | 000524 | 岭南控股 |  70.5  |  -23.2  |  0.4  |   6.7   |   2.8   |
| 旅游酒店 | 301073 | 君亭酒店 |  62.7  |  399.4  |  3.9  |   4.6   |  -0.6   |
| 旅游酒店 | 002707 | 众信旅游 |  54.6  |  -23.9  |  2.7  |   4.5   |   0.0   |
| 旅游酒店 | 603136 |  天目湖  |  48.4  |  -56.3  |  1.1  |   3.6   |   4.0   |
| 旅游酒店 | 605108 |  同庆楼  |  45.5  |  49.9   |  1.2  |   0.9   |  -4.2   |
| 旅游酒店 | 000428 | 华天酒店 |  39.1  |  -29.4  | -0.5  |  -3.0   |  -1.5   |
| 旅游酒店 | 601007 | 金陵饭店 |  38.9  | -104.7  |  5.3  |   3.2   |  -1.7   |
| 旅游酒店 | 000888 | 峨眉山Ａ  |  38.7  |  218.6  |  1.2  |   2.5   |   0.1   |
| 旅游酒店 | 000796 |  ST凯撒  |  38.2  |  -15.2  | -1.4  |   3.9   |  -2.3   |
| 旅游酒店 | 300859 | 西域旅游 |  38.0  |  -54.0  |  0.4  |  -1.2   |  -3.5   |
| 旅游酒店 | 002033 | 丽江股份 |  37.1  |  -32.8  |  0.8  |   2.3   |  -0.9   |
| 旅游酒店 | 000978 | 桂林旅游 |  30.2  |  -10.6  |  0.8  |   3.9   |   1.4   |
| 旅游酒店 | 600706 | 曲江文旅 |  28.1  |  -13.9  |  0.6  |   8.8   |   7.6   |
| 旅游酒店 | 600749 | 西藏旅游 |  27.1  |  -30.1  |  0.3  |   0.3   |  -2.5   |
| 旅游酒店 | 002306 | 中科云网 |  26.5  | -1063.0 |  3.6  |   4.0   |   4.3   |
| 旅游酒店 | 002186 | 全 聚 德 |  24.9  |  -13.2  |  0.5  |   1.1   |  -2.6   |
| 旅游酒店 | 000721 | 西安饮食 |  24.9  |  -12.3  |  1.9  |   0.9   |   1.2   |
| 旅游酒店 | 000430 |  张家界  |  24.6  |  -9.9   |  1.5  |   2.5   |  -0.7   |
| 旅游酒店 | 603199 | 九华旅游 |  24.4  | -110.2  |  2.1  |   2.0   |  -0.2   |
| 旅游酒店 | 603099 |  长白山  |  21.8  |  -15.7  |  1.6  |   2.1   |  -1.4   |
| 旅游酒店 | 000610 | 西安旅游 |  21.4  |  -15.7  |  3.2  |   0.3   |   5.3   |
| 旅游酒店 | 300756 | 金马游乐 |  20.0  |  172.4  |  1.9  |   1.0   |   0.1   |
| 旅游酒店 | 002159 | 三特索道 |  18.3  |  -21.0  |  3.3  |   3.2   |   1.5   |
| 旅游酒店 | 600593 | 大连圣亚 |  16.9  |  -14.1  |  2.1  |  -0.2   |  -2.4   |
| 旅游酒店 | 600555 | 退市海创 |  4.6   |  -7.5   | -71.3 |  -71.3  |  -71.3  |
| 旅游酒店 | 000613 | 东海A退  |  2.1   |  48.4   | -10.6 |  -11.9  |  18.0   |
| 旅游酒店 | 300178 |  腾邦退  |  1.4   |  -0.2   | -4.2  |  -4.2   |  -4.2   |
+----------+--------+----------+--------+---------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
