[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 有色金属 | 601600 | 中国铝业 | 861.9 |  13.7  | -0.6 |  -1.0   |  -3.3   |
| 有色金属 | 600362 | 江西铜业 | 643.0 |  10.9  | -1.2 |  -0.2   |  -0.8   |
| 有色金属 | 600219 | 南山铝业 | 433.8 |  15.0  | -1.9 |  -1.4   |  -1.6   |
| 有色金属 | 688122 | 西部超导 | 402.1 |  46.8  | -1.6 |  -5.2   |  -4.7   |
| 有色金属 | 000807 | 云铝股份 | 392.2 |  8.7   | 1.2  |  -0.7   |  -4.3   |
| 有色金属 | 000630 | 铜陵有色 | 366.3 |  14.6  | -1.1 |  -2.8   |   0.0   |
| 有色金属 | 002532 | 天山铝业 | 329.8 |  7.5   | -0.4 |  -1.4   |  -2.5   |
| 有色金属 | 000933 | 神火股份 | 311.3 |  4.0   | -1.6 |  -5.5   |  -7.4   |
| 有色金属 | 601168 | 西部矿业 | 302.9 |  10.1  | -1.1 |  -3.6   |  -0.9   |
| 有色金属 | 600497 | 驰宏锌锗 | 286.6 |  13.1  | -0.9 |  -2.3   |  -4.7   |
| 有色金属 | 600338 | 西藏珠峰 | 257.4 |  79.0  | 0.2  |   3.2   |   5.9   |
| 有色金属 | 002203 | 海亮股份 | 224.8 |  18.0  | 0.3  |   0.8   |   0.0   |
| 有色金属 | 301219 | 腾远钴业 | 224.4 |  12.3  | -0.1 |  -3.3   |   3.5   |
| 有色金属 | 601677 | 明泰铝业 | 219.7 |  9.3   | 1.2  |   0.1   |  -0.6   |
| 有色金属 | 601212 | 白银有色 | 208.8 | 124.5  | -0.7 |  -0.7   |  -0.7   |
| 有色金属 | 000878 | 云南铜业 | 203.5 |  13.6  | 0.1  |   1.4   |   3.1   |
| 有色金属 | 000688 | 国城矿业 | 191.2 | 111.6  | -0.6 |  -1.1   |   5.5   |
| 有色金属 | 300034 | 钢研高纳 | 181.1 |  73.8  | 1.3  |  -1.5   |  -1.1   |
| 有色金属 | 603876 | 鼎胜新材 | 178.6 |  20.7  | 1.3  |  -0.9   |   6.3   |
| 有色金属 | 000060 | 中金岭南 | 168.9 |  12.7  | -0.2 |   0.8   |   2.8   |
| 有色金属 | 600595 | 中孚实业 | 164.0 |  9.7   | -0.9 |  -2.1   |  -3.7   |
| 有色金属 | 600888 | 新疆众和 | 132.4 |  8.7   | -1.3 |  -2.5   |   8.4   |
| 有色金属 | 601137 | 博威合金 | 128.1 |  23.6  | 1.8  |  -5.2   |  -0.6   |
| 有色金属 | 603132 | 金徽股份 | 123.9 |  27.8  | -1.3 |  -1.9   |  -1.4   |
| 有色金属 | 000426 | 兴业矿业 | 121.1 |  49.9  | -0.6 |   0.0   |   2.3   |
