[行业>市值]
+------+--------+----------+--------+------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |  pe  | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+------+------+---------+---------+
| 银行 | 601988 | 中国银行 | 9509.0 | 4.1  | 0.0  |   0.6   |   1.2   |
| 银行 | 601658 | 邮储银行 | 4813.0 | 4.8  | -1.1 |   1.6   |   1.0   |
| 银行 | 601166 | XD兴业银 | 4032.0 | 3.7  | -1.4 |   2.9   |   4.4   |
| 银行 | 601328 | 交通银行 | 3683.0 | 4.0  | -0.8 |   1.0   |   1.0   |
| 银行 | 000001 | 平安银行 | 2802.0 | 5.5  | -2.0 |   3.8   |   2.0   |
| 银行 | 601998 | 中信银行 | 2344.0 | 3.4  | -0.6 |   2.4   |   1.7   |
| 银行 | 600000 | 浦发银行 | 2325.0 | 3.0  | -1.4 |   1.9   |   0.8   |
| 银行 | 002142 | 宁波银行 | 2276.0 | 9.9  | -0.4 |   4.0   |   2.2   |
| 银行 | 601818 | 光大银行 | 1713.0 | 3.6  | -1.9 |   1.3   |   1.6   |
| 银行 | 600016 | 民生银行 | 1703.0 | 3.1  | -0.3 |   1.3   |   2.1   |
| 银行 | 601009 | 南京银行 | 1160.0 | 5.8  | -3.1 |  -0.3   |   0.2   |
| 银行 | 600919 | 江苏银行 | 992.5  | 3.8  | -1.6 |   2.1   |   2.6   |
| 银行 | 601169 | 北京银行 | 947.2  | 3.2  | -1.1 |   0.2   |   0.7   |
| 银行 | 601229 | 上海银行 | 930.5  | 4.0  | -0.8 |   1.9   |   1.9   |
| 银行 | 600926 | 杭州银行 | 811.3  | 6.1  | -2.5 |   1.7   |  -0.9   |
| 银行 | 600015 | 华夏银行 | 797.1  | 3.5  | -0.8 |   2.4   |   2.6   |
| 银行 | 601916 | 浙商银行 | 710.4  | 3.5  | -1.8 |   1.8   |   2.1   |
| 银行 | 601825 | 沪农商行 | 634.6  | 5.1  | -1.1 |   1.5   |   0.5   |
| 银行 | 601838 | 成都银行 | 604.0  | 7.0  | -3.6 |  -3.6   |  -0.1   |
| 银行 | 601077 | 渝农商行 | 448.6  | 3.1  | -1.2 |   1.3   |   1.8   |
| 银行 | 601577 | 长沙银行 | 320.5  | 4.4  | -0.2 |   1.1   |   2.2   |
| 银行 | 001227 | 兰州银行 | 288.2  | 14.7 | -8.5 |   5.0   |   6.8   |
| 银行 | 601963 | 重庆银行 | 278.7  | 4.8  | -2.3 |   1.9   |   2.4   |
| 银行 | 601665 | 齐鲁银行 | 237.7  | 6.6  | -5.0 |   1.8   |   2.2   |
| 银行 | 002936 | 郑州银行 | 226.5  | 4.8  | -1.8 |   2.2   |   2.2   |
| 银行 | 002966 | 苏州银行 | 225.5  | 5.3  | -1.8 |   1.8   |   1.3   |
| 银行 | 601997 | 贵阳银行 | 217.2  | 3.4  | -1.7 |   1.4   |   2.1   |
| 银行 | 002948 | 青岛银行 | 211.3  | 6.7  | -2.4 |   1.7   |   4.0   |
| 银行 | 601128 | 常熟银行 | 209.4  | 7.9  | 0.3  |   6.6   |   7.6   |
| 银行 | 002958 | 青农商行 | 191.1  | 5.1  | -1.1 |   2.1   |   4.2   |
| 银行 | 600928 | 西安银行 | 173.8  | 7.2  | -3.7 |   0.8   |   4.5   |
| 银行 | 601187 | 厦门银行 | 162.6  | 6.5  | -3.9 |   2.2   |   2.3   |
| 银行 | 601528 | 瑞丰银行 | 134.9  | 11.3 | -5.1 |   8.9   |   7.3   |
| 银行 | 002839 | 张家港行 | 112.0  | 6.5  | -3.4 |   2.8   |   4.0   |
| 银行 | 601860 | 紫金银行 | 106.9  | 7.3  | -2.0 |   2.8   |   3.2   |
| 银行 | 600908 | 无锡银行 | 105.6  | 5.9  | -1.4 |   3.3   |   1.4   |
| 银行 | 002807 | 江阴银行 |  96.0  | 8.7  | -3.3 |   4.0   |   3.3   |
| 银行 | 603323 | XD苏农银 |  91.4  | 7.4  | -2.3 |   2.4   |   3.9   |
| 银行 | 601288 | 农业银行 |  0.0   | 3.7  | -1.0 |   0.0   |   0.3   |
| 银行 | 600036 | 招商银行 |  0.0   | 7.0  | -1.3 |   3.6   |   1.1   |
| 银行 | 601939 | 建设银行 |  0.0   | 4.2  | -0.8 |   0.7   |   1.0   |
| 银行 | 601398 | 工商银行 |  0.0   | 4.6  | -0.6 |   0.6   |   1.3   |
+------+--------+----------+--------+------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+--------+------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |  pe  | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+------+------+---------+---------+
| 银行 | 601128 | 常熟银行 | 209.4  | 7.9  | 0.3  |   6.6   |   7.6   |
| 银行 | 601988 | 中国银行 | 9509.0 | 4.1  | 0.0  |   0.6   |   1.2   |
| 银行 | 601577 | 长沙银行 | 320.5  | 4.4  | -0.2 |   1.1   |   2.2   |
| 银行 | 600016 | 民生银行 | 1703.0 | 3.1  | -0.3 |   1.3   |   2.1   |
| 银行 | 002142 | 宁波银行 | 2276.0 | 9.9  | -0.4 |   4.0   |   2.2   |
| 银行 | 601998 | 中信银行 | 2344.0 | 3.4  | -0.6 |   2.4   |   1.7   |
| 银行 | 601398 | 工商银行 |  0.0   | 4.6  | -0.6 |   0.6   |   1.3   |
| 银行 | 601229 | 上海银行 | 930.5  | 4.0  | -0.8 |   1.9   |   1.9   |
| 银行 | 600015 | 华夏银行 | 797.1  | 3.5  | -0.8 |   2.4   |   2.6   |
| 银行 | 601328 | 交通银行 | 3683.0 | 4.0  | -0.8 |   1.0   |   1.0   |
| 银行 | 601939 | 建设银行 |  0.0   | 4.2  | -0.8 |   0.7   |   1.0   |
| 银行 | 601288 | 农业银行 |  0.0   | 3.7  | -1.0 |   0.0   |   0.3   |
| 银行 | 601825 | 沪农商行 | 634.6  | 5.1  | -1.1 |   1.5   |   0.5   |
| 银行 | 601169 | 北京银行 | 947.2  | 3.2  | -1.1 |   0.2   |   0.7   |
| 银行 | 601658 | 邮储银行 | 4813.0 | 4.8  | -1.1 |   1.6   |   1.0   |
| 银行 | 002958 | 青农商行 | 191.1  | 5.1  | -1.1 |   2.1   |   4.2   |
| 银行 | 601077 | 渝农商行 | 448.6  | 3.1  | -1.2 |   1.3   |   1.8   |
| 银行 | 600036 | 招商银行 |  0.0   | 7.0  | -1.3 |   3.6   |   1.1   |
| 银行 | 600000 | 浦发银行 | 2325.0 | 3.0  | -1.4 |   1.9   |   0.8   |
| 银行 | 600908 | 无锡银行 | 105.6  | 5.9  | -1.4 |   3.3   |   1.4   |
| 银行 | 601166 | XD兴业银 | 4032.0 | 3.7  | -1.4 |   2.9   |   4.4   |
| 银行 | 600919 | 江苏银行 | 992.5  | 3.8  | -1.6 |   2.1   |   2.6   |
| 银行 | 601997 | 贵阳银行 | 217.2  | 3.4  | -1.7 |   1.4   |   2.1   |
| 银行 | 601916 | 浙商银行 | 710.4  | 3.5  | -1.8 |   1.8   |   2.1   |
| 银行 | 002966 | 苏州银行 | 225.5  | 5.3  | -1.8 |   1.8   |   1.3   |
| 银行 | 002936 | 郑州银行 | 226.5  | 4.8  | -1.8 |   2.2   |   2.2   |
| 银行 | 601818 | 光大银行 | 1713.0 | 3.6  | -1.9 |   1.3   |   1.6   |
| 银行 | 601860 | 紫金银行 | 106.9  | 7.3  | -2.0 |   2.8   |   3.2   |
| 银行 | 000001 | 平安银行 | 2802.0 | 5.5  | -2.0 |   3.8   |   2.0   |
| 银行 | 601963 | 重庆银行 | 278.7  | 4.8  | -2.3 |   1.9   |   2.4   |
| 银行 | 603323 | XD苏农银 |  91.4  | 7.4  | -2.3 |   2.4   |   3.9   |
| 银行 | 002948 | 青岛银行 | 211.3  | 6.7  | -2.4 |   1.7   |   4.0   |
| 银行 | 600926 | 杭州银行 | 811.3  | 6.1  | -2.5 |   1.7   |  -0.9   |
| 银行 | 601009 | 南京银行 | 1160.0 | 5.8  | -3.1 |  -0.3   |   0.2   |
| 银行 | 002807 | 江阴银行 |  96.0  | 8.7  | -3.3 |   4.0   |   3.3   |
| 银行 | 002839 | 张家港行 | 112.0  | 6.5  | -3.4 |   2.8   |   4.0   |
| 银行 | 601838 | 成都银行 | 604.0  | 7.0  | -3.6 |  -3.6   |  -0.1   |
| 银行 | 600928 | 西安银行 | 173.8  | 7.2  | -3.7 |   0.8   |   4.5   |
| 银行 | 601187 | 厦门银行 | 162.6  | 6.5  | -3.9 |   2.2   |   2.3   |
| 银行 | 601665 | 齐鲁银行 | 237.7  | 6.6  | -5.0 |   1.8   |   2.2   |
| 银行 | 601528 | 瑞丰银行 | 134.9  | 11.3 | -5.1 |   8.9   |   7.3   |
| 银行 | 001227 | 兰州银行 | 288.2  | 14.7 | -8.5 |   5.0   |   6.8   |
+------+--------+----------+--------+------+------+---------+---------+
