[行业>三日涨幅]
+------------+--------+----------+--------+--------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+------+---------+---------+
|  食品饮料  | 600872 | 中炬高新 | 244.0  |  38.5  | -3.4 |  11.4   |   9.4   |
|  食品饮料  | 600866 | 星湖科技 |  46.6  |  50.9  | -5.0 |  -2.0   |   7.0   |
|  风电设备  | 600416 | 湘电股份 | 217.9  | 108.6  | -4.5 |  -6.0   |  -3.6   |
|    银行    | 601528 | 瑞丰银行 | 134.9  |  11.3  | -5.1 |   8.9   |   7.3   |
|    银行    | 002807 | 江阴银行 |  96.0  |  8.7   | -3.3 |   4.0   |   3.3   |
|    银行    | 002839 | 张家港行 | 112.0  |  6.5   | -3.4 |   2.8   |   4.0   |
|    银行    | 601187 | 厦门银行 | 162.6  |  6.5   | -3.9 |   2.2   |   2.3   |
|    银行    | 601665 | 齐鲁银行 | 237.7  |  6.6   | -5.0 |   1.8   |   2.2   |
|    银行    | 600928 | 西安银行 | 173.8  |  7.2   | -3.7 |   0.8   |   4.5   |
|    银行    | 601009 | 南京银行 | 1160.0 |  5.8   | -3.1 |  -0.3   |   0.2   |
|    银行    | 601838 | 成都银行 | 604.0  |  7.0   | -3.6 |  -3.6   |  -0.1   |
|  铁路公路  | 600611 | 大众交通 |  75.4  |  -7.2  | -3.6 |   2.6   |   0.9   |
|  钢铁行业  | 605158 | 华达新材 |  34.6  |  29.4  | -4.1 |   4.6   |   2.9   |
|  采掘行业  | 000762 | 西藏矿业 | 259.4  |  49.1  | -5.1 |   2.1   |   8.5   |
|  采掘行业  | 002207 | 准油股份 |  23.4  |  31.8  | -3.7 |  -2.8   |   8.5   |
|  采掘行业  | 603727 |  博迈科  |  35.9  |  62.4  | -3.3 |  -3.6   |   2.0   |
|  采掘行业  | 002554 |  惠博普  |  46.3  | 103.0  | -3.4 |  -3.6   |  -2.0   |
|  采掘行业  | 300164 | 通源石油 |  28.7  | 403.0  | -5.9 |  -4.3   |   3.9   |
|  采掘行业  | 002828 | 贝肯能源 |  14.7  |  -1.8  | -4.6 |  -4.4   |  -3.2   |
|  采掘行业  | 300191 | 潜能恒信 |  73.2  | 181.8  | -4.7 |  -5.0   |   0.9   |
|  酿酒行业  | 600616 | 金枫酒业 |  49.2  | 356.2  | -5.9 |   8.9   |   9.8   |
|  通用设备  | 002639 | 雪人股份 |  84.5  | 872.4  | -4.1 |   3.9   |   6.4   |
|  通用设备  | 603617 | 君禾股份 |  30.3  |  34.1  | -4.6 |  -7.2   |  -2.9   |
|  通信设备  | 600734 |  ST实达  | 101.3  | -171.8 | -4.9 |  -9.7   |  -9.4   |
|  软件开发  | 300803 |  指南针  | 238.6  |  22.4  | -5.8 |  15.6   |  23.9   |
|  软件开发  | 301162 | 国能日新 |  41.3  | 194.8  | -3.6 |  13.1   |  10.8   |
|  软件开发  | 300033 |  同花顺  | 512.8  | 114.6  | -5.0 |   6.6   |   6.0   |
|  软件开发  | 603383 | 顶点软件 |  44.1  | 522.9  | -3.7 |   6.0   |   5.0   |
|  软件开发  | 300085 |  银之杰  |  79.4  | -59.4  | -4.5 |   1.0   |  17.0   |
|  软件开发  | 603039 |  ST泛微  | 102.1  | 168.7  | -3.3 |  -0.3   |  -3.9   |
|  软件开发  | 600570 | 恒生电子 | 610.3  | -369.5 | -4.8 |  -0.6   |  -2.5   |
|  贸易行业  | 000151 | 中成股份 |  52.1  | 923.9  | -3.4 |  -11.1  |  -25.4  |
|   贵金属   | 601069 | 西部黄金 |  88.6  | -41.3  | -4.0 |  -4.7   |  17.6   |
|   贵金属   | 000506 | 中润资源 |  29.6  |  2.5   | -3.9 |  -4.8   |   1.3   |
|    证券    | 002939 | 长城证券 | 318.7  | -101.8 | -3.7 |  16.6   |  15.8   |
|    证券    | 600109 | 国金证券 | 342.6  |  68.8  | -5.3 |   5.6   |   7.2   |
|    证券    | 600155 | 华创阳安 | 150.8  | 139.0  | -3.7 |   5.3   |   7.4   |
|    证券    | 601901 | 方正证券 | 563.1  |  29.5  | -3.5 |   5.2   |   6.5   |
|    证券    | 601881 | 中国银河 | 977.2  |  15.7  | -3.1 |   4.4   |   4.9   |
|    证券    | 601990 | 南京证券 | 313.7  |  62.6  | -3.2 |   4.4   |   7.6   |
|    证券    | 000166 | 申万宏源 | 1082.0 |  25.2  | -3.1 |   3.9   |   4.3   |
|    证券    | 600061 | 国投资本 | 424.1  | 166.6  | -3.4 |   3.8   |   4.3   |
|    证券    | 601375 | 中原证券 | 197.3  | 267.6  | -3.9 |   3.7   |   3.9   |
|    证券    | 601108 | 财通证券 | 371.0  |  59.0  | -3.7 |   3.6   |   7.7   |
|    证券    | 600999 | 招商证券 | 1266.0 |  21.2  | -5.3 |   3.6   |   6.4   |
|    证券    | 600958 | 东方证券 | 852.2  |  93.3  | -4.9 |   3.5   |   3.4   |
|    证券    | 601162 | 天风证券 | 286.8  | -85.1  | -3.8 |   3.4   |   4.3   |
|    证券    | 000686 | 东北证券 | 164.1  | -15.8  | -3.4 |   3.4   |   4.0   |
|    证券    | 601198 | 东兴证券 | 289.3  | 240.0  | -3.0 |   3.4   |   5.3   |
|    证券    | 002500 | 山西证券 | 206.1  |  79.2  | -4.3 |   3.2   |   3.8   |
|    证券    | 601688 | 华泰证券 | 1298.0 |  14.7  | -3.5 |   3.0   |   3.9   |
|    证券    | 002926 | 华西证券 | 203.2  | -29.9  | -3.2 |   2.9   |   5.0   |
|    证券    | 601211 | 国泰君安 | 1353.0 |  13.4  | -3.1 |   2.8   |   2.7   |
|    证券    | 600030 | 中信证券 | 3086.0 |  14.8  | -4.8 |   2.7   |   2.3   |
|    证券    | 600909 | 华安证券 | 222.2  |  52.2  | -3.9 |   2.4   |   7.0   |
|    证券    | 600095 | 湘财股份 | 223.3  | -89.9  | -5.9 |   2.4   |   5.7   |
