[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 水泥建材 | 600585 | 海螺水泥 | 1966.0 |  10.0  | 1.6  |   2.5   |   4.3   |
| 水泥建材 | 000877 | 天山股份 | 1042.0 |  25.5  | 0.8  |   2.3   |   0.2   |
| 水泥建材 | 600801 | 华新水泥 | 377.4  |  14.0  | -0.1 |   1.8   |   2.9   |
| 水泥建材 | 601992 | 金隅集团 | 292.6  |  26.5  | -0.7 |  -1.1   |  -1.1   |
| 水泥建材 | 000401 | 冀东水泥 | 281.8  | -30.2  | -0.2 |   0.1   |   0.9   |
| 水泥建材 | 002541 | 鸿路钢构 | 219.8  |  32.9  | -1.1 |  -3.5   |  -3.0   |
| 水泥建材 | 000935 | 四川双马 | 170.7  |  16.1  | -1.9 |   3.8   |   6.0   |
| 水泥建材 | 000672 | 上峰水泥 | 145.8  |  10.7  | -0.1 |   1.5   |   0.3   |
| 水泥建材 | 000546 | 金圆股份 | 123.3  | -214.4 | 4.2  |   3.0   |   7.6   |
| 水泥建材 | 002233 | 塔牌集团 | 106.2  |  50.5  | -0.3 |   1.8   |   0.8   |
| 水泥建材 | 002302 | 西部建设 |  96.3  |  73.0  | -0.5 |   0.1   |  -1.6   |
| 水泥建材 | 600720 |  祁连山  |  94.3  | 841.0  | -1.4 |  -0.7   |   0.2   |
| 水泥建材 | 600477 | 杭萧钢构 |  86.2  |  40.5  | 2.2  |   2.0   |  -0.6   |
| 水泥建材 | 600496 | 精工钢构 |  85.1  |  11.9  | -0.9 |   1.1   |   0.4   |
| 水泥建材 | 600881 | 亚泰集团 |  85.1  |  -4.7  | -0.8 |  -0.4   |  -0.8   |
| 水泥建材 | 000789 |  万年青  |  84.8  |  10.2  | -0.8 |   0.6   |  -0.5   |
| 水泥建材 | 003037 | 三和管桩 |  65.1  | 301.5  | -2.8 |   7.2   |   5.7   |
| 水泥建材 | 600724 | 宁波富达 |  59.1  |  20.3  | -1.9 |  -1.9   |  -2.6   |
