[行业>三日涨幅]
+--------------+--------+----------+-------+---------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+---------+------+---------+---------+
|   食品饮料   | 002956 | 西麦食品 | 32.5  |  28.8   | -3.8 |   9.1   |   9.4   |
|   食品饮料   | 000529 | 广弘控股 | 39.6  |  19.9   | -3.1 |  -1.0   |   1.5   |
|   食品饮料   | 301206 | 三元生物 | 89.8  |  35.8   | -3.5 |  -1.8   |   2.8   |
|  非金属材料  | 688119 | 中钢洛耐 | 98.2  |  63.1   | -3.8 |  -1.5   |  -7.7   |
|   铁路公路   | 600650 | 锦江在线 | 71.9  |   3.2   | -3.2 |  -1.8   |  16.5   |
|   酿酒行业   | 600197 |  伊力特  | 140.2 |  32.3   | -3.5 |  -6.0   |  -1.5   |
|   造纸印刷   | 002836 |  新宏泽  | 17.0  |  90.8   | -3.5 |   8.5   |   9.8   |
|   造纸印刷   | 000815 |  美利云  | 72.9  | -1328.3 | -4.2 |   7.8   |   2.5   |
|   通信设备   | 600734 |  ST实达  | 96.9  | -164.4  | -4.3 |  -13.6  |  -16.4  |
|   通信服务   | 002467 |  二六三  | 60.6  |  42.2   | -3.9 |   7.3   |  16.3   |
|   通信服务   | 300312 |  邦讯退  |  1.2  |  -1.1   | -5.3 |   0.0   |  -74.7  |
|   软件开发   | 300235 | 方直科技 | 17.4  |  33.5   | -4.4 |   5.5   |   6.7   |
|   软件开发   | 300624 | 万兴科技 | 40.1  | -282.1  | -3.1 |   4.6   |   3.4   |
|   软件开发   | 300799 | 左江科技 | 62.5  |  -59.8  | -4.4 |   4.2   |  -6.6   |
|   软件开发   | 003007 | 直真科技 | 19.9  |  -17.8  | -3.6 |   3.3   |   1.8   |
|   软件开发   | 300588 | 熙菱信息 | 20.3  |  -32.9  | -3.3 |  -0.3   |  -2.0   |
|   软件开发   | 301117 | 佳缘科技 | 50.0  | -290.9  | -3.2 |  -1.4   |  -2.5   |
|   软件开发   | 300552 | 万集科技 | 51.6  |  418.0  | -4.0 |  -3.6   |  11.0   |
|   贸易行业   | 002127 | 南极电商 | 135.8 |  24.4   | -3.1 |  -2.6   |  -6.6   |
|   贸易行业   | 600278 | 东方创业 | 67.6  |  19.1   | -3.0 |  -2.8   |  -6.5   |
|   贸易行业   | 002640 | *ST跨境  | 49.5  | -121.9  | -5.1 |  -4.2   |  -3.0   |
|   贸易行业   | 600301 | 南化股份 | 37.5  |  215.9  | -4.1 |  -6.0   |  -5.0   |
|    贵金属    | 600766 | *ST园城  | 18.2  | -3188.1 | -4.6 |   2.5   |   2.0   |
|     证券     | 601696 | 中银证券 | 386.1 |  40.2   | -4.4 |  -4.4   |   8.0   |
|  计算机设备  | 002512 | 达华智能 | 35.6  |  -23.1  | -3.7 |  -6.3   |  14.4   |
|   装修装饰   | 300592 | 华凯易佰 | 42.8  |  30.8   | -3.6 |   5.2   |   3.3   |
|   装修建材   | 000910 | 大亚圣象 | 48.9  |  -55.8  | -4.0 |  -0.3   |   3.6   |
|   装修建材   | 603838 | 四通股份 | 19.8  | -277.3  | -3.7 |  -1.3   |  -1.8   |
|   船舶制造   | 601890 | 亚星锚链 | 71.9  |  67.7   | -4.0 |   3.7   |   3.9   |
|   船舶制造   | 600150 | 中国船舶 | 865.9 |  416.6  | -3.9 |  -2.4   |   0.8   |
|   航运港口   | 601975 | 招商南油 | 183.4 |  44.4   | -3.6 |  -9.1   |   0.0   |
|   美容护理   | 000523 | 广州浪奇 | 64.5  | -125.5  | -3.6 |  -9.7   |  -4.5   |
|   纺织服装   | 002291 |  星期六  | 163.0 |  47.0   | -5.1 |   5.0   |  19.5   |
|   纺织服装   | 603518 | 锦泓集团 | 28.5  |  17.3   | -3.5 |   2.8   |   6.1   |
|   纺织服装   | 600146 | 退市环球 |  1.1  |  -2.1   | -4.0 |   0.0   |  -4.0   |
|   纺织服装   | 002494 | 华斯股份 | 15.2  |  -97.6  | -3.1 |   0.0   |   0.5   |
|   纺织服装   | 600689 | 上海三毛 | 17.7  |  431.7  | -3.9 |  -2.8   |  -1.0   |
|   纺织服装   | 002193 | 如意集团 | 14.8  |  127.5  | -3.1 |  -2.9   |  -2.4   |
|   纺织服装   | 600630 | 龙头股份 | 24.5  |  -33.1  | -3.7 |  -4.2   |   3.2   |
|   石油行业   | 600777 | 新潮能源 | 187.7 |   8.9   | -3.5 |  -16.1  |  -1.8   |
|     电池     | 002684 |  猛狮退  |  3.6  |  -0.7   | -4.5 |  -7.3   |  -4.5   |
|   电子元件   | 002384 | 东山精密 | 333.8 |  22.9   | -3.6 |   4.7   |   6.4   |
|   电子元件   | 300516 |  久之洋  | 51.3  |  149.1  | -4.8 |   0.8   |  -2.0   |
|   电子元件   | 605258 | 协和电子 | 20.8  |  55.1   | -3.4 |  -0.1   |   5.7   |
|   电子元件   | 002579 | 中京电子 | 48.8  |  206.1  | -3.9 |  -9.2   |  13.6   |
|   电力行业   | 002499 | *ST科林  |  8.6  |  -9.2   | -5.0 |  -5.0   |  -1.9   |
|   电力行业   | 600969 | 郴电国际 | 33.4  |  28.2   | -3.5 |  -5.9   |  -4.1   |
|   生物制品   | 000403 | 派林生物 | 140.4 |  33.2   | -3.6 |  -2.0   |  -1.7   |
|   环保行业   | 000820 | *ST节能  | 22.8  | -205.5  | -4.3 |  -8.5   |  -8.2   |
|   物流行业   | 603329 | 上海雅仕 | 26.4  |  11.5   | -3.9 |  -4.6   |  -7.8   |
|   物流行业   | 002492 | 恒基达鑫 | 25.3  |  28.3   | -4.7 |  -6.3   |  -9.3   |
|   煤炭行业   | 601015 | 陕西黑猫 | 133.8 |  14.1   | -5.3 |  -2.7   |   8.8   |
|   煤炭行业   | 600408 | 安泰集团 | 37.2  |  18.2   | -3.4 |  -11.7  |  -2.4   |
|     游戏     | 002445 | 中南文化 | 56.2  |  14.3   | -4.1 |   9.3   |   7.8   |
|     游戏     | 002624 | 完美世界 | 276.4 |   8.2   | -3.1 |   7.0   |   1.4   |
|     游戏     | 300148 | 天舟文化 | 28.1  | -119.8  | -4.3 |   3.1   |   5.3   |
|     游戏     | 002447 |  晨鑫退  |  2.9  |  -5.9   | -4.8 |   0.0   |   0.0   |
|     游戏     | 002425 | 凯撒文化 | 51.2  |  77.5   | -3.1 |  -1.6   |  -7.1   |
|     游戏     | 002464 |  众应退  |  1.5  |   7.1   | -3.3 |  -3.3   |   0.0   |
|   消费电子   | 600898 | 国美通讯 | 18.2  |  -43.6  | -4.0 |   3.7   |   0.3   |
|  汽车零部件  | 002355 | 兴民智通 | 29.8  |  -11.7  | -5.0 |  -3.2   |  12.7   |
|  汽车零部件  | 603319 |  湘油泵  | 38.4  |  30.6   | -4.1 |  -4.3   |  11.4   |
|   汽车服务   | 603377 | 东方时尚 | 44.0  |  139.2  | -4.1 |   3.1   |   3.4   |
|   汽车服务   | 600386 | 北巴传媒 | 34.2  |  119.0  | -4.5 |  -0.9   |   9.6   |
|   橡胶制品   | 600469 | 风神股份 | 34.1  |  -20.6  | -3.1 |  -14.2  |  -5.7   |
|   旅游酒店   | 301073 | 君亭酒店 | 60.6  |  386.3  | -3.3 |   0.8   |   2.4   |
|   旅游酒店   | 603136 |  天目湖  | 46.3  |  -53.9  | -4.3 |  -0.2   |   4.5   |
|   旅游酒店   | 300178 |  腾邦退  |  1.4  |  -0.2   | -4.3 |  -12.0  |  -4.3   |
|   文化传媒   | 603096 |  新经典  | 31.5  |  18.5   | -4.0 |   9.1   |   8.4   |
|   文化传媒   | 300364 | 中文在线 | 80.9  | -125.1  | -3.6 |   8.8   |   5.1   |
|   文化传媒   | 300860 | 锋尚文化 | 63.6  |  17.8   | -4.0 |   6.6   |   8.7   |
|   文化传媒   | 300612 | 宣亚国际 | 26.9  |  76.4   | -3.0 |   4.8   |   4.6   |
|   文化传媒   | 300063 | 天龙集团 | 30.7  |  41.2   | -3.5 |   3.0   |   6.2   |
|   文化传媒   | 000665 | 湖北广电 | 97.0  |  -23.8  | -3.4 |   3.0   |  -0.5   |
|   文化传媒   | 300295 | 三六五网 | 17.7  |  83.9   | -3.1 |   2.0   |   3.6   |
|   文化传媒   | 301025 | 读客文化 | 52.6  |  172.6  | -3.7 |   1.6   |   1.9   |
|   文化传媒   | 601811 | 新华文轩 | 110.3 |  16.3   | -3.2 |   0.5   |   0.2   |
|   文化传媒   | 000607 | 华媒控股 | 49.5  | 1003.4  | -4.1 |  -0.2   |   5.4   |
|   文化传媒   | 300662 | 科锐国际 | 100.4 |  47.8   | -3.7 |  -0.2   |   3.5   |
|   文化传媒   | 300392 | *ST腾信  | 11.0  |  -13.4  | -4.0 |  -1.0   |  -4.7   |
|   文化传媒   | 300528 | 幸福蓝海 | 23.7  |  -15.6  | -3.2 |  -1.1   |  -2.5   |
|   文化传媒   | 002343 | 慈文传媒 | 24.7  |  13.8   | -3.5 |  -1.3   |   1.0   |
|   文化传媒   | 600936 | 广西广电 | 59.0  |  -10.9  | -3.3 |  -3.3   |  -6.6   |
|     教育     | 300359 | 全通教育 | 37.4  |  377.5  | -5.8 |  19.9   |  23.9   |
|     教育     | 300192 | 科德教育 | 22.6  |  35.2   | -5.4 |  17.9   |  22.1   |
|     教育     | 605098 | 行动教育 | 35.7  |  112.1  | -5.2 |  10.9   |  10.5   |
|     教育     | 002607 | 中公教育 | 397.2 |  -21.4  | -3.9 |   9.3   |  14.4   |
|     教育     | 300688 | 创业黑马 | 32.6  |  -41.9  | -3.7 |   3.4   |   2.1   |
|     教育     | 300089 | *ST文化  | 15.2  |  -18.0  | -5.4 |   2.6   |   4.3   |
|     教育     | 300282 |  ST三盛  | 11.6  |  -33.9  | -5.5 |   1.3   |   1.3   |
|     教育     | 600636 | 国新文化 | 34.7  |  417.1  | -5.4 |   0.4   |   0.3   |
|     教育     | 600455 | 博通股份 | 12.0  |  489.0  | -4.2 |   0.4   |   1.5   |
|     教育     | 600730 | 中国高科 | 34.9  |  802.9  | -3.7 |  -0.4   |   4.0   |
|  房地产开发  | 600173 | 卧龙地产 | 42.9  |  19.9   | -4.4 |  15.7   |  19.8   |
|  房地产开发  | 600657 | 信达地产 | 150.9 |  124.3  | -3.6 |   1.5   |   0.0   |
|  房地产开发  | 000965 | 天保基建 | 62.9  |  48.9   | -4.1 |   0.2   |  -3.6   |
|  房地产开发  | 000736 | 中交地产 | 109.5 |  -65.9  | -3.9 |  -2.0   |  -7.5   |
|  房地产开发  | 600622 | 光大嘉宝 | 52.2  |  36.1   | -3.3 |  -2.5   |  -1.1   |
