[行业>市值]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
| 计算机设备 | 002415 | 海康威视 | 3322.0 |  36.4   | 1.9  |  -1.0   |   1.5   |
| 计算机设备 | 002180 |  纳思达  | 710.1  |  40.3   | -0.5 |   6.7   |   5.1   |
| 计算机设备 | 002236 | 大华股份 | 482.1  |  33.9   | 0.6  |  -0.3   |   2.0   |
| 计算机设备 | 603019 | 中科曙光 | 411.2  |  90.4   | 1.6  |   1.7   |   1.4   |
| 计算机设备 | 000977 | 浪潮信息 | 365.3  |  27.4   | 0.3  |  -0.7   |  -0.9   |
| 计算机设备 | 000066 | 中国长城 | 348.1  |  -74.4  | 1.2  |   0.8   |   0.8   |
| 计算机设备 | 002152 | 广电运通 | 227.5  |  25.3   | 0.0  |  -0.2   |   0.6   |
| 计算机设备 | 600764 | 中国海防 | 184.8  |  299.7  | -3.0 |  -0.7   |  -1.8   |
| 计算机设备 | 688208 | 道通科技 | 158.1  |  62.5   | -1.3 |   0.8   |  -5.5   |
| 计算机设备 | 600100 | 同方股份 | 144.1  |  -6.5   | 0.5  |  -1.1   |  -0.2   |
| 计算机设备 | 000034 | 神州数码 | 100.8  |  13.5   | -0.5 |  -1.1   |  -0.7   |
| 计算机设备 | 300130 |  新国都  |  73.2  |  20.1   | 0.3  |   0.2   |   6.2   |
| 计算机设备 | 300455 | 康拓红外 |  61.4  |  177.9  | 1.5  |   1.8   |   2.1   |
| 计算机设备 | 300177 |  中海达  |  60.4  |  18.4   | 2.7  |   3.2   |   8.5   |
| 计算机设备 | 002197 | 证通电子 |  53.8  |  118.2  | 0.0  |   1.2   |   6.2   |
| 计算机设备 | 600855 | 航天长峰 |  50.9  |  -30.4  | 0.4  |  -0.5   |  -3.1   |
| 计算机设备 | 300045 | 华力创通 |  48.0  |  699.9  | 4.4  |   4.8   |   4.4   |
| 计算机设备 | 002970 | 锐明技术 |  46.3  |  -19.5  | 1.8  |   3.6   |   5.0   |
| 计算机设备 | 002376 |  新北洋  |  46.1  |  -31.1  | 1.3  |   1.6   |   2.0   |
| 计算机设备 | 300531 |  优博讯  |  46.0  |  39.8   | -1.4 |  -2.5   |   1.5   |
| 计算机设备 | 002383 | 合众思壮 |  45.9  |  79.4   | 3.2  |   3.5   |   3.5   |
| 计算机设备 | 300368 | 汇金股份 |  38.6  | -136.8  | 0.0  |  -3.3   |   2.5   |
| 计算机设备 | 300546 | 雄帝科技 |  37.1  |  -54.4  | 4.1  |   4.7   |  10.5   |
| 计算机设备 | 002512 | 达华智能 |  35.1  |  -22.8  | -1.3 |  -1.6   |  11.7   |
| 计算机设备 | 002308 | 威创股份 |  34.4  |  58.1   | 0.5  |   3.0   |   4.7   |
| 计算机设备 | 300479 | 神思电子 |  34.0  | -181.2  | 2.4  |   4.6   |   7.9   |
| 计算机设备 | 300771 | 智莱科技 |  31.8  |  19.2   | 7.4  |   4.1   |   2.5   |
| 计算机设备 | 300551 | 古鳌科技 |  31.4  | -379.9  | -0.7 |   1.8   |   5.1   |
| 计算机设备 | 300155 |  安居宝  |  30.3  |  355.3  | 1.3  |   2.3   |   3.5   |
| 计算机设备 | 002577 | 雷柏科技 |  30.0  |  66.8   | 0.0  |   1.2   |   4.0   |
| 计算机设备 | 603660 | 苏州科达 |  28.6  |  -9.3   | 0.0  |  -0.2   |   2.3   |
| 计算机设备 | 603106 | 恒银科技 |  26.4  |  -36.1  | 0.6  |  -1.6   |   3.5   |
| 计算机设备 | 300884 |  狄耐克  |  25.5  |  53.0   | 0.9  |   3.0   |   2.1   |
| 计算机设备 | 300042 | 朗科科技 |  25.3  |  75.6   | 0.1  |   1.1   |   0.6   |
| 计算机设备 | 301042 | 安联锐视 |  22.7  |  42.7   | 1.5  |   0.5   |   1.4   |
| 计算机设备 | 688288 | 鸿泉物联 |  22.5  |  -37.3  | -0.0 |   2.8   |  -1.1   |
| 计算机设备 | 603516 | 淳中科技 |  22.2  |  -66.2  | 0.5  |   3.2   |   2.1   |
| 计算机设备 | 002835 | 同为股份 |  20.9  | 1203.5  | 1.8  |   2.6   |   3.6   |
| 计算机设备 | 300270 | 中威电子 |  18.1  | -2179.3 | 2.6  |   1.9   |   5.5   |
| 计算机设备 | 002177 | *ST御银  |  17.9  |  -15.8  | 0.4  |  -1.3   |  -2.5   |
| 计算机设备 | 003004 | 声迅股份 |  16.5  |  156.1  | 1.3  |   0.9   |   0.9   |
| 计算机设备 | 300807 | 天迈科技 |  15.1  |  -22.6  | 5.5  |   6.5   |   8.8   |
| 计算机设备 | 300449 | 汉邦高科 |  14.7  |  -36.7  | 0.2  |   1.0   |   0.8   |
| 计算机设备 | 688086 | *ST紫晶  |  14.6  |  -3.6   | -7.8 |  -6.7   |  11.2   |
| 计算机设备 | 300367 |  网力退  |  3.6   |  -1.0   | 0.0  |   0.0   |  11.1   |
| 计算机设备 | 300202 |  聚龙退  |  3.6   |  -8.0   | 4.8  |   3.2   |  -53.2  |
+------------+--------+----------+--------+---------+------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
| 计算机设备 | 300771 | 智莱科技 |  31.8  |  19.2   | 7.4  |   4.1   |   2.5   |
| 计算机设备 | 300807 | 天迈科技 |  15.1  |  -22.6  | 5.5  |   6.5   |   8.8   |
| 计算机设备 | 300202 |  聚龙退  |  3.6   |  -8.0   | 4.8  |   3.2   |  -53.2  |
| 计算机设备 | 300045 | 华力创通 |  48.0  |  699.9  | 4.4  |   4.8   |   4.4   |
| 计算机设备 | 300546 | 雄帝科技 |  37.1  |  -54.4  | 4.1  |   4.7   |  10.5   |
| 计算机设备 | 002383 | 合众思壮 |  45.9  |  79.4   | 3.2  |   3.5   |   3.5   |
| 计算机设备 | 300177 |  中海达  |  60.4  |  18.4   | 2.7  |   3.2   |   8.5   |
| 计算机设备 | 300270 | 中威电子 |  18.1  | -2179.3 | 2.6  |   1.9   |   5.5   |
| 计算机设备 | 300479 | 神思电子 |  34.0  | -181.2  | 2.4  |   4.6   |   7.9   |
| 计算机设备 | 002415 | 海康威视 | 3322.0 |  36.4   | 1.9  |  -1.0   |   1.5   |
| 计算机设备 | 002835 | 同为股份 |  20.9  | 1203.5  | 1.8  |   2.6   |   3.6   |
| 计算机设备 | 002970 | 锐明技术 |  46.3  |  -19.5  | 1.8  |   3.6   |   5.0   |
| 计算机设备 | 603019 | 中科曙光 | 411.2  |  90.4   | 1.6  |   1.7   |   1.4   |
| 计算机设备 | 300455 | 康拓红外 |  61.4  |  177.9  | 1.5  |   1.8   |   2.1   |
| 计算机设备 | 301042 | 安联锐视 |  22.7  |  42.7   | 1.5  |   0.5   |   1.4   |
| 计算机设备 | 300155 |  安居宝  |  30.3  |  355.3  | 1.3  |   2.3   |   3.5   |
| 计算机设备 | 003004 | 声迅股份 |  16.5  |  156.1  | 1.3  |   0.9   |   0.9   |
| 计算机设备 | 002376 |  新北洋  |  46.1  |  -31.1  | 1.3  |   1.6   |   2.0   |
| 计算机设备 | 000066 | 中国长城 | 348.1  |  -74.4  | 1.2  |   0.8   |   0.8   |
| 计算机设备 | 300884 |  狄耐克  |  25.5  |  53.0   | 0.9  |   3.0   |   2.1   |
| 计算机设备 | 002236 | 大华股份 | 482.1  |  33.9   | 0.6  |  -0.3   |   2.0   |
| 计算机设备 | 603106 | 恒银科技 |  26.4  |  -36.1  | 0.6  |  -1.6   |   3.5   |
| 计算机设备 | 002308 | 威创股份 |  34.4  |  58.1   | 0.5  |   3.0   |   4.7   |
| 计算机设备 | 603516 | 淳中科技 |  22.2  |  -66.2  | 0.5  |   3.2   |   2.1   |
| 计算机设备 | 600100 | 同方股份 | 144.1  |  -6.5   | 0.5  |  -1.1   |  -0.2   |
| 计算机设备 | 600855 | 航天长峰 |  50.9  |  -30.4  | 0.4  |  -0.5   |  -3.1   |
| 计算机设备 | 002177 | *ST御银  |  17.9  |  -15.8  | 0.4  |  -1.3   |  -2.5   |
| 计算机设备 | 300130 |  新国都  |  73.2  |  20.1   | 0.3  |   0.2   |   6.2   |
| 计算机设备 | 000977 | 浪潮信息 | 365.3  |  27.4   | 0.3  |  -0.7   |  -0.9   |
| 计算机设备 | 300449 | 汉邦高科 |  14.7  |  -36.7  | 0.2  |   1.0   |   0.8   |
| 计算机设备 | 300042 | 朗科科技 |  25.3  |  75.6   | 0.1  |   1.1   |   0.6   |
| 计算机设备 | 002152 | 广电运通 | 227.5  |  25.3   | 0.0  |  -0.2   |   0.6   |
| 计算机设备 | 002197 | 证通电子 |  53.8  |  118.2  | 0.0  |   1.2   |   6.2   |
| 计算机设备 | 300368 | 汇金股份 |  38.6  | -136.8  | 0.0  |  -3.3   |   2.5   |
| 计算机设备 | 002577 | 雷柏科技 |  30.0  |  66.8   | 0.0  |   1.2   |   4.0   |
| 计算机设备 | 603660 | 苏州科达 |  28.6  |  -9.3   | 0.0  |  -0.2   |   2.3   |
| 计算机设备 | 300367 |  网力退  |  3.6   |  -1.0   | 0.0  |   0.0   |  11.1   |
| 计算机设备 | 688288 | 鸿泉物联 |  22.5  |  -37.3  | -0.0 |   2.8   |  -1.1   |
| 计算机设备 | 002180 |  纳思达  | 710.1  |  40.3   | -0.5 |   6.7   |   5.1   |
| 计算机设备 | 000034 | 神州数码 | 100.8  |  13.5   | -0.5 |  -1.1   |  -0.7   |
| 计算机设备 | 300551 | 古鳌科技 |  31.4  | -379.9  | -0.7 |   1.8   |   5.1   |
| 计算机设备 | 688208 | 道通科技 | 158.1  |  62.5   | -1.3 |   0.8   |  -5.5   |
| 计算机设备 | 002512 | 达华智能 |  35.1  |  -22.8  | -1.3 |  -1.6   |  11.7   |
| 计算机设备 | 300531 |  优博讯  |  46.0  |  39.8   | -1.4 |  -2.5   |   1.5   |
| 计算机设备 | 600764 | 中国海防 | 184.8  |  299.7  | -3.0 |  -0.7   |  -1.8   |
| 计算机设备 | 688086 | *ST紫晶  |  14.6  |  -3.6   | -7.8 |  -6.7   |  11.2   |
+------------+--------+----------+--------+---------+------+---------+---------+
