[行业>三日涨幅]
+------------+--------+------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+------+---------+---------+
|  食品饮料  | 600186 |  莲花健康  |  48.8  |  83.2   | -3.9 |  -2.9   |  -4.2   |
|  采掘行业  | 002629 |  仁智股份  |  15.2  |  -72.0  | -4.2 |  -5.4   |  -9.3   |
|  采掘行业  | 600968 |  海油发展  | 265.3  |  22.1   | -3.3 |  -5.8   |  -6.1   |
|  采掘行业  | 300157 |  恒泰艾普  |  28.2  |  -14.8  | -5.0 |  -6.6   |  -7.5   |
|  采掘行业  | 300191 |  潜能恒信  |  70.8  |  175.9  | -3.7 |  -7.8   |  -6.4   |
|  采掘行业  | 300164 |  通源石油  |  27.2  |  381.6  | -5.8 |  -10.9  |  -9.4   |
|  通用设备  | 600992 |  贵绳股份  |  31.8  |  159.2  | -3.4 |   5.7   |   0.8   |
|  通用设备  | 000595 |  宝塔实业  |  61.7  | -117.1  | -5.7 |  -0.2   |   2.3   |
|  通信设备  | 000070 |  特发信息  |  54.6  |  192.5  | -3.7 |  10.4   |   9.7   |
|  通信服务  | 600804 |  ST鹏博士  |  58.2  |   7.2   | -4.1 |  -4.6   |  -1.1   |
|  软件开发  | 300803 |   指南针   | 244.4  |  22.9   | -3.1 |  -3.5   |  22.5   |
|  软件开发  | 601519 |   大智慧   | 132.1  |  -70.4  | -3.9 |  -12.2  |   1.9   |
|  贸易行业  | 002091 |  江苏国泰  | 180.4  |  10.4   | -5.1 |  -1.3   |  -1.6   |
|   贵金属   | 600988 |  赤峰黄金  | 274.4  |  39.4   | -3.1 |  -0.1   |   5.4   |
|    证券    | 002500 |  山西证券  | 204.3  |  78.5   | -3.2 |  -5.2   |   0.3   |
|    证券    | 601066 |  中信建投  | 2042.0 |  33.1   | -3.5 |  -6.7   |  10.8   |
|  装修装饰  | 001212 |  中旗新材  |  62.2  |  88.7   | -4.0 |  12.2   |  29.1   |
|  船舶制造  | 300600 |  国瑞科技  |  27.8  |  -90.2  | -5.5 |  -7.9   |  -0.4   |
|  航运港口  | 600026 |  中远海能  | 446.5  |  446.1  | -5.0 |  -8.2   |  -15.1  |
|  航运港口  | 601975 |  招商南油  | 173.2  |  41.9   | -5.6 |  -10.8  |  -12.5  |
|  美容护理  | 003006 |  百亚股份  |  52.5  |  23.7   | -4.2 |  10.5   |  10.8   |
|  美容护理  | 603605 |   珀莱雅   | 440.6  |  69.5   | -3.1 |  -1.6   |  -2.0   |
|  纺织服装  | 603908 |   牧高笛   |  68.2  |  46.4   | -4.0 |   9.4   |  11.7   |
|  纺织服装  | 002291 |   星期六   | 157.7  |  45.5   | -3.3 |  -2.0   |  10.9   |
|  纺织服装  | 002674 |  兴业科技  |  32.8  |  211.1  | -3.0 |  -4.7   |  10.5   |
|  石油行业  | 000637 |  茂化实华  |  25.6  |  -84.8  | -5.0 |   0.8   |   1.9   |
|  石油行业  | 000096 |  广聚能源  |  53.7  |  143.1  | -4.7 |  -7.4   |  -12.6  |
|  石油行业  | 600759 |   ST洲际   |  57.0  |  18.4   | -4.9 |  -7.7   |  -3.1   |
|  电网设备  | 688676 |  金盘科技  |  95.4  |  56.8   | -3.6 |   9.9   |  12.3   |
|  电网设备  | 600089 |  特变电工  | 1009.0 |   8.1   | -5.4 |  -1.8   |   4.5   |
|    电池    | 002192 |  融捷股份  | 393.7  |  38.7   | -3.7 |  -0.8   |  -2.5   |
|  电子元件  | 688103 |  国力股份  |  47.2  |  97.9   | -3.4 |   6.2   |  -2.0   |
|  电子元件  | 000733 |  振华科技  | 658.0  |  27.1   | -4.9 |   2.7   |  -0.0   |
|  电子元件  | 002724 |   海洋王   |  83.9  |  124.5  | -3.3 |  -2.8   |  -8.8   |
|  电力行业  | 600116 |  三峡水利  | 204.6  |  518.8  | -3.4 |   2.9   |  -3.4   |
|  电力行业  | 002499 |  *ST科林   |  8.2   |  -8.7   | -5.0 |  -7.5   |  -7.5   |
|  生物制品  | 688180 | 君实生物-U | 732.0  |  -46.2  | -5.5 |   0.2   |  -7.9   |
|  珠宝首饰  | 002356 |  *ST赫美   |  67.1  | -487.3  | -3.2 |  -4.1   |  -3.9   |
|  环保行业  | 603603 |  *ST博天   |  22.6  |  -6.5   | -4.9 |   4.8   |  20.0   |
|  物流行业  | 600233 |  圆通速递  | 698.9  |  20.1   | -3.5 |   0.3   |  -5.9   |
|    燃气    | 002259 |   ST升达   |  22.2  | -148.4  | -3.9 |  -2.3   |  -5.8   |
|    燃气    | 600803 |  新奥股份  | 522.5  |  17.3   | -3.2 |  -3.9   |  -0.2   |
|    燃气    | 300483 |  首华燃气  |  38.2  |  22.4   | -4.1 |  -6.9   |  -9.0   |
|  煤炭行业  | 000571 |   ST大洲   |  17.0  |  12.1   | -3.7 |  -2.8   |  -4.6   |
|  煤炭行业  | 600792 |  云煤能源  |  41.6  |  -20.8  | -4.5 |  -6.0   |  -6.9   |
|  煤炭行业  | 601088 |  中国神华  | 6167.0 |   8.1   | -4.7 |  -7.9   |  -10.8  |
|  煤炭行业  | 600758 |  辽宁能源  |  58.4  |   6.3   | -3.3 |  -8.9   |  -17.5  |
|  煤炭行业  | 600395 |  盘江股份  | 186.1  |   9.7   | -4.1 |  -9.1   |  -11.2  |
|  煤炭行业  | 000552 |  靖远煤电  | 107.3  |   6.0   | -4.9 |  -9.4   |  -12.6  |
|  煤炭行业  | 600740 |  山西焦化  | 149.1  |   6.9   | -5.8 |  -9.5   |  -10.2  |
|  煤炭行业  | 600397 |  安源煤业  |  33.7  |  -5.4   | -5.0 |  -9.6   |  -11.9  |
|  煤炭行业  | 600985 |  淮北矿业  | 342.6  |   5.3   | -5.4 |  -10.4  |  -11.8  |
|  煤炭行业  | 601918 |  新集能源  | 129.3  |   6.1   | -5.8 |  -11.1  |  -12.2  |
|  煤炭行业  | 600403 |  大有能源  | 124.1  |  12.9   | -6.0 |  -12.2  |  -14.6  |
|  煤炭行业  | 600408 |  安泰集团  |  35.0  |  17.1   | -6.0 |  -12.3  |  -12.6  |
|    游戏    | 002464 |   众应退   |  1.5   |   6.9   | -3.5 |  -9.7   |   0.0   |
