[行业>市值]
+--------+--------+----------+--------+--------+-------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+-------+---------+---------+
| 小金属 | 600111 | 北方稀土 | 1352.0 |  21.7  | -8.3  |  -7.5   |  -10.3  |
| 小金属 | 603993 | 洛阳钼业 | 1231.0 |  17.2  | -1.0  |  -2.1   |  -0.3   |
| 小金属 | 002056 | 横店东磁 | 376.3  |  25.7  | -10.0 |  -11.3  |  -7.1   |
| 小金属 | 002738 | 中矿资源 | 360.9  |  11.6  | -5.9  |  -2.9   |  -6.1   |
| 小金属 | 600392 | 盛和资源 | 354.9  |  12.4  | -8.0  |  -3.0   |  -2.4   |
| 小金属 | 600549 | 厦门钨业 | 305.8  |  20.2  | -4.5  |  -3.7   |  -5.2   |
| 小金属 | 000831 | 五矿稀土 | 302.6  |  45.0  | -4.9  |  -5.2   |  -5.1   |
| 小金属 | 601958 | 金钼股份 | 290.1  |  26.4  | -4.7  |  -2.8   |   3.2   |
| 小金属 | 300748 | 金力永磁 | 287.7  |  43.9  | -1.7  |   2.7   |   1.8   |
| 小金属 | 000960 | 锡业股份 | 277.4  |  5.7   | -4.3  |  -4.8   |  -7.5   |
| 小金属 | 600456 | 宝钛股份 | 238.3  |  30.8  | -2.7  |  -0.3   |  -1.7   |
| 小金属 | 600259 | 广晟有色 | 162.5  |  49.9  | -3.8  |  -8.0   |  -4.3   |
| 小金属 | 000657 | 中钨高新 | 158.4  |  36.8  | -5.1  |  -5.1   |  -9.0   |
| 小金属 | 000970 | 中科三环 | 155.6  |  23.4  | -2.3  |   0.5   |  -0.5   |
| 小金属 | 600206 | 有研新材 | 154.7  |  37.1  | -0.8  |  -1.5   |   3.3   |
| 小金属 | 002182 | 云海金属 | 140.8  |  11.6  | -2.5  |   1.0   |   0.6   |
| 小金属 | 603399 | 吉翔股份 | 131.5  | 1691.1 |  0.3  |   0.7   |   1.9   |
| 小金属 | 605376 | 博迁新材 | 131.1  |  76.2  | -8.2  |  -5.2   |  -1.1   |
| 小金属 | 600366 | 宁波韵升 | 117.8  |  39.9  | -0.2  |  11.3   |  11.2   |
| 小金属 | 300224 | 正海磁材 | 116.2  |  34.7  | -2.7  |   4.2   |   3.6   |
| 小金属 | 600459 | 贵研铂业 | 102.9  |  13.5  | -4.4  |  -4.8   |  -5.9   |
| 小金属 | 300811 | 铂科新材 |  94.5  |  73.2  | -3.2  |  -0.0   |  -0.2   |
| 小金属 | 688190 | 云路股份 |  87.8  |  57.3  | -5.4  |  -2.1   |  -7.5   |
| 小金属 | 000795 |  英洛华  |  81.6  |  35.8  | -3.9  |  -0.6   |  -1.8   |
| 小金属 | 002057 | 中钢天源 |  73.5  |  29.7  | -3.8  |   1.1   |   1.4   |
| 小金属 | 002428 | 云南锗业 |  72.4  | 207.3  | -2.3  |  -1.5   |  -3.6   |
| 小金属 | 002378 | 章源钨业 |  70.9  |  27.0  | -2.9  |  -3.0   |  -6.5   |
| 小金属 | 688077 |  大地熊  |  70.2  |  33.5  | -6.7  |   0.1   |  -3.1   |
| 小金属 | 002149 | 西部材料 |  58.6  |  69.7  | -3.1  |  -1.6   |  -3.1   |
| 小金属 | 300328 | 宜安科技 |  57.2  | 168.3  | -3.4  |  -1.4   |   2.0   |
| 小金属 | 300127 | 银河磁体 |  57.1  |  39.0  | -3.2  |  -0.8   |  -2.0   |
| 小金属 | 002167 | 东方锆业 |  53.7  |  22.4  | -2.9  |  -2.7   |  -5.5   |
| 小金属 | 000962 | 东方钽业 |  44.6  |  22.4  | -4.4  |  -4.3   |  -6.0   |
| 小金属 | 301026 | 浩通科技 |  42.2  |  22.8  | -1.7  |   1.4   |  -2.7   |
| 小金属 | 300835 | 龙磁科技 |  36.9  |  33.0  |  2.1  |   5.6   |   2.3   |
| 小金属 | 000633 | 合金投资 |  27.0  | 285.6  | -10.0 |  -7.0   |  10.1   |
| 小金属 | 600980 | 北矿科技 |  26.5  |  25.8  | -3.3  |  -1.7   |  -5.0   |
| 小金属 | 600281 | 华阳新材 |  26.2  | 238.9  | -1.2  |  -2.5   |  -6.3   |
| 小金属 | 002842 | 翔鹭钨业 |  22.7  |  50.5  | -1.4  |  -1.7   |  -4.3   |
| 小金属 | 600615 | *ST丰华  |  13.1  | -91.2  | -5.0  |  -10.0  |  -9.1   |
+--------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+--------+--------+----------+--------+--------+-------+---------+---------+
|  行业  |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+----------+--------+--------+-------+---------+---------+
| 小金属 | 300835 | 龙磁科技 |  36.9  |  33.0  |  2.1  |   5.6   |   2.3   |
| 小金属 | 603399 | 吉翔股份 | 131.5  | 1691.1 |  0.3  |   0.7   |   1.9   |
| 小金属 | 600366 | 宁波韵升 | 117.8  |  39.9  | -0.2  |  11.3   |  11.2   |
| 小金属 | 600206 | 有研新材 | 154.7  |  37.1  | -0.8  |  -1.5   |   3.3   |
| 小金属 | 603993 | 洛阳钼业 | 1231.0 |  17.2  | -1.0  |  -2.1   |  -0.3   |
| 小金属 | 600281 | 华阳新材 |  26.2  | 238.9  | -1.2  |  -2.5   |  -6.3   |
| 小金属 | 002842 | 翔鹭钨业 |  22.7  |  50.5  | -1.4  |  -1.7   |  -4.3   |
| 小金属 | 301026 | 浩通科技 |  42.2  |  22.8  | -1.7  |   1.4   |  -2.7   |
| 小金属 | 300748 | 金力永磁 | 287.7  |  43.9  | -1.7  |   2.7   |   1.8   |
| 小金属 | 000970 | 中科三环 | 155.6  |  23.4  | -2.3  |   0.5   |  -0.5   |
| 小金属 | 002428 | 云南锗业 |  72.4  | 207.3  | -2.3  |  -1.5   |  -3.6   |
| 小金属 | 002182 | 云海金属 | 140.8  |  11.6  | -2.5  |   1.0   |   0.6   |
| 小金属 | 300224 | 正海磁材 | 116.2  |  34.7  | -2.7  |   4.2   |   3.6   |
| 小金属 | 600456 | 宝钛股份 | 238.3  |  30.8  | -2.7  |  -0.3   |  -1.7   |
| 小金属 | 002378 | 章源钨业 |  70.9  |  27.0  | -2.9  |  -3.0   |  -6.5   |
| 小金属 | 002167 | 东方锆业 |  53.7  |  22.4  | -2.9  |  -2.7   |  -5.5   |
| 小金属 | 002149 | 西部材料 |  58.6  |  69.7  | -3.1  |  -1.6   |  -3.1   |
| 小金属 | 300811 | 铂科新材 |  94.5  |  73.2  | -3.2  |  -0.0   |  -0.2   |
| 小金属 | 300127 | 银河磁体 |  57.1  |  39.0  | -3.2  |  -0.8   |  -2.0   |
| 小金属 | 600980 | 北矿科技 |  26.5  |  25.8  | -3.3  |  -1.7   |  -5.0   |
| 小金属 | 300328 | 宜安科技 |  57.2  | 168.3  | -3.4  |  -1.4   |   2.0   |
| 小金属 | 600259 | 广晟有色 | 162.5  |  49.9  | -3.8  |  -8.0   |  -4.3   |
| 小金属 | 002057 | 中钢天源 |  73.5  |  29.7  | -3.8  |   1.1   |   1.4   |
| 小金属 | 000795 |  英洛华  |  81.6  |  35.8  | -3.9  |  -0.6   |  -1.8   |
| 小金属 | 000960 | 锡业股份 | 277.4  |  5.7   | -4.3  |  -4.8   |  -7.5   |
| 小金属 | 600459 | 贵研铂业 | 102.9  |  13.5  | -4.4  |  -4.8   |  -5.9   |
| 小金属 | 000962 | 东方钽业 |  44.6  |  22.4  | -4.4  |  -4.3   |  -6.0   |
| 小金属 | 600549 | 厦门钨业 | 305.8  |  20.2  | -4.5  |  -3.7   |  -5.2   |
| 小金属 | 601958 | 金钼股份 | 290.1  |  26.4  | -4.7  |  -2.8   |   3.2   |
| 小金属 | 000831 | 五矿稀土 | 302.6  |  45.0  | -4.9  |  -5.2   |  -5.1   |
| 小金属 | 600615 | *ST丰华  |  13.1  | -91.2  | -5.0  |  -10.0  |  -9.1   |
| 小金属 | 000657 | 中钨高新 | 158.4  |  36.8  | -5.1  |  -5.1   |  -9.0   |
| 小金属 | 688190 | 云路股份 |  87.8  |  57.3  | -5.4  |  -2.1   |  -7.5   |
| 小金属 | 002738 | 中矿资源 | 360.9  |  11.6  | -5.9  |  -2.9   |  -6.1   |
| 小金属 | 688077 |  大地熊  |  70.2  |  33.5  | -6.7  |   0.1   |  -3.1   |
| 小金属 | 600392 | 盛和资源 | 354.9  |  12.4  | -8.0  |  -3.0   |  -2.4   |
| 小金属 | 605376 | 博迁新材 | 131.1  |  76.2  | -8.2  |  -5.2   |  -1.1   |
| 小金属 | 600111 | 北方稀土 | 1352.0 |  21.7  | -8.3  |  -7.5   |  -10.3  |
| 小金属 | 002056 | 横店东磁 | 376.3  |  25.7  | -10.0 |  -11.3  |  -7.1   |
| 小金属 | 000633 | 合金投资 |  27.0  | 285.6  | -10.0 |  -7.0   |  10.1   |
+--------+--------+----------+--------+--------+-------+---------+---------+
