[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 煤炭行业 | 601088 | 中国神华 | 6195.0 |  8.2   | 0.5  |  -3.8   |  -7.6   |
| 煤炭行业 | 601225 | 陕西煤业 | 1913.0 |  8.4   | 1.8  |  -3.8   |  -8.1   |
| 煤炭行业 | 600188 | 兖矿能源 | 1791.0 |  6.7   | 1.3  |  -7.8   |  -14.0  |
| 煤炭行业 | 601898 | 中煤能源 | 1307.0 |  4.8   | 1.3  |  -7.8   |  -10.5  |
| 煤炭行业 | 000723 | 美锦能源 | 524.0  |  19.4  | -3.4 |   0.6   |   1.1   |
| 煤炭行业 | 000983 | 山西焦煤 | 517.8  |  5.3   | -0.3 |  -11.7  |  -20.9  |
| 煤炭行业 | 601699 | 潞安环能 | 430.5  |  4.4   | 0.6  |  -9.1   |  -15.3  |
| 煤炭行业 | 600546 | 山煤国际 | 351.3  |  5.3   | 1.9  |  -10.3  |  -14.5  |
| 煤炭行业 | 600985 | 淮北矿业 | 340.4  |  5.2   | -0.7 |  -6.8   |  -11.2  |
| 煤炭行业 | 601666 | 平煤股份 | 306.8  |  4.7   | -0.9 |  -9.6   |  -17.1  |
| 煤炭行业 | 600348 | 华阳股份 | 298.0  |  5.7   | -0.6 |  -5.3   |  -11.1  |
| 煤炭行业 | 002128 | 电投能源 | 276.7  |  4.6   | 0.3  |  -7.0   |  -10.2  |
| 煤炭行业 | 000937 | 冀中能源 | 266.4  |  6.8   | 0.0  |  -9.8   |  -15.1  |
| 煤炭行业 | 601001 | 晋控煤业 | 264.6  |  7.3   | 0.8  |  -5.4   |  -5.4   |
| 煤炭行业 | 600395 | 盘江股份 | 184.8  |  9.6   | -0.7 |  -5.0   |  -9.8   |
| 煤炭行业 | 600123 | 兰花科创 | 184.0  |  5.3   | 1.0  |  -7.7   |  -16.0  |
| 煤炭行业 | 600740 | 山西焦化 | 150.1  |  7.0   | 0.7  |  -6.2   |  -7.1   |
| 煤炭行业 | 601918 | 新集能源 | 129.8  |  6.2   | 0.4  |  -6.9   |  -10.1  |
| 煤炭行业 | 600508 | 上海能源 | 127.0  |  4.1   | -1.7 |  -11.5  |  -19.4  |
| 煤炭行业 | 600403 | 大有能源 | 123.4  |  12.8  | -0.6 |  -8.2   |  -12.8  |
| 煤炭行业 | 601015 | 陕西黑猫 | 123.0  |  13.0  | -1.1 |  -13.0  |  -1.6   |
| 煤炭行业 | 600997 | 开滦股份 | 115.0  |  4.9   | -0.1 |  -7.7   |  -10.4  |
| 煤炭行业 | 601101 | 昊华能源 | 109.8  |  8.7   | 0.7  |  -8.3   |  -10.6  |
| 煤炭行业 | 000552 | 靖远煤电 | 107.3  |  6.0   | 0.0  |  -4.7   |  -12.0  |
| 煤炭行业 | 600971 | 恒源煤电 |  87.6  |  5.7   | -0.7 |  -8.1   |  -10.8  |
| 煤炭行业 | 600121 | 郑州煤电 |  83.3  |  41.4  | -2.8 |   0.6   |  10.3   |
| 煤炭行业 | 601011 |  宝泰隆  |  80.7  |  47.0  | -1.4 |  -0.7   |  -2.5   |
| 煤炭行业 | 600532 | 未来股份 |  75.9  | -332.9 | 0.0  |   0.0   |   0.0   |
| 煤炭行业 | 600758 | 辽宁能源 |  58.6  |  6.4   | 0.2  |  -3.7   |  -11.6  |
| 煤炭行业 | 600725 | 云维股份 |  51.1  | 177.4  | 0.2  |  -2.8   |  -5.2   |
| 煤炭行业 | 600792 | 云煤能源 |  41.3  | -20.6  | -0.7 |  -6.9   |  -7.1   |
| 煤炭行业 | 600408 | 安泰集团 |  34.9  |  17.1  | -0.3 |  -9.4   |  -8.9   |
| 煤炭行业 | 600397 | 安源煤业 |  33.8  |  -5.4  | 0.3  |  -4.2   |  -9.1   |
| 煤炭行业 | 000571 |  ST大洲  |  17.0  |  12.1  | 0.0  |  -2.8   |  -5.0   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 煤炭行业 | 600546 | 山煤国际 | 351.3  |  5.3   | 1.9  |  -10.3  |  -14.5  |
| 煤炭行业 | 601225 | 陕西煤业 | 1913.0 |  8.4   | 1.8  |  -3.8   |  -8.1   |
| 煤炭行业 | 601898 | 中煤能源 | 1307.0 |  4.8   | 1.3  |  -7.8   |  -10.5  |
| 煤炭行业 | 600188 | 兖矿能源 | 1791.0 |  6.7   | 1.3  |  -7.8   |  -14.0  |
| 煤炭行业 | 600123 | 兰花科创 | 184.0  |  5.3   | 1.0  |  -7.7   |  -16.0  |
| 煤炭行业 | 601001 | 晋控煤业 | 264.6  |  7.3   | 0.8  |  -5.4   |  -5.4   |
| 煤炭行业 | 600740 | 山西焦化 | 150.1  |  7.0   | 0.7  |  -6.2   |  -7.1   |
| 煤炭行业 | 601101 | 昊华能源 | 109.8  |  8.7   | 0.7  |  -8.3   |  -10.6  |
| 煤炭行业 | 601699 | 潞安环能 | 430.5  |  4.4   | 0.6  |  -9.1   |  -15.3  |
| 煤炭行业 | 601088 | 中国神华 | 6195.0 |  8.2   | 0.5  |  -3.8   |  -7.6   |
| 煤炭行业 | 601918 | 新集能源 | 129.8  |  6.2   | 0.4  |  -6.9   |  -10.1  |
| 煤炭行业 | 002128 | 电投能源 | 276.7  |  4.6   | 0.3  |  -7.0   |  -10.2  |
| 煤炭行业 | 600397 | 安源煤业 |  33.8  |  -5.4  | 0.3  |  -4.2   |  -9.1   |
| 煤炭行业 | 600725 | 云维股份 |  51.1  | 177.4  | 0.2  |  -2.8   |  -5.2   |
| 煤炭行业 | 600758 | 辽宁能源 |  58.6  |  6.4   | 0.2  |  -3.7   |  -11.6  |
| 煤炭行业 | 000937 | 冀中能源 | 266.4  |  6.8   | 0.0  |  -9.8   |  -15.1  |
| 煤炭行业 | 000552 | 靖远煤电 | 107.3  |  6.0   | 0.0  |  -4.7   |  -12.0  |
| 煤炭行业 | 600532 | 未来股份 |  75.9  | -332.9 | 0.0  |   0.0   |   0.0   |
| 煤炭行业 | 000571 |  ST大洲  |  17.0  |  12.1  | 0.0  |  -2.8   |  -5.0   |
| 煤炭行业 | 600997 | 开滦股份 | 115.0  |  4.9   | -0.1 |  -7.7   |  -10.4  |
| 煤炭行业 | 600408 | 安泰集团 |  34.9  |  17.1  | -0.3 |  -9.4   |  -8.9   |
| 煤炭行业 | 000983 | 山西焦煤 | 517.8  |  5.3   | -0.3 |  -11.7  |  -20.9  |
| 煤炭行业 | 600403 | 大有能源 | 123.4  |  12.8  | -0.6 |  -8.2   |  -12.8  |
| 煤炭行业 | 600348 | 华阳股份 | 298.0  |  5.7   | -0.6 |  -5.3   |  -11.1  |
| 煤炭行业 | 600985 | 淮北矿业 | 340.4  |  5.2   | -0.7 |  -6.8   |  -11.2  |
| 煤炭行业 | 600971 | 恒源煤电 |  87.6  |  5.7   | -0.7 |  -8.1   |  -10.8  |
| 煤炭行业 | 600395 | 盘江股份 | 184.8  |  9.6   | -0.7 |  -5.0   |  -9.8   |
