[行业>市值]
+------+--------+----------+-------+--------+------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+------+---------+---------+
| 燃气 | 600956 | 新天绿能 | 523.0 |  13.9  | -3.0 |   2.1   |   0.6   |
| 燃气 | 600803 | 新奥股份 | 515.7 |  17.1  | -1.3 |  -4.2   |  -1.5   |
| 燃气 | 601139 | 深圳燃气 | 206.3 |  22.8  | -0.3 |  -1.8   |  -3.5   |
| 燃气 | 605090 | 九丰能源 | 132.9 |  8.5   | -1.7 |  -1.2   |  -2.1   |
| 燃气 | 600917 | 重庆燃气 | 113.5 |  28.1  | -1.0 |  -3.1   |  -4.1   |
| 燃气 | 000968 | 蓝焰控股 | 102.8 |  9.4   | 0.2  |  -10.1  |  -14.3  |
| 燃气 | 600635 | 大众公用 | 96.5  |  -7.4  | 0.3  |   0.0   |   1.6   |
| 燃气 | 603393 | 新天然气 | 93.7  |  11.4  | -0.7 |  -2.5   |  -2.9   |
| 燃气 | 600903 | 贵州燃气 | 93.3  | -37.6  | -2.5 |  -5.8   |  -4.1   |
| 燃气 | 300332 | 天壕环境 | 91.0  |  17.2  | -4.0 |  -3.3   |  -1.8   |
| 燃气 | 002911 | 佛燃能源 | 86.2  |  28.8  | -0.8 |  -1.2   |  -1.4   |
| 燃气 | 603053 | 成都燃气 | 83.6  |  10.6  | -0.6 |  -0.6   |  -1.7   |
| 燃气 | 002267 | 陕天然气 | 77.6  |  3.9   | 0.0  |  -2.9   |  -4.6   |
| 燃气 | 600617 | 国新能源 | 65.5  |  9.4   | 0.6  |  -2.7   |  -7.4   |
| 燃气 | 600681 | 百川能源 | 62.8  |  10.8  | -0.9 |  -0.9   |  -3.0   |
| 燃气 | 605368 | 蓝天燃气 | 60.3  |  7.9   | -0.5 |  -2.2   |  -4.0   |
| 燃气 | 300435 | 中泰股份 | 58.8  |  23.6  | -1.6 |   1.0   |   0.1   |
| 燃气 | 300483 | 首华燃气 | 38.1  |  22.3  | -0.3 |  -4.6   |  -7.0   |
| 燃气 | 603689 | 皖天然气 | 34.1  |  12.7  | -1.3 |  -1.6   |  -3.5   |
| 燃气 | 605169 | 洪通燃气 | 32.8  |  15.4  | -0.8 |  -2.8   |  -4.3   |
| 燃气 | 000407 | 胜利股份 | 32.7  |  26.5  | -0.8 |  -1.1   |  -2.6   |
| 燃气 | 600333 | 长春燃气 | 30.9  | -66.3  | -0.8 |  -2.3   |  -3.0   |
| 燃气 | 603318 | 水发燃气 | 30.2  |  58.5  | -0.6 |   0.9   |  -6.5   |
| 燃气 | 603706 | 东方环宇 | 29.3  |  11.6  | -2.8 |  -6.0   |  -3.9   |
| 燃气 | 000421 | 南京公用 | 27.9  | -53.4  | -1.0 |   0.0   |  -1.4   |
| 燃气 | 002259 |  ST升达  | 22.0  | -147.4 | -0.7 |   0.3   |  -3.6   |
| 燃气 | 000593 | 德龙汇能 | 19.9  | 211.5  | -0.4 |   0.4   |  -0.9   |
| 燃气 | 603080 | 新疆火炬 | 18.9  |  13.1  | -1.7 |  -2.4   |  -4.9   |
| 燃气 | 002700 |  ST浩源  | 17.5  |  29.4  | 0.5  |   5.1   |   7.0   |
| 燃气 | 000669 |  ST金鸿  | 11.2  | -46.4  | -0.6 |  -1.8   |  -1.2   |
| 燃气 | 600856 | 退市中天 |  3.7  |  -2.2  | 0.0  |   0.0   |  -6.9   |
+------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+-------+--------+------+---------+---------+
| 行业 |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+-------+--------+------+---------+---------+
| 燃气 | 600617 | 国新能源 | 65.5  |  9.4   | 0.6  |  -2.7   |  -7.4   |
| 燃气 | 002700 |  ST浩源  | 17.5  |  29.4  | 0.5  |   5.1   |   7.0   |
| 燃气 | 600635 | 大众公用 | 96.5  |  -7.4  | 0.3  |   0.0   |   1.6   |
| 燃气 | 000968 | 蓝焰控股 | 102.8 |  9.4   | 0.2  |  -10.1  |  -14.3  |
| 燃气 | 002267 | 陕天然气 | 77.6  |  3.9   | 0.0  |  -2.9   |  -4.6   |
| 燃气 | 600856 | 退市中天 |  3.7  |  -2.2  | 0.0  |   0.0   |  -6.9   |
| 燃气 | 601139 | 深圳燃气 | 206.3 |  22.8  | -0.3 |  -1.8   |  -3.5   |
| 燃气 | 300483 | 首华燃气 | 38.1  |  22.3  | -0.3 |  -4.6   |  -7.0   |
| 燃气 | 000593 | 德龙汇能 | 19.9  | 211.5  | -0.4 |   0.4   |  -0.9   |
| 燃气 | 605368 | 蓝天燃气 | 60.3  |  7.9   | -0.5 |  -2.2   |  -4.0   |
| 燃气 | 000669 |  ST金鸿  | 11.2  | -46.4  | -0.6 |  -1.8   |  -1.2   |
| 燃气 | 603318 | 水发燃气 | 30.2  |  58.5  | -0.6 |   0.9   |  -6.5   |
| 燃气 | 603053 | 成都燃气 | 83.6  |  10.6  | -0.6 |  -0.6   |  -1.7   |
| 燃气 | 002259 |  ST升达  | 22.0  | -147.4 | -0.7 |   0.3   |  -3.6   |
| 燃气 | 603393 | 新天然气 | 93.7  |  11.4  | -0.7 |  -2.5   |  -2.9   |
| 燃气 | 002911 | 佛燃能源 | 86.2  |  28.8  | -0.8 |  -1.2   |  -1.4   |
| 燃气 | 605169 | 洪通燃气 | 32.8  |  15.4  | -0.8 |  -2.8   |  -4.3   |
| 燃气 | 600333 | 长春燃气 | 30.9  | -66.3  | -0.8 |  -2.3   |  -3.0   |
| 燃气 | 000407 | 胜利股份 | 32.7  |  26.5  | -0.8 |  -1.1   |  -2.6   |
| 燃气 | 600681 | 百川能源 | 62.8  |  10.8  | -0.9 |  -0.9   |  -3.0   |
| 燃气 | 600917 | 重庆燃气 | 113.5 |  28.1  | -1.0 |  -3.1   |  -4.1   |
| 燃气 | 000421 | 南京公用 | 27.9  | -53.4  | -1.0 |   0.0   |  -1.4   |
| 燃气 | 603689 | 皖天然气 | 34.1  |  12.7  | -1.3 |  -1.6   |  -3.5   |
| 燃气 | 600803 | 新奥股份 | 515.7 |  17.1  | -1.3 |  -4.2   |  -1.5   |
| 燃气 | 300435 | 中泰股份 | 58.8  |  23.6  | -1.6 |   1.0   |   0.1   |
| 燃气 | 603080 | 新疆火炬 | 18.9  |  13.1  | -1.7 |  -2.4   |  -4.9   |
| 燃气 | 605090 | 九丰能源 | 132.9 |  8.5   | -1.7 |  -1.2   |  -2.1   |
| 燃气 | 600903 | 贵州燃气 | 93.3  | -37.6  | -2.5 |  -5.8   |  -4.1   |
| 燃气 | 603706 | 东方环宇 | 29.3  |  11.6  | -2.8 |  -6.0   |  -3.9   |
