[行业>三日涨幅]
+--------------+--------+-------------+--------+---------+------+---------+---------+
|     行业     |  代码  |    名称     |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+-------------+--------+---------+------+---------+---------+
|   食品饮料   | 600866 |  星湖科技   |  49.5  |  54.0   | -3.5 |   6.2   |   4.0   |
|   食品饮料   | 600381 |  青海春天   |  79.7  |  -84.6  | -4.4 |   1.4   |  -0.1   |
|   食品饮料   | 002847 |  盐津铺子   | 102.2  |  41.6   | -3.1 |   0.2   |   1.0   |
|   食品饮料   | 600873 |  梅花生物   | 320.4  |   6.9   | -4.3 |  -0.9   |  -2.2   |
|   食品饮料   | 002329 |  皇氏集团   |  47.0  |  15.4   | -3.3 |  -0.9   |   1.6   |
|   食品饮料   | 603866 |  桃李面包   | 205.6  |  32.5   | -3.6 |  -1.1   |   1.0   |
|   食品饮料   | 603517 |  绝味食品   | 295.6  |  83.0   | -3.6 |  -1.5   |   5.2   |
|   食品饮料   | 600191 |   *ST华资   |  24.7  |  -18.0  | -5.0 |  -2.7   |  11.6   |
|   食品饮料   | 301116 |  益客食品   |  92.8  |  -27.6  | -4.8 |  -5.1   |  -0.5   |
|   风电设备   | 300690 |  双一科技   |  30.1  |  68.6   | -3.4 |  10.7   |  10.4   |
|  非金属材料  | 300035 |  中科电气   | 208.7  |  40.5   | -3.7 |  11.4   |   8.3   |
|  非金属材料  | 603612 |  索通发展   | 146.6  |  23.2   | -5.5 |   9.7   |  10.8   |
|  非金属材料  | 301071 |  力量钻石   | 202.5  |  50.1   | -5.6 |   2.0   |   8.9   |
|  非金属材料  | 300409 |  道氏技术   | 148.1  |  21.6   | -3.9 |   1.8   |   4.3   |
|  非金属材料  | 688300 |  联瑞新材   |  63.5  |  37.2   | -4.7 |  -2.1   |  -6.4   |
|   铁路公路   | 603032 |  德新交运   | 143.5  |  69.2   | -3.9 |  -6.8   |  -7.4   |
|   铁路公路   | 600650 |  锦江在线   |  68.8  |   3.0   | -5.9 |  -7.3   |  -1.2   |
|   钢铁行业   | 600399 |  抚顺特钢   | 323.2  |  94.6   | -4.2 |   5.0   |   4.5   |
|   钢铁行业   | 002756 |  永兴材料   | 548.6  |  16.9   | -4.3 |  -1.2   |  -2.3   |
|   钢铁行业   | 002318 |  久立特材   | 152.1  |  19.6   | -3.9 |  -1.9   |  -5.8   |
|   钢铁行业   | 002443 |  金洲管道   |  47.0  |  24.3   | -3.5 |  -5.2   |   0.0   |
|   钢铁行业   | 601969 |  海南矿业   | 176.0  |  22.7   | -3.0 |  -5.8   |  -6.5   |
|   采掘行业   | 000762 |  西藏矿业   | 276.7  |  52.4   | -3.1 |   6.7   |   8.9   |
|   酿酒行业   | 600616 |  金枫酒业   |  49.7  |  359.6  | -3.8 |   0.9   |   9.9   |
|   酿酒行业   | 000596 |  古井贡酒   | 1210.0 |  27.5   | -3.2 |   0.7   |   2.7   |
|   通用设备   | 000816 |  智慧农业   |  69.2  |  253.9  | -4.5 |  15.6   |  19.0   |
|   通用设备   | 301063 |  海锅股份   |  24.0  |  70.5   | -3.3 |   8.9   |   4.8   |
|   通用设备   | 002480 |  新筑股份   |  45.4  |  -14.3  | -4.1 |   6.3   |  10.5   |
|   通用设备   | 002965 |  祥鑫科技   |  48.1  |  35.2   | -3.9 |   6.0   |   2.5   |
|   通用设备   | 002598 |  山东章鼓   |  30.1  |  37.3   | -5.0 |   2.8   |  -3.2   |
|   通用设备   | 300990 |  同飞股份   |  49.6  |  59.1   | -3.1 |   1.9   |   3.5   |
|   通用设备   | 603028 |   赛福天    |  25.7  |  69.3   | -3.2 |   1.1   |  -1.0   |
|   通用设备   | 605123 |  派克新材   | 131.9  |  30.7   | -5.3 |   1.1   |  -1.4   |
|   通用设备   | 002931 |  锋龙股份   |  21.6  |  32.6   | -3.9 |   0.7   |   9.9   |
|   通用设备   | 603088 |  宁波精达   |  32.7  |  28.6   | -5.6 |  -2.1   |   9.3   |
|   通信设备   | 300627 |  华测导航   | 169.1  |  63.4   | -4.8 |   7.6   |   3.1   |
|   通信设备   | 300394 |  天孚通信   | 108.8  |  32.8   | -4.0 |   1.6   |  -0.3   |
|   通信设备   | 002935 |  天奥电子   |  60.1  | -124.2  | -3.9 |   0.0   |  -1.0   |
|   通信设备   | 300710 |  万隆光电   |  27.4  | 2699.1  | -3.0 |  -1.4   |  -5.8   |
|   通信设备   | 002897 |  意华股份   |  77.5  |  43.1   | -3.8 |  -1.9   |  -2.1   |
|   通信设备   | 688311 |  盟升电子   |  68.7  | -138.2  | -3.1 |  -3.5   |  -3.8   |
|   通信设备   | 600776 |  东方通信   | 138.9  |  632.5  | -4.1 |  -4.2   |   7.4   |
|   通信设备   | 000070 |  特发信息   |  52.0  |  183.6  | -4.6 |  -4.3   |   5.8   |
|   通信设备   | 600734 |   ST实达    |  96.7  | -164.0  | -4.9 |  -4.5   |  -13.8  |
|   通信设备   | 002194 |  武汉凡谷   |  63.9  |  14.8   | -3.6 |  -5.2   |  -0.1   |
|   通信设备   | 301191 |  菲菱科思   |  42.9  |  16.0   | -3.9 |  -6.5   |  -1.2   |
|   通信服务   | 688682 |  DR霍莱沃   |  42.1  |  374.4  | -4.7 |  -4.5   |  -2.5   |
|   软件开发   | 301221 |  光庭信息   |  52.0  |  908.5  | -3.5 |   2.7   |   0.9   |
|   软件开发   | 301162 |  国能日新   |  41.7  |  196.7  | -4.5 |   1.0   |  14.2   |
|   软件开发   | 002261 |  拓维信息   |  80.0  |  49.4   | -3.6 |   0.5   |   0.3   |
|   软件开发   | 002268 |  卫 士 通   | 330.1  | -214.6  | -4.4 |  -0.5   |   2.2   |
|   软件开发   | 688296 |  和达科技   |  28.8  | -325.5  | -4.7 |  -1.1   |   1.8   |
|   软件开发   | 300454 |   深信服    | 428.5  |  -20.7  | -3.7 |  -1.3   |   1.5   |
|   软件开发   | 688318 |  财富趋势   |  87.9  |  49.0   | -5.0 |  -5.5   |   3.0   |
