[行业>市值]
+------------+--------+------------+--------+--------+-------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+--------+-------+---------+---------+
| 光学光电子 | 000725 |  京东方Ａ   | 1469.0 |  8.4   | -1.6  |  -1.6   |   3.5   |
| 光学光电子 | 600703 |  三安光电  | 1003.0 |  58.5  | -3.0  |   1.5   |   8.8   |
| 光学光电子 | 000100 |  TCL科技   | 613.1  |  11.3  | -2.2  |  -2.2   |   2.3   |
| 光学光电子 | 688538 | 和辉光电-U | 368.1  | -48.7  | -2.2  |  -1.9   |  -1.9   |
| 光学光电子 | 000050 |  深天马Ａ   | 233.7  |  74.0  | -3.3  |  -1.4   |   1.8   |
| 光学光电子 | 002456 |   欧菲光   | 190.9  | -25.6  | -3.1  |  -0.2   |   4.5   |
| 光学光电子 | 688055 |  龙腾光电  | 174.7  |  28.1  | -3.0  |  -3.7   |  -2.6   |
| 光学光电子 | 300088 |  长信科技  | 168.4  |  23.2  | -4.6  |  -3.6   |  -3.9   |
| 光学光电子 | 600707 |  彩虹股份  | 164.0  |  -5.5  | -3.4  |  -3.2   |   5.3   |
| 光学光电子 | 300296 |   利亚德   | 159.4  |  34.7  | -2.8  |  -1.7   |   0.6   |
| 光学光电子 | 002273 |  水晶光电  | 153.7  |  33.7  | -4.0  |  -3.3   |  -0.9   |
| 光学光电子 | 002036 |  联创电子  | 146.6  |  91.3  | -6.1  |  -2.0   |  -0.4   |
| 光学光电子 | 002745 |   木林森   | 137.3  |  18.9  | -2.8  |  -2.5   |  -0.1   |
| 光学光电子 | 603297 |  永新光学  | 120.2  |  55.6  | 10.0  |   6.6   |  13.3   |
| 光学光电子 | 000413 |  东旭光电  | 102.0  |  -4.9  | -0.6  |   0.6   |   1.7   |
| 光学光电子 | 000727 |  冠捷科技  |  98.7  |  20.8  | -1.8  |  -1.4   |   0.5   |
| 光学光电子 | 600363 |  联创光电  |  95.7  |  38.1  | -2.7  |  -3.5   |   1.8   |
| 光学光电子 | 002217 |   合力泰   |  95.7  | -12.0  | -0.3  |  -1.0   |  -3.8   |
| 光学光电子 | 600651 |  飞乐音响  |  95.5  | -39.5  |  1.1  |   0.3   |   2.4   |
| 光学光电子 | 688150 |  莱特光电  |  90.8  |  70.4  | -12.7 |  -17.3  |  -15.9  |
| 光学光电子 | 300323 |  华灿光电  |  87.2  | 305.8  | -2.1  |  -1.9   |   0.9   |
| 光学光电子 | 002387 |   维信诺   |  85.6  |  -3.7  | -3.9  |  -6.2   |  -3.4   |
| 光学光电子 | 688127 |  蓝特光学  |  84.9  |  98.6  | -0.1  |  -3.2   |  -1.5   |
| 光学光电子 | 600552 |  凯盛科技  |  76.1  |  75.1  | -0.6  |  -7.3   |  -15.7  |
| 光学光电子 | 300319 |  麦捷科技  |  74.3  |  42.4  | -3.0  |  -2.1   |   1.6   |
| 光学光电子 | 002222 |  福晶科技  |  71.1  |  33.8  | -1.7  |  -4.3   |   3.9   |
| 光学光电子 | 002876 |   三利谱   |  67.6  |  25.0  | -5.1  |  -5.3   |  -0.5   |
| 光学光电子 | 300232 |  洲明科技  |  66.5  |  21.4  | -1.9  |   0.0   |   3.0   |
| 光学光电子 | 300708 |  聚灿光电  |  65.5  |  66.1  | -3.1  |  -1.6   |   5.3   |
| 光学光电子 | 300102 |  乾照光电  |  63.8  | -221.4 |  1.7  |   2.5   |   2.9   |
| 光学光电子 | 300219 |  鸿利智汇  |  59.8  |  27.9  | -3.4  |  -3.1   |   5.9   |
| 光学光电子 | 000536 |  华映科技  |  58.9  | -10.4  | -0.5  |   7.6   |   8.1   |
| 光学光电子 | 300303 |  聚飞光电  |  58.8  |  28.1  | -2.0  |  -0.9   |   3.3   |
| 光学光电子 | 300790 |  宇瞳光学  |  58.5  |  34.1  | -1.9  |  -4.6   |  -2.7   |
| 光学光电子 | 605118 |  力鼎光电  |  54.9  |  31.4  | -1.2  |   1.3   |   2.1   |
| 光学光电子 | 002106 |  莱宝高科  |  54.9  |  17.5  | -2.1  |  -1.1   |   1.0   |
| 光学光电子 | 002955 |  鸿合科技  |  51.5  |  31.1  | -4.0  |   7.5   |  10.2   |
| 光学光电子 | 002765 |  蓝黛科技  |  51.5  |  25.6  |  0.9  |  -0.8   |  -1.2   |
| 光学光电子 | 688299 |  长阳科技  |  49.9  |  35.2  | -3.0  |  -5.6   |  -6.1   |
| 光学光电子 | 600071 |  凤凰光学  |  49.8  | -97.1  | -2.6  |  -2.0   |  -1.9   |
| 光学光电子 | 603703 |  盛洋科技  |  49.5  | 237.9  |  2.1  |  -7.3   |  -15.6  |
| 光学光电子 | 300752 |  隆利科技  |  48.9  | -65.2  |  1.7  |   1.6   |   8.3   |
| 光学光电子 | 002449 |  国星光电  |  47.6  |  56.5  | -2.0  |  -0.9   |  -0.7   |
| 光学光电子 | 300566 |  激智科技  |  43.8  |  29.1  | -2.7  |  -1.7   |  -0.6   |
| 光学光电子 | 300331 |  苏大维格  |  43.5  | -46.8  | -4.2  |  -5.4   |   5.6   |
| 光学光电子 | 002845 |   同兴达   |  43.0  |  13.9  | -2.8  |   2.1   |   4.7   |
| 光学光电子 | 300582 |   英飞特   |  42.8  |  56.4  | -2.0  |  -2.8   |  -1.8   |
| 光学光电子 | 300940 |   南极光   |  41.6  |  88.8  | -1.2  |  -2.1   |  -0.8   |
| 光学光电子 | 688079 |   美迪凯   |  41.2  |  69.1  | -3.9  |  -3.4   |  -1.8   |
| 光学光电子 | 002189 |   中光学   |  39.1  | -33.8  | -1.9  |  -5.2   |  -2.1   |
| 光学光电子 | 688181 |  八亿时空  |  39.0  |  15.6  | -2.0  |  -3.1   |  -2.3   |
| 光学光电子 | 688010 |  福光股份  |  38.4  |  75.3  | -0.4  |  -4.2   |   7.3   |
| 光学光电子 | 300909 |   汇创达   |  38.4  |  38.7  | -2.4  |  -2.7   |  -3.2   |
