[行业>三日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
|  食品饮料  | 002852 |  道道全  |  41.4  |  -19.1  | 3.5  |  11.6   |  16.4   |
|  食品饮料  | 002840 | 华统股份 |  91.2  |  -25.9  | 4.3  |   7.7   |  15.8   |
|  食品饮料  | 300401 | 花园生物 |  94.2  |  15.6   | 5.4  |   3.1   |  15.4   |
| 非金属材料 | 603688 | 石英股份 | 423.9  |  121.3  | 5.3  |   7.2   |   9.1   |
|  酿酒行业  | 600197 |  伊力特  | 142.0  |  32.8   | 4.0  |   1.3   |  -4.8   |
|  造纸印刷  | 000695 | 滨海能源 |  20.0  |  -34.8  | 5.5  |   9.6   |   7.2   |
|  造纸印刷  | 605377 | 华旺科技 |  57.8  |  12.8   | 3.9  |   7.0   |  10.9   |
|  通用设备  | 603985 | 恒润股份 | 125.4  |  248.1  | 5.2  |  19.4   |  28.8   |
|  通用设备  | 300263 | 隆华科技 |  81.5  |  31.0   | 5.4  |  11.4   |  19.0   |
|  通用设备  | 002122 |  ST天马  |  25.7  |  -4.4   | 5.0  |   9.3   |  17.1   |
|  通用设备  | 300953 | 震裕科技 | 143.7  |  64.1   | 4.0  |   7.2   |  19.7   |
|  通用设备  | 002132 | 恒星科技 | 100.8  |  80.9   | 4.7  |   4.7   |  16.5   |
|  通用设备  | 301268 |  铭利达  | 137.3  |  60.7   | 4.4  |   3.0   |   2.3   |
|  通信设备  | 600462 |  ST九有  |  13.8  |  -20.4  | 3.2  |   8.8   |   7.7   |
|  通信设备  | 300698 | 万马科技 |  21.6  |  -56.0  | 5.6  |   8.2   |   7.7   |
|  软件开发  | 300209 | 天泽信息 |  28.9  |  -26.8  | 5.5  |  11.9   |  18.9   |
|   贵金属   | 002155 | 湖南黄金 | 148.0  |  39.5   | 4.9  |   8.1   |  24.1   |
|    证券    | 601066 | 中信建投 | 2108.0 |  34.2   | 3.1  |  -0.3   |   4.3   |
|  装修装饰  | 603272 | 联翔股份 |  23.5  |  59.1   | 3.5  |   5.5   |   6.0   |
|  船舶制造  | 601890 | 亚星锚链 |  75.5  |  71.1   | 4.4  |   5.1   |   9.0   |
|  航运港口  | 600026 | 中远海能 | 487.1  |  486.6  | 3.6  |   3.6   |  -1.8   |
|  航天航空  | 300775 | 三角防务 | 213.4  |  37.7   | 3.9  |   7.5   |   5.5   |
|  航天航空  | 688070 | 纵横股份 |  31.0  | -338.3  | 4.9  |   0.7   |   9.8   |
|  综合行业  | 000839 |  ST国安  |  83.5  |  -14.2  | 4.9  |   2.9   |   0.5   |
|  综合行业  | 000861 | 海印股份 |  69.1  |  17.0   | 3.0  |   1.1   |  -2.8   |
|  综合行业  | 000833 | 粤桂股份 |  62.9  |  44.2   | 5.1  |  -0.9   |  -18.3  |
|  电网设备  | 600973 | 宝胜股份 |  81.0  |  53.5   | 3.5  |  14.8   |  30.2   |
|  电网设备  | 603191 | 望变电气 |  77.4  |  52.8   | 4.0  |  12.4   |  24.0   |
|  电网设备  | 603097 | 江苏华辰 |  39.7  |  34.6   | 5.0  |   9.7   |   7.5   |
|  电网设备  | 300617 | 安靠智电 |  76.0  |  28.0   | 4.3  |   8.4   |  14.3   |
|  电网设备  | 002270 | 华明装备 |  78.2  |  29.6   | 3.9  |   7.0   |  12.8   |
|  电网设备  | 600192 | 长城电工 |  23.6  |  -32.6  | 3.9  |   6.6   |   4.3   |
|  电网设备  | 601126 | 四方股份 | 119.5  |  23.2   | 4.1  |   3.3   |   6.1   |
|  电网设备  | 000682 | 东方电子 |  96.1  |  39.5   | 5.1  |   2.6   |   8.6   |
|  电源设备  | 002518 |  科士达  | 168.5  |  77.6   | 3.0  |   6.2   |  13.8   |
|  电源设备  | 300713 |  英可瑞  |  23.0  |  346.0  | 3.2  |   6.0   |   7.0   |
|    电池    | 300890 |  翔丰华  |  56.8  |  38.7   | 4.5  |   9.8   |  12.9   |
|    电池    | 601311 | 骆驼股份 | 131.0  |  23.4   | 5.1  |   8.8   |  14.1   |
|    电池    | 301222 | 浙江恒威 |  33.3  |  41.3   | 5.8  |   6.9   |   9.3   |
|    电池    | 300207 |  欣旺达  | 560.0  |  147.5  | 5.7  |   5.6   |   8.0   |
|    电池    | 605378 | 野马电池 |  31.4  |  293.3  | 5.4  |   5.1   |  16.5   |
|    电池    | 002245 | 蔚蓝锂芯 | 264.0  |  33.0   | 4.0  |   1.8   |  12.2   |
|    电机    | 603728 | 鸣志电器 |  79.0  |  50.5   | 3.6  |  19.8   |  28.6   |
|    电机    | 301023 | 江南奕帆 |  24.7  |  30.3   | 4.1  |  12.6   |  14.9   |
|    电机    | 603988 | 中电电机 |  27.1  |  50.5   | 5.5  |   8.7   |   9.4   |
|  电子元件  | 688025 |  杰普特  |  44.9  |  46.1   | 3.3  |   0.3   |  11.9   |
|  电力行业  | 300125 | 聆达股份 |  47.0  |  -42.6  | 3.7  |   5.3   |   7.7   |
|  电力行业  | 002499 | *ST科林  |  8.7   |  -9.2   | 5.0  |   0.4   |  -4.6   |
|  生物制品  | 301207 | 华兰疫苗 | 217.5  | -6397.2 | 5.2  |  13.4   |  26.8   |
