[行业>三日涨幅]
+--------------+--------+------------+--------+---------+------+---------+---------+
|     行业     |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+------------+--------+---------+------+---------+---------+
|   食品饮料   | 600882 |  妙可蓝多  | 208.4  |  70.9   | -3.3 |   4.2   |   7.2   |
|   食品饮料   | 605337 |   李子园   |  73.2  |  44.8   | -4.1 |   0.8   |   0.5   |
|   食品饮料   | 300175 |  朗源股份  |  18.3  | -415.4  | -3.2 |  -2.5   |  -2.3   |
|   食品饮料   | 300829 |  金丹科技  |  49.1  |  28.4   | -3.5 |  -3.5   |  -4.2   |
|   食品饮料   | 300783 |  三只松鼠  |  87.7  |  13.6   | -3.1 |  -3.6   |  -0.3   |
|   食品饮料   | 688089 |   嘉必优   |  37.4  |  40.3   | -4.7 |  -3.9   |  -1.8   |
|   食品饮料   | 002286 |   保龄宝   |  38.0  |  22.2   | -3.6 |  -4.3   |  -4.8   |
|   食品饮料   | 605016 |  百龙创园  |  48.0  |  29.5   | -4.1 |  -4.8   |  -3.5   |
|   食品饮料   | 603866 |  桃李面包  | 198.9  |  31.5   | -3.2 |  -5.0   |  -3.7   |
|   食品饮料   | 001215 |  千味央厨  |  40.4  |  35.2   | -4.5 |  -5.3   |  -5.8   |
|   食品饮料   | 605388 |  均瑶健康  |  69.7  |  95.3   | -5.8 |  -5.5   |  -7.3   |
|   食品饮料   | 600191 |  *ST华资   |  23.5  |  -17.1  | -4.9 |  -7.6   |   2.1   |
|   风电设备   | 300772 |  运达股份  | 128.8  |  28.8   | -3.5 |   5.3   |  18.8   |
|   风电设备   | 603218 |  日月股份  | 247.7  |  104.0  | -3.2 |   0.9   |  12.5   |
|  非金属材料  | 600783 |  鲁信创投  | 102.2  |  52.0   | -3.5 |   1.2   |  -0.6   |
|  非金属材料  | 001296 |  长江材料  |  25.0  |  43.6   | -3.2 |  -2.9   |  -6.1   |
|  非金属材料  | 603826 |  坤彩科技  | 285.4  |  267.4  | -3.9 |  -6.4   |  -5.4   |
|   铁路公路   | 001965 |  招商公路  | 464.0  |  10.6   | -4.0 |  -5.4   |  -5.5   |
|   钢铁行业   | 000708 |  中信特钢  | 965.5  |  12.4   | -3.9 |  -1.2   |  -2.9   |
|   钢铁行业   | 600399 |  抚顺特钢  | 305.7  |  89.5   | -5.4 |  -1.3   |  -0.9   |
|   钢铁行业   | 600295 |  鄂尔多斯  | 352.0  |   6.6   | -3.4 |  -5.7   |  -10.2  |
|   钢铁行业   | 605158 |  XD华达新  |  32.4  |  27.5   | -3.6 |  -5.8   |  -9.7   |
|   钢铁行业   | 002443 |  金洲管道  |  44.7  |  23.1   | -4.9 |  -8.1   |  -5.5   |
|   采掘行业   | 603727 |   博迈科   |  33.5  |  58.3   | -4.2 |  -6.4   |  -13.5  |
|   采掘行业   | 603979 |   金诚信   | 120.0  |  18.9   | -3.6 |  -7.0   |  -11.1  |
|   采掘行业   | 300157 |  恒泰艾普  |  26.9  |  -14.1  | -3.3 |  -9.6   |  -14.7  |
|   采掘行业   | 300164 |  通源石油  |  25.9  |  362.6  | -4.2 |  -10.6  |  -20.3  |
|   采掘行业   | 002207 |  准油股份  |  20.6  |  28.0   | -3.8 |  -11.2  |  -19.3  |
|   采掘行业   | 603619 |  中曼石油  |  76.0  |  26.1   | -3.5 |  -13.5  |  -19.3  |
|   酿酒行业   | 000860 |  顺鑫农业  | 190.9  |  45.8   | -4.5 |  -1.7   |   6.0   |
|   酿酒行业   | 600059 |  XD古越龙  |  92.2  |  33.4   | -4.1 |  -2.7   |  -2.0   |
|   酿酒行业   | 601579 |   会稽山   |  59.7  |  19.1   | -5.0 |  -4.4   |  -2.5   |
|   酿酒行业   | 002646 |  天佑德酒  |  84.3  |  19.2   | -4.7 |  -4.9   |  -4.3   |
|   酿酒行业   | 600616 |  金枫酒业  |  48.0  |  347.5  | -3.4 |  -6.8   |  -3.5   |
|   造纸印刷   | 600793 |  宜宾纸业  |  22.7  |  133.5  | -3.9 |  -0.4   |   6.7   |
|   造纸印刷   | 000815 |   美利云   |  71.6  | -1304.2 | -3.6 |  -1.8   |   5.9   |
|   造纸印刷   | 603058 |  永吉股份  |  29.2  |  -30.1  | -3.2 |  -4.0   |  -3.5   |
|   通用设备   | 603315 |  福鞍股份  |  76.0  |  165.3  | -3.0 |   6.5   |   4.9   |
|   通用设备   | 300607 |   拓斯达   |  51.3  |  23.8   | -4.5 |   6.0   |   7.8   |
|   通用设备   | 688165 |  埃夫特-U  |  45.9  |  -34.1  | -3.9 |   4.6   |   4.0   |
|   通用设备   | 300278 |   华昌达   |  71.1  |  100.0  | -5.7 |   3.5   |   5.5   |
|   通用设备   | 605060 |  联德股份  |  42.0  |  28.1   | -3.4 |   3.4   |  -0.0   |
|   通用设备   | 002747 |   埃斯顿   | 165.5  |  68.9   | -3.8 |   2.4   |   2.4   |
|   通用设备   | 603915 |  国茂股份  | 127.4  |  49.2   | -4.0 |   2.3   |   5.6   |
|   通用设备   | 300946 |   恒而达   |  42.3  |  39.9   | -3.4 |   2.2   |   2.2   |
|   通用设备   | 301125 |  腾亚精工  |  22.7  |  45.7   | -5.9 |   2.1   |  -1.1   |
|   通用设备   | 300985 |  致远新能  |  39.6  | -245.2  | -4.0 |   1.9   |  -2.3   |
|   通用设备   | 300161 |  华中数控  |  39.5  |  -23.5  | -4.3 |   1.3   |   4.2   |
|   通用设备   | 688305 |  科德数控  |  68.5  |  227.5  | -3.8 |   0.9   |   5.8   |
|   通用设备   | 000837 |  秦川机床  |  67.8  |  28.2   | -4.3 |   0.5   |  -2.6   |
|   通用设备   | 002248 |  华东数控  |  22.5  |  137.5  | -3.7 |   0.3   |   1.4   |
|   通用设备   | 300943 |  春晖智控  |  31.4  |  65.2   | -3.5 |   0.2   |  -0.1   |
|   通用设备   | 600243 |  青海华鼎  |  18.6  |  -51.1  | -3.2 |   0.0   |  -1.2   |
|   通用设备   | 603187 |  海容冷链  |  80.8  |  25.8   | -4.3 |  -0.1   |   2.1   |
|   通用设备   | 300503 |  昊志机电  |  28.0  |  36.1   | -3.3 |  -0.1   |   2.7   |
|   通用设备   | 300421 |  力星股份  |  32.8  |  67.0   | -4.4 |  -0.5   |   0.7   |
|   通用设备   | 300885 |  海昌新材  |  27.9  |  32.0   | -3.2 |  -0.5   |  -5.0   |
|   通用设备   | 688697 |  纽威数控  |  46.1  |  21.8   | -4.7 |  -0.6   |  -0.5   |
|   通用设备   | 300853 |  申昊科技  |  40.3  |  741.6  | -3.7 |  -0.6   |   1.1   |
|   通用设备   | 301163 |  宏德股份  |  29.6  |  47.7   | -4.0 |  -0.6   |  -2.0   |
|   通用设备   | 300971 |  博亚精工  |  19.5  |  36.0   | -3.7 |  -0.8   |  -0.3   |
