[行业>市值]
+----------+--------+----------+-------+---------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+------+---------+---------+
| 专用设备 | 300751 | 迈为股份 | 776.3 |  107.9  | 2.9  |   2.1   |  17.1   |
| 专用设备 | 688082 | 盛美上海 | 408.6 | 2369.4  | 9.8  |   7.3   |   9.8   |
| 专用设备 | 000519 | 中兵红箭 | 396.9 |  35.2   | 1.5  |   3.4   |   2.0   |
| 专用设备 | 600499 | 科达制造 | 390.9 |  10.8   | 3.9  |   7.2   |  23.6   |
| 专用设备 | 002353 | 杰瑞股份 | 378.5 |  43.4   | -1.4 |   1.1   |  -7.2   |
| 专用设备 | 002625 | 光启技术 | 358.3 |  209.8  | 10.0 |   4.6   |   4.6   |
| 专用设备 | 300724 | 捷佳伟创 | 358.2 |  32.8   | 5.7  |   3.3   |  14.0   |
| 专用设备 | 002430 | 杭氧股份 | 315.7 |  24.5   | 2.1  |  -0.3   |   0.2   |
| 专用设备 | 300776 | 帝尔激光 | 292.6 |  78.7   | 6.4  |   4.5   |  19.1   |
| 专用设备 | 601399 | 国机重装 | 233.7 |  74.8   | 1.6  |  -1.5   |  -0.6   |
| 专用设备 | 301200 | 大族数控 | 226.8 |  31.0   | 2.3  |  -0.7   |  -0.4   |
| 专用设备 | 601106 | 中国一重 | 209.8 |  135.6  | 1.7  |   0.3   |  -0.7   |
| 专用设备 | 688499 |  利元亨  | 208.4 |  65.6   | 2.0  |   0.7   |   1.6   |
| 专用设备 | 600582 | 天地科技 | 207.8 |  12.4   | 1.6  |  -0.4   |  -5.5   |
| 专用设备 | 603025 | 大豪科技 | 205.2 |  64.5   | 2.7  |  -1.8   |   0.3   |
| 专用设备 | 002690 | 美亚光电 | 185.2 |  40.7   | 1.7  |  -0.6   |   1.8   |
| 专用设备 | 002595 | 豪迈科技 | 184.8 |  19.8   | 5.3  |   3.0   |  11.3   |
| 专用设备 | 600320 | 振华重工 | 182.3 |  298.0  | 2.7  |   2.4   |   0.3   |
| 专用设备 | 688559 |  海目星  | 163.6 |  368.0  | 2.7  |   2.9   |   7.2   |
| 专用设备 | 601608 | 中信重工 | 158.0 |  50.5   | 1.1  |   0.3   |   1.7   |
| 专用设备 | 688789 | 宏华数科 | 139.4 |  47.7   | -0.8 |  -3.6   |  -2.2   |
| 专用设备 | 002960 | 青鸟消防 | 138.1 |  51.8   | 3.9  |  -0.6   |  -2.3   |
| 专用设备 | 603583 | 捷昌驱动 | 134.5 |  44.4   | 1.4  |  -4.9   |   5.1   |
| 专用设备 | 600835 | 上海机电 | 132.8 |  20.0   | 1.5  |  -1.6   |   1.6   |
| 专用设备 | 688097 | 博众精工 | 132.1 |  320.2  | 2.9  |   2.5   |   6.6   |
| 专用设备 | 002006 | 精功科技 | 130.6 |  129.4  | 0.3  |  -1.2   |   8.6   |
| 专用设备 | 601038 | 一拖股份 | 126.7 |   6.6   | 1.4  |  -2.2   |  -2.2   |
| 专用设备 | 688001 | 华兴源创 | 123.0 |  75.2   | 4.2  |  -3.6   |  -0.4   |
| 专用设备 | 688700 | 东威科技 | 121.5 |  77.0   | 5.8  |   4.3   |  19.7   |
| 专用设备 | 603690 | 至纯科技 | 120.3 |  137.4  | 4.0  |  -1.4   |   1.1   |
| 专用设备 | 002698 | 博实股份 | 118.6 |  19.4   | 2.3  |   2.0   |   3.6   |
| 专用设备 | 603666 |  亿嘉和  | 115.8 |  78.8   | 6.3  |   1.2   |   5.2   |
| 专用设备 | 688383 |  新益昌  | 114.7 |  40.4   | 4.2  |  -0.6   |   6.9   |
| 专用设备 | 000821 | 京山轻机 | 113.8 |  86.1   | 10.0 |  28.4   |  61.2   |
| 专用设备 | 688518 | 联赢激光 | 109.2 |  182.9  | 6.3  |   2.8   |  16.1   |
| 专用设备 | 002837 |  英维克  | 104.0 |  205.0  | 5.2  |  -3.3   |   7.8   |
| 专用设备 | 688128 | 中国电研 | 100.9 |  51.4   | 5.0  |   5.2   |  18.2   |
| 专用设备 | 002190 | 成飞集成 | 100.5 |  215.0  | 3.1  |   1.2   |   3.4   |
| 专用设备 | 300415 |  伊之密  | 96.6  |  21.8   | 14.4 |  13.8   |  11.9   |
| 专用设备 | 603337 | 杰克股份 | 96.1  |  12.6   | 1.3  |  -1.5   |   0.5   |
| 专用设备 | 603169 | 兰石重装 | 94.6  |  85.0   | 1.1  |  -5.6   |  -3.7   |
| 专用设备 | 300382 |  斯莱克  | 94.2  |  54.0   | 4.8  |   0.9   |   7.0   |
| 专用设备 | 603300 | 华铁应急 | 92.5  |  21.6   | 1.2  |  -2.0   |  -2.7   |
| 专用设备 | 688155 | 先惠技术 | 86.2  |  104.4  | 8.5  |   1.4   |  22.9   |
| 专用设备 | 688162 | 巨一科技 | 84.5  |  58.3   | 10.4 |   3.1   |  14.3   |
| 专用设备 | 688151 | 华强科技 | 82.9  |  27.5   | 2.2  |   0.5   |   2.8   |
| 专用设备 | 002651 | 利君股份 | 82.2  |  29.1   | 4.1  |   3.0   |   2.9   |
| 专用设备 | 600169 | 太原重工 | 82.0  |  59.1   | 0.4  |  -0.8   |   0.4   |
| 专用设备 | 300151 | 昌红科技 | 81.7  |  45.4   | 0.1  |  -2.6   |   1.3   |
| 专用设备 | 603855 | 华荣股份 | 81.5  |  33.9   | 2.4  |  -0.8   |   1.7   |
| 专用设备 | 601606 | 长城军工 | 81.0  |  -67.6  | 3.7  |  -0.6   |  -0.8   |
