[行业>三日涨幅]
+--------------+--------+-------------+--------+---------+------+---------+---------+
|     行业     |  代码  |    名称     |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+-------------+--------+---------+------+---------+---------+
|   食品饮料   | 002852 |   道道全    |  42.8  |  -19.8  | 3.5  |   9.5   |  18.6   |
|   食品饮料   | 600189 |   泉阳泉    |  44.7  |  -95.0  | 3.3  |   1.1   |   0.8   |
|   食品饮料   | 605339 |  南侨食品   |  98.2  |  46.3   | 4.0  |   0.8   |   7.1   |
|   食品饮料   | 002329 |  皇氏集团   |  48.8  |  16.0   | 4.1  |   0.5   |   4.5   |
|   食品饮料   | 002991 |  甘源食品   |  54.6  |  60.6   | 4.5  |   0.4   |   6.0   |
|   食品饮料   | 600298 |  安琪酵母   | 374.4  |  29.9   | 3.4  |  -0.3   |   0.2   |
|   食品饮料   | 002286 |   保龄宝    |  39.4  |  23.1   | 3.7  |  -1.4   |   0.0   |
|   食品饮料   | 002847 |  盐津铺子   | 103.5  |  42.1   | 3.8  |  -1.8   |   1.8   |
|   食品饮料   | 600191 |   *ST华资   |  24.6  |  -17.9  | 5.0  |  -5.2   |   2.0   |
|   食品饮料   | 300973 |  立高食品   | 143.1  |  89.4   | 4.0  |  -5.6   |  -2.5   |
|   风电设备   | 688349 |    C三一    | 499.2  |  20.9   | 3.6  |  42.4   |  42.4   |
|   风电设备   | 300443 |  金雷股份   | 119.1  |  64.7   | 3.4  |   5.8   |  34.7   |
|   风电设备   | 300569 |  天能重工   |  90.4  |  85.5   | 3.3  |   0.5   |  24.6   |
|   风电设备   | 688660 |  电气风电   | 122.8  |  23.3   | 3.1  |  -1.0   |   5.3   |
|  非金属材料  | 603612 |  索通发展   | 169.7  |  26.8   | 5.2  |   9.4   |  34.0   |
|  非金属材料  | 688281 |  华秦科技   | 276.3  |  116.5  | 5.4  |   5.5   |   4.6   |
|  非金属材料  | 688119 |  中钢洛耐   | 101.6  |  65.3   | 3.4  |   3.6   |  -0.8   |
|  非金属材料  | 002130 |  沃尔核材   |  75.6  |  17.7   | 3.3  |   2.0   |   5.3   |
|  非金属材料  | 300064 |   金刚退    |  14.8  |  -3.4   | 5.1  |   1.6   |  36.7   |
|  非金属材料  | 688733 |   壹石通    | 139.9  |  80.2   | 4.8  |   1.0   |   5.3   |
|  非金属材料  | 300409 |  道氏技术   | 151.3  |  22.1   | 3.1  |  -1.8   |   6.3   |
|   铁路公路   | 600834 |  申通地铁   |  44.2  |  60.8   | 5.6  |   5.5   |   6.8   |
|   钢铁行业   | 000708 |  中信特钢   | 1018.0 |  13.1   | 5.4  |   3.1   |   2.8   |
|   钢铁行业   | 002318 |  久立特材   | 156.6  |  20.2   | 3.4  |  -1.1   |   0.6   |
|   采掘行业   | 000762 |  西藏矿业   | 291.7  |  55.2   | 5.9  |   2.2   |   6.8   |
|   采掘行业   | 002683 |  广东宏大   | 190.9  |  116.0  | 4.1  |   1.1   |   6.0   |
|   采掘行业   | 300084 |  海默科技   |  18.2  |  -17.1  | 4.0  |   0.0   |  -3.9   |
|   酿酒行业   | 600543 |  莫高股份   |  20.1  |  -53.0  | 4.3  |   1.5   |   1.9   |
|   造纸印刷   | 000695 |  滨海能源   |  21.1  |  -36.7  | 5.7  |  14.7   |  15.7   |
|   造纸印刷   | 600793 |  宜宾纸业   |  23.7  |  139.0  | 4.1  |   2.9   |  11.4   |
