[行业>市值]
+----------+--------+-------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+--------+------+---------+---------+
| 交运设备 | 601766 |  中国中车   | 1484.0 | 168.8  | 0.0  |  -0.4   |   0.0   |
| 交运设备 | 688187 |  时代电气   | 857.1  |  62.8  | 3.7  |   6.3   |   6.2   |
| 交运设备 | 688009 |  中国通号   | 485.0  |  18.7  | 0.2  |  -1.1   |  -2.1   |
| 交运设备 | 689009 | 九号公司-WD | 328.4  | 213.5  | 0.2  |   4.6   |  -3.0   |
| 交运设备 | 603529 |  爱玛科技   | 293.1  |  23.1  | 5.3  |  10.7   |  12.8   |
| 交运设备 | 603129 |  春风动力   | 188.0  |  44.6  | -2.5 |  -3.1   |  -0.8   |
| 交运设备 | 600528 |  中铁工业   | 178.4  |  8.9   | 0.0  |  -0.5   |  -1.8   |
| 交运设备 | 600967 |  内蒙一机   | 151.2  |  18.3  | 1.1  |   2.2   |   1.1   |
| 交运设备 | 688033 |  天宜上佳   | 103.3  |  75.4  | -1.2 |   9.5   |   6.9   |
| 交运设备 | 603766 |  XD隆鑫通   | 101.7  |  8.9   | 0.4  |   1.2   |   5.1   |
| 交运设备 | 301215 |  中汽股份   |  98.5  | 127.9  | 2.0  |   6.7   |   4.5   |
| 交运设备 | 000913 |  钱江摩托   |  90.6  |  65.0  | -1.4 |  -2.5   |   5.3   |
| 交运设备 | 001696 |  宗申动力   |  69.6  |  16.5  | -0.3 |   2.7   |   2.5   |
| 交运设备 | 000008 |  神州高铁   |  69.2  | -33.7  | -0.8 |   0.4   |  -2.0   |
| 交运设备 | 000976 |  华铁股份   |  67.3  |  34.0  | 0.0  |  -0.9   |  -0.5   |
| 交运设备 | 300351 |  永贵电器   |  66.9  |  43.3  | -2.9 |  24.9   |  29.9   |
| 交运设备 | 300994 |  久祺股份   |  65.8  |  38.7  | 5.4  |   2.5   |   3.4   |
| 交运设备 | 603680 |  今创集团   |  64.7  |  79.0  | 1.6  |   0.7   |   1.2   |
| 交运设备 | 301048 |  金鹰重工   |  59.2  |  20.5  | 0.0  |  -2.5   |  -1.2   |
| 交运设备 | 600679 |  上海凤凰   |  54.6  |  55.9  | 1.8  |   0.8   |   1.8   |
| 交运设备 | 600818 |  中路股份   |  52.0  | 1810.7 | 2.1  |   1.3   |  -2.5   |
| 交运设备 | 600495 |  晋西车轴   |  49.5  | -36.9  | -1.4 |  -0.5   |  -6.0   |
| 交运设备 | 000925 |  众合科技   |  46.3  |  58.2  | -4.5 |   8.9   |  14.2   |
| 交运设备 | 603111 |  康尼机电   |  46.3  |  45.2  | 1.8  |   3.1   |   3.8   |
| 交运设备 | 688015 |  交控科技   |  44.7  |  51.0  | -0.2 |   0.2   |  -1.9   |
| 交运设备 | 688569 |  铁科轨道   |  39.5  |  21.2  | 0.1  |   2.6   |   2.9   |
| 交运设备 | 603500 |  祥和实业   |  36.2  |  78.7  | 0.3  |  -0.1   |   0.1   |
| 交运设备 | 300011 |  鼎汉技术   |  34.0  | -25.0  | -0.2 |  -0.2   |   2.0   |
| 交运设备 | 688285 |  高铁电气   |  32.7  |  37.8  | 0.9  |   1.9   |  -1.0   |
| 交运设备 | 603787 |  新日股份   |  31.9  |  37.2  | 2.1  |   0.7   |   5.5   |
| 交运设备 | 000017 |   深中华A   |  31.7  | -876.7 | -4.8 |  15.2   |  43.0   |
| 交运设备 | 002972 |   科安达    |  30.3  |  29.5  | 0.7  |   1.7   |   2.6   |
| 交运设备 | 002105 |  信隆健康   |  29.0  |  16.0  | 0.9  |   1.2   |   0.8   |
| 交运设备 | 605001 |  威奥股份   |  25.3  | -11.7  | 0.9  |   0.8   |   1.3   |
| 交运设备 | 301016 |   雷尔伟    |  22.0  |  26.9  | 1.4  |   0.4   |   2.8   |
| 交运设备 | 300906 |   日月明    |  20.5  |  48.1  | 3.0  |   1.8   |   5.0   |
| 交运设备 | 300851 |  交大思诺   |  19.8  | -125.3 | 0.8  |   1.2   |   2.1   |
| 交运设备 | 300960 |  通业科技   |  19.3  | -44.5  | 2.1  |   2.1   |   5.2   |
| 交运设备 | 600099 |  林海股份   |  19.3  | 219.5  | -2.5 |   2.2   |  -0.6   |
| 交运设备 | 605298 |  必得科技   |  18.8  |  61.8  | 0.2  |   2.2   |   2.4   |
| 交运设备 | 300923 |  研奥股份   |  18.4  |  41.8  | 0.3  |   0.9   |  -0.6   |
| 交运设备 | 300462 |  华铭智能   |  18.2  | -35.9  | 0.5  |  -2.7   |   2.4   |
| 交运设备 | 688367 |  工大高科   |  18.0  | 4399.6 | -0.5 |  -0.5   |   2.1   |
| 交运设备 | 300594 |  朗进科技   |  15.9  | 323.7  | 1.0  |   3.3   |  11.5   |
+----------+--------+-------------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+-------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+--------+------+---------+---------+
