[行业>市值]
+------------+--------+----------+--------+---------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+-------+---------+---------+
| 计算机设备 | 002415 | 海康威视 | 3367.0 |  36.9   |  1.1  |  -1.6   |   1.7   |
| 计算机设备 | 002180 |  纳思达  | 738.6  |  41.9   |  3.7  |   6.1   |   6.2   |
| 计算机设备 | 002236 | 大华股份 | 487.5  |  34.3   |  2.8  |   0.5   |   1.4   |
| 计算机设备 | 603019 | 中科曙光 | 409.5  |  90.0   |  1.5  |   0.9   |   0.9   |
| 计算机设备 | 000977 | 浪潮信息 | 379.6  |  28.4   |  4.2  |   2.8   |   2.4   |
| 计算机设备 | 000066 | 中国长城 | 345.8  |  -74.0  |  3.0  |   2.3   |   1.6   |
| 计算机设备 | 002152 | 广电运通 | 228.7  |  25.4   |  0.6  |  -2.2   |   0.4   |
| 计算机设备 | 600764 | 中国海防 | 185.5  |  301.0  |  2.3  |   2.4   |  -2.9   |
| 计算机设备 | 688208 | 道通科技 | 165.1  |  65.2   |  1.9  |   9.0   |   4.1   |
| 计算机设备 | 600100 | 同方股份 | 144.4  |  -6.5   | -0.2  |   0.7   |  -0.5   |
| 计算机设备 | 000034 | 神州数码 | 100.6  |  13.4   |  1.1  |  -0.7   |  -2.7   |
| 计算机设备 | 300130 |  新国都  |  74.8  |  20.5   |  1.5  |   0.5   |   1.8   |
| 计算机设备 | 300455 | 康拓红外 |  62.5  |  180.8  |  0.8  |   1.3   |   3.2   |
| 计算机设备 | 300177 |  中海达  |  60.5  |  18.4   | -0.4  |   2.8   |   4.3   |
| 计算机设备 | 002197 | 证通电子 |  55.1  |  121.1  |  0.2  |  -2.5   |   1.9   |
| 计算机设备 | 600855 | 航天长峰 |  52.1  |  -31.1  |  1.7  |   4.0   |   1.9   |
| 计算机设备 | 002970 | 锐明技术 |  48.4  |  -20.4  |  0.9  |   6.6   |   8.2   |
| 计算机设备 | 300045 | 华力创通 |  47.5  |  693.7  |  1.0  |   1.3   |   3.2   |
| 计算机设备 | 300531 |  优博讯  |  45.9  |  39.7   |  0.1  |  -0.7   |  -1.4   |
| 计算机设备 | 002376 |  新北洋  |  45.6  |  -30.8  |  0.9  |  -0.6   |   0.7   |
| 计算机设备 | 002383 | 合众思壮 |  44.9  |  77.7   | -0.7  |   0.3   |   1.5   |
| 计算机设备 | 300479 | 神思电子 |  42.2  | -225.0  | -2.9  |   3.5   |  25.6   |
| 计算机设备 | 300368 | 汇金股份 |  39.1  | -138.7  |  1.4  |   0.1   |  -0.1   |
| 计算机设备 | 300546 | 雄帝科技 |  38.0  |  -55.7  | -3.2  |  -2.3   |   5.2   |
| 计算机设备 | 002512 | 达华智能 |  35.3  |  -23.0  |  2.0  |   0.0   |  -4.3   |
| 计算机设备 | 002308 | 威创股份 |  34.4  |  58.2   |  1.9  |   0.5   |   0.0   |
| 计算机设备 | 300771 | 智莱科技 |  32.5  |  19.7   |  5.2  |   3.4   |   9.1   |
| 计算机设备 | 300551 | 古鳌科技 |  31.3  | -379.1  | -0.8  |  -2.7   |  -3.3   |
| 计算机设备 | 300155 |  安居宝  |  30.7  |  359.9  |  0.4  |  -0.4   |   2.2   |
| 计算机设备 | 002577 | 雷柏科技 |  30.3  |  67.5   |  0.3  |   0.6   |   0.6   |
| 计算机设备 | 603660 | 苏州科达 |  28.6  |  -9.3   |  1.1  |  -0.2   |  -2.7   |
| 计算机设备 | 603106 | 恒银科技 |  26.8  |  -36.6  |  0.4  |   0.4   |   1.0   |
| 计算机设备 | 300884 |  狄耐克  |  25.8  |  53.7   |  1.0  |   0.0   |   2.0   |
| 计算机设备 | 300042 | 朗科科技 |  24.9  |  74.2   |  0.2  |  -3.3   |  -1.5   |
| 计算机设备 | 688288 | 鸿泉物联 |  23.4  |  -38.9  | -1.1  |   6.7   |   4.9   |
| 计算机设备 | 301042 | 安联锐视 |  23.1  |  43.4   |  0.5  |   1.2   |   2.9   |
| 计算机设备 | 603516 | 淳中科技 |  22.9  |  -68.3  |  2.2  |   3.4   |   4.1   |
| 计算机设备 | 002835 | 同为股份 |  20.8  | 1195.9  | -0.3  |  -0.6   |   1.1   |
| 计算机设备 | 300270 | 中威电子 |  18.1  | -2186.6 | -0.5  |  -1.8   |   0.8   |
| 计算机设备 | 002177 | *ST御银  |  17.2  |  -15.2  |  0.0  |  -3.8   |  -5.4   |
| 计算机设备 | 003004 | 声迅股份 |  16.7  |  158.2  |  0.7  |   0.8   |   1.9   |
| 计算机设备 | 300807 | 天迈科技 |  15.4  |  -23.0  | -1.1  |   3.9   |   6.2   |
| 计算机设备 | 300449 | 汉邦高科 |  14.7  |  -36.8  |  0.4  |  -0.6   |  -0.8   |
| 计算机设备 | 688086 | *ST紫晶  |  14.3  |  -3.6   | -1.6  |  -3.1   |  -8.8   |
| 计算机设备 | 300202 |  聚龙退  |  3.4   |  -7.6   | -8.8  |  -16.2  |  -6.1   |
| 计算机设备 | 300367 |  网力退  |  2.9   |  -0.8   | -11.1 |  -17.2  |  -20.0  |
+------------+--------+----------+--------+---------+-------+---------+---------+
 




 [行业>单日涨幅]
+------------+--------+----------+--------+---------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+-------+---------+---------+
| 计算机设备 | 300771 | 智莱科技 |  32.5  |  19.7   |  5.2  |   3.4   |   9.1   |
| 计算机设备 | 000977 | 浪潮信息 | 379.6  |  28.4   |  4.2  |   2.8   |   2.4   |
| 计算机设备 | 002180 |  纳思达  | 738.6  |  41.9   |  3.7  |   6.1   |   6.2   |
| 计算机设备 | 000066 | 中国长城 | 345.8  |  -74.0  |  3.0  |   2.3   |   1.6   |
| 计算机设备 | 002236 | 大华股份 | 487.5  |  34.3   |  2.8  |   0.5   |   1.4   |
| 计算机设备 | 600764 | 中国海防 | 185.5  |  301.0  |  2.3  |   2.4   |  -2.9   |
| 计算机设备 | 603516 | 淳中科技 |  22.9  |  -68.3  |  2.2  |   3.4   |   4.1   |
| 计算机设备 | 002512 | 达华智能 |  35.3  |  -23.0  |  2.0  |   0.0   |  -4.3   |
| 计算机设备 | 688208 | 道通科技 | 165.1  |  65.2   |  1.9  |   9.0   |   4.1   |
| 计算机设备 | 002308 | 威创股份 |  34.4  |  58.2   |  1.9  |   0.5   |   0.0   |
| 计算机设备 | 600855 | 航天长峰 |  52.1  |  -31.1  |  1.7  |   4.0   |   1.9   |
| 计算机设备 | 603019 | 中科曙光 | 409.5  |  90.0   |  1.5  |   0.9   |   0.9   |
| 计算机设备 | 300130 |  新国都  |  74.8  |  20.5   |  1.5  |   0.5   |   1.8   |
| 计算机设备 | 300368 | 汇金股份 |  39.1  | -138.7  |  1.4  |   0.1   |  -0.1   |
| 计算机设备 | 000034 | 神州数码 | 100.6  |  13.4   |  1.1  |  -0.7   |  -2.7   |
| 计算机设备 | 002415 | 海康威视 | 3367.0 |  36.9   |  1.1  |  -1.6   |   1.7   |
| 计算机设备 | 603660 | 苏州科达 |  28.6  |  -9.3   |  1.1  |  -0.2   |  -2.7   |
| 计算机设备 | 300045 | 华力创通 |  47.5  |  693.7  |  1.0  |   1.3   |   3.2   |
| 计算机设备 | 300884 |  狄耐克  |  25.8  |  53.7   |  1.0  |   0.0   |   2.0   |
| 计算机设备 | 002970 | 锐明技术 |  48.4  |  -20.4  |  0.9  |   6.6   |   8.2   |
| 计算机设备 | 002376 |  新北洋  |  45.6  |  -30.8  |  0.9  |  -0.6   |   0.7   |
| 计算机设备 | 300455 | 康拓红外 |  62.5  |  180.8  |  0.8  |   1.3   |   3.2   |
| 计算机设备 | 003004 | 声迅股份 |  16.7  |  158.2  |  0.7  |   0.8   |   1.9   |
| 计算机设备 | 002152 | 广电运通 | 228.7  |  25.4   |  0.6  |  -2.2   |   0.4   |
| 计算机设备 | 301042 | 安联锐视 |  23.1  |  43.4   |  0.5  |   1.2   |   2.9   |
| 计算机设备 | 300449 | 汉邦高科 |  14.7  |  -36.8  |  0.4  |  -0.6   |  -0.8   |
| 计算机设备 | 603106 | 恒银科技 |  26.8  |  -36.6  |  0.4  |   0.4   |   1.0   |
| 计算机设备 | 300155 |  安居宝  |  30.7  |  359.9  |  0.4  |  -0.4   |   2.2   |
| 计算机设备 | 002577 | 雷柏科技 |  30.3  |  67.5   |  0.3  |   0.6   |   0.6   |
| 计算机设备 | 300042 | 朗科科技 |  24.9  |  74.2   |  0.2  |  -3.3   |  -1.5   |
| 计算机设备 | 002197 | 证通电子 |  55.1  |  121.1  |  0.2  |  -2.5   |   1.9   |
| 计算机设备 | 300531 |  优博讯  |  45.9  |  39.7   |  0.1  |  -0.7   |  -1.4   |
| 计算机设备 | 002177 | *ST御银  |  17.2  |  -15.2  |  0.0  |  -3.8   |  -5.4   |
| 计算机设备 | 600100 | 同方股份 | 144.4  |  -6.5   | -0.2  |   0.7   |  -0.5   |
| 计算机设备 | 002835 | 同为股份 |  20.8  | 1195.9  | -0.3  |  -0.6   |   1.1   |
| 计算机设备 | 300177 |  中海达  |  60.5  |  18.4   | -0.4  |   2.8   |   4.3   |
| 计算机设备 | 300270 | 中威电子 |  18.1  | -2186.6 | -0.5  |  -1.8   |   0.8   |
| 计算机设备 | 002383 | 合众思壮 |  44.9  |  77.7   | -0.7  |   0.3   |   1.5   |
| 计算机设备 | 300551 | 古鳌科技 |  31.3  | -379.1  | -0.8  |  -2.7   |  -3.3   |
| 计算机设备 | 300807 | 天迈科技 |  15.4  |  -23.0  | -1.1  |   3.9   |   6.2   |
| 计算机设备 | 688288 | 鸿泉物联 |  23.4  |  -38.9  | -1.1  |   6.7   |   4.9   |
| 计算机设备 | 688086 | *ST紫晶  |  14.3  |  -3.6   | -1.6  |  -3.1   |  -8.8   |
| 计算机设备 | 300479 | 神思电子 |  42.2  | -225.0  | -2.9  |   3.5   |  25.6   |
| 计算机设备 | 300546 | 雄帝科技 |  38.0  |  -55.7  | -3.2  |  -2.3   |   5.2   |
| 计算机设备 | 300202 |  聚龙退  |  3.4   |  -7.6   | -8.8  |  -16.2  |  -6.1   |
| 计算机设备 | 300367 |  网力退  |  2.9   |  -0.8   | -11.1 |  -17.2  |  -20.0  |
+------------+--------+----------+--------+---------+-------+---------+---------+
