[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 钢铁行业 | 600019 | 宝钢股份 | 1398.0 |  9.4  | 0.2  |  -0.8   |  -4.3   |
| 钢铁行业 | 600010 | 包钢股份 | 1203.0 | 90.9  | 7.8  |  18.4   |  24.5   |
| 钢铁行业 | 000708 | 中信特钢 | 1027.0 | 13.2  | 0.8  |   2.2   |   4.6   |
| 钢铁行业 | 002756 | 永兴材料 | 581.0  | 17.9  | 3.0  |   5.9   |   4.6   |
| 钢铁行业 | 000959 | 首钢股份 | 381.6  |  9.1  | 0.6  |   3.0   |   4.5   |
| 钢铁行业 | 600399 | 抚顺特钢 | 370.0  | 108.3 | 10.0 |  14.5   |  20.2   |
| 钢铁行业 | 600295 | 鄂尔多斯 | 361.6  |  6.7  | 1.1  |  -0.8   |  -4.9   |
| 钢铁行业 | 000932 | 华菱钢铁 | 351.6  |  4.2  | -0.6 |  -1.7   |  -4.0   |
| 钢铁行业 | 000825 | 太钢不锈 | 317.6  |  6.2  | -0.2 |  -0.9   |  -3.0   |
| 钢铁行业 | 000629 | 攀钢钒钛 | 308.8  | 16.4  | 3.5  |   3.8   |   1.7   |
| 钢铁行业 | 000898 | 鞍钢股份 | 305.6  |  5.2  | 0.3  |  -0.9   |  -1.8   |
| 钢铁行业 | 600808 | 马钢股份 | 298.6  |  6.0  | 0.0  |  -0.3   |  -1.5   |
| 钢铁行业 | 000709 | 河钢股份 | 241.0  | 19.3  | 0.0  |  -0.4   |  -1.7   |
| 钢铁行业 | 600282 | 南钢股份 | 195.3  |  6.8  | -0.3 |   0.0   |  -1.2   |
| 钢铁行业 | 000778 | 新兴铸管 | 191.9  |  8.4  | -1.2 |  -2.6   |  -6.0   |
| 钢铁行业 | 600022 | 山东钢铁 | 190.5  |  8.1  | 0.6  |   0.0   |   1.2   |
| 钢铁行业 | 601969 | 海南矿业 | 182.1  | 23.5  | 3.5  |   3.5   |  -2.5   |
| 钢铁行业 | 600126 | 杭钢股份 | 177.0  | 11.3  | -0.2 |  -0.9   |  -2.1   |
| 钢铁行业 | 001203 | 大中矿业 | 172.4  |  9.7  | 0.7  |  -0.2   |  -4.1   |
| 钢铁行业 | 601005 | 重庆钢铁 | 171.2  |  9.7  | 0.5  |  -0.5   |   0.5   |
| 钢铁行业 | 600782 | 新钢股份 | 163.6  |  4.0  | -1.0 |  -2.1   |  -3.2   |
| 钢铁行业 | 600507 | 方大特钢 | 163.5  |  7.5  | 0.4  |  -0.7   |  -1.8   |
| 钢铁行业 | 002318 | 久立特材 | 155.5  | 20.0  | -0.8 |   2.2   |   0.2   |
| 钢铁行业 | 002110 | 三钢闽光 | 151.0  |  7.1  | 0.5  |  -0.2   |  -1.1   |
| 钢铁行业 | 000761 | 本钢板材 | 150.4  |  8.7  | -0.5 |  -0.5   |  -6.2   |
| 钢铁行业 | 002978 | 安宁股份 | 141.6  | 10.0  | 0.5  |   1.8   |   4.3   |
| 钢铁行业 | 002545 | 东方铁塔 | 140.1  | 17.4  | 1.4  |   0.4   |  -1.6   |
| 钢铁行业 | 600307 | 酒钢宏兴 | 124.0  | 284.2 | 0.0  |   0.5   |   1.0   |
| 钢铁行业 | 603995 | 甬金股份 | 115.3  | 22.0  | -1.5 |  -1.8   |  -8.2   |
| 钢铁行业 | 601686 | 友发集团 | 111.9  | 21.4  | -1.0 |  -2.9   |  -5.9   |
| 钢铁行业 | 002075 | 沙钢股份 | 107.2  | 13.6  | 0.4  |   0.0   |  -0.2   |
| 钢铁行业 | 601003 | 柳钢股份 | 105.6  | -5.2  | -0.5 |  -0.7   |  -0.2   |
| 钢铁行业 | 600581 | 八一钢铁 |  89.0  | -6.6  | -1.0 |  -1.0   |  -0.2   |
| 钢铁行业 | 000923 | 河钢资源 |  88.2  |  7.7  | -0.7 |  -2.0   |  -5.1   |
| 钢铁行业 | 000717 | 韶钢松山 |  86.3  | 20.0  | -0.6 |  -0.6   |   0.8   |
| 钢铁行业 | 600231 | 凌钢股份 |  79.6  | 15.7  | -3.1 |   7.3   |   9.0   |
| 钢铁行业 | 600569 | 安阳钢铁 |  76.4  | -3.5  | -0.4 |   0.0   |   0.4   |
| 钢铁行业 | 688186 | 广大特材 |  74.9  | 89.7  | 4.6  |   2.8   |  25.9   |
| 钢铁行业 | 002443 | 金洲管道 |  44.6  | 23.1  | -0.9 |  -5.1   |  -10.1  |
| 钢铁行业 | 000655 | 金岭矿业 |  42.5  | 26.0  | 0.0  |   2.0   |  -3.6   |
| 钢铁行业 | 002478 | 常宝股份 |  41.4  | 26.6  | -0.2 |  -1.3   |  -5.4   |
| 钢铁行业 | 600117 | 西宁特钢 |  38.1  | -4.8  | 1.1  |   1.1   |   1.4   |
| 钢铁行业 | 605158 | 华达新材 |  32.9  | 27.9  | 1.1  |  -2.3   |  -3.6   |
| 钢铁行业 | 603878 | 武进不锈 |  26.9  | 20.8  | -0.3 |  -1.2   |  -0.9   |
| 钢铁行业 | 300881 | 盛德鑫泰 |  24.1  | 46.0  | -0.6 |  -2.8   |  -0.7   |
+----------+--------+----------+--------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 钢铁行业 | 600399 | 抚顺特钢 | 370.0  | 108.3 | 10.0 |  14.5   |  20.2   |
| 钢铁行业 | 600010 | 包钢股份 | 1203.0 | 90.9  | 7.8  |  18.4   |  24.5   |
| 钢铁行业 | 688186 | 广大特材 |  74.9  | 89.7  | 4.6  |   2.8   |  25.9   |
| 钢铁行业 | 601969 | 海南矿业 | 182.1  | 23.5  | 3.5  |   3.5   |  -2.5   |
| 钢铁行业 | 000629 | 攀钢钒钛 | 308.8  | 16.4  | 3.5  |   3.8   |   1.7   |
| 钢铁行业 | 002756 | 永兴材料 | 581.0  | 17.9  | 3.0  |   5.9   |   4.6   |
| 钢铁行业 | 002545 | 东方铁塔 | 140.1  | 17.4  | 1.4  |   0.4   |  -1.6   |
| 钢铁行业 | 600295 | 鄂尔多斯 | 361.6  |  6.7  | 1.1  |  -0.8   |  -4.9   |
| 钢铁行业 | 600117 | 西宁特钢 |  38.1  | -4.8  | 1.1  |   1.1   |   1.4   |
| 钢铁行业 | 605158 | 华达新材 |  32.9  | 27.9  | 1.1  |  -2.3   |  -3.6   |
| 钢铁行业 | 000708 | 中信特钢 | 1027.0 | 13.2  | 0.8  |   2.2   |   4.6   |
| 钢铁行业 | 001203 | 大中矿业 | 172.4  |  9.7  | 0.7  |  -0.2   |  -4.1   |
| 钢铁行业 | 000959 | 首钢股份 | 381.6  |  9.1  | 0.6  |   3.0   |   4.5   |
| 钢铁行业 | 600022 | 山东钢铁 | 190.5  |  8.1  | 0.6  |   0.0   |   1.2   |
| 钢铁行业 | 601005 | 重庆钢铁 | 171.2  |  9.7  | 0.5  |  -0.5   |   0.5   |
| 钢铁行业 | 002110 | 三钢闽光 | 151.0  |  7.1  | 0.5  |  -0.2   |  -1.1   |
| 钢铁行业 | 002978 | 安宁股份 | 141.6  | 10.0  | 0.5  |   1.8   |   4.3   |
| 钢铁行业 | 600507 | 方大特钢 | 163.5  |  7.5  | 0.4  |  -0.7   |  -1.8   |
| 钢铁行业 | 002075 | 沙钢股份 | 107.2  | 13.6  | 0.4  |   0.0   |  -0.2   |
| 钢铁行业 | 000898 | 鞍钢股份 | 305.6  |  5.2  | 0.3  |  -0.9   |  -1.8   |
| 钢铁行业 | 600019 | 宝钢股份 | 1398.0 |  9.4  | 0.2  |  -0.8   |  -4.3   |
| 钢铁行业 | 600808 | 马钢股份 | 298.6  |  6.0  | 0.0  |  -0.3   |  -1.5   |
| 钢铁行业 | 000709 | 河钢股份 | 241.0  | 19.3  | 0.0  |  -0.4   |  -1.7   |
| 钢铁行业 | 600307 | 酒钢宏兴 | 124.0  | 284.2 | 0.0  |   0.5   |   1.0   |
| 钢铁行业 | 000655 | 金岭矿业 |  42.5  | 26.0  | 0.0  |   2.0   |  -3.6   |
| 钢铁行业 | 000825 | 太钢不锈 | 317.6  |  6.2  | -0.2 |  -0.9   |  -3.0   |
| 钢铁行业 | 600126 | 杭钢股份 | 177.0  | 11.3  | -0.2 |  -0.9   |  -2.1   |
| 钢铁行业 | 002478 | 常宝股份 |  41.4  | 26.6  | -0.2 |  -1.3   |  -5.4   |
| 钢铁行业 | 603878 | 武进不锈 |  26.9  | 20.8  | -0.3 |  -1.2   |  -0.9   |
| 钢铁行业 | 600282 | 南钢股份 | 195.3  |  6.8  | -0.3 |   0.0   |  -1.2   |
| 钢铁行业 | 600569 | 安阳钢铁 |  76.4  | -3.5  | -0.4 |   0.0   |   0.4   |
| 钢铁行业 | 601003 | 柳钢股份 | 105.6  | -5.2  | -0.5 |  -0.7   |  -0.2   |
| 钢铁行业 | 000761 | 本钢板材 | 150.4  |  8.7  | -0.5 |  -0.5   |  -6.2   |
| 钢铁行业 | 000717 | 韶钢松山 |  86.3  | 20.0  | -0.6 |  -0.6   |   0.8   |
| 钢铁行业 | 000932 | 华菱钢铁 | 351.6  |  4.2  | -0.6 |  -1.7   |  -4.0   |
| 钢铁行业 | 300881 | 盛德鑫泰 |  24.1  | 46.0  | -0.6 |  -2.8   |  -0.7   |
| 钢铁行业 | 000923 | 河钢资源 |  88.2  |  7.7  | -0.7 |  -2.0   |  -5.1   |
| 钢铁行业 | 002318 | 久立特材 | 155.5  | 20.0  | -0.8 |   2.2   |   0.2   |
| 钢铁行业 | 002443 | 金洲管道 |  44.6  | 23.1  | -0.9 |  -5.1   |  -10.1  |
| 钢铁行业 | 600782 | 新钢股份 | 163.6  |  4.0  | -1.0 |  -2.1   |  -3.2   |
| 钢铁行业 | 601686 | 友发集团 | 111.9  | 21.4  | -1.0 |  -2.9   |  -5.9   |
| 钢铁行业 | 600581 | 八一钢铁 |  89.0  | -6.6  | -1.0 |  -1.0   |  -0.2   |
| 钢铁行业 | 000778 | 新兴铸管 | 191.9  |  8.4  | -1.2 |  -2.6   |  -6.0   |
| 钢铁行业 | 603995 | 甬金股份 | 115.3  | 22.0  | -1.5 |  -1.8   |  -8.2   |
| 钢铁行业 | 600231 | 凌钢股份 |  79.6  | 15.7  | -3.1 |   7.3   |   9.0   |
+----------+--------+----------+--------+-------+------+---------+---------+
