[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 医疗器械 | 300760 | 迈瑞医疗 | 3879.0 |  46.1  | 0.2  |   2.5   |   4.0   |
| 医疗器械 | 603392 | 万泰生物 | 1328.0 |  24.9  | 0.4  |   2.5   |   0.9   |
| 医疗器械 | 300595 | 欧普康视 | 474.7  |  80.1  | -0.5 |  -2.9   |  -4.0   |
| 医疗器械 | 300529 | 健帆生物 | 408.0  |  30.4  | 1.7  |   4.4   |   0.4   |
| 医疗器械 | 300832 |  新产业  | 344.2  |  27.9  | 1.6  |   3.4   |   0.9   |
| 医疗器械 | 688105 |  诺唯赞  | 341.4  |  19.8  | -1.5 |   1.1   |  -1.9   |
| 医疗器械 | 688301 | 奕瑞科技 | 339.7  |  84.2  | 3.8  |   7.5   |  10.1   |
| 医疗器械 | 300003 | 乐普医疗 | 335.7  |  15.4  | 1.1  |   3.2   |   2.0   |
| 医疗器械 | 002432 | 九安医疗 | 294.7  |  0.5   | -1.7 |  -6.4   |   1.8   |
| 医疗器械 | 300676 | 华大基因 | 286.0  |  21.6  | 1.4  |   2.7   |   1.5   |
| 医疗器械 | 603658 | 安图生物 | 278.2  |  28.9  | 2.5  |   4.7   |   4.0   |
| 医疗器械 | 002223 | 鱼跃医疗 | 267.9  |  14.4  | 0.2  |   1.2   |   3.6   |
| 医疗器械 | 002030 | 达安基因 | 243.9  |  3.6   | -0.6 |   1.0   |   0.6   |
| 医疗器械 | 688139 | 海尔生物 | 232.4  |  51.2  | 0.9  |   0.4   |  -3.7   |
| 医疗器械 | 688050 | 爱博医疗 | 226.2  |  96.4  | 3.6  |   4.3   |   1.2   |
| 医疗器械 | 688298 | 东方生物 | 218.0  |  2.6   | -1.1 |  -1.4   |  -2.3   |
| 医疗器械 | 300171 |  东富龙  | 206.4  |  24.4  | 2.4  |   5.5   |   6.2   |
| 医疗器械 | 688161 | 威高骨科 | 197.8  |  50.5  | 3.1  |  10.1   |   6.7   |
| 医疗器械 | 300482 | 万孚生物 | 181.5  |  5.0   | 0.5  |   1.3   |   1.1   |
| 医疗器械 | 688289 | 圣湘生物 | 178.6  |  6.8   | -0.8 |   0.6   |  -2.2   |
| 医疗器械 | 688366 | 昊海生科 | 174.4  |  71.5  | 2.0  |  -0.1   |   4.0   |
| 医疗器械 | 300677 | 英科医疗 | 170.0  |  50.9  | 7.2  |   8.8   |   5.3   |
| 医疗器械 | 600529 | 山东药玻 | 167.0  |  27.2  | 0.5  |   1.7   |  -1.1   |
| 医疗器械 | 600055 | 万东医疗 | 163.5  | 165.9  | -0.8 |  -2.8   |   0.4   |
| 医疗器械 | 002901 | 大博医疗 | 162.7  |  36.5  | -3.3 |   5.3   |   4.8   |
| 医疗器械 | 688198 | 佰仁医疗 | 162.6  | 298.8  | -1.0 |   1.9   |  -2.2   |
| 医疗器械 | 688029 | 南微医学 | 161.7  |  93.2  | -1.2 |   0.8   |  -5.3   |
| 医疗器械 | 300298 | 三诺生物 | 153.9  |  58.9  | 0.8  |   4.7   |  13.5   |
| 医疗器械 | 688617 | 惠泰医疗 | 148.0  |  55.4  | 0.9  |   6.7   |   2.8   |
| 医疗器械 | 688016 | 心脉医疗 | 145.4  |  29.4  | 2.0  |   2.5   |  -2.7   |
| 医疗器械 | 301060 | 兰卫医学 | 140.2  |  19.8  | -1.1 |  -2.2   |   1.1   |
| 医疗器械 | 605369 | 拱东医疗 | 138.4  |  36.4  | 0.0  |  -1.0   |  12.7   |
| 医疗器械 | 300633 | 开立医疗 | 129.7  |  63.5  | -1.8 |   4.4   |   2.7   |
| 医疗器械 | 300463 | 迈克生物 | 124.8  |  15.5  | 0.8  |   4.0   |   2.4   |
| 医疗器械 | 300685 | 艾德生物 | 121.2  |  56.5  | 2.2  |   3.5   |   5.0   |
| 医疗器械 | 688575 |  亚辉龙  | 118.3  |  5.8   | 1.1  |   1.8   |  -0.1   |
