[行业>市值]
+--------------+--------+----------+------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值 |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+------+--------+------+---------+---------+
| 工程咨询服务 | 300284 |  苏交科  | 85.4 |  48.4  | 1.1  |   1.6   |  -3.3   |
| 工程咨询服务 | 000928 | 中钢国际 | 79.5 |  15.4  | 0.7  |   2.1   |   0.8   |
| 工程咨询服务 | 003013 | 地铁设计 | 65.1 |  17.3  | 0.1  |   1.2   |   0.6   |
| 工程咨询服务 | 603959 | 百利科技 | 61.8 |  50.2  | 0.3  |   4.1   |  -1.6   |
| 工程咨询服务 | 603018 | 华设集团 | 61.2 |  16.4  | -0.1 |   0.2   |  -2.7   |
| 工程咨询服务 | 600629 | 华建集团 | 57.9 |  16.6  | 0.0  |   0.8   |  -1.4   |
| 工程咨询服务 | 301136 | 招标股份 | 54.0 | 152.2  | 1.0  |  -1.9   |  -5.8   |
| 工程咨询服务 | 300492 | 华图山鼎 | 52.3 | 960.1  | 0.4  |   0.5   |  -0.5   |
| 工程咨询服务 | 603357 | 设计总院 | 49.3 |  11.1  | 0.1  |  -0.2   |  -3.0   |
| 工程咨询服务 | 300983 | 尤安设计 | 46.6 | -53.9  | 0.1  |   2.3   |   0.5   |
| 工程咨询服务 | 301091 |  深城交  | 43.7 | -28.8  | 2.8  |   8.2   |   7.6   |
| 工程咨询服务 | 000779 |  甘咨询  | 40.8 |  25.3  | -0.7 |  -2.5   |  -4.8   |
| 工程咨询服务 | 002116 | 中国海诚 | 38.8 |  24.9  | 0.8  |   0.9   |  -2.7   |
| 工程咨询服务 | 301027 | 华蓝集团 | 35.0 |  52.5  | 3.0  |   2.7   |   4.5   |
| 工程咨询服务 | 300732 |  设研院  | 33.5 |  18.3  | -0.3 |   0.5   |  -0.7   |
| 工程咨询服务 | 300500 | 启迪设计 | 32.1 | -90.6  | 1.0  |   7.6   |   5.5   |
