[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 通信服务 | 601728 | 中国电信 | 3422.0 |  11.8  | 0.0  |   0.3   |  -0.3   |
| 通信服务 | 600050 | 中国联通 | 1078.0 |  13.3  | 0.0  |   0.6   |  -1.4   |
| 通信服务 | 601698 | 中国卫通 | 444.0  |  88.6  | 1.3  |   6.8   |   3.2   |
| 通信服务 | 002544 | 普天科技 | 161.0  | 209.9  | 0.1  |   4.1   |  -1.9   |
| 通信服务 | 002123 | 梦网科技 |  82.9  | -53.0  | -0.4 |   1.4   |  -0.2   |
| 通信服务 | 002929 | 润建股份 |  82.5  |  20.1  | -1.3 |   3.4   |   8.3   |
| 通信服务 | 300183 | 东软载波 |  62.4  |  71.5  | -1.0 |   2.7   |   0.6   |
| 通信服务 | 600804 | ST鹏博士 |  59.5  |  7.4   | -1.9 |   2.6   |  -1.9   |
| 通信服务 | 002467 |  二六三  |  57.3  |  40.0  | 0.2  |   0.5   |  -5.4   |
| 通信服务 | 002093 | 国脉科技 |  56.9  |  99.2  | 0.7  |   4.0   |   0.9   |
| 通信服务 | 300571 | 平治信息 |  55.7  |  12.3  | -1.8 |  -0.4   |  -0.1   |
| 通信服务 | 300081 | 恒信东方 |  51.5  | -41.1  | 1.6  |   3.0   |   4.2   |
| 通信服务 | 603421 | 鼎信通讯 |  47.7  | -11.8  | 1.4  |   4.0   |   4.1   |
| 通信服务 | 300292 | 吴通控股 |  46.7  | -102.0 | 0.3  |   3.3   |   2.6   |
| 通信服务 | 688682 |  霍莱沃  |  43.8  | 389.5  | -0.4 |   3.3   |  -0.2   |
| 通信服务 | 603220 | 中贝通信 |  41.7  | 102.4  | 2.1  |   5.7   |   2.7   |
| 通信服务 | 300603 | 立昂技术 |  40.4  | 146.0  | 0.4  |   1.4   |   0.1   |
| 通信服务 | 300310 | 宜通世纪 |  37.6  | 676.4  | 0.2  |   1.9   |   0.9   |
| 通信服务 | 002908 | 德生科技 |  35.5  |  88.8  | -0.3 |   3.3   |   1.0   |
| 通信服务 | 002115 | 三维通信 |  33.4  |  51.1  | -0.2 |   3.3   |   3.0   |
| 通信服务 | 300578 | 会畅通讯 |  33.3  |  63.3  | 1.6  |   5.0   |   3.7   |
| 通信服务 | 300560 |  中富通  |  32.4  |  54.9  | 0.2  |   3.2   |   1.1   |
| 通信服务 | 300513 | 恒实科技 |  32.0  | -266.2 | 2.0  |   1.2   |   2.1   |
| 通信服务 | 603322 | 超讯通信 |  31.7  | 193.5  | 10.0 |  14.9   |  16.5   |
| 通信服务 | 002148 | 北纬科技 |  27.4  | 104.7  | 2.6  |   3.9   |   4.6   |
| 通信服务 | 300211 | 亿通科技 |  26.0  |  87.2  | -0.5 |   4.8   |   4.5   |
| 通信服务 | 300921 | 南凌科技 |  25.7  |  47.8  | -0.7 |   1.3   |   0.9   |
| 通信服务 | 300959 | 线上线下 |  25.6  |  37.1  | 0.5  |   3.3   |   2.8   |
| 通信服务 | 300050 | 世纪鼎利 |  21.6  |  78.5  | 0.5  |   0.5   |   2.1   |
| 通信服务 | 300025 | 华星创业 |  21.4  | -316.6 | 4.8  |   8.7   |  13.9   |
| 通信服务 | 000971 |  ST高升  |  21.3  |  -4.3  | -1.5 |  -2.9   |  -1.0   |
| 通信服务 | 600289 |  ST信通  |  21.3  |  -8.9  | -1.8 |  -0.6   |   4.7   |
| 通信服务 | 603602 | 纵横通信 |  20.2  | -50.0  | -0.2 |   3.1   |  -0.6   |
| 通信服务 | 300597 | 吉大通信 |  19.6  | 108.0  | -0.1 |   1.5   |  -0.7   |
| 通信服务 | 002231 | 奥维通信 |  18.4  | 147.6  | 0.6  |   3.5   |   2.5   |
| 通信服务 | 000889 |  ST中嘉  |  16.3  | -45.2  | -1.7 |  -4.4   |  -7.5   |
| 通信服务 | 603559 | 中通国脉 |  15.8  | -25.7  | 0.1  |   3.0   |  -0.1   |
| 通信服务 | 688081 | 兴图新科 |  15.4  | -205.5 | -2.4 |   6.2   |   5.2   |
| 通信服务 | 300736 | 百邦科技 |  12.7  | -36.8  | -0.2 |   2.3   |   0.5   |
| 通信服务 | 300312 |  邦讯退  |  1.1   |  -1.1  | 0.0  |  -10.3  |  -2.8   |
| 通信服务 | 600941 | 中国移动 |  0.0   |  12.6  | -0.4 |  -1.7   |  -4.0   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 通信服务 | 603322 | 超讯通信 |  31.7  | 193.5  | 10.0 |  14.9   |  16.5   |
| 通信服务 | 300025 | 华星创业 |  21.4  | -316.6 | 4.8  |   8.7   |  13.9   |
| 通信服务 | 002148 | 北纬科技 |  27.4  | 104.7  | 2.6  |   3.9   |   4.6   |
| 通信服务 | 603220 | 中贝通信 |  41.7  | 102.4  | 2.1  |   5.7   |   2.7   |
| 通信服务 | 300513 | 恒实科技 |  32.0  | -266.2 | 2.0  |   1.2   |   2.1   |
| 通信服务 | 300578 | 会畅通讯 |  33.3  |  63.3  | 1.6  |   5.0   |   3.7   |
| 通信服务 | 300081 | 恒信东方 |  51.5  | -41.1  | 1.6  |   3.0   |   4.2   |
| 通信服务 | 603421 | 鼎信通讯 |  47.7  | -11.8  | 1.4  |   4.0   |   4.1   |
| 通信服务 | 601698 | 中国卫通 | 444.0  |  88.6  | 1.3  |   6.8   |   3.2   |
| 通信服务 | 002093 | 国脉科技 |  56.9  |  99.2  | 0.7  |   4.0   |   0.9   |
| 通信服务 | 002231 | 奥维通信 |  18.4  | 147.6  | 0.6  |   3.5   |   2.5   |
| 通信服务 | 300050 | 世纪鼎利 |  21.6  |  78.5  | 0.5  |   0.5   |   2.1   |
| 通信服务 | 300959 | 线上线下 |  25.6  |  37.1  | 0.5  |   3.3   |   2.8   |
| 通信服务 | 300603 | 立昂技术 |  40.4  | 146.0  | 0.4  |   1.4   |   0.1   |
| 通信服务 | 300292 | 吴通控股 |  46.7  | -102.0 | 0.3  |   3.3   |   2.6   |
| 通信服务 | 002467 |  二六三  |  57.3  |  40.0  | 0.2  |   0.5   |  -5.4   |
| 通信服务 | 300310 | 宜通世纪 |  37.6  | 676.4  | 0.2  |   1.9   |   0.9   |
| 通信服务 | 300560 |  中富通  |  32.4  |  54.9  | 0.2  |   3.2   |   1.1   |
| 通信服务 | 002544 | 普天科技 | 161.0  | 209.9  | 0.1  |   4.1   |  -1.9   |
| 通信服务 | 603559 | 中通国脉 |  15.8  | -25.7  | 0.1  |   3.0   |  -0.1   |
| 通信服务 | 601728 | 中国电信 | 3422.0 |  11.8  | 0.0  |   0.3   |  -0.3   |
| 通信服务 | 600050 | 中国联通 | 1078.0 |  13.3  | 0.0  |   0.6   |  -1.4   |
| 通信服务 | 300312 |  邦讯退  |  1.1   |  -1.1  | 0.0  |  -10.3  |  -2.8   |
| 通信服务 | 300597 | 吉大通信 |  19.6  | 108.0  | -0.1 |   1.5   |  -0.7   |
| 通信服务 | 603602 | 纵横通信 |  20.2  | -50.0  | -0.2 |   3.1   |  -0.6   |
| 通信服务 | 300736 | 百邦科技 |  12.7  | -36.8  | -0.2 |   2.3   |   0.5   |
| 通信服务 | 002115 | 三维通信 |  33.4  |  51.1  | -0.2 |   3.3   |   3.0   |
| 通信服务 | 002908 | 德生科技 |  35.5  |  88.8  | -0.3 |   3.3   |   1.0   |
| 通信服务 | 600941 | 中国移动 |  0.0   |  12.6  | -0.4 |  -1.7   |  -4.0   |
| 通信服务 | 002123 | 梦网科技 |  82.9  | -53.0  | -0.4 |   1.4   |  -0.2   |
| 通信服务 | 688682 |  霍莱沃  |  43.8  | 389.5  | -0.4 |   3.3   |  -0.2   |
| 通信服务 | 300211 | 亿通科技 |  26.0  |  87.2  | -0.5 |   4.8   |   4.5   |
| 通信服务 | 300921 | 南凌科技 |  25.7  |  47.8  | -0.7 |   1.3   |   0.9   |
| 通信服务 | 300183 | 东软载波 |  62.4  |  71.5  | -1.0 |   2.7   |   0.6   |
| 通信服务 | 002929 | 润建股份 |  82.5  |  20.1  | -1.3 |   3.4   |   8.3   |
| 通信服务 | 000971 |  ST高升  |  21.3  |  -4.3  | -1.5 |  -2.9   |  -1.0   |
| 通信服务 | 000889 |  ST中嘉  |  16.3  | -45.2  | -1.7 |  -4.4   |  -7.5   |
| 通信服务 | 600289 |  ST信通  |  21.3  |  -8.9  | -1.8 |  -0.6   |   4.7   |
| 通信服务 | 300571 | 平治信息 |  55.7  |  12.3  | -1.8 |  -0.4   |  -0.1   |
| 通信服务 | 600804 | ST鹏博士 |  59.5  |  7.4   | -1.9 |   2.6   |  -1.9   |
| 通信服务 | 688081 | 兴图新科 |  15.4  | -205.5 | -2.4 |   6.2   |   5.2   |
+----------+--------+----------+--------+--------+------+---------+---------+
