[行业>三日涨幅]
+------------+--------+----------+-------+--------+------+---------+---------+
|    行业    |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+-------+--------+------+---------+---------+
|  通用设备  | 001226 |  N拓山   | 26.5  |  25.7  | 44.0 |  44.0   |  44.0   |
|  通用设备  | 002514 | 宝馨科技 | 38.3  | 171.8  | 10.0 |  14.2   |  25.6   |
|  通信设备  | 002902 | 铭普光磁 | 31.1  |  37.4  | 10.0 |  28.9   |  30.9   |
|  电网设备  | 603530 | 神马电力 | 72.1  | 2217.5 | 10.0 |  33.1   |  46.1   |
|  电网设备  | 002058 |  威尔泰  | 22.6  | -252.9 | 10.0 |  33.1   |  52.5   |
|  玻璃玻纤  | 300093 | 金刚玻璃 | 115.6 | -92.0  | 20.0 |  44.6   |  48.6   |
|  消费电子  | 003028 | 振邦智能 | 61.1  |  35.9  | 10.0 |  33.1   |  77.6   |
|  消费电子  | 002866 | 传艺科技 | 37.9  |  21.1  | 10.0 |  15.6   |  28.6   |
| 汽车零部件 | 603758 | 秦安股份 | 43.7  |  26.8  | 10.1 |  33.2   |  35.1   |
| 汽车零部件 | 002454 | 松芝股份 | 62.7  |  77.7  | 10.0 |  33.1   |  61.3   |
| 汽车零部件 | 002703 | 浙江世宝 | 88.6  | -549.3 | 10.0 |  33.1   |  77.2   |
| 汽车零部件 | 002355 | 兴民智通 | 40.0  | -15.7  | 10.1 |  22.4   |  27.5   |
| 汽车零部件 | 002101 | 广东鸿图 | 105.1 |  35.8  | 10.0 |  14.3   |  19.3   |
| 汽车零部件 | 603917 | 合力科技 | 29.4  |  63.6  | 10.0 |   5.0   |  12.1   |
|  汽车整车  | 000868 | 安凯客车 | 40.9  | -25.5  | 10.1 |   6.5   |   3.5   |
|  橡胶制品  | 002753 | 永东股份 | 35.4  |  83.8  | 10.0 |  24.6   |  23.1   |
|  家电行业  | 002860 |  星帅尔  | 40.7  |  27.0  | 10.0 |   7.1   |  10.5   |
|  塑料制品  | 002838 | 道恩股份 | 99.8  |  48.6  | 10.0 |  28.5   |  29.6   |
|  化学原料  | 002805 | 丰元股份 | 75.8  |  46.6  | 10.0 |  11.0   |  15.2   |
|  化学制品  | 002909 | 集泰股份 | 58.0  | 2614.9 | 10.0 |  33.2   |  77.3   |
|  专用设备  | 000821 | 京山轻机 | 125.2 |  94.7  | 10.0 |  33.1   |  61.3   |
|  专用设备  | 002031 | 巨轮智能 | 49.9  | 301.5  | 10.2 |  20.7   |  18.2   |
+------------+--------+----------+-------+--------+------+---------+---------+
