[行业>市值]
+--------+--------+------------+--------+---------+------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+---------+------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3643.0 |  32.0   | 1.9  |   3.5   |   0.8   |
| 半导体 | 603501 |  韦尔股份  | 1526.0 |  42.6   | 5.3  |  11.8   |   3.6   |
| 半导体 | 002371 |  北方华创  | 1475.0 |  178.6  | 2.7  |   5.6   |   6.5   |
| 半导体 | 002049 |  紫光国微  | 1185.0 |  55.9   | 1.8  |   2.0   |   1.2   |
| 半导体 | 603986 |  兆易创新  | 934.3  |  34.0   | 5.0  |   9.2   |   5.0   |
| 半导体 | 688396 |   华润微   | 787.8  |  31.8   | 4.7  |   5.3   |   3.7   |
| 半导体 | 688012 |  中微公司  | 746.5  |  159.2  | 4.4  |   3.5   |   0.6   |
| 半导体 | 600460 |   士兰微   | 719.9  |  67.0   | 8.2  |  11.6   |   9.4   |
| 半导体 | 300782 |   卓胜微   | 703.5  |  38.3   | 2.1  |   3.1   |   0.6   |
| 半导体 | 688008 |  澜起科技  | 667.3  |  54.5   | 1.1  |   3.8   |   0.9   |
| 半导体 | 603290 |  斯达半导  | 650.4  |  107.5  | 1.1  |   1.1   |   7.4   |
| 半导体 | 300661 |  圣邦股份  | 648.6  |  62.3   | 3.1  |   8.4   |   6.1   |
| 半导体 | 688126 | 沪硅产业-U | 634.4  | -1046.7 | 3.3  |   3.2   |   0.0   |
| 半导体 | 688385 |  复旦微电  | 532.3  |  57.1   | 3.8  |   6.4   |  27.0   |
| 半导体 | 688728 |   格科微   | 518.3  |  53.7   | 2.0  |   3.6   |   1.7   |
| 半导体 | 300223 |  北京君正  | 492.5  |  53.1   | 7.2  |   9.4   |  10.1   |
| 半导体 | 600584 |  长电科技  | 475.1  |  13.8   | 3.5  |   7.0   |   5.2   |
| 半导体 | 605358 |   立昂微   | 439.4  |  46.1   | 3.1  |   8.4   |   5.9   |
| 半导体 | 688536 |   思瑞浦   | 417.2  |  114.0  | -1.0 |   2.5   |  -0.4   |
| 半导体 | 688047 |   C龙芯    | 415.2  |  285.0  | 2.8  |  72.4   |  72.4   |
| 半导体 | 688099 |  晶晨股份  | 402.2  |  37.2   | 3.9  |   6.7   |  -2.2   |
| 半导体 | 688052 |   纳芯微   | 374.4  |  111.0  | 0.7  |  -1.8   |  10.7   |
| 半导体 | 300373 |  扬杰科技  | 353.6  |  32.0   | 0.5  |  -0.4   |   2.2   |
| 半导体 | 603893 |   瑞芯微   | 350.4  |  104.1  | 2.5  |   5.8   |   2.4   |
| 半导体 | 002185 |  华天科技  | 304.4  |  36.8   | 2.5  |   4.5   |   3.9   |
| 半导体 | 688220 | 翱捷科技-U | 295.2  | -228.6  | 1.5  |   3.2   |   1.4   |
| 半导体 | 603160 |  汇顶科技  | 282.7  | -139.9  | 4.6  |   5.5   |   6.0   |
| 半导体 | 300604 |  长川科技  | 277.8  |  97.7   | 3.9  |   5.1   |   2.7   |
| 半导体 | 688234 |  天岳先进  | 276.7  | -158.1  | 2.2  |   6.5   |   7.7   |
| 半导体 | 688107 | 安路科技-U | 275.5  |  389.3  | 5.2  |   3.9   |  13.8   |
| 半导体 | 688256 |  寒武纪-U  | 268.5  |  -23.4  | 0.8  |   4.2   |   7.0   |
| 半导体 | 002409 |  雅克科技  | 266.5  |  44.8   | 3.7  |   3.7   |   0.6   |
| 半导体 | 605111 |   新洁能   | 260.6  |  58.0   | 2.4  |   5.7   |  12.3   |
| 半导体 | 688120 |  华海清科  | 259.2  |  71.0   | -1.3 |  -6.5   |   9.7   |
| 半导体 | 688521 | 芯原股份-U | 247.4  | 1883.9  | 3.1  |   4.2   |   3.2   |
| 半导体 | 688798 |  艾为电子  | 231.7  |  100.7  | 3.4  |   5.6   |   4.2   |
| 半导体 | 688200 |  华峰测控  | 223.4  |  45.7   | 1.4  |   5.3   |   0.9   |
| 半导体 | 688213 |  思特威-W  | 222.4  |  394.0  | -0.7 |  13.7   |  18.8   |
| 半导体 | 002156 |  通富微电  | 202.9  |  30.8   | 3.0  |   5.6   |   3.5   |
| 半导体 | 688153 | 唯捷创芯-U | 202.6  |  137.8  | 1.4  |   3.7   |   1.3   |
| 半导体 | 688072 | 拓荆科技-U | 196.2  | -412.9  | 2.7  |  -3.1   |   2.9   |
| 半导体 | 300613 |   富瀚微   | 191.2  |  47.1   | 0.8  |  19.4   |  24.4   |
| 半导体 | 688002 |  睿创微纳  | 185.3  |  324.4  | 1.1  |   2.1   |  -0.9   |
| 半导体 | 301050 |  雷电微力  | 184.0  |  43.0   | 3.7  |   3.8   |   2.4   |
| 半导体 | 600171 |  上海贝岭  | 181.2  |  31.4   | 6.3  |  16.8   |  17.7   |
| 半导体 | 300327 |  中颖电子  | 176.8  |  34.4   | 4.3  |   7.3   |   3.9   |
| 半导体 | 300623 |  捷捷微电  | 176.7  |  44.0   | 4.8  |   5.9   |   6.7   |
| 半导体 | 300458 |  全志科技  | 171.8  |  55.9   | 13.4 |  15.8   |  23.0   |
| 半导体 | 688608 |  恒玄科技  | 170.1  |  189.0  | 0.7  |   2.1   |  -4.4   |
| 半导体 | 688110 |  东芯股份  | 169.4  |  38.5   | 4.2  |   5.0   |   5.7   |
| 半导体 | 603005 |  晶方科技  | 163.7  |  44.5   | 10.0 |  11.7   |   8.4   |
| 半导体 | 688261 |  XD东微半  | 162.5  |  85.1   | 1.4  |  -7.1   |   1.8   |
| 半导体 | 600667 |  太极实业  | 160.1  |  22.8   | 2.0  |   4.4   |   4.1   |
| 半导体 | 300671 |   富满微   | 157.2  |  70.7   | 9.3  |  11.0   |  11.6   |
| 半导体 | 688048 |  长光华芯  | 154.6  |  139.9  | 3.1  |   2.5   |  18.3   |
| 半导体 | 300666 |  江丰电子  | 146.0  |  109.1  | 1.7  |   5.7   |   5.3   |
| 半导体 | 300672 |   国科微   | 143.3  | -156.7  | 1.8  |   6.0   |   3.6   |
| 半导体 | 688037 |   芯源微   | 138.6  |  106.9  | 0.7  |   8.3   |   6.2   |
| 半导体 | 688167 |  炬光科技  | 136.3  |  169.1  | -0.9 |  -1.7   |  14.1   |
| 半导体 | 688206 |  概伦电子  | 136.2  |  724.6  | 5.1  |   6.0   |   7.2   |
| 半导体 | 600877 |  声光电科  | 133.8  |  106.1  | -0.5 |   3.1   |   2.4   |
| 半导体 | 688173 |   希荻微   | 132.9  |  347.3  | 12.1 |  12.9   |  10.2   |
| 半导体 | 300456 |  赛微电子  | 130.6  |  138.3  | 3.8  |   6.0   |   4.8   |
| 半导体 | 688123 |  聚辰股份  | 128.9  |  56.3   | -0.0 |  -2.0   |  -5.2   |
| 半导体 | 001270 |  铖昌科技  | 124.1  |  293.2  | -3.1 |   7.9   |  37.1   |
| 半导体 | 688262 |  国芯科技  | 122.4  | 9955.6  | 11.3 |  27.3   |  32.2   |
| 半导体 | 002079 |  苏州固锝  | 118.1  |  49.9   | 10.0 |  20.3   |  37.1   |
| 半导体 | 688209 |   英集芯   | 114.7  |  49.3   | 1.9  |   4.1   |  11.0   |
| 半导体 | 688711 |  宏微科技  | 108.9  |  222.8  | 4.2  |   1.5   |  12.6   |
| 半导体 | 300077 |  国民技术  | 107.6  |  109.3  | 4.3  |   8.5   |   8.9   |
| 半导体 | 688368 |  晶丰明源  | 102.7  | -223.6  | 0.7  |  10.1   |   5.4   |
| 半导体 | 688601 |   力芯微   |  97.9  |  37.3   | 5.1  |   4.1   |  11.9   |
| 半导体 | 600198 |  大唐电信  |  91.0  |  -52.5  | 2.5  |   2.5   |  -1.6   |
| 半导体 | 688233 |  神工股份  |  87.8  |  44.0   | -3.2 |  -0.9   |  -2.7   |
| 半导体 | 688766 |  普冉股份  |  83.7  |  50.4   | 1.7  |   3.8   |   2.6   |
| 半导体 | 688699 |  明微电子  |  82.5  |  28.9   | 1.8  |   3.8   |   3.6   |
| 半导体 | 688018 |  乐鑫科技  |  81.8  |  73.4   | 2.6  |   0.7   |  -5.5   |
| 半导体 | 688508 |   芯朋微   |  81.2  |  60.4   | 0.1  |  -1.7   |  -5.5   |
| 半导体 | 600360 |  华微电子  |  75.0  |  73.0   | 5.5  |   8.8   |   8.9   |
| 半导体 | 688270 |  臻镭科技  |  73.5  |  265.8  | 0.6  |  -3.8   |   5.0   |
